tipo,activo,from,open,close,max,min,volume
turbo,TRUMPUSD-OTC,1782036300,1.531855,1.521155,1.548055,1.518395,0
turbo,TRUMPUSD-OTC,1782036360,1.521185,1.572255,1.572255,1.521185,0
turbo,TRUMPUSD-OTC,1782036420,1.571375,1.554255,1.581835,1.553515,0
turbo,TRUMPUSD-OTC,1782036480,1.554295,1.537125,1.566115,1.532265,0
turbo,TRUMPUSD-OTC,1782036540,1.537335,1.507715,1.549645,1.507375,0
turbo,TRUMPUSD-OTC,1782036600,1.507185,1.516335,1.526945,1.493085,0
turbo,TRUMPUSD-OTC,1782036660,1.517675,1.503385,1.526205,1.495205,0
turbo,TRUMPUSD-OTC,1782036720,1.504145,1.485975,1.523855,1.478775,0
turbo,TRUMPUSD-OTC,1782036780,1.485015,1.484155,1.495945,1.464485,0
turbo,TRUMPUSD-OTC,1782036840,1.486665,1.486035,1.500165,1.469805,0
turbo,TRUMPUSD-OTC,1782036900,1.487875,1.442985,1.499105,1.437535,0
turbo,TRUMPUSD-OTC,1782036960,1.444355,1.417835,1.447115,1.409895,0
turbo,TRUMPUSD-OTC,1782037020,1.415125,1.433025,1.443845,1.414915,0
turbo,TRUMPUSD-OTC,1782037080,1.436165,1.462275,1.466065,1.435685,0
turbo,TRUMPUSD-OTC,1782037140,1.462135,1.468575,1.488425,1.456705,0
turbo,TRUMPUSD-OTC,1782037200,1.467695,1.464985,1.487545,1.462695,0
turbo,TRUMPUSD-OTC,1782037260,1.465545,1.491615,1.501235,1.462155,0
turbo,TRUMPUSD-OTC,1782037320,1.489485,1.519935,1.525725,1.488335,0
turbo,TRUMPUSD-OTC,1782037380,1.522015,1.551595,1.562375,1.517035,0
turbo,TRUMPUSD-OTC,1782037440,1.551425,1.553305,1.564505,1.535345,0
turbo,TRUMPUSD-OTC,1782037500,1.553745,1.547935,1.570825,1.541315,0
turbo,TRUMPUSD-OTC,1782037560,1.546195,1.551415,1.552055,1.528505,0
turbo,TRUMPUSD-OTC,1782037620,1.550535,1.549885,1.574025,1.538745,0
turbo,TRUMPUSD-OTC,1782037680,1.546935,1.471035,1.556935,1.470915,0
turbo,TRUMPUSD-OTC,1782037740,1.476635,1.475325,1.487075,1.465335,0
turbo,TRUMPUSD-OTC,1782037800,1.473835,1.465175,1.490485,1.462035,0
turbo,TRUMPUSD-OTC,1782037860,1.465345,1.472535,1.475835,1.449435,0
turbo,TRUMPUSD-OTC,1782037920,1.470035,1.478065,1.478065,1.445815,0
turbo,TRUMPUSD-OTC,1782037980,1.478495,1.459955,1.493355,1.445505,0
turbo,TRUMPUSD-OTC,1782038040,1.459545,1.475855,1.490635,1.459545,0
turbo,TRUMPUSD-OTC,1782038100,1.477035,1.421535,1.480135,1.419875,0
turbo,TRUMPUSD-OTC,1782038160,1.423535,1.400415,1.423535,1.396285,0
turbo,TRUMPUSD-OTC,1782038220,1.401545,1.411115,1.411115,1.368875,0
turbo,TRUMPUSD-OTC,1782038280,1.411625,1.394325,1.415445,1.393305,0
turbo,TRUMPUSD-OTC,1782038340,1.395065,1.416115,1.420465,1.389455,0
turbo,TRUMPUSD-OTC,1782038400,1.415605,1.414535,1.418575,1.395935,0
turbo,TRUMPUSD-OTC,1782038460,1.414775,1.439285,1.451285,1.413495,0
turbo,TRUMPUSD-OTC,1782038520,1.441005,1.426635,1.449285,1.426635,0
turbo,TRUMPUSD-OTC,1782038580,1.426875,1.471875,1.473365,1.426875,0
turbo,TRUMPUSD-OTC,1782038640,1.472205,1.474935,1.482165,1.459795,0
turbo,TRUMPUSD-OTC,1782038700,1.474745,1.486465,1.495225,1.474745,0
turbo,TRUMPUSD-OTC,1782038760,1.487605,1.509835,1.524335,1.487605,0
turbo,TRUMPUSD-OTC,1782038820,1.510355,1.525065,1.540045,1.496125,0
turbo,TRUMPUSD-OTC,1782038880,1.523925,1.478005,1.530665,1.476345,0
turbo,TRUMPUSD-OTC,1782038940,1.476935,1.486755,1.506415,1.470195,0
turbo,TRUMPUSD-OTC,1782039000,1.483245,1.472105,1.484235,1.457765,0
turbo,TRUMPUSD-OTC,1782039060,1.473915,1.466615,1.488355,1.459385,0
turbo,TRUMPUSD-OTC,1782039120,1.469695,1.464415,1.479695,1.457975,0
turbo,TRUMPUSD-OTC,1782039180,1.463235,1.466645,1.483385,1.458025,0
turbo,TRUMPUSD-OTC,1782039240,1.464045,1.408855,1.473175,1.402605,0
turbo,TRUMPUSD-OTC,1782039300,1.409655,1.435335,1.437575,1.398565,0
turbo,TRUMPUSD-OTC,1782039360,1.436005,1.458365,1.458485,1.424245,0
turbo,TRUMPUSD-OTC,1782039420,1.458955,1.401015,1.458955,1.398535,0
turbo,TRUMPUSD-OTC,1782039480,1.400085,1.424645,1.430365,1.395905,0
turbo,TRUMPUSD-OTC,1782039540,1.429305,1.439015,1.463985,1.428485,0
turbo,TRUMPUSD-OTC,1782039600,1.440975,1.455685,1.459875,1.438165,0
turbo,TRUMPUSD-OTC,1782039660,1.454385,1.471645,1.471645,1.430825,0
turbo,TRUMPUSD-OTC,1782039720,1.473665,1.466075,1.475115,1.458245,0
turbo,TRUMPUSD-OTC,1782039780,1.463475,1.507905,1.517565,1.461785,0
turbo,TRUMPUSD-OTC,1782039840,1.502925,1.482965,1.502925,1.471445,0
turbo,TRUMPUSD-OTC,1782039900,1.483285,1.455105,1.484015,1.451775,0
turbo,TRUMPUSD-OTC,1782039960,1.454825,1.472265,1.473115,1.441845,0
turbo,TRUMPUSD-OTC,1782040020,1.475375,1.473045,1.481935,1.455715,0
turbo,TRUMPUSD-OTC,1782040080,1.472645,1.447735,1.479415,1.445285,0
turbo,TRUMPUSD-OTC,1782040140,1.446105,1.439775,1.451775,1.427435,0
turbo,TRUMPUSD-OTC,1782040200,1.438795,1.433585,1.445525,1.421295,0
turbo,TRUMPUSD-OTC,1782040260,1.433165,1.404865,1.433475,1.399165,0
turbo,TRUMPUSD-OTC,1782040320,1.403445,1.403825,1.420645,1.390085,0
turbo,TRUMPUSD-OTC,1782040380,1.404615,1.423385,1.425695,1.382515,0
turbo,TRUMPUSD-OTC,1782040440,1.423305,1.415375,1.425395,1.400235,0
turbo,TRUMPUSD-OTC,1782040500,1.414665,1.452595,1.455965,1.414665,0
turbo,TRUMPUSD-OTC,1782040560,1.452625,1.445595,1.471865,1.445595,0
turbo,TRUMPUSD-OTC,1782040620,1.445115,1.380805,1.446245,1.379485,0
turbo,TRUMPUSD-OTC,1782040680,1.381125,1.389005,1.397485,1.379775,0
turbo,TRUMPUSD-OTC,1782040740,1.389585,1.382615,1.392855,1.371855,0
turbo,TRUMPUSD-OTC,1782040800,1.381855,1.372295,1.422715,1.368155,0
turbo,TRUMPUSD-OTC,1782040860,1.373885,1.343955,1.385445,1.343955,0
turbo,TRUMPUSD-OTC,1782040920,1.343925,1.328395,1.344705,1.325415,0
turbo,TRUMPUSD-OTC,1782040980,1.326185,1.367345,1.367345,1.321865,0
turbo,TRUMPUSD-OTC,1782041040,1.368975,1.331795,1.379425,1.331795,0
turbo,TRUMPUSD-OTC,1782041100,1.331665,1.318835,1.332905,1.306655,0
turbo,TRUMPUSD-OTC,1782041160,1.318425,1.316605,1.337375,1.314285,0
turbo,TRUMPUSD-OTC,1782041220,1.316265,1.238585,1.321725,1.225485,0
turbo,TRUMPUSD-OTC,1782041280,1.238665,1.226045,1.244905,1.224665,0
turbo,TRUMPUSD-OTC,1782041340,1.225635,1.248985,1.256685,1.224075,0
turbo,TRUMPUSD-OTC,1782041400,1.248725,1.260465,1.271075,1.236555,0
turbo,TRUMPUSD-OTC,1782041460,1.260485,1.279945,1.282675,1.245215,0
turbo,TRUMPUSD-OTC,1782041520,1.276235,1.276465,1.298105,1.266735,0
turbo,TRUMPUSD-OTC,1782041580,1.276125,1.280325,1.290455,1.267165,0
turbo,TRUMPUSD-OTC,1782041640,1.278095,1.298675,1.310445,1.273725,0
turbo,TRUMPUSD-OTC,1782041700,1.299045,1.290715,1.303985,1.279395,0
turbo,TRUMPUSD-OTC,1782041760,1.291105,1.274625,1.307555,1.270625,0
turbo,TRUMPUSD-OTC,1782041820,1.273795,1.286355,1.297495,1.264305,0
turbo,TRUMPUSD-OTC,1782041880,1.286855,1.294495,1.301405,1.284045,0
turbo,TRUMPUSD-OTC,1782041940,1.293905,1.263135,1.295695,1.260565,0
turbo,TRUMPUSD-OTC,1782042000,1.261095,1.278385,1.294005,1.260275,0
