tipo,activo,from,open,close,max,min,volume
turbo,UK100-OTC,1782036540,10316.292845,10316.511845,10320.757765,10314.978785,0
turbo,UK100-OTC,1782036600,10316.547505,10314.909695,10316.578365,10313.438765,0
turbo,UK100-OTC,1782036660,10314.980035,10313.212105,10314.980035,10308.731955,0
turbo,UK100-OTC,1782036720,10313.343435,10314.347755,10315.629435,10313.150315,0
turbo,UK100-OTC,1782036780,10314.296065,10312.509655,10314.326145,10311.691185,0
turbo,UK100-OTC,1782036840,10312.590345,10312.329585,10313.659535,10310.551255,0
turbo,UK100-OTC,1782036900,10312.351285,10310.241155,10315.369965,10309.965175,0
turbo,UK100-OTC,1782036960,10309.836825,10303.662365,10310.740345,10303.526915,0
turbo,UK100-OTC,1782037020,10303.697245,10304.350855,10306.830405,10301.688685,0
turbo,UK100-OTC,1782037080,10304.308255,10308.745315,10309.476235,10302.955265,0
turbo,UK100-OTC,1782037140,10308.749805,10307.418965,10308.754425,10305.269465,0
turbo,UK100-OTC,1782037200,10307.391605,10310.047125,10310.047125,10306.764125,0
turbo,UK100-OTC,1782037260,10309.648745,10309.817195,10311.979645,10308.900375,0
turbo,UK100-OTC,1782037320,10309.819705,10308.917035,10310.520885,10308.448085,0
turbo,UK100-OTC,1782037380,10308.875325,10309.598635,10310.864075,10306.705435,0
turbo,UK100-OTC,1782037440,10309.629655,10307.552625,10311.198715,10307.101105,0
turbo,UK100-OTC,1782037500,10307.794255,10304.935225,10308.653545,10304.686045,0
turbo,UK100-OTC,1782037560,10304.930655,10310.406035,10311.220215,10304.930655,0
turbo,UK100-OTC,1782037620,10310.360165,10305.645555,10310.966365,10305.245875,0
turbo,UK100-OTC,1782037680,10305.677795,10304.854965,10306.691065,10303.365715,0
turbo,UK100-OTC,1782037740,10303.851695,10302.663265,10305.163905,10302.363515,0
turbo,UK100-OTC,1782037800,10302.586205,10303.026555,10304.489265,10301.085035,0
turbo,UK100-OTC,1782037860,10302.486005,10302.091965,10305.021285,10301.560415,0
turbo,UK100-OTC,1782037920,10302.483935,10299.525845,10302.740565,10298.951375,0
turbo,UK100-OTC,1782037980,10299.480675,10297.469605,10300.612605,10296.887965,0
turbo,UK100-OTC,1782038040,10297.327535,10299.044195,10299.853455,10296.699385,0
turbo,UK100-OTC,1782038100,10298.886115,10296.469225,10300.476885,10296.469225,0
turbo,UK100-OTC,1782038160,10296.515455,10297.356145,10298.282565,10294.304225,0
turbo,UK100-OTC,1782038220,10296.874425,10291.799465,10296.973705,10291.092765,0
turbo,UK100-OTC,1782038280,10291.608615,10291.536625,10293.934455,10290.770415,0
turbo,UK100-OTC,1782038340,10291.447085,10289.782715,10293.886755,10289.469685,0
turbo,UK100-OTC,1782038400,10289.297955,10290.124005,10291.964315,10288.785015,0
turbo,UK100-OTC,1782038460,10290.086555,10287.317565,10292.415755,10287.281545,0
turbo,UK100-OTC,1782038520,10287.337485,10292.098695,10293.054465,10286.662795,0
turbo,UK100-OTC,1782038580,10292.145595,10289.163245,10292.957105,10288.599825,0
turbo,UK100-OTC,1782038640,10289.052205,10291.532955,10295.721765,10289.052205,0
turbo,UK100-OTC,1782038700,10291.597065,10291.164055,10292.773385,10290.606745,0
turbo,UK100-OTC,1782038760,10291.202215,10283.243975,10291.234635,10283.243975,0
turbo,UK100-OTC,1782038820,10282.943785,10283.073875,10284.725395,10280.507055,0
turbo,UK100-OTC,1782038880,10283.094095,10284.623115,10285.675545,10281.651455,0
turbo,UK100-OTC,1782038940,10284.477445,10285.211075,10286.356745,10282.032225,0
turbo,UK100-OTC,1782039000,10285.240595,10280.764905,10285.383395,10280.628155,0
turbo,UK100-OTC,1782039060,10280.815455,10284.619585,10285.308695,10280.815455,0
turbo,UK100-OTC,1782039120,10284.546935,10279.203165,10285.399475,10279.039365,0
turbo,UK100-OTC,1782039180,10279.115865,10278.095645,10281.115875,10277.786865,0
turbo,UK100-OTC,1782039240,10278.117825,10275.277985,10278.121485,10275.247755,0
turbo,UK100-OTC,1782039300,10275.312945,10274.266595,10277.957915,10274.266595,0
turbo,UK100-OTC,1782039360,10274.315345,10276.370115,10277.030655,10274.315345,0
turbo,UK100-OTC,1782039420,10276.586995,10278.828315,10279.090185,10274.961765,0
turbo,UK100-OTC,1782039480,10278.860435,10277.289855,10279.908405,10276.647835,0
turbo,UK100-OTC,1782039540,10277.253855,10274.263575,10279.837525,10274.078325,0
turbo,UK100-OTC,1782039600,10274.292285,10274.661405,10275.818425,10272.642095,0
turbo,UK100-OTC,1782039660,10274.666795,10269.205915,10275.452295,10269.205915,0
turbo,UK100-OTC,1782039720,10269.605595,10270.824765,10271.050955,10265.578595,0
turbo,UK100-OTC,1782039780,10270.829375,10273.192195,10275.384775,10270.026965,0
turbo,UK100-OTC,1782039840,10273.154015,10275.089355,10277.245825,10273.154015,0
turbo,UK100-OTC,1782039900,10275.249175,10275.341115,10276.604545,10274.279915,0
turbo,UK100-OTC,1782039960,10275.381125,10278.834005,10279.116685,10274.396355,0
turbo,UK100-OTC,1782040020,10278.916565,10278.100965,10278.948115,10275.819685,0
turbo,UK100-OTC,1782040080,10278.851295,10279.021145,10281.513545,10278.223215,0
turbo,UK100-OTC,1782040140,10279.350535,10278.216165,10279.484605,10276.996665,0
turbo,UK100-OTC,1782040200,10278.266385,10267.839805,10278.456015,10267.839805,0
turbo,UK100-OTC,1782040260,10267.863435,10267.320095,10269.639715,10266.507965,0
turbo,UK100-OTC,1782040320,10267.357445,10268.479995,10270.435165,10266.054235,0
turbo,UK100-OTC,1782040380,10268.557885,10265.230535,10268.557885,10262.447505,0
turbo,UK100-OTC,1782040440,10265.062825,10264.501145,10267.871845,10263.443105,0
turbo,UK100-OTC,1782040500,10264.622865,10266.545525,10267.332485,10263.455765,0
turbo,UK100-OTC,1782040560,10266.475835,10265.967315,10269.508785,10265.376435,0
turbo,UK100-OTC,1782040620,10265.865685,10257.669265,10269.175055,10257.669265,0
turbo,UK100-OTC,1782040680,10257.735995,10257.893295,10257.953615,10252.041945,0
turbo,UK100-OTC,1782040740,10257.847815,10249.752215,10258.373085,10249.431865,0
turbo,UK100-OTC,1782040800,10249.769595,10248.272095,10250.103675,10245.883075,0
turbo,UK100-OTC,1782040860,10248.644995,10253.830315,10253.973435,10248.544455,0
turbo,UK100-OTC,1782040920,10253.810495,10259.077905,10259.077905,10252.202235,0
turbo,UK100-OTC,1782040980,10258.961035,10254.306175,10259.748755,10253.624255,0
turbo,UK100-OTC,1782041040,10254.331035,10253.306435,10255.894135,10252.370405,0
turbo,UK100-OTC,1782041100,10253.394515,10253.327325,10256.866235,10250.941955,0
turbo,UK100-OTC,1782041160,10253.278255,10254.371275,10255.705625,10250.915905,0
turbo,UK100-OTC,1782041220,10254.350335,10255.467255,10257.402725,10254.342455,0
turbo,UK100-OTC,1782041280,10255.469715,10259.362165,10259.967045,10255.469715,0
turbo,UK100-OTC,1782041340,10259.425365,10267.295105,10267.569945,10258.987715,0
turbo,UK100-OTC,1782041400,10267.177235,10272.499485,10272.601525,10266.036855,0
turbo,UK100-OTC,1782041460,10272.609735,10273.807815,10275.386695,10271.832575,0
turbo,UK100-OTC,1782041520,10273.855305,10274.102315,10274.985145,10272.351685,0
turbo,UK100-OTC,1782041580,10273.777545,10272.811915,10273.957615,10270.289695,0
turbo,UK100-OTC,1782041640,10272.549705,10269.191325,10272.683295,10268.561785,0
turbo,UK100-OTC,1782041700,10268.489945,10266.687825,10268.489945,10262.803155,0
turbo,UK100-OTC,1782041760,10266.630115,10267.762095,10268.605555,10265.375355,0
turbo,UK100-OTC,1782041820,10267.976515,10270.135085,10270.339855,10266.987435,0
turbo,UK100-OTC,1782041880,10270.149505,10273.147075,10273.381615,10270.149505,0
turbo,UK100-OTC,1782041940,10272.605515,10272.343705,10274.559945,10270.894405,0
turbo,UK100-OTC,1782042000,10271.217925,10268.450325,10271.443425,10265.289455,0
turbo,UK100-OTC,1782042060,10268.344635,10269.884905,10270.364895,10267.123155,0
turbo,UK100-OTC,1782042120,10269.936095,10273.739045,10273.751155,10267.436365,0
turbo,UK100-OTC,1782042180,10273.780195,10270.709835,10274.311135,10266.526495,0
turbo,UK100-OTC,1782042240,10270.789035,10269.837495,10271.600295,10268.202765,0
turbo,UK100-OTC,1782042300,10269.885685,10269.981855,10273.542395,10268.845675,0
turbo,UK100-OTC,1782042360,10270.200005,10266.793795,10270.324495,10266.793795,0
turbo,UK100-OTC,1782042420,10266.747205,10270.693305,10272.778595,10266.012875,0
turbo,UK100-OTC,1782042480,10270.416765,10270.171085,10271.789835,10268.961705,0
turbo,UK100-OTC,1782042540,10270.063085,10271.799725,10272.836135,10267.795105,0
turbo,UK100-OTC,1782042600,10271.789935,10271.220205,10272.960925,10270.080315,0
turbo,UK100-OTC,1782042660,10271.370565,10278.843865,10278.870925,10271.093185,0
turbo,UK100-OTC,1782042720,10278.850585,10275.581215,10279.219865,10272.311385,0
turbo,UK100-OTC,1782042780,10275.567195,10275.140505,10278.409855,10274.520145,0
turbo,UK100-OTC,1782042840,10275.182775,10282.424855,10282.755275,10274.916515,0
turbo,UK100-OTC,1782042900,10281.810435,10283.914235,10284.600545,10281.375455,0
turbo,UK100-OTC,1782042960,10283.868765,10283.782765,10284.773945,10281.725165,0
turbo,UK100-OTC,1782043020,10282.909205,10287.249845,10288.391545,10282.617135,0
turbo,UK100-OTC,1782043080,10287.259005,10288.960435,10291.348125,10287.259005,0
turbo,UK100-OTC,1782043140,10288.997605,10292.931715,10293.753045,10288.905855,0
turbo,UK100-OTC,1782043200,10294.085995,10293.389465,10294.158995,10291.218925,0
turbo,UK100-OTC,1782043260,10293.107265,10296.732435,10296.813605,10292.770355,0
turbo,UK100-OTC,1782043320,10296.671735,10298.536445,10299.011155,10295.995025,0
turbo,UK100-OTC,1782043380,10298.307885,10301.669575,10301.669575,10296.767615,0
turbo,UK100-OTC,1782043440,10301.631745,10304.968525,10306.064515,10301.631745,0
turbo,UK100-OTC,1782043500,10304.978025,10303.445625,10305.754435,10303.217135,0
turbo,UK100-OTC,1782043560,10303.495785,10301.720705,10306.061535,10301.688085,0
turbo,UK100-OTC,1782043620,10301.529065,10304.328955,10305.240155,10300.754415,0
turbo,UK100-OTC,1782043680,10304.300815,10305.384185,10307.123925,10303.404165,0
turbo,UK100-OTC,1782043740,10305.335165,10301.760055,10305.370345,10300.326585,0
turbo,UK100-OTC,1782043800,10301.963865,10297.140155,10303.770605,10296.873775,0
turbo,UK100-OTC,1782043860,10297.093575,10292.107495,10298.255815,10292.096645,0
turbo,UK100-OTC,1782043920,10292.081225,10289.698515,10292.939015,10289.249635,0
turbo,UK100-OTC,1782043980,10289.664515,10290.968825,10292.287675,10289.626615,0
turbo,UK100-OTC,1782044040,10290.480055,10295.730445,10295.730445,10289.753845,0
turbo,UK100-OTC,1782044100,10295.776525,10292.378945,10297.474585,10292.304655,0
turbo,UK100-OTC,1782044160,10292.329775,10288.227575,10294.916885,10287.982225,0
turbo,UK100-OTC,1782044220,10288.301725,10286.392315,10289.174355,10284.919525,0
turbo,UK100-OTC,1782044280,10286.130395,10283.892455,10286.716455,10283.768305,0
turbo,UK100-OTC,1782044340,10283.854635,10279.437135,10284.002105,10275.606585,0
turbo,UK100-OTC,1782044400,10279.329565,10281.361625,10281.652115,10277.816045,0
turbo,UK100-OTC,1782044460,10281.358345,10280.226925,10284.796805,10278.998175,0
turbo,UK100-OTC,1782044520,10280.427345,10278.295025,10280.574255,10276.800375,0
turbo,UK100-OTC,1782044580,10278.294685,10276.739035,10279.090135,10276.373935,0
turbo,UK100-OTC,1782044640,10276.953955,10275.186085,10279.666025,10274.882025,0
turbo,UK100-OTC,1782044700,10275.185545,10273.455825,10277.319965,10272.572655,0
turbo,UK100-OTC,1782044760,10273.498685,10279.410205,10279.709195,10272.819965,0
turbo,UK100-OTC,1782044820,10279.339905,10273.244685,10280.336305,10270.663395,0
turbo,UK100-OTC,1782044880,10273.282725,10277.480685,10277.875265,10272.234415,0
turbo,UK100-OTC,1782044940,10277.210325,10273.774135,10278.506115,10273.240555,0
turbo,UK100-OTC,1782045000,10273.825135,10278.113485,10278.113485,10273.589025,0
turbo,UK100-OTC,1782045060,10277.494915,10280.582345,10281.689555,10276.529755,0
turbo,UK100-OTC,1782045120,10280.696155,10282.522715,10282.522715,10278.686335,0
turbo,UK100-OTC,1782045180,10282.488455,10279.554355,10286.000955,10278.609255,0
turbo,UK100-OTC,1782045240,10279.542335,10277.547745,10280.962845,10277.151565,0
turbo,UK100-OTC,1782045300,10277.101905,10280.882205,10281.110075,10276.801905,0
turbo,UK100-OTC,1782045360,10281.029795,10278.449195,10282.066605,10277.828065,0
turbo,UK100-OTC,1782045420,10278.414345,10278.418645,10279.512385,10276.324275,0
turbo,UK100-OTC,1782045480,10278.443765,10273.714835,10279.011145,10272.537185,0
turbo,UK100-OTC,1782045540,10273.654065,10273.920345,10277.248385,10273.486745,0
turbo,UK100-OTC,1782045600,10273.587285,10270.989655,10277.705655,10270.773695,0
turbo,UK100-OTC,1782045660,10270.966405,10274.375505,10274.375505,10270.462695,0
turbo,UK100-OTC,1782045720,10274.479325,10271.854325,10274.914765,10270.308835,0
turbo,UK100-OTC,1782045780,10272.090015,10270.932135,10273.049505,10270.481235,0
turbo,UK100-OTC,1782045840,10270.774335,10271.284005,10273.853465,10270.394795,0
turbo,UK100-OTC,1782045900,10271.236185,10265.591785,10271.236185,10264.550805,0
turbo,UK100-OTC,1782045960,10265.594075,10268.337675,10270.869855,10265.594075,0
turbo,UK100-OTC,1782046020,10268.589255,10271.581375,10272.090405,10267.340435,0
turbo,UK100-OTC,1782046080,10271.602595,10269.871985,10272.149145,10264.387515,0
turbo,UK100-OTC,1782046140,10269.492735,10271.329775,10272.537315,10268.445005,0
turbo,UK100-OTC,1782046200,10271.272645,10266.772015,10271.578515,10265.399915,0
turbo,UK100-OTC,1782046260,10266.764615,10264.818135,10268.916415,10263.967685,0
turbo,UK100-OTC,1782046320,10264.562055,10264.162875,10266.026185,10262.816075,0
turbo,UK100-OTC,1782046380,10264.181025,10260.388955,10264.956665,10258.258795,0
turbo,UK100-OTC,1782046440,10260.462645,10259.876835,10260.612175,10256.358375,0
turbo,UK100-OTC,1782046500,10259.864705,10261.148315,10262.718795,10259.864705,0
turbo,UK100-OTC,1782046560,10261.122225,10251.807275,10261.122225,10249.973435,0
turbo,UK100-OTC,1782046620,10251.633025,10248.097215,10252.129815,10248.020525,0
turbo,UK100-OTC,1782046680,10248.112985,10246.954165,10250.991355,10246.127845,0
turbo,UK100-OTC,1782046740,10246.869615,10248.349195,10249.912605,10243.989235,0
turbo,UK100-OTC,1782046800,10248.351135,10254.298185,10256.461125,10246.541245,0
turbo,UK100-OTC,1782046860,10254.316135,10248.856385,10254.327445,10248.343635,0
turbo,UK100-OTC,1782046920,10248.930585,10242.379725,10249.481665,10241.836105,0
turbo,UK100-OTC,1782046980,10242.407855,10242.354365,10245.681645,10239.040115,0
turbo,UK100-OTC,1782047040,10242.164295,10238.121055,10243.565295,10237.400925,0
turbo,UK100-OTC,1782047100,10238.114065,10242.398565,10242.398565,10238.074615,0
turbo,UK100-OTC,1782047160,10242.262495,10244.946755,10246.087975,10240.604955,0
turbo,UK100-OTC,1782047220,10244.951375,10242.385675,10246.172195,10241.219495,0
turbo,UK100-OTC,1782047280,10242.306745,10241.758845,10244.342185,10240.037285,0
turbo,UK100-OTC,1782047340,10241.712695,10238.805015,10242.773505,10238.632495,0
turbo,UK100-OTC,1782047400,10238.453885,10239.879985,10242.697045,10237.364105,0
turbo,UK100-OTC,1782047460,10239.687165,10247.731295,10248.153905,10239.452385,0
turbo,UK100-OTC,1782047520,10247.868285,10245.373265,10249.439255,10244.826295,0
turbo,UK100-OTC,1782047580,10245.324265,10246.867415,10248.102735,10245.139875,0
turbo,UK100-OTC,1782047640,10246.915715,10248.268075,10250.550565,10245.385165,0
turbo,UK100-OTC,1782047700,10248.271705,10247.324575,10250.198765,10246.498375,0
turbo,UK100-OTC,1782047760,10247.332485,10245.579145,10249.215025,10245.355585,0
turbo,UK100-OTC,1782047820,10245.925745,10246.308325,10246.894355,10244.546775,0
turbo,UK100-OTC,1782047880,10246.507055,10248.193605,10248.716285,10245.009595,0
turbo,UK100-OTC,1782047940,10248.168275,10248.110985,10248.938255,10245.222765,0
turbo,UK100-OTC,1782048000,10248.152055,10248.242575,10250.219285,10246.651955,0
turbo,UK100-OTC,1782048060,10248.221365,10247.859535,10248.964605,10247.127155,0
turbo,UK100-OTC,1782048120,10247.738455,10249.560765,10249.583595,10245.970555,0
turbo,UK100-OTC,1782048180,10249.513095,10261.469185,10262.289425,10249.373685,0
turbo,UK100-OTC,1782048240,10261.491425,10259.572495,10262.908295,10259.488575,0
turbo,UK100-OTC,1782048300,10259.576005,10259.109935,10261.219295,10257.115605,0
turbo,UK100-OTC,1782048360,10259.124505,10257.342045,10259.124505,10256.692425,0
turbo,UK100-OTC,1782048420,10257.381505,10255.680475,10257.560655,10254.344545,0
turbo,UK100-OTC,1782048480,10255.857365,10256.921545,10258.673025,10254.490505,0
turbo,UK100-OTC,1782048540,10256.945715,10259.496965,10260.447655,10256.945715,0
turbo,UK100-OTC,1782048600,10259.500495,10257.694325,10259.808045,10256.977265,0
turbo,UK100-OTC,1782048660,10257.683595,10257.436195,10258.315915,10255.765045,0
turbo,UK100-OTC,1782048720,10257.429515,10257.754835,10259.983715,10257.107895,0
turbo,UK100-OTC,1782048780,10257.992375,10261.393285,10264.342645,10257.524545,0
turbo,UK100-OTC,1782048840,10261.391145,10261.544715,10261.801325,10258.967115,0
turbo,UK100-OTC,1782048900,10261.477265,10261.280495,10262.728575,10260.377435,0
turbo,UK100-OTC,1782048960,10261.290065,10257.436255,10263.574935,10257.416295,0
turbo,UK100-OTC,1782049020,10257.422445,10259.527555,10260.776535,10255.840235,0
turbo,UK100-OTC,1782049080,10259.842285,10254.529135,10260.365445,10252.556415,0
turbo,UK100-OTC,1782049140,10254.576455,10254.655835,10256.152345,10252.888415,0
turbo,UK100-OTC,1782049200,10254.813275,10249.962565,10254.855575,10247.944525,0
turbo,UK100-OTC,1782049260,10250.013375,10252.480805,10252.480805,10248.611005,0
turbo,UK100-OTC,1782049320,10252.445725,10258.129895,10259.285465,10252.445725,0
turbo,UK100-OTC,1782049380,10257.448265,10254.903885,10258.807535,10254.829045,0
turbo,UK100-OTC,1782049440,10255.047875,10255.240835,10256.329945,10253.553495,0
turbo,UK100-OTC,1782049500,10255.741765,10256.063735,10258.041185,10255.199695,0
turbo,UK100-OTC,1782049560,10256.114675,10259.340435,10259.772825,10256.114675,0
turbo,UK100-OTC,1782049620,10259.369015,10260.057695,10260.888715,10258.636685,0
turbo,UK100-OTC,1782049680,10259.883205,10260.074655,10260.162925,10257.312765,0
turbo,UK100-OTC,1782049740,10260.179955,10254.622695,10260.179955,10254.622695,0
turbo,UK100-OTC,1782049800,10254.651215,10255.353875,10256.623355,10252.527415,0
turbo,UK100-OTC,1782049860,10255.354395,10256.901975,10258.287485,10254.999835,0
turbo,UK100-OTC,1782049920,10256.903915,10254.235625,10257.011455,10251.355425,0
turbo,UK100-OTC,1782049980,10254.175785,10253.636115,10256.639615,10252.941045,0
turbo,UK100-OTC,1782050040,10253.552605,10256.772835,10256.772835,10252.975905,0
turbo,UK100-OTC,1782050100,10256.802225,10262.273275,10262.312125,10254.258495,0
turbo,UK100-OTC,1782050160,10261.986675,10259.211595,10262.394025,10258.552885,0
turbo,UK100-OTC,1782050220,10259.183925,10260.534325,10260.765675,10257.254455,0
turbo,UK100-OTC,1782050280,10260.502625,10260.064305,10263.799535,10258.402715,0
turbo,UK100-OTC,1782050340,10260.078385,10260.392255,10263.601415,10259.343735,0
turbo,UK100-OTC,1782050400,10260.451545,10268.359575,10270.060775,10259.101405,0
turbo,UK100-OTC,1782050460,10268.096085,10268.798135,10269.440125,10267.212975,0
turbo,UK100-OTC,1782050520,10268.705955,10263.640295,10268.705955,10263.462575,0
turbo,UK100-OTC,1782050580,10263.620855,10265.718455,10266.586275,10261.489065,0
turbo,UK100-OTC,1782050640,10265.729865,10268.581075,10271.749365,10264.629225,0
turbo,UK100-OTC,1782050700,10268.551135,10266.844395,10269.135465,10266.422985,0
turbo,UK100-OTC,1782050760,10266.819135,10265.863545,10267.128565,10265.220715,0
turbo,UK100-OTC,1782050820,10265.289915,10263.603265,10265.833765,10262.516245,0
turbo,UK100-OTC,1782050880,10263.601615,10267.569195,10267.902835,10263.549905,0
turbo,UK100-OTC,1782050940,10267.740105,10267.725445,10269.750045,10264.191955,0
turbo,UK100-OTC,1782051000,10267.728755,10265.299315,10268.615895,10265.019335,0
turbo,UK100-OTC,1782051060,10265.324395,10266.641955,10267.859575,10263.025645,0
turbo,UK100-OTC,1782051120,10266.496975,10267.442515,10269.820405,10266.144885,0
turbo,UK100-OTC,1782051180,10267.624995,10269.850045,10270.294315,10266.708035,0
turbo,UK100-OTC,1782051240,10269.862195,10269.596055,10271.673525,10268.518445,0
turbo,UK100-OTC,1782051300,10269.821825,10267.971355,10270.645395,10267.971355,0
turbo,UK100-OTC,1782051360,10267.955045,10271.117785,10272.829075,10265.788515,0
turbo,UK100-OTC,1782051420,10271.156585,10270.504735,10272.100225,10268.739155,0
turbo,UK100-OTC,1782051480,10270.349765,10267.160905,10271.456095,10266.387735,0
turbo,UK100-OTC,1782051540,10266.990245,10269.002835,10270.960935,10266.864645,0
turbo,UK100-OTC,1782051600,10269.033615,10270.875335,10273.010455,10269.033615,0
turbo,UK100-OTC,1782051660,10270.381515,10274.020635,10274.065005,10269.745055,0
turbo,UK100-OTC,1782051720,10273.842095,10274.222215,10275.420755,10271.442925,0
turbo,UK100-OTC,1782051780,10274.235105,10272.540225,10277.113105,10272.145305,0
turbo,UK100-OTC,1782051840,10272.465245,10273.429265,10277.953945,10272.109245,0
turbo,UK100-OTC,1782051900,10273.824895,10271.461415,10274.711445,10269.053785,0
turbo,UK100-OTC,1782051960,10271.506105,10273.397005,10275.583465,10271.369025,0
turbo,UK100-OTC,1782052020,10273.473115,10270.332165,10273.802875,10270.332165,0
turbo,UK100-OTC,1782052080,10270.344095,10272.241585,10273.628765,10267.513285,0
turbo,UK100-OTC,1782052140,10272.199885,10275.271165,10276.432995,10271.388165,0
turbo,UK100-OTC,1782052200,10275.321345,10272.611775,10276.246115,10271.381995,0
turbo,UK100-OTC,1782052260,10272.710485,10273.900275,10274.475915,10271.609595,0
turbo,UK100-OTC,1782052320,10273.695235,10274.739635,10275.530195,10269.977485,0
turbo,UK100-OTC,1782052380,10274.981025,10276.212065,10276.559945,10272.889235,0
turbo,UK100-OTC,1782052440,10276.423585,10277.453425,10279.578405,10275.525035,0
turbo,UK100-OTC,1782052500,10277.477385,10278.820665,10280.777835,10277.477385,0
turbo,UK100-OTC,1782052560,10279.181975,10283.175005,10283.537095,10278.115365,0
turbo,UK100-OTC,1782052620,10283.117905,10283.603995,10284.183995,10281.789985,0
turbo,UK100-OTC,1782052680,10283.636425,10282.469495,10284.299195,10281.800375,0
turbo,UK100-OTC,1782052740,10282.652805,10281.706675,10284.783235,10281.564505,0
turbo,UK100-OTC,1782052800,10281.670035,10279.064605,10281.725175,10278.550915,0
turbo,UK100-OTC,1782052860,10278.978795,10271.366935,10280.004825,10271.064055,0
turbo,UK100-OTC,1782052920,10271.431065,10263.394585,10271.824645,10263.371815,0
turbo,UK100-OTC,1782052980,10263.440895,10258.794535,10263.440895,10257.640725,0
turbo,UK100-OTC,1782053040,10258.805105,10259.252045,10260.578825,10258.120565,0
turbo,UK100-OTC,1782053100,10260.038675,10263.267615,10264.555435,10259.521235,0
turbo,UK100-OTC,1782053160,10262.960435,10264.333635,10264.793475,10260.739875,0
turbo,UK100-OTC,1782053220,10264.240615,10270.369855,10271.283115,10264.109695,0
turbo,UK100-OTC,1782053280,10270.351475,10272.541565,10274.197365,10270.233315,0
turbo,UK100-OTC,1782053340,10272.566175,10279.359495,10279.436535,10271.763585,0
turbo,UK100-OTC,1782053400,10279.388265,10281.055255,10281.497535,10277.910375,0
turbo,UK100-OTC,1782053460,10280.971675,10278.129345,10281.125705,10277.774595,0
turbo,UK100-OTC,1782053520,10278.132045,10282.063635,10282.121755,10278.132045,0
turbo,UK100-OTC,1782053580,10282.016795,10278.209755,10282.436055,10277.780535,0
turbo,UK100-OTC,1782053640,10278.189115,10280.983675,10282.525505,10277.041615,0
turbo,UK100-OTC,1782053700,10281.141985,10281.696255,10283.613985,10280.700985,0
turbo,UK100-OTC,1782053760,10282.180065,10275.275415,10282.180065,10274.597145,0
turbo,UK100-OTC,1782053820,10275.360425,10279.529225,10280.247055,10273.637365,0
turbo,UK100-OTC,1782053880,10279.320265,10274.456625,10279.369305,10274.456625,0
turbo,UK100-OTC,1782053940,10275.165625,10275.491125,10278.680995,10274.548785,0
turbo,UK100-OTC,1782054000,10274.968975,10270.929035,10275.260035,10270.393615,0
turbo,UK100-OTC,1782054060,10270.980495,10277.477135,10277.641085,10270.491235,0
turbo,UK100-OTC,1782054120,10277.516585,10282.350295,10283.997785,10277.213795,0
turbo,UK100-OTC,1782054180,10282.345125,10285.047175,10286.902655,10282.345125,0
turbo,UK100-OTC,1782054240,10285.026905,10289.807465,10290.023325,10284.718765,0
turbo,UK100-OTC,1782054300,10289.790485,10291.309155,10291.309155,10287.477505,0
turbo,UK100-OTC,1782054360,10290.994755,10296.235025,10296.235025,10289.416785,0
turbo,UK100-OTC,1782054420,10296.054735,10294.590055,10296.180925,10290.855275,0
turbo,UK100-OTC,1782054480,10294.478315,10294.171525,10296.366895,10293.409325,0
turbo,UK100-OTC,1782054540,10294.217655,10291.533295,10294.569655,10290.483725,0
turbo,UK100-OTC,1782054600,10291.562365,10292.398435,10292.398435,10288.407265,0
turbo,UK100-OTC,1782054660,10292.346065,10293.760005,10293.760005,10291.142965,0
turbo,UK100-OTC,1782054720,10293.696755,10291.133985,10293.997035,10291.005695,0
turbo,UK100-OTC,1782054780,10291.115185,10292.421665,10292.963275,10288.936295,0
turbo,UK100-OTC,1782054840,10292.428625,10287.413735,10292.428625,10286.647645,0
turbo,UK100-OTC,1782054900,10287.349445,10286.856545,10287.902875,10284.555355,0
turbo,UK100-OTC,1782054960,10286.940785,10285.422095,10287.140455,10281.443515,0
turbo,UK100-OTC,1782055020,10285.400835,10283.396555,10287.111425,10282.351775,0
turbo,UK100-OTC,1782055080,10283.213995,10289.309005,10289.407105,10282.751555,0
turbo,UK100-OTC,1782055140,10289.211965,10286.142315,10290.372055,10285.466095,0
turbo,UK100-OTC,1782055200,10286.223455,10289.904835,10291.165475,10286.174695,0
turbo,UK100-OTC,1782055260,10289.961155,10286.171195,10291.084805,10285.774485,0
turbo,UK100-OTC,1782055320,10285.884895,10282.266645,10287.895875,10281.697835,0
turbo,UK100-OTC,1782055380,10281.824495,10280.586085,10282.596245,10279.193715,0
turbo,UK100-OTC,1782055440,10280.537225,10278.556975,10280.876085,10278.480275,0
turbo,UK100-OTC,1782055500,10278.653555,10283.583795,10283.583795,10278.030225,0
turbo,UK100-OTC,1782055560,10283.427015,10286.070375,10287.018555,10283.040085,0
turbo,UK100-OTC,1782055620,10285.442075,10283.861045,10286.058775,10282.923995,0
turbo,UK100-OTC,1782055680,10283.888095,10281.685195,10284.027195,10280.351645,0
turbo,UK100-OTC,1782055740,10282.180205,10282.426015,10284.560135,10281.936415,0
