tipo,activo,from,open,close,max,min,volume
turbo,USDCHF-OTC,1782036480,0.809865,0.809945,0.809955,0.809775,0
turbo,USDCHF-OTC,1782036540,0.809955,0.810315,0.810345,0.809955,0
turbo,USDCHF-OTC,1782036600,0.810295,0.810405,0.810445,0.810265,0
turbo,USDCHF-OTC,1782036660,0.810385,0.810325,0.810445,0.810255,0
turbo,USDCHF-OTC,1782036720,0.810335,0.810185,0.810355,0.810185,0
turbo,USDCHF-OTC,1782036780,0.810205,0.809945,0.810205,0.809945,0
turbo,USDCHF-OTC,1782036840,0.809955,0.809855,0.810045,0.809855,0
turbo,USDCHF-OTC,1782036900,0.809845,0.809805,0.809865,0.809665,0
turbo,USDCHF-OTC,1782036960,0.809795,0.809685,0.809835,0.809615,0
turbo,USDCHF-OTC,1782037020,0.809695,0.810025,0.810035,0.809685,0
turbo,USDCHF-OTC,1782037080,0.810035,0.809935,0.810065,0.809775,0
turbo,USDCHF-OTC,1782037140,0.809945,0.810245,0.810275,0.809855,0
turbo,USDCHF-OTC,1782037200,0.810215,0.810055,0.810225,0.810015,0
turbo,USDCHF-OTC,1782037260,0.810065,0.810175,0.810195,0.809975,0
turbo,USDCHF-OTC,1782037320,0.810185,0.809975,0.810225,0.809945,0
turbo,USDCHF-OTC,1782037380,0.809965,0.810015,0.810105,0.809935,0
turbo,USDCHF-OTC,1782037440,0.810005,0.809995,0.810045,0.809945,0
turbo,USDCHF-OTC,1782037500,0.810005,0.810215,0.810285,0.809975,0
turbo,USDCHF-OTC,1782037560,0.810225,0.810075,0.810225,0.809955,0
turbo,USDCHF-OTC,1782037620,0.810065,0.809935,0.810175,0.809905,0
turbo,USDCHF-OTC,1782037680,0.809945,0.809935,0.810005,0.809795,0
turbo,USDCHF-OTC,1782037740,0.809905,0.810015,0.810075,0.809895,0
turbo,USDCHF-OTC,1782037800,0.810025,0.809985,0.810145,0.809965,0
turbo,USDCHF-OTC,1782037860,0.809995,0.809795,0.810035,0.809695,0
turbo,USDCHF-OTC,1782037920,0.809785,0.809795,0.809855,0.809715,0
turbo,USDCHF-OTC,1782037980,0.809785,0.809605,0.809815,0.809605,0
turbo,USDCHF-OTC,1782038040,0.809595,0.809365,0.809665,0.809365,0
turbo,USDCHF-OTC,1782038100,0.809375,0.809335,0.809425,0.809295,0
turbo,USDCHF-OTC,1782038160,0.809345,0.809325,0.809365,0.809175,0
turbo,USDCHF-OTC,1782038220,0.809335,0.809265,0.809335,0.809085,0
turbo,USDCHF-OTC,1782038280,0.809255,0.809315,0.809315,0.809165,0
turbo,USDCHF-OTC,1782038340,0.809295,0.808995,0.809295,0.808885,0
turbo,USDCHF-OTC,1782038400,0.809005,0.808935,0.809055,0.808925,0
turbo,USDCHF-OTC,1782038460,0.808945,0.808925,0.808995,0.808845,0
turbo,USDCHF-OTC,1782038520,0.808905,0.808705,0.808925,0.808655,0
turbo,USDCHF-OTC,1782038580,0.808695,0.808435,0.808725,0.808435,0
turbo,USDCHF-OTC,1782038640,0.808405,0.808475,0.808485,0.808325,0
turbo,USDCHF-OTC,1782038700,0.808485,0.808135,0.808485,0.808135,0
turbo,USDCHF-OTC,1782038760,0.808165,0.807995,0.808195,0.807995,0
turbo,USDCHF-OTC,1782038820,0.808015,0.807915,0.808095,0.807875,0
turbo,USDCHF-OTC,1782038880,0.807905,0.807875,0.807935,0.807785,0
turbo,USDCHF-OTC,1782038940,0.807865,0.807605,0.807885,0.807565,0
turbo,USDCHF-OTC,1782039000,0.807595,0.807705,0.807705,0.807525,0
turbo,USDCHF-OTC,1782039060,0.807715,0.807805,0.807875,0.807655,0
turbo,USDCHF-OTC,1782039120,0.807815,0.808045,0.808105,0.807815,0
turbo,USDCHF-OTC,1782039180,0.808055,0.808125,0.808155,0.808025,0
turbo,USDCHF-OTC,1782039240,0.808135,0.808215,0.808265,0.808085,0
turbo,USDCHF-OTC,1782039300,0.808205,0.808025,0.808205,0.807925,0
turbo,USDCHF-OTC,1782039360,0.808045,0.807815,0.808125,0.807755,0
turbo,USDCHF-OTC,1782039420,0.807805,0.807825,0.807885,0.807725,0
