tipo,activo,from,open,close,max,min,volume
turbo,USDDOP-OTC,1782036540,58.15615,58.18415,58.18415,58.14975,0
turbo,USDDOP-OTC,1782036600,58.18445,58.16495,58.18455,58.14565,0
turbo,USDDOP-OTC,1782036660,58.16705,58.15475,58.17155,58.14855,0
turbo,USDDOP-OTC,1782036720,58.15415,58.16595,58.18045,58.14755,0
turbo,USDDOP-OTC,1782036780,58.16645,58.17755,58.18935,58.14815,0
turbo,USDDOP-OTC,1782036840,58.17925,58.17655,58.20505,58.16655,0
turbo,USDDOP-OTC,1782036900,58.17475,58.18215,58.18785,58.16605,0
turbo,USDDOP-OTC,1782036960,58.18075,58.21745,58.22275,58.17895,0
turbo,USDDOP-OTC,1782037020,58.21575,58.18295,58.22095,58.17685,0
turbo,USDDOP-OTC,1782037080,58.18405,58.15825,58.18515,58.14265,0
turbo,USDDOP-OTC,1782037140,58.16005,58.16635,58.18055,58.15865,0
turbo,USDDOP-OTC,1782037200,58.16825,58.18085,58.19875,58.16505,0
turbo,USDDOP-OTC,1782037260,58.18015,58.17865,58.21425,58.17835,0
turbo,USDDOP-OTC,1782037320,58.17675,58.15125,58.17905,58.14075,0
turbo,USDDOP-OTC,1782037380,58.15345,58.17415,58.17415,58.15105,0
turbo,USDDOP-OTC,1782037440,58.17595,58.20985,58.22015,58.16515,0
turbo,USDDOP-OTC,1782037500,58.20895,58.20985,58.21425,58.19325,0
turbo,USDDOP-OTC,1782037560,58.20845,58.23295,58.24885,58.20845,0
turbo,USDDOP-OTC,1782037620,58.23155,58.18435,58.23335,58.18035,0
turbo,USDDOP-OTC,1782037680,58.18635,58.19295,58.20445,58.18135,0
turbo,USDDOP-OTC,1782037740,58.19165,58.18605,58.20135,58.17675,0
turbo,USDDOP-OTC,1782037800,58.18475,58.22685,58.24995,58.17755,0
turbo,USDDOP-OTC,1782037860,58.22995,58.26265,58.26575,58.22635,0
turbo,USDDOP-OTC,1782037920,58.26345,58.25775,58.28445,58.25455,0
turbo,USDDOP-OTC,1782037980,58.25605,58.26925,58.28385,58.25415,0
turbo,USDDOP-OTC,1782038040,58.27165,58.27625,58.30565,58.26875,0
turbo,USDDOP-OTC,1782038100,58.27495,58.30255,58.30455,58.26045,0
turbo,USDDOP-OTC,1782038160,58.30335,58.29045,58.33355,58.29045,0
turbo,USDDOP-OTC,1782038220,58.29235,58.30105,58.30825,58.28855,0
turbo,USDDOP-OTC,1782038280,58.30425,58.27385,58.30425,58.26165,0
turbo,USDDOP-OTC,1782038340,58.27245,58.26725,58.28025,58.25815,0
turbo,USDDOP-OTC,1782038400,58.26595,58.25385,58.26875,58.24395,0
turbo,USDDOP-OTC,1782038460,58.25565,58.26955,58.28125,58.25485,0
turbo,USDDOP-OTC,1782038520,58.26815,58.21685,58.27305,58.21035,0
turbo,USDDOP-OTC,1782038580,58.21475,58.22155,58.22155,58.19935,0
turbo,USDDOP-OTC,1782038640,58.21995,58.17205,58.21995,58.16055,0
turbo,USDDOP-OTC,1782038700,58.17405,58.15865,58.17965,58.13985,0
turbo,USDDOP-OTC,1782038760,58.16095,58.14925,58.16945,58.14495,0
turbo,USDDOP-OTC,1782038820,58.14785,58.11925,58.15225,58.11065,0
turbo,USDDOP-OTC,1782038880,58.11765,58.16375,58.17135,58.11525,0
turbo,USDDOP-OTC,1782038940,58.16285,58.18265,58.18295,58.14225,0
turbo,USDDOP-OTC,1782039000,58.18045,58.19705,58.21865,58.17935,0
turbo,USDDOP-OTC,1782039060,58.19845,58.20235,58.21315,58.17595,0
turbo,USDDOP-OTC,1782039120,58.20245,58.24285,58.24445,58.20245,0
turbo,USDDOP-OTC,1782039180,58.24565,58.26275,58.26445,58.23745,0
turbo,USDDOP-OTC,1782039240,58.26145,58.26545,58.28545,58.25395,0
turbo,USDDOP-OTC,1782039300,58.26415,58.25825,58.27215,58.24725,0
turbo,USDDOP-OTC,1782039360,58.26025,58.28415,58.29285,58.26025,0
turbo,USDDOP-OTC,1782039420,58.28295,58.23745,58.28575,58.23285,0
turbo,USDDOP-OTC,1782039480,58.23525,58.22985,58.24605,58.21495,0
turbo,USDDOP-OTC,1782039540,58.22775,58.21165,58.22775,58.19965,0
turbo,USDDOP-OTC,1782039600,58.21095,58.21805,58.22985,58.20775,0
turbo,USDDOP-OTC,1782039660,58.22045,58.20965,58.22325,58.19155,0
turbo,USDDOP-OTC,1782039720,58.21115,58.21185,58.24335,58.21115,0
turbo,USDDOP-OTC,1782039780,58.21335,58.20745,58.21855,58.20175,0
turbo,USDDOP-OTC,1782039840,58.20705,58.22455,58.22455,58.19435,0
turbo,USDDOP-OTC,1782039900,58.22415,58.24615,58.25685,58.22335,0
turbo,USDDOP-OTC,1782039960,58.24705,58.19695,58.24705,58.18925,0
turbo,USDDOP-OTC,1782040020,58.19785,58.18965,58.20625,58.18855,0
turbo,USDDOP-OTC,1782040080,58.18925,58.17075,58.19735,58.16535,0
turbo,USDDOP-OTC,1782040140,58.16965,58.18935,58.20025,58.16565,0
turbo,USDDOP-OTC,1782040200,58.19005,58.13845,58.19955,58.13375,0
turbo,USDDOP-OTC,1782040260,58.13565,58.16865,58.16865,58.13505,0
turbo,USDDOP-OTC,1782040320,58.16555,58.17745,58.18305,58.14565,0
turbo,USDDOP-OTC,1782040380,58.17845,58.16445,58.19675,58.16345,0
turbo,USDDOP-OTC,1782040440,58.16745,58.15295,58.17975,58.13565,0
turbo,USDDOP-OTC,1782040500,58.15445,58.13945,58.16925,58.13945,0
turbo,USDDOP-OTC,1782040560,58.14295,58.15365,58.16205,58.13305,0
turbo,USDDOP-OTC,1782040620,58.15465,58.10835,58.15705,58.10555,0
turbo,USDDOP-OTC,1782040680,58.10535,58.10395,58.12335,58.09415,0
