tipo,activo,from,open,close,max,min,volume
turbo,USDSAR-OTC,1782036300,3.748185,3.748245,3.748285,3.748165,0
turbo,USDSAR-OTC,1782036360,3.748255,3.748205,3.748265,3.748185,0
turbo,USDSAR-OTC,1782036420,3.748195,3.748215,3.748255,3.748155,0
turbo,USDSAR-OTC,1782036480,3.748205,3.748335,3.748375,3.748205,0
turbo,USDSAR-OTC,1782036540,3.748335,3.748195,3.748345,3.748155,0
turbo,USDSAR-OTC,1782036600,3.748185,3.748185,3.748215,3.748115,0
turbo,USDSAR-OTC,1782036660,3.748185,3.748165,3.748295,3.748165,0
turbo,USDSAR-OTC,1782036720,3.748155,3.748165,3.748245,3.748145,0
turbo,USDSAR-OTC,1782036780,3.748155,3.748175,3.748215,3.748085,0
turbo,USDSAR-OTC,1782036840,3.748195,3.748235,3.748245,3.748185,0
turbo,USDSAR-OTC,1782036900,3.748245,3.748345,3.748395,3.748235,0
turbo,USDSAR-OTC,1782036960,3.748345,3.748225,3.748355,3.748195,0
turbo,USDSAR-OTC,1782037020,3.748215,3.748375,3.748375,3.748205,0
turbo,USDSAR-OTC,1782037080,3.748365,3.748395,3.748415,3.748295,0
turbo,USDSAR-OTC,1782037140,3.748385,3.748345,3.748415,3.748325,0
turbo,USDSAR-OTC,1782037200,3.748355,3.748325,3.748395,3.748255,0
turbo,USDSAR-OTC,1782037260,3.748315,3.748365,3.748375,3.748285,0
turbo,USDSAR-OTC,1782037320,3.748375,3.748325,3.748415,3.748315,0
turbo,USDSAR-OTC,1782037380,3.748325,3.748325,3.748375,3.748305,0
turbo,USDSAR-OTC,1782037440,3.748345,3.748275,3.748355,3.748255,0
turbo,USDSAR-OTC,1782037500,3.748285,3.748325,3.748375,3.748265,0
turbo,USDSAR-OTC,1782037560,3.748325,3.748305,3.748385,3.748305,0
turbo,USDSAR-OTC,1782037620,3.748315,3.748255,3.748375,3.748255,0
turbo,USDSAR-OTC,1782037680,3.748245,3.748275,3.748285,3.748205,0
turbo,USDSAR-OTC,1782037740,3.748285,3.748235,3.748295,3.748185,0
turbo,USDSAR-OTC,1782037800,3.748245,3.748185,3.748245,3.748155,0
turbo,USDSAR-OTC,1782037860,3.748165,3.748235,3.748245,3.748165,0
turbo,USDSAR-OTC,1782037920,3.748235,3.748215,3.748245,3.748205,0
turbo,USDSAR-OTC,1782037980,3.748205,3.748165,3.748235,3.748095,0
turbo,USDSAR-OTC,1782038040,3.748175,3.748255,3.748275,3.748165,0
turbo,USDSAR-OTC,1782038100,3.748245,3.748185,3.748285,3.748175,0
turbo,USDSAR-OTC,1782038160,3.748175,3.748185,3.748235,3.748145,0
turbo,USDSAR-OTC,1782038220,3.748175,3.748095,3.748215,3.748075,0
turbo,USDSAR-OTC,1782038280,3.748085,3.748195,3.748225,3.748075,0
