tipo,activo,from,open,close,max,min,volume
turbo,USDSEK-OTC,1782913680,9.426795,9.422555,9.432485,9.417175,0
turbo,USDSEK-OTC,1782913740,9.422775,9.423685,9.430995,9.419195,0
turbo,USDSEK-OTC,1782913800,9.422805,9.415305,9.423295,9.413775,0
turbo,USDSEK-OTC,1782913860,9.414735,9.428385,9.432655,9.413085,0
turbo,USDSEK-OTC,1782913920,9.428905,9.431415,9.435545,9.424115,0
turbo,USDSEK-OTC,1782913980,9.432335,9.430625,9.437405,9.427955,0
turbo,USDSEK-OTC,1782914040,9.429985,9.428575,9.438665,9.424635,0
turbo,USDSEK-OTC,1782914100,9.428165,9.422945,9.440185,9.422945,0
turbo,USDSEK-OTC,1782914160,9.422065,9.415555,9.423965,9.413885,0
turbo,USDSEK-OTC,1782914220,9.414705,9.424855,9.426245,9.414295,0
turbo,USDSEK-OTC,1782914280,9.424025,9.425085,9.428775,9.420905,0
turbo,USDSEK-OTC,1782914340,9.424855,9.409025,9.425395,9.407965,0
turbo,USDSEK-OTC,1782914400,9.409425,9.401735,9.411615,9.398945,0
turbo,USDSEK-OTC,1782914460,9.402555,9.398205,9.406355,9.398205,0
turbo,USDSEK-OTC,1782914520,9.399435,9.392965,9.404085,9.387745,0
turbo,USDSEK-OTC,1782914580,9.393295,9.388815,9.404105,9.388815,0
turbo,USDSEK-OTC,1782914640,9.388505,9.375075,9.388505,9.372485,0
turbo,USDSEK-OTC,1782914700,9.375375,9.380685,9.381555,9.369965,0
turbo,USDSEK-OTC,1782914760,9.381395,9.372185,9.385085,9.371625,0
turbo,USDSEK-OTC,1782914820,9.372365,9.388815,9.392475,9.371635,0
turbo,USDSEK-OTC,1782914880,9.388195,9.389725,9.391565,9.378555,0
turbo,USDSEK-OTC,1782914940,9.388965,9.379045,9.389395,9.379045,0
turbo,USDSEK-OTC,1782915000,9.379655,9.377895,9.382625,9.373995,0
turbo,USDSEK-OTC,1782915060,9.376985,9.363275,9.377165,9.363275,0
turbo,USDSEK-OTC,1782915120,9.362855,9.356505,9.364365,9.353125,0
turbo,USDSEK-OTC,1782915180,9.356875,9.354885,9.360905,9.351975,0
turbo,USDSEK-OTC,1782915240,9.355515,9.371115,9.374745,9.355275,0
turbo,USDSEK-OTC,1782915300,9.370705,9.368035,9.376535,9.364405,0
turbo,USDSEK-OTC,1782915360,9.368495,9.369395,9.377475,9.362845,0
turbo,USDSEK-OTC,1782915420,9.369835,9.378805,9.380945,9.365895,0
turbo,USDSEK-OTC,1782915480,9.378405,9.391265,9.392155,9.378405,0
turbo,USDSEK-OTC,1782915540,9.392065,9.398655,9.401775,9.382435,0
turbo,USDSEK-OTC,1782915600,9.398285,9.397475,9.404375,9.393525,0
turbo,USDSEK-OTC,1782915660,9.396075,9.400285,9.407205,9.394475,0
turbo,USDSEK-OTC,1782915720,9.401905,9.402485,9.406425,9.396385,0
turbo,USDSEK-OTC,1782915780,9.402335,9.402885,9.408185,9.393145,0
turbo,USDSEK-OTC,1782915840,9.403375,9.402835,9.409795,9.399245,0
turbo,USDSEK-OTC,1782915900,9.402225,9.401615,9.407665,9.388805,0
turbo,USDSEK-OTC,1782915960,9.402435,9.401875,9.405375,9.397735,0
turbo,USDSEK-OTC,1782916020,9.402355,9.385635,9.404835,9.384125,0
turbo,USDSEK-OTC,1782916080,9.386555,9.375325,9.388025,9.373805,0
