tipo,activo,from,open,close,max,min,volume
turbo,USDSGD-OTC,1784565120,1.308105,1.309345,1.309485,1.307845,0
turbo,USDSGD-OTC,1784565180,1.309295,1.307295,1.309485,1.307095,0
turbo,USDSGD-OTC,1784565240,1.307215,1.305655,1.307815,1.305525,0
turbo,USDSGD-OTC,1784565300,1.305595,1.306565,1.307625,1.305595,0
turbo,USDSGD-OTC,1784565360,1.306595,1.307675,1.307705,1.306495,0
turbo,USDSGD-OTC,1784565420,1.307615,1.308065,1.308795,1.307375,0
turbo,USDSGD-OTC,1784565480,1.308125,1.307165,1.308265,1.306575,0
turbo,USDSGD-OTC,1784565540,1.307145,1.306865,1.307835,1.306385,0
turbo,USDSGD-OTC,1784565600,1.306765,1.305185,1.307065,1.305125,0
turbo,USDSGD-OTC,1784565660,1.305125,1.304025,1.305275,1.303635,0
turbo,USDSGD-OTC,1784565720,1.303925,1.302925,1.304575,1.302585,0
turbo,USDSGD-OTC,1784565780,1.302895,1.301615,1.303365,1.300315,0
turbo,USDSGD-OTC,1784565840,1.301515,1.300615,1.302815,1.299755,0
turbo,USDSGD-OTC,1784565900,1.300545,1.299315,1.301025,1.298835,0
turbo,USDSGD-OTC,1784565960,1.299345,1.299955,1.300605,1.298975,0
turbo,USDSGD-OTC,1784566020,1.299985,1.299965,1.300895,1.299565,0
turbo,USDSGD-OTC,1784566080,1.299945,1.297665,1.299945,1.296715,0
turbo,USDSGD-OTC,1784566140,1.297545,1.296265,1.297895,1.296215,0
turbo,USDSGD-OTC,1784566200,1.296365,1.296635,1.297565,1.296365,0
turbo,USDSGD-OTC,1784566260,1.296645,1.295095,1.296645,1.294955,0
turbo,USDSGD-OTC,1784566320,1.295115,1.294455,1.295275,1.293915,0
turbo,USDSGD-OTC,1784566380,1.294335,1.294375,1.295315,1.294265,0
turbo,USDSGD-OTC,1784566440,1.294395,1.294335,1.295895,1.294005,0
turbo,USDSGD-OTC,1784566500,1.294215,1.296135,1.296275,1.293875,0
turbo,USDSGD-OTC,1784566560,1.296035,1.295215,1.296185,1.294415,0
turbo,USDSGD-OTC,1784566620,1.295135,1.292445,1.295135,1.292325,0
turbo,USDSGD-OTC,1784566680,1.292495,1.293735,1.293835,1.292065,0
turbo,USDSGD-OTC,1784566740,1.293675,1.295665,1.296265,1.293425,0
turbo,USDSGD-OTC,1784566800,1.295645,1.294155,1.296715,1.294155,0
turbo,USDSGD-OTC,1784566860,1.294085,1.294045,1.295105,1.293795,0
turbo,USDSGD-OTC,1784566920,1.294145,1.295115,1.295885,1.293725,0
turbo,USDSGD-OTC,1784566980,1.295155,1.296055,1.296875,1.294865,0
turbo,USDSGD-OTC,1784567040,1.295915,1.296075,1.296895,1.295355,0
turbo,USDSGD-OTC,1784567100,1.296045,1.295655,1.296295,1.295275,0
turbo,USDSGD-OTC,1784567160,1.295505,1.293955,1.295785,1.293925,0
turbo,USDSGD-OTC,1784567220,1.294025,1.293715,1.294795,1.293275,0
turbo,USDSGD-OTC,1784567280,1.293785,1.291615,1.294165,1.291465,0
turbo,USDSGD-OTC,1784567340,1.291645,1.291565,1.292065,1.290975,0
turbo,USDSGD-OTC,1784567400,1.291625,1.293295,1.293745,1.291045,0
turbo,USDSGD-OTC,1784567460,1.293355,1.294105,1.294325,1.293185,0
turbo,USDSGD-OTC,1784567520,1.294055,1.292995,1.294565,1.292995,0
turbo,USDSGD-OTC,1784567580,1.292885,1.293275,1.293485,1.292025,0
turbo,USDSGD-OTC,1784567640,1.293325,1.291935,1.293605,1.291295,0
turbo,USDSGD-OTC,1784567700,1.292035,1.291715,1.293545,1.291655,0
turbo,USDSGD-OTC,1784567760,1.291625,1.290705,1.291925,1.290365,0
turbo,USDSGD-OTC,1784567820,1.290685,1.292165,1.292445,1.290565,0
turbo,USDSGD-OTC,1784567880,1.292185,1.291145,1.292915,1.290775,0
turbo,USDSGD-OTC,1784567940,1.291185,1.292845,1.293255,1.290925,0
turbo,USDSGD-OTC,1784568000,1.292735,1.293225,1.293835,1.292495,0
turbo,USDSGD-OTC,1784568060,1.293175,1.293835,1.293895,1.292385,0
turbo,USDSGD-OTC,1784568120,1.293815,1.293725,1.294445,1.293255,0
turbo,USDSGD-OTC,1784568180,1.293665,1.293735,1.294045,1.292895,0
turbo,USDSGD-OTC,1784568240,1.293845,1.293125,1.294005,1.292415,0
turbo,USDSGD-OTC,1784568300,1.293185,1.295015,1.295355,1.292865,0
turbo,USDSGD-OTC,1784568360,1.295145,1.296455,1.296545,1.294175,0
turbo,USDSGD-OTC,1784568420,1.296475,1.296635,1.297075,1.295605,0
turbo,USDSGD-OTC,1784568480,1.296535,1.295555,1.296775,1.295475,0
turbo,USDSGD-OTC,1784568540,1.295505,1.296815,1.296945,1.295025,0
turbo,USDSGD-OTC,1784568600,1.296655,1.297255,1.297255,1.295955,0
turbo,USDSGD-OTC,1784568660,1.297325,1.297265,1.298075,1.296525,0
turbo,USDSGD-OTC,1784568720,1.297245,1.296025,1.297455,1.295845,0
turbo,USDSGD-OTC,1784568780,1.295985,1.296235,1.297125,1.295985,0
turbo,USDSGD-OTC,1784568840,1.296175,1.295475,1.296675,1.295115,0
turbo,USDSGD-OTC,1784568900,1.295525,1.294325,1.295825,1.294165,0
turbo,USDSGD-OTC,1784568960,1.294265,1.294215,1.295235,1.293995,0
turbo,USDSGD-OTC,1784569020,1.294155,1.293505,1.294815,1.292945,0
turbo,USDSGD-OTC,1784569080,1.293365,1.292535,1.293525,1.292355,0
turbo,USDSGD-OTC,1784569140,1.292675,1.293245,1.293765,1.292545,0
turbo,USDSGD-OTC,1784569200,1.293185,1.292905,1.293885,1.292665,0
turbo,USDSGD-OTC,1784569260,1.293085,1.294455,1.294465,1.293005,0
turbo,USDSGD-OTC,1784569320,1.294385,1.295095,1.295655,1.294215,0
turbo,USDSGD-OTC,1784569380,1.294985,1.295565,1.296595,1.294985,0
turbo,USDSGD-OTC,1784569440,1.295495,1.293475,1.295975,1.293275,0
turbo,USDSGD-OTC,1784569500,1.293585,1.296285,1.296705,1.293525,0
turbo,USDSGD-OTC,1784569560,1.296185,1.296805,1.296935,1.295155,0
turbo,USDSGD-OTC,1784569620,1.296745,1.297925,1.298855,1.296615,0
turbo,USDSGD-OTC,1784569680,1.297825,1.298745,1.298825,1.297825,0
turbo,USDSGD-OTC,1784569740,1.298815,1.299445,1.299505,1.297855,0
turbo,USDSGD-OTC,1784569800,1.299455,1.297235,1.299945,1.297155,0
turbo,USDSGD-OTC,1784569860,1.297295,1.298315,1.298445,1.296705,0
turbo,USDSGD-OTC,1784569920,1.298385,1.299655,1.299845,1.298305,0
turbo,USDSGD-OTC,1784569980,1.299635,1.301635,1.301905,1.299385,0
turbo,USDSGD-OTC,1784570040,1.301665,1.302455,1.302955,1.301575,0
turbo,USDSGD-OTC,1784570100,1.302415,1.300585,1.303105,1.300505,0
turbo,USDSGD-OTC,1784570160,1.300655,1.299545,1.301685,1.299545,0
turbo,USDSGD-OTC,1784570220,1.299495,1.300425,1.301095,1.299475,0
turbo,USDSGD-OTC,1784570280,1.300375,1.299365,1.301035,1.299285,0
turbo,USDSGD-OTC,1784570340,1.299335,1.299365,1.299605,1.298405,0
turbo,USDSGD-OTC,1784570400,1.299335,1.299035,1.299755,1.298255,0
turbo,USDSGD-OTC,1784570460,1.299015,1.299235,1.300205,1.299015,0
turbo,USDSGD-OTC,1784570520,1.299055,1.299535,1.299765,1.298605,0
turbo,USDSGD-OTC,1784570580,1.299615,1.298565,1.300175,1.298265,0
turbo,USDSGD-OTC,1784570640,1.298665,1.299265,1.299875,1.298405,0
turbo,USDSGD-OTC,1784570700,1.299325,1.300475,1.300835,1.298845,0
turbo,USDSGD-OTC,1784570760,1.300385,1.300115,1.300565,1.298805,0
turbo,USDSGD-OTC,1784570820,1.300305,1.299685,1.300755,1.299245,0
turbo,USDSGD-OTC,1784570880,1.299665,1.298085,1.299665,1.297525,0
turbo,USDSGD-OTC,1784570940,1.298165,1.297295,1.298725,1.296975,0
turbo,USDSGD-OTC,1784571000,1.297215,1.299125,1.299305,1.297155,0
turbo,USDSGD-OTC,1784571060,1.299155,1.299945,1.300405,1.298905,0
turbo,USDSGD-OTC,1784571120,1.299915,1.299835,1.300755,1.299675,0
turbo,USDSGD-OTC,1784571180,1.299745,1.298485,1.300445,1.298175,0
turbo,USDSGD-OTC,1784571240,1.298405,1.297985,1.299175,1.297975,0
turbo,USDSGD-OTC,1784571300,1.297845,1.297035,1.297845,1.296175,0
