tipo,activo,from,open,close,max,min,volume
turbo,USDTHB-OTC,1784565120,33.296315,33.289905,33.299475,33.283735,0
turbo,USDTHB-OTC,1784565180,33.289835,33.274775,33.290155,33.272355,0
turbo,USDTHB-OTC,1784565240,33.275785,33.271575,33.276225,33.268585,0
turbo,USDTHB-OTC,1784565300,33.272075,33.273635,33.282045,33.267715,0
turbo,USDTHB-OTC,1784565360,33.273125,33.252055,33.278205,33.248855,0
turbo,USDTHB-OTC,1784565420,33.251555,33.275335,33.275835,33.250765,0
turbo,USDTHB-OTC,1784565480,33.275325,33.251035,33.275325,33.250135,0
turbo,USDTHB-OTC,1784565540,33.252015,33.261915,33.271625,33.245255,0
turbo,USDTHB-OTC,1784565600,33.261405,33.276235,33.276665,33.258875,0
turbo,USDTHB-OTC,1784565660,33.276815,33.277865,33.278755,33.267925,0
turbo,USDTHB-OTC,1784565720,33.276745,33.285205,33.285605,33.271595,0
turbo,USDTHB-OTC,1784565780,33.286235,33.285375,33.289955,33.278885,0
turbo,USDTHB-OTC,1784565840,33.284855,33.275565,33.296935,33.274095,0
turbo,USDTHB-OTC,1784565900,33.276125,33.271745,33.277535,33.261865,0
turbo,USDTHB-OTC,1784565960,33.271635,33.283565,33.291985,33.271625,0
turbo,USDTHB-OTC,1784566020,33.284035,33.272785,33.285865,33.267935,0
turbo,USDTHB-OTC,1784566080,33.272905,33.251465,33.281215,33.251465,0
turbo,USDTHB-OTC,1784566140,33.251975,33.260325,33.260325,33.245405,0
turbo,USDTHB-OTC,1784566200,33.260825,33.264305,33.264965,33.249835,0
turbo,USDTHB-OTC,1784566260,33.264815,33.267385,33.275535,33.258755,0
turbo,USDTHB-OTC,1784566320,33.267375,33.263075,33.267675,33.254865,0
turbo,USDTHB-OTC,1784566380,33.263115,33.272045,33.277765,33.263115,0
turbo,USDTHB-OTC,1784566440,33.271955,33.261065,33.276365,33.259835,0
turbo,USDTHB-OTC,1784566500,33.260575,33.250755,33.260745,33.247625,0
turbo,USDTHB-OTC,1784566560,33.250185,33.266425,33.266975,33.250185,0
turbo,USDTHB-OTC,1784566620,33.268595,33.285755,33.286925,33.267105,0
turbo,USDTHB-OTC,1784566680,33.285845,33.286775,33.287265,33.276865,0
turbo,USDTHB-OTC,1784566740,33.288205,33.267435,33.288205,33.262415,0
turbo,USDTHB-OTC,1784566800,33.267405,33.274225,33.275965,33.262515,0
turbo,USDTHB-OTC,1784566860,33.275095,33.269295,33.276135,33.267015,0
turbo,USDTHB-OTC,1784566920,33.269335,33.262365,33.276705,33.260245,0
turbo,USDTHB-OTC,1784566980,33.262385,33.259095,33.263905,33.249585,0
turbo,USDTHB-OTC,1784567040,33.258625,33.257975,33.260425,33.235515,0
turbo,USDTHB-OTC,1784567100,33.258105,33.247455,33.262415,33.247405,0
turbo,USDTHB-OTC,1784567160,33.247305,33.262515,33.262515,33.238395,0
turbo,USDTHB-OTC,1784567220,33.262915,33.255115,33.265105,33.247505,0
turbo,USDTHB-OTC,1784567280,33.255285,33.245025,33.256815,33.244735,0
turbo,USDTHB-OTC,1784567340,33.246535,33.227005,33.252075,33.227005,0
turbo,USDTHB-OTC,1784567400,33.227145,33.215765,33.232845,33.214425,0
turbo,USDTHB-OTC,1784567460,33.215245,33.203275,33.219645,33.202855,0
turbo,USDTHB-OTC,1784567520,33.203745,33.205775,33.211195,33.199445,0
turbo,USDTHB-OTC,1784567580,33.206245,33.196705,33.209575,33.195405,0
turbo,USDTHB-OTC,1784567640,33.195715,33.205525,33.208975,33.188595,0
turbo,USDTHB-OTC,1784567700,33.205675,33.226295,33.230125,33.205595,0
turbo,USDTHB-OTC,1784567760,33.226705,33.216215,33.230795,33.211825,0
turbo,USDTHB-OTC,1784567820,33.215305,33.207665,33.218395,33.201605,0
turbo,USDTHB-OTC,1784567880,33.207735,33.219835,33.221745,33.205045,0
turbo,USDTHB-OTC,1784567940,33.219205,33.224205,33.229315,33.213915,0
turbo,USDTHB-OTC,1784568000,33.224645,33.218765,33.225065,33.212355,0
turbo,USDTHB-OTC,1784568060,33.218255,33.206255,33.223435,33.205015,0
turbo,USDTHB-OTC,1784568120,33.206345,33.200135,33.211705,33.198195,0
turbo,USDTHB-OTC,1784568180,33.200635,33.201775,33.203515,33.191905,0
turbo,USDTHB-OTC,1784568240,33.201685,33.204255,33.208975,33.192425,0
turbo,USDTHB-OTC,1784568300,33.204205,33.206545,33.209245,33.197415,0
turbo,USDTHB-OTC,1784568360,33.205945,33.189255,33.206535,33.185835,0
turbo,USDTHB-OTC,1784568420,33.189245,33.193315,33.198105,33.178365,0
turbo,USDTHB-OTC,1784568480,33.194325,33.187075,33.196605,33.183425,0
turbo,USDTHB-OTC,1784568540,33.187055,33.188695,33.191395,33.181865,0
turbo,USDTHB-OTC,1784568600,33.189785,33.197415,33.199875,33.188805,0
turbo,USDTHB-OTC,1784568660,33.197445,33.205645,33.206755,33.196545,0
turbo,USDTHB-OTC,1784568720,33.206165,33.205295,33.212845,33.202245,0
turbo,USDTHB-OTC,1784568780,33.205285,33.210385,33.211825,33.200425,0
