tipo,activo,from,open,close,max,min,volume
turbo,USDTRY-OTC,1782036480,46.416885,46.425455,46.426375,46.416585,0
turbo,USDTRY-OTC,1782036540,46.425245,46.423975,46.426905,46.422395,0
turbo,USDTRY-OTC,1782036600,46.424165,46.421175,46.428255,46.421175,0
turbo,USDTRY-OTC,1782036660,46.420995,46.424535,46.424535,46.419695,0
turbo,USDTRY-OTC,1782036720,46.424805,46.428995,46.430085,46.424795,0
turbo,USDTRY-OTC,1782036780,46.428795,46.429455,46.431525,46.427095,0
turbo,USDTRY-OTC,1782036840,46.429645,46.431695,46.433165,46.429265,0
turbo,USDTRY-OTC,1782036900,46.431485,46.433595,46.434735,46.430925,0
turbo,USDTRY-OTC,1782036960,46.433395,46.430545,46.433855,46.428635,0
turbo,USDTRY-OTC,1782037020,46.430735,46.442835,46.443225,46.430335,0
turbo,USDTRY-OTC,1782037080,46.443025,46.444945,46.445105,46.441195,0
turbo,USDTRY-OTC,1782037140,46.444755,46.445605,46.446475,46.441305,0
turbo,USDTRY-OTC,1782037200,46.445795,46.447505,46.451955,46.445795,0
turbo,USDTRY-OTC,1782037260,46.447705,46.452045,46.453015,46.446285,0
turbo,USDTRY-OTC,1782037320,46.451845,46.443745,46.452905,46.443745,0
turbo,USDTRY-OTC,1782037380,46.443945,46.450745,46.451165,46.443945,0
turbo,USDTRY-OTC,1782037440,46.450935,46.450165,46.452595,46.448445,0
turbo,USDTRY-OTC,1782037500,46.450375,46.449255,46.451835,46.448265,0
turbo,USDTRY-OTC,1782037560,46.449435,46.449245,46.453845,46.449245,0
turbo,USDTRY-OTC,1782037620,46.449455,46.450895,46.452365,46.449065,0
turbo,USDTRY-OTC,1782037680,46.451085,46.451535,46.453965,46.448955,0
turbo,USDTRY-OTC,1782037740,46.451345,46.453775,46.457615,46.450885,0
turbo,USDTRY-OTC,1782037800,46.453565,46.449865,46.453955,46.447885,0
turbo,USDTRY-OTC,1782037860,46.450075,46.447745,46.450555,46.446075,0
turbo,USDTRY-OTC,1782037920,46.447555,46.453905,46.454095,46.447025,0
turbo,USDTRY-OTC,1782037980,46.454105,46.452785,46.456535,46.452785,0
turbo,USDTRY-OTC,1782038040,46.452985,46.454815,46.456005,46.451685,0
turbo,USDTRY-OTC,1782038100,46.454605,46.457025,46.459805,46.453975,0
turbo,USDTRY-OTC,1782038160,46.457235,46.459475,46.460485,46.456215,0
turbo,USDTRY-OTC,1782038220,46.459675,46.462025,46.462025,46.457315,0
turbo,USDTRY-OTC,1782038280,46.462215,46.459425,46.462215,46.458725,0
turbo,USDTRY-OTC,1782038340,46.459615,46.460595,46.461175,46.458635,0
turbo,USDTRY-OTC,1782038400,46.460385,46.462405,46.463495,46.458405,0
turbo,USDTRY-OTC,1782038460,46.462845,46.462095,46.465995,46.461035,0
turbo,USDTRY-OTC,1782038520,46.461905,46.458965,46.463215,46.457475,0
turbo,USDTRY-OTC,1782038580,46.459165,46.460205,46.464035,46.457715,0
turbo,USDTRY-OTC,1782038640,46.460385,46.460565,46.462235,46.458235,0
turbo,USDTRY-OTC,1782038700,46.460765,46.460675,46.461335,46.456515,0
turbo,USDTRY-OTC,1782038760,46.460385,46.460835,46.462365,46.459455,0
turbo,USDTRY-OTC,1782038820,46.460645,46.456795,46.460645,46.455295,0
turbo,USDTRY-OTC,1782038880,46.456585,46.458635,46.460275,46.454585,0
turbo,USDTRY-OTC,1782038940,46.458425,46.460035,46.460465,46.455365,0
turbo,USDTRY-OTC,1782039000,46.459835,46.461185,46.464315,46.459625,0
turbo,USDTRY-OTC,1782039060,46.461385,46.454965,46.461385,46.454965,0
turbo,USDTRY-OTC,1782039120,46.455165,46.461425,46.461425,46.455165,0
turbo,USDTRY-OTC,1782039180,46.461245,46.459435,46.462445,46.457155,0
turbo,USDTRY-OTC,1782039240,46.459245,46.459535,46.462295,46.456975,0
turbo,USDTRY-OTC,1782039300,46.459335,46.454735,46.459765,46.454675,0
turbo,USDTRY-OTC,1782039360,46.454925,46.455335,46.456485,46.453075,0
turbo,USDTRY-OTC,1782039420,46.455135,46.459045,46.460055,46.454705,0
turbo,USDTRY-OTC,1782039480,46.459245,46.459765,46.461365,46.458505,0
turbo,USDTRY-OTC,1782039540,46.459965,46.453705,46.460755,46.453485,0
turbo,USDTRY-OTC,1782039600,46.453495,46.452265,46.455245,46.450785,0
turbo,USDTRY-OTC,1782039660,46.452725,46.453335,46.454615,46.449975,0
turbo,USDTRY-OTC,1782039720,46.453775,46.456225,46.456225,46.452155,0
turbo,USDTRY-OTC,1782039780,46.456015,46.454065,46.457285,46.453075,0
turbo,USDTRY-OTC,1782039840,46.454245,46.448715,46.454765,46.447925,0
turbo,USDTRY-OTC,1782039900,46.448525,46.450615,46.450615,46.445225,0
turbo,USDTRY-OTC,1782039960,46.450415,46.453375,46.454195,46.449385,0
turbo,USDTRY-OTC,1782040020,46.453175,46.453515,46.456375,46.452205,0
turbo,USDTRY-OTC,1782040080,46.453705,46.449505,46.454575,46.449095,0
turbo,USDTRY-OTC,1782040140,46.449285,46.448935,46.453765,46.448745,0
turbo,USDTRY-OTC,1782040200,46.449135,46.450635,46.451385,46.447575,0
turbo,USDTRY-OTC,1782040260,46.450415,46.445835,46.450835,46.445475,0
turbo,USDTRY-OTC,1782040320,46.445645,46.442895,46.445645,46.439795,0
turbo,USDTRY-OTC,1782040380,46.442705,46.444155,46.444905,46.441745,0
turbo,USDTRY-OTC,1782040440,46.443955,46.445005,46.447145,46.443955,0
turbo,USDTRY-OTC,1782040500,46.444815,46.445005,46.448675,46.443315,0
turbo,USDTRY-OTC,1782040560,46.444635,46.441845,46.446065,46.440745,0
turbo,USDTRY-OTC,1782040620,46.442045,46.444105,46.445745,46.441105,0
turbo,USDTRY-OTC,1782040680,46.443895,46.448995,46.449565,46.442975,0
turbo,USDTRY-OTC,1782040740,46.448795,46.449625,46.450495,46.446285,0
turbo,USDTRY-OTC,1782040800,46.449815,46.443935,46.450765,46.443805,0
turbo,USDTRY-OTC,1782040860,46.443735,46.437775,46.444555,46.437185,0
turbo,USDTRY-OTC,1782040920,46.437975,46.431425,46.439845,46.431215,0
turbo,USDTRY-OTC,1782040980,46.431625,46.433445,46.437535,46.431135,0
turbo,USDTRY-OTC,1782041040,46.433635,46.438925,46.438925,46.433615,0
