tipo,activo,from,open,close,max,min,volume
turbo,WDC-OTC,1782036180,793.346855,791.291785,794.029355,791.220045,0
turbo,WDC-OTC,1782036240,791.007155,789.617485,792.901755,789.249325,0
turbo,WDC-OTC,1782036300,789.607015,788.604635,789.929755,787.156525,0
turbo,WDC-OTC,1782036360,788.724255,786.920865,789.488365,786.445945,0
turbo,WDC-OTC,1782036420,786.936145,787.614365,787.623375,785.629065,0
turbo,WDC-OTC,1782036480,787.622545,786.802275,787.634765,786.646185,0
turbo,WDC-OTC,1782036540,786.712525,788.976905,789.829725,786.370805,0
turbo,WDC-OTC,1782036600,788.982585,787.563245,789.225825,787.535905,0
turbo,WDC-OTC,1782036660,787.550455,787.011465,788.543065,786.860245,0
turbo,WDC-OTC,1782036720,787.013285,786.328755,787.370315,785.286235,0
turbo,WDC-OTC,1782036780,786.323065,786.036025,786.740165,785.548405,0
turbo,WDC-OTC,1782036840,786.026485,785.733065,786.639585,785.256045,0
turbo,WDC-OTC,1782036900,785.724065,784.774515,786.419525,784.762755,0
turbo,WDC-OTC,1782036960,784.824225,784.338765,785.288115,783.959565,0
turbo,WDC-OTC,1782037020,784.344205,781.419975,784.344205,780.784565,0
turbo,WDC-OTC,1782037080,781.430725,782.542605,784.183105,781.206205,0
turbo,WDC-OTC,1782037140,782.533495,784.948365,784.948365,782.476425,0
turbo,WDC-OTC,1782037200,784.941335,783.800135,785.889655,783.522025,0
turbo,WDC-OTC,1782037260,783.803865,787.391465,787.691595,783.791575,0
turbo,WDC-OTC,1782037320,787.382225,785.384075,788.117885,785.344335,0
turbo,WDC-OTC,1782037380,785.383835,785.673515,787.241535,785.287765,0
turbo,WDC-OTC,1782037440,785.680945,784.924615,786.968645,784.764285,0
turbo,WDC-OTC,1782037500,784.919985,785.257385,786.452605,784.277035,0
turbo,WDC-OTC,1782037560,785.254265,783.544825,785.431275,783.165345,0
turbo,WDC-OTC,1782037620,783.178175,784.135115,784.388555,783.093655,0
turbo,WDC-OTC,1782037680,784.141165,779.556195,784.309455,779.287975,0
turbo,WDC-OTC,1782037740,779.503145,779.402895,779.792985,777.638315,0
turbo,WDC-OTC,1782037800,779.402115,780.560365,781.054955,779.044175,0
turbo,WDC-OTC,1782037860,780.559685,781.398935,781.927105,780.018095,0
turbo,WDC-OTC,1782037920,781.395935,777.806255,781.411295,777.726605,0
turbo,WDC-OTC,1782037980,777.810515,778.652125,780.147045,777.810515,0
turbo,WDC-OTC,1782038040,778.644065,776.887925,778.648625,775.776065,0
turbo,WDC-OTC,1782038100,776.885685,777.711675,778.011135,776.693065,0
turbo,WDC-OTC,1782038160,777.717155,776.099015,778.258625,776.099015,0
turbo,WDC-OTC,1782038220,776.085795,775.652945,776.970445,775.160585,0
turbo,WDC-OTC,1782038280,775.651495,776.278625,776.609485,775.418015,0
turbo,WDC-OTC,1782038340,776.272205,775.867025,777.801035,775.837245,0
turbo,WDC-OTC,1782038400,775.833605,774.920775,776.616715,774.888415,0
turbo,WDC-OTC,1782038460,774.912515,774.136185,775.068585,773.812275,0
turbo,WDC-OTC,1782038520,774.221595,773.748335,774.315485,772.205835,0
turbo,WDC-OTC,1782038580,773.760115,772.527585,774.888225,771.515575,0
turbo,WDC-OTC,1782038640,772.567635,771.832245,773.028295,771.501975,0
turbo,WDC-OTC,1782038700,771.837395,769.354315,772.372145,769.160555,0
turbo,WDC-OTC,1782038760,769.502195,768.933095,769.871275,768.650885,0
turbo,WDC-OTC,1782038820,768.923165,768.157645,769.048175,768.129935,0
turbo,WDC-OTC,1782038880,768.113875,768.094205,769.449175,767.633545,0
turbo,WDC-OTC,1782038940,768.099375,766.772635,769.184095,765.089455,0
turbo,WDC-OTC,1782039000,766.769385,766.780455,766.991985,766.441435,0
turbo,WDC-OTC,1782039060,766.767495,765.954025,766.821285,765.452145,0
turbo,WDC-OTC,1782039120,765.940785,766.275765,767.132455,765.606695,0
turbo,WDC-OTC,1782039180,766.284655,767.461815,768.156455,765.432055,0
turbo,WDC-OTC,1782039240,767.464905,766.249585,767.677095,766.247275,0
turbo,WDC-OTC,1782039300,766.241895,761.972585,766.241895,760.983325,0
turbo,WDC-OTC,1782039360,761.971795,759.856395,762.424745,759.853095,0
turbo,WDC-OTC,1782039420,759.861015,759.779175,760.363575,758.979285,0
turbo,WDC-OTC,1782039480,759.786275,760.867225,760.868755,758.274335,0
turbo,WDC-OTC,1782039540,760.863835,759.613095,761.715795,759.613095,0
turbo,WDC-OTC,1782039600,759.610745,758.165915,760.155085,757.778245,0
turbo,WDC-OTC,1782039660,758.155925,760.832255,760.840575,758.155925,0
turbo,WDC-OTC,1782039720,760.793525,758.373315,760.808805,758.373315,0
turbo,WDC-OTC,1782039780,758.383595,758.645335,759.396325,758.094715,0
turbo,WDC-OTC,1782039840,758.756515,758.587125,759.160935,757.632445,0
turbo,WDC-OTC,1782039900,758.586435,758.872925,759.077285,757.589345,0
turbo,WDC-OTC,1782039960,758.880255,759.955665,759.955665,757.709875,0
turbo,WDC-OTC,1782040020,759.959265,758.922035,760.034215,758.806195,0
turbo,WDC-OTC,1782040080,758.921665,755.595565,759.363535,755.595565,0
turbo,WDC-OTC,1782040140,755.599715,754.343465,755.971545,753.346655,0
turbo,WDC-OTC,1782040200,754.601725,755.229275,756.273175,754.437885,0
turbo,WDC-OTC,1782040260,755.230355,755.377795,755.855075,754.460455,0
turbo,WDC-OTC,1782040320,755.367855,753.766585,755.433505,753.534905,0
turbo,WDC-OTC,1782040380,753.823525,753.135195,754.620165,753.135195,0
turbo,WDC-OTC,1782040440,753.180445,752.023015,753.825975,751.293085,0
turbo,WDC-OTC,1782040500,752.018055,754.739675,754.935715,752.006135,0
turbo,WDC-OTC,1782040560,754.741155,754.929955,755.821885,753.767495,0
turbo,WDC-OTC,1782040620,754.930185,756.235345,756.607575,754.839445,0
turbo,WDC-OTC,1782040680,756.214135,756.093075,756.351145,755.215315,0
turbo,WDC-OTC,1782040740,756.049995,758.178555,758.808425,755.989045,0
turbo,WDC-OTC,1782040800,758.198765,759.175485,759.568655,757.776655,0
turbo,WDC-OTC,1782040860,759.119905,757.859335,759.695305,757.226815,0
turbo,WDC-OTC,1782040920,757.855785,756.072695,757.943245,755.934365,0
turbo,WDC-OTC,1782040980,756.075065,756.086305,756.982845,755.862205,0
turbo,WDC-OTC,1782041040,756.218845,755.282765,756.735565,755.282765,0
turbo,WDC-OTC,1782041100,755.289575,755.710485,755.918225,753.737405,0
turbo,WDC-OTC,1782041160,755.708905,754.880575,756.159245,754.456035,0
turbo,WDC-OTC,1782041220,754.867875,754.263235,755.477725,752.582445,0
turbo,WDC-OTC,1782041280,754.323725,755.772675,756.036125,753.257995,0
turbo,WDC-OTC,1782041340,755.772085,754.100615,756.032335,753.854405,0
turbo,WDC-OTC,1782041400,754.089605,752.824505,755.373295,752.350325,0
turbo,WDC-OTC,1782041460,752.820245,754.425305,755.164055,752.225915,0
turbo,WDC-OTC,1782041520,754.423225,753.892745,754.939935,753.217685,0
turbo,WDC-OTC,1782041580,753.897885,754.737405,755.324735,753.559175,0
turbo,WDC-OTC,1782041640,754.726305,754.550135,755.168465,754.251065,0
turbo,WDC-OTC,1782041700,754.716455,754.149415,754.743925,753.282605,0
turbo,WDC-OTC,1782041760,754.153215,754.960325,755.001225,753.426375,0
turbo,WDC-OTC,1782041820,754.948335,754.373905,755.909265,754.319945,0
turbo,WDC-OTC,1782041880,754.386165,755.605625,755.605625,753.235725,0
turbo,WDC-OTC,1782041940,755.606715,756.661015,757.565805,755.458635,0
turbo,WDC-OTC,1782042000,756.653785,756.840305,757.024465,755.788815,0
turbo,WDC-OTC,1782042060,756.851325,753.861225,757.420235,753.858795,0
turbo,WDC-OTC,1782042120,753.859535,751.657455,754.207715,751.652005,0
turbo,WDC-OTC,1782042180,751.445685,750.667465,751.888055,750.643665,0
turbo,WDC-OTC,1782042240,750.668615,750.973695,751.919365,750.277345,0
turbo,WDC-OTC,1782042300,750.964615,750.651095,751.501205,749.852875,0
turbo,WDC-OTC,1782042360,750.658515,752.889685,752.895665,750.321195,0
turbo,WDC-OTC,1782042420,752.896655,753.154905,753.804495,751.910535,0
turbo,WDC-OTC,1782042480,753.182425,753.192035,754.136965,752.468485,0
turbo,WDC-OTC,1782042540,753.247475,754.577965,755.676875,753.172855,0
turbo,WDC-OTC,1782042600,754.574915,755.624105,756.130245,754.574915,0
turbo,WDC-OTC,1782042660,755.622595,754.565645,756.356325,754.562345,0
turbo,WDC-OTC,1782042720,754.567285,756.110845,756.114295,753.988495,0
turbo,WDC-OTC,1782042780,756.103005,755.343645,756.343255,753.781045,0
turbo,WDC-OTC,1782042840,755.609815,757.457865,757.532975,755.609815,0
turbo,WDC-OTC,1782042900,757.446625,757.747025,757.997235,756.601565,0
turbo,WDC-OTC,1782042960,757.582985,760.955015,761.014365,757.170985,0
turbo,WDC-OTC,1782043020,760.962275,763.550225,763.590815,760.953445,0
turbo,WDC-OTC,1782043080,763.537425,767.411755,767.724915,762.750325,0
turbo,WDC-OTC,1782043140,767.418255,766.501875,768.464085,766.501875,0
turbo,WDC-OTC,1782043200,766.501185,764.649625,766.916905,763.579295,0
turbo,WDC-OTC,1782043260,764.643365,765.186605,766.154505,764.643365,0
turbo,WDC-OTC,1782043320,764.877115,758.409995,764.877115,758.396675,0
turbo,WDC-OTC,1782043380,758.299495,756.825975,758.299495,756.719935,0
turbo,WDC-OTC,1782043440,756.820415,754.815385,756.820955,754.429435,0
turbo,WDC-OTC,1782043500,754.807975,754.539615,755.976765,754.539615,0
turbo,WDC-OTC,1782043560,754.551125,755.985165,756.024325,753.891495,0
turbo,WDC-OTC,1782043620,755.972215,754.923615,756.708685,753.337975,0
turbo,WDC-OTC,1782043680,754.931395,752.158825,755.189905,752.130935,0
