tipo,activo,from,open,close,max,min,volume
turbo,XNGUSD-OTC,1782036540,3.33405,3.31595,3.36095,3.31385,0
turbo,XNGUSD-OTC,1782036600,3.31805,3.33065,3.33865,3.30665,0
turbo,XNGUSD-OTC,1782036660,3.33205,3.34345,3.34405,3.30825,0
turbo,XNGUSD-OTC,1782036720,3.34675,3.39605,3.39995,3.32955,0
turbo,XNGUSD-OTC,1782036780,3.39815,3.39725,3.40255,3.35655,0
turbo,XNGUSD-OTC,1782036840,3.39505,3.43825,3.44975,3.39265,0
turbo,XNGUSD-OTC,1782036900,3.43685,3.43675,3.47495,3.43115,0
turbo,XNGUSD-OTC,1782036960,3.43505,3.47335,3.47335,3.42935,0
turbo,XNGUSD-OTC,1782037020,3.47185,3.48655,3.49275,3.45425,0
turbo,XNGUSD-OTC,1782037080,3.48795,3.47265,3.50255,3.47265,0
turbo,XNGUSD-OTC,1782037140,3.47505,3.49605,3.49665,3.44275,0
turbo,XNGUSD-OTC,1782037200,3.49755,3.48505,3.50375,3.46005,0
turbo,XNGUSD-OTC,1782037260,3.48685,3.45135,3.48975,3.43845,0
turbo,XNGUSD-OTC,1782037320,3.44905,3.46815,3.48525,3.44905,0
turbo,XNGUSD-OTC,1782037380,3.47005,3.46985,3.47415,3.44195,0
turbo,XNGUSD-OTC,1782037440,3.46795,3.46055,3.48935,3.45515,0
turbo,XNGUSD-OTC,1782037500,3.46275,3.43265,3.46535,3.41515,0
turbo,XNGUSD-OTC,1782037560,3.43075,3.36895,3.43075,3.36025,0
turbo,XNGUSD-OTC,1782037620,3.37025,3.39525,3.40625,3.36295,0
turbo,XNGUSD-OTC,1782037680,3.39665,3.41535,3.42495,3.38185,0
turbo,XNGUSD-OTC,1782037740,3.41365,3.42615,3.45115,3.40895,0
turbo,XNGUSD-OTC,1782037800,3.42765,3.42455,3.43365,3.39025,0
turbo,XNGUSD-OTC,1782037860,3.42295,3.38775,3.45345,3.38405,0
turbo,XNGUSD-OTC,1782037920,3.38955,3.41425,3.41505,3.38955,0
turbo,XNGUSD-OTC,1782037980,3.41245,3.38005,3.41245,3.37755,0
