tipo,activo,from,open,close,max,min,volume
turbo,XPTUSD-OTC,1782036600,1620.9945,1619.2535,1623.3085,1616.3085,0
turbo,XPTUSD-OTC,1782036660,1619.1955,1616.6215,1619.1965,1614.6725,0
turbo,XPTUSD-OTC,1782036720,1616.6245,1618.2935,1620.4705,1616.6245,0
turbo,XPTUSD-OTC,1782036780,1618.3455,1616.6065,1620.6765,1614.2745,0
turbo,XPTUSD-OTC,1782036840,1616.6045,1625.1215,1628.5005,1616.6045,0
turbo,XPTUSD-OTC,1782036900,1625.1245,1621.0045,1626.1765,1619.8845,0
turbo,XPTUSD-OTC,1782036960,1621.0015,1622.2415,1623.4275,1619.2565,0
turbo,XPTUSD-OTC,1782037020,1622.2395,1618.0095,1624.1075,1617.3495,0
turbo,XPTUSD-OTC,1782037080,1618.0125,1623.6865,1625.4695,1614.8645,0
turbo,XPTUSD-OTC,1782037140,1623.7535,1626.2595,1626.6875,1619.8555,0
turbo,XPTUSD-OTC,1782037200,1626.6265,1625.0885,1629.5725,1622.1175,0
turbo,XPTUSD-OTC,1782037260,1625.0895,1623.6595,1625.4635,1620.9315,0
turbo,XPTUSD-OTC,1782037320,1623.7605,1621.7025,1623.8745,1620.6795,0
turbo,XPTUSD-OTC,1782037380,1621.4695,1626.5085,1628.3855,1619.7865,0
turbo,XPTUSD-OTC,1782037440,1626.5155,1633.3135,1633.6975,1625.3655,0
turbo,XPTUSD-OTC,1782037500,1633.3705,1630.9765,1636.5075,1630.3635,0
turbo,XPTUSD-OTC,1782037560,1630.9775,1623.8035,1632.0855,1623.7705,0
turbo,XPTUSD-OTC,1782037620,1623.8015,1621.5565,1628.2665,1619.1605,0
turbo,XPTUSD-OTC,1782037680,1621.5545,1623.5505,1624.5865,1620.0745,0
turbo,XPTUSD-OTC,1782037740,1623.5495,1628.6355,1632.0755,1622.9845,0
turbo,XPTUSD-OTC,1782037800,1628.6675,1626.6675,1628.6675,1622.8945,0
turbo,XPTUSD-OTC,1782037860,1626.6635,1626.0995,1628.9485,1620.0205,0
turbo,XPTUSD-OTC,1782037920,1626.0765,1630.0585,1632.8745,1624.8035,0
turbo,XPTUSD-OTC,1782037980,1629.6345,1632.5045,1633.8245,1628.2895,0
turbo,XPTUSD-OTC,1782038040,1632.4195,1635.8535,1639.1815,1632.0305,0
turbo,XPTUSD-OTC,1782038100,1635.8615,1636.8895,1636.8895,1631.8875,0
turbo,XPTUSD-OTC,1782038160,1636.8915,1633.3185,1637.0395,1627.8805,0
turbo,XPTUSD-OTC,1782038220,1633.3175,1634.4785,1636.5195,1632.0645,0
turbo,XPTUSD-OTC,1782038280,1634.7155,1634.3845,1637.7025,1634.1635,0
turbo,XPTUSD-OTC,1782038340,1634.3815,1637.8425,1637.8425,1629.8145,0
turbo,XPTUSD-OTC,1782038400,1637.3915,1634.4215,1640.5035,1634.0895,0
turbo,XPTUSD-OTC,1782038460,1634.2685,1627.4195,1634.2685,1627.2645,0
turbo,XPTUSD-OTC,1782038520,1626.7475,1620.5685,1626.7475,1620.5685,0
turbo,XPTUSD-OTC,1782038580,1620.5665,1622.4445,1625.1705,1620.5665,0
turbo,XPTUSD-OTC,1782038640,1622.4435,1629.8795,1630.5775,1622.4435,0
turbo,XPTUSD-OTC,1782038700,1629.8675,1638.2185,1639.4535,1629.0835,0
turbo,XPTUSD-OTC,1782038760,1638.2195,1640.1915,1643.7795,1638.2195,0
turbo,XPTUSD-OTC,1782038820,1640.1935,1645.7975,1649.5255,1639.3185,0
turbo,XPTUSD-OTC,1782038880,1645.9645,1651.6505,1652.1845,1645.1355,0
turbo,XPTUSD-OTC,1782038940,1651.8025,1661.0495,1661.0555,1649.7095,0
turbo,XPTUSD-OTC,1782039000,1661.2105,1669.0415,1669.0415,1661.2105,0
turbo,XPTUSD-OTC,1782039060,1668.8095,1661.7465,1669.0945,1658.9285,0
turbo,XPTUSD-OTC,1782039120,1661.9665,1663.1945,1663.3655,1658.6645,0
turbo,XPTUSD-OTC,1782039180,1663.1935,1659.0635,1664.0305,1656.4025,0
turbo,XPTUSD-OTC,1782039240,1659.0595,1656.7515,1659.4105,1655.5145,0
turbo,XPTUSD-OTC,1782039300,1656.6155,1649.8645,1657.1765,1649.5105,0
turbo,XPTUSD-OTC,1782039360,1649.8655,1646.2625,1654.5085,1646.1245,0
turbo,XPTUSD-OTC,1782039420,1646.2575,1644.0025,1646.2575,1638.2915,0
turbo,XPTUSD-OTC,1782039480,1644.1935,1646.1525,1646.3225,1641.4595,0
turbo,XPTUSD-OTC,1782039540,1646.1855,1649.2995,1649.3025,1643.5505,0
turbo,XPTUSD-OTC,1782039600,1649.3015,1646.1045,1650.9345,1646.0115,0
turbo,XPTUSD-OTC,1782039660,1645.9455,1642.6115,1647.9435,1642.3015,0
turbo,XPTUSD-OTC,1782039720,1642.6105,1638.5805,1642.6105,1634.5555,0
turbo,XPTUSD-OTC,1782039780,1638.7025,1638.1195,1640.2645,1635.3145,0
turbo,XPTUSD-OTC,1782039840,1637.9515,1638.3365,1642.0215,1635.2535,0
turbo,XPTUSD-OTC,1782039900,1638.3505,1641.5325,1642.8565,1637.7505,0
turbo,XPTUSD-OTC,1782039960,1641.6015,1648.5515,1648.9445,1641.3715,0
turbo,XPTUSD-OTC,1782040020,1648.0885,1641.3735,1648.3055,1641.3735,0
turbo,XPTUSD-OTC,1782040080,1641.3725,1641.0615,1644.2405,1637.0065,0
turbo,XPTUSD-OTC,1782040140,1640.9235,1637.5025,1640.9235,1637.0705,0
turbo,XPTUSD-OTC,1782040200,1637.5045,1641.7335,1642.4225,1634.9975,0
turbo,XPTUSD-OTC,1782040260,1641.7355,1626.5175,1641.9205,1625.6955,0
turbo,XPTUSD-OTC,1782040320,1626.5035,1623.4175,1626.7445,1623.0425,0
turbo,XPTUSD-OTC,1782040380,1622.2045,1623.3995,1626.0295,1618.9125,0
turbo,XPTUSD-OTC,1782040440,1623.4015,1625.1565,1626.2165,1621.9585,0
turbo,XPTUSD-OTC,1782040500,1625.3495,1632.5495,1636.7065,1624.5305,0
turbo,XPTUSD-OTC,1782040560,1632.5525,1632.9385,1633.1135,1626.5295,0
turbo,XPTUSD-OTC,1782040620,1632.9345,1636.2825,1637.1385,1631.8895,0
turbo,XPTUSD-OTC,1782040680,1636.4545,1634.1015,1637.9765,1632.1405,0
turbo,XPTUSD-OTC,1782040740,1634.0655,1639.3485,1643.2115,1632.4825,0
turbo,XPTUSD-OTC,1782040800,1639.5275,1638.6485,1642.0875,1637.8655,0
turbo,XPTUSD-OTC,1782040860,1638.6525,1639.2495,1640.6185,1634.8325,0
turbo,XPTUSD-OTC,1782040920,1639.3095,1641.5815,1642.1725,1637.7115,0
turbo,XPTUSD-OTC,1782040980,1641.5725,1644.5455,1644.6345,1639.5575,0
turbo,XPTUSD-OTC,1782041040,1644.5105,1633.1955,1644.8205,1632.9655,0
turbo,XPTUSD-OTC,1782041100,1633.1945,1638.8855,1639.3485,1632.2795,0
turbo,XPTUSD-OTC,1782041160,1638.9625,1639.2165,1642.0895,1638.0535,0
turbo,XPTUSD-OTC,1782041220,1639.2185,1641.7165,1642.0355,1636.3155,0
turbo,XPTUSD-OTC,1782041280,1642.0215,1645.5545,1647.3895,1641.8615,0
turbo,XPTUSD-OTC,1782041340,1645.3355,1649.9985,1650.9685,1641.2655,0
turbo,XPTUSD-OTC,1782041400,1650.0005,1655.8795,1656.3015,1649.4385,0
turbo,XPTUSD-OTC,1782041460,1656.5185,1654.4745,1658.4085,1651.8395,0
turbo,XPTUSD-OTC,1782041520,1654.4765,1657.4025,1657.9535,1650.9305,0
turbo,XPTUSD-OTC,1782041580,1657.6455,1650.4155,1659.3425,1650.3435,0
turbo,XPTUSD-OTC,1782041640,1651.0265,1647.5455,1651.4985,1646.6725,0
turbo,XPTUSD-OTC,1782041700,1647.5445,1642.6075,1647.5445,1642.5715,0
turbo,XPTUSD-OTC,1782041760,1642.6025,1635.8085,1643.7765,1635.3855,0
turbo,XPTUSD-OTC,1782041820,1635.4855,1637.2095,1637.3675,1630.1835,0
turbo,XPTUSD-OTC,1782041880,1637.2595,1635.4555,1638.5715,1632.1775,0
turbo,XPTUSD-OTC,1782041940,1635.4535,1640.5055,1640.9075,1635.1975,0
turbo,XPTUSD-OTC,1782042000,1640.1625,1644.5915,1644.7305,1640.0295,0
turbo,XPTUSD-OTC,1782042060,1644.5935,1642.4445,1645.7455,1642.2175,0
turbo,XPTUSD-OTC,1782042120,1642.4475,1643.4465,1647.6755,1641.8005,0
turbo,XPTUSD-OTC,1782042180,1643.2595,1648.0015,1651.2575,1643.2135,0
turbo,XPTUSD-OTC,1782042240,1648.0175,1649.9535,1654.3765,1648.0175,0
turbo,XPTUSD-OTC,1782042300,1649.9505,1651.3855,1654.4365,1648.4125,0
turbo,XPTUSD-OTC,1782042360,1651.3875,1649.9245,1655.3035,1647.8895,0
turbo,XPTUSD-OTC,1782042420,1649.4965,1655.6215,1657.2425,1649.0125,0
turbo,XPTUSD-OTC,1782042480,1656.0005,1663.6835,1663.7255,1656.0005,0
turbo,XPTUSD-OTC,1782042540,1662.2595,1658.8295,1662.2595,1658.1255,0
turbo,XPTUSD-OTC,1782042600,1658.9275,1664.6485,1666.0425,1656.9715,0
turbo,XPTUSD-OTC,1782042660,1664.6495,1660.7955,1666.6015,1659.4855,0
turbo,XPTUSD-OTC,1782042720,1660.8005,1655.7725,1662.0305,1655.7725,0
turbo,XPTUSD-OTC,1782042780,1655.7685,1657.6045,1660.3715,1654.1955,0
turbo,XPTUSD-OTC,1782042840,1657.6035,1660.1595,1662.6265,1657.6035,0
turbo,XPTUSD-OTC,1782042900,1660.2245,1672.2345,1674.7985,1658.5535,0
turbo,XPTUSD-OTC,1782042960,1672.2275,1668.5715,1672.8915,1666.9075,0
turbo,XPTUSD-OTC,1782043020,1668.5695,1660.7755,1668.7465,1659.9475,0
turbo,XPTUSD-OTC,1782043080,1660.7735,1658.0825,1661.2535,1656.2625,0
