tipo,activo,from,open,close,max,min,volume
turbo,ATOMUSD-OTC,1787856300,1.511045,1.520615,1.521295,1.510995,0
turbo,ATOMUSD-OTC,1787856360,1.520255,1.521425,1.523235,1.519335,0
turbo,ATOMUSD-OTC,1787856420,1.521495,1.522205,1.525595,1.520815,0
turbo,ATOMUSD-OTC,1787856480,1.522305,1.519545,1.523385,1.518995,0
turbo,ATOMUSD-OTC,1787856540,1.519815,1.521765,1.524635,1.519035,0
turbo,ATOMUSD-OTC,1787856600,1.521105,1.520265,1.522055,1.515205,0
turbo,ATOMUSD-OTC,1787856660,1.520225,1.527135,1.527285,1.519475,0
turbo,ATOMUSD-OTC,1787856720,1.527115,1.529035,1.529035,1.522045,0
turbo,ATOMUSD-OTC,1787856780,1.528555,1.519195,1.529405,1.518675,0
turbo,ATOMUSD-OTC,1787856840,1.519305,1.517575,1.521885,1.517545,0
turbo,ATOMUSD-OTC,1787856900,1.517505,1.521675,1.524575,1.516435,0
turbo,ATOMUSD-OTC,1787856960,1.521855,1.519945,1.522985,1.518715,0
turbo,ATOMUSD-OTC,1787857020,1.519985,1.520115,1.520685,1.516905,0
turbo,ATOMUSD-OTC,1787857080,1.520045,1.513415,1.520565,1.512845,0
turbo,ATOMUSD-OTC,1787857140,1.513265,1.511085,1.513915,1.509455,0
turbo,ATOMUSD-OTC,1787857200,1.510945,1.510765,1.512205,1.509455,0
turbo,ATOMUSD-OTC,1787857260,1.510335,1.515155,1.515695,1.510215,0
turbo,ATOMUSD-OTC,1787857320,1.515315,1.512835,1.516445,1.512535,0
turbo,ATOMUSD-OTC,1787857380,1.512705,1.514875,1.515405,1.510235,0
turbo,ATOMUSD-OTC,1787857440,1.514855,1.508565,1.516105,1.508505,0
turbo,ATOMUSD-OTC,1787857500,1.508355,1.510095,1.510865,1.506365,0
turbo,ATOMUSD-OTC,1787857560,1.509875,1.505325,1.510685,1.503885,0
turbo,ATOMUSD-OTC,1787857620,1.505505,1.510425,1.510755,1.505135,0
turbo,ATOMUSD-OTC,1787857680,1.510335,1.515345,1.515575,1.509585,0
turbo,ATOMUSD-OTC,1787857740,1.515455,1.518325,1.518325,1.512275,0
turbo,ATOMUSD-OTC,1787857800,1.518355,1.516205,1.519735,1.514785,0
turbo,ATOMUSD-OTC,1787857860,1.516095,1.515875,1.519825,1.514705,0
turbo,ATOMUSD-OTC,1787857920,1.515885,1.510715,1.515885,1.506785,0
turbo,ATOMUSD-OTC,1787857980,1.510455,1.512205,1.512585,1.509205,0
turbo,ATOMUSD-OTC,1787858040,1.512745,1.509145,1.513595,1.508665,0
turbo,ATOMUSD-OTC,1787858100,1.509005,1.510875,1.511725,1.508315,0
turbo,ATOMUSD-OTC,1787858160,1.510985,1.507285,1.510985,1.504755,0
turbo,ATOMUSD-OTC,1787858220,1.507325,1.503275,1.507325,1.502075,0
turbo,ATOMUSD-OTC,1787858280,1.503225,1.501285,1.503675,1.499735,0
turbo,ATOMUSD-OTC,1787858340,1.501185,1.502905,1.504435,1.501095,0
turbo,ATOMUSD-OTC,1787858400,1.502925,1.502895,1.504255,1.500465,0
turbo,ATOMUSD-OTC,1787858460,1.503065,1.503915,1.504515,1.500235,0
turbo,ATOMUSD-OTC,1787858520,1.503905,1.506375,1.508225,1.501955,0
