tipo,activo,from,open,close,max,min,volume
turbo,AUS200:N,1787844000,9031.49,9032.97,9032.97,9031.47,7
turbo,AUS200:N,1787844060,9032.97,9032.49,9032.99,9032.47,8
turbo,AUS200:N,1787844120,9032.49,9032.98,9033.49,9032.47,22
turbo,AUS200:N,1787844180,9032.47,9033.49,9033.49,9030.47,16
turbo,AUS200:N,1787844240,9033.49,9032.48,9033.49,9032.48,21
turbo,AUS200:N,1787844300,9032.48,9033.48,9033.48,9032.48,1
turbo,AUS200:N,1787844360,9033.48,9032.47,9033.49,9031.97,8
turbo,AUS200:N,1787844420,9032.97,9032.47,9033.49,9032.47,3
turbo,AUS200:N,1787844480,9032.47,9034.47,9034.47,9032.47,6
turbo,AUS200:N,1787844540,9034.48,9033.98,9035.48,9033.97,12
turbo,AUS200:N,1787844600,9033.98,9034.47,9034.49,9033.47,18
turbo,AUS200:N,1787844660,9034.47,9035.48,9035.48,9033.49,10
turbo,AUS200:N,1787844720,9035.48,9036.47,9036.49,9034.47,43
turbo,AUS200:N,1787844780,9036.48,9035.49,9036.48,9034.48,18
turbo,AUS200:N,1787844840,9035.49,9036.48,9036.48,9033.48,35
turbo,AUS200:N,1787844900,9036.48,9037.49,9037.49,9035.49,17
turbo,AUS200:N,1787844960,9037.49,9037.49,9037.49,9037.48,2
turbo,AUS200:N,1787845020,9037.49,9035.49,9037.49,9035.49,5
turbo,AUS200:N,1787845080,9035.49,9036.48,9036.48,9034.49,6
turbo,AUS200:N,1787845140,9036.48,9037.48,9037.48,9035.97,21
turbo,AUS200:N,1787845200,9037.48,9037.49,9037.49,9036.47,23
turbo,AUS200:N,1787845260,9037.49,9039.49,9039.49,9037.47,22
turbo,AUS200:N,1787845320,9038.98,9037.48,9039.49,9036.98,13
turbo,AUS200:N,1787845380,9037.48,9035.98,9037.48,9035.97,3
turbo,AUS200:N,1787845440,9035.98,9036.48,9036.49,9035.48,19
turbo,AUS200:N,1787845500,9036.48,9035.99,9036.48,9034.47,33
turbo,AUS200:N,1787845560,9035.47,9035.48,9035.48,9034.47,8
turbo,AUS200:N,1787845620,9035.48,9034.49,9035.49,9034.48,9
turbo,AUS200:N,1787845680,9034.49,9035.47,9035.49,9034.47,34
turbo,AUS200:N,1787845740,9034.99,9035.49,9035.98,9034.49,27
turbo,AUS200:N,1787845800,9035.49,9037.48,9037.48,9035.49,6
turbo,AUS200:N,1787845860,9037.48,9038.97,9039.49,9037.48,6
turbo,AUS200:N,1787845920,9038.97,9039.49,9040.47,9037.47,14
turbo,AUS200:N,1787845980,9039.49,9039.47,9039.49,9039.47,1
turbo,AUS200:N,1787846040,9039.47,9039.49,9039.49,9039.47,2
turbo,AUS200:N,1787846100,9039.49,9039.49,9039.49,9038.97,5
turbo,AUS200:N,1787846160,9039.49,9040.49,9040.49,9039.47,16
turbo,AUS200:N,1787846220,9040.49,9041.48,9041.48,9040.47,11
turbo,AUS200:N,1787846280,9041.48,9040.48,9041.49,9040.48,3
turbo,AUS200:N,1787846340,9040.48,9040.49,9040.49,9040.48,1
turbo,AUS200:N,1787846400,9040.49,9040.47,9040.49,9039.97,9
turbo,AUS200:N,1787846460,9040.48,9041.47,9041.47,9040.48,2
turbo,AUS200:N,1787846520,9041.47,9039.49,9041.47,9038.47,11
turbo,AUS200:N,1787846580,9039.49,9040.49,9040.49,9039.48,8
turbo,AUS200:N,1787846640,9040.49,9039.98,9040.49,9039.47,10
turbo,AUS200:N,1787846700,9040.48,9038.48,9040.48,9038.48,5
turbo,AUS200:N,1787846760,9038.48,9038.48,9038.99,9038.47,5
turbo,AUS200:N,1787846820,9038.48,9037.48,9038.48,9036.47,8
turbo,AUS200:N,1787846880,9037.48,9037.47,9038.49,9037.47,6
turbo,AUS200:N,1787846940,9037.47,9037.49,9037.49,9036.97,2
turbo,AUS200:N,1787847000,9037.49,9037.98,9038.48,9036.49,13
turbo,AUS200:N,1787847060,9037.98,9038.47,9038.48,9037.47,25
turbo,AUS200:N,1787847120,9038.47,9037.48,9038.47,9036.99,5
turbo,AUS200:N,1787847180,9037.48,9038.49,9038.49,9037.48,6
turbo,AUS200:N,1787847240,9038.49,9037.47,9038.49,9037.47,3
turbo,AUS200:N,1787847300,9037.47,9037.98,9037.98,9036.97,5
turbo,AUS200:N,1787847360,9037.98,9037.98,9038.48,9037.97,5
turbo,AUS200:N,1787847420,9037.98,9038.47,9038.49,9037.98,2
turbo,AUS200:N,1787847480,9038.47,9037.49,9038.47,9037.49,3
turbo,AUS200:N,1787847540,9037.49,9037.49,9038.48,9037.49,4
turbo,AUS200:N,1787847600,9037.49,9037.47,9037.49,9037.47,2
turbo,AUS200:N,1787847660,9037.47,9036.47,9037.47,9036.47,3
turbo,AUS200:N,1787847720,9036.47,9036.49,9036.49,9036.47,1
turbo,AUS200:N,1787847780,9036.49,9037.47,9037.48,9036.49,5
turbo,AUS200:N,1787847840,9037.47,9036.98,9037.49,9036.97,4
turbo,AUS200:N,1787847900,9036.98,9036.49,9036.98,9036.47,2
turbo,AUS200:N,1787847960,9036.49,9036.48,9036.49,9036.48,1
turbo,AUS200:N,1787848020,9036.48,9036.47,9036.48,9036.47,1
turbo,AUS200:N,1787848080,9036.47,9037.48,9037.48,9036.47,2
turbo,AUS200:N,1787848140,9037.48,9038.49,9038.49,9037.47,3
turbo,AUS200:N,1787848200,9038.49,9037.47,9038.49,9037.47,4
turbo,AUS200:N,1787848260,9037.47,9038.48,9038.48,9037.47,3
turbo,AUS200:N,1787848320,9038.48,9038.49,9038.49,9037.47,20
turbo,AUS200:N,1787848380,9038.49,9036.98,9038.49,9036.48,10
turbo,AUS200:N,1787848440,9036.98,9037.97,9037.97,9036.48,4
turbo,AUS200:N,1787848500,9037.97,9037.47,9037.99,9037.47,10
turbo,AUS200:N,1787848560,9037.47,9037.48,9037.49,9037.47,2
turbo,AUS200:N,1787848620,9037.48,9038.49,9038.49,9037.48,4
turbo,AUS200:N,1787848680,9038.49,9038.47,9038.49,9038.47,1
turbo,AUS200:N,1787848740,9038.47,9038.97,9038.97,9038.47,2
turbo,AUS200:N,1787848800,9039.47,9038.47,9039.48,9038.47,10
turbo,AUS200:N,1787848860,9038.47,9038.49,9038.49,9038.47,1
turbo,AUS200:N,1787848920,9038.49,9038.98,9039.48,9038.49,9
turbo,AUS200:N,1787848980,9038.98,9039.47,9039.48,9038.97,11
turbo,AUS200:N,1787849040,9039.47,9039.47,9039.48,9039.47,2
turbo,AUS200:N,1787849100,9039.47,9038.48,9039.47,9038.47,7
turbo,AUS200:N,1787849160,9038.48,9037.98,9039.49,9037.98,13
turbo,AUS200:N,1787849220,9037.98,9037.47,9038.47,9037.47,34
turbo,AUS200:N,1787849280,9037.98,9037.49,9038.48,9037.47,13
turbo,AUS200:N,1787849340,9037.49,9037.48,9037.49,9037.48,1
turbo,AUS200:N,1787849400,9037.48,9038.47,9038.98,9037.48,4
turbo,AUS200:N,1787849460,9038.47,9039.49,9039.49,9038.47,16
turbo,AUS200:N,1787849520,9039.49,9039.99,9039.99,9039.47,22
turbo,AUS200:N,1787849580,9039.99,9039.97,9040.47,9039.47,24
turbo,AUS200:N,1787849640,9039.97,9038.48,9039.97,9038.48,3
turbo,AUS200:N,1787849700,9038.48,9038.48,9038.49,9038.48,2
turbo,AUS200:N,1787849760,9038.48,9037.98,9038.48,9037.48,5
turbo,AUS200:N,1787849820,9037.98,9038.49,9038.49,9037.98,1
turbo,AUS200:N,1787849880,9038.49,9038.47,9038.49,9038.47,1
turbo,AUS200:N,1787849940,9038.48,9038.47,9038.48,9038.47,2
turbo,AUS200:N,1787850000,9038.47,9038.48,9039.49,9038.47,5
turbo,AUS200:N,1787850060,9037.98,9038.47,9038.47,9037.49,4
turbo,AUS200:N,1787850120,9038.47,9037.99,9038.49,9037.48,16
turbo,AUS200:N,1787850180,9037.99,9038.47,9038.48,9037.48,15
turbo,AUS200:N,1787850240,9038.47,9038.49,9038.49,9038.47,1
turbo,AUS200:N,1787850300,9038.49,9038.48,9038.49,9038.48,1
turbo,AUS200:N,1787850360,9038.48,9037.49,9038.48,9037.47,5
turbo,AUS200:N,1787850420,9037.49,9036.49,9037.49,9036.49,4
turbo,AUS200:N,1787850480,9036.49,9037.48,9037.48,9036.48,2
turbo,AUS200:N,1787850540,9037.48,9038.48,9038.48,9037.48,3
turbo,AUS200:N,1787850600,9038.48,9038.49,9038.49,9038.48,1
turbo,AUS200:N,1787850660,9038.49,9038.49,9038.49,9038.48,2
turbo,AUS200:N,1787850720,9038.49,9038.48,9038.49,9038.48,1
turbo,AUS200:N,1787850780,9038.48,9037.47,9038.49,9037.47,2
turbo,AUS200:N,1787850840,9037.47,9037.47,9037.49,9036.48,6
turbo,AUS200:N,1787850900,9037.47,9037.99,9037.99,9037.47,1
turbo,AUS200:N,1787850960,9037.99,9037.98,9039.49,9037.97,29
turbo,AUS200:N,1787851020,9037.98,9038.49,9038.49,9037.47,7
turbo,AUS200:N,1787851080,9037.98,9037.49,9037.98,9037.48,4
turbo,AUS200:N,1787851140,9037.49,9037.97,9037.97,9037.49,1
turbo,AUS200:N,1787851200,9037.97,9037.97,9037.97,9037.97,0
turbo,AUS200:N,1787851260,9037.97,9038.49,9038.49,9037.48,4
turbo,AUS200:N,1787851320,9038.49,9038.49,9038.49,9038.49,0
turbo,AUS200:N,1787851380,9038.49,9037.47,9038.49,9037.47,2
turbo,AUS200:N,1787851440,9037.47,9037.49,9037.49,9037.47,1
turbo,AUS200:N,1787851500,9037.49,9037.47,9037.49,9037.47,1
turbo,AUS200:N,1787851560,9037.47,9037.48,9037.49,9037.47,2
turbo,AUS200:N,1787851620,9037.48,9036.98,9037.48,9036.47,10
turbo,AUS200:N,1787851680,9036.98,9037.99,9037.99,9036.47,6
turbo,AUS200:N,1787851740,9037.99,9039.47,9040.49,9037.99,14
turbo,AUS200:N,1787851800,9039.47,9039.49,9039.99,9039.47,16
turbo,AUS200:N,1787851860,9039.49,9039.97,9040.49,9039.48,11
turbo,AUS200:N,1787851920,9039.97,9042.49,9042.49,9039.97,17
turbo,AUS200:N,1787851980,9042.49,9042.98,9042.98,9041.48,10
turbo,AUS200:N,1787852040,9042.48,9041.48,9042.49,9041.48,7
turbo,AUS200:N,1787852100,9041.48,9040.49,9041.48,9039.97,5
turbo,AUS200:N,1787852160,9038.97,9037.49,9039.49,9037.49,10
turbo,AUS200:N,1787852220,9037.49,9037.47,9037.49,9037.47,2
turbo,AUS200:N,1787852280,9037.47,9037.47,9037.47,9037.47,0
turbo,AUS200:N,1787852340,9037.47,9038.48,9038.48,9037.47,2
turbo,AUS200:N,1787852400,9038.48,9039.48,9039.48,9038.47,3
turbo,AUS200:N,1787852460,9039.48,9039.48,9039.48,9039.48,0
turbo,AUS200:N,1787852520,9039.48,9039.49,9039.49,9039.48,1
turbo,AUS200:N,1787852580,9039.49,9041.99,9041.99,9039.47,6
turbo,AUS200:N,1787852640,9041.99,9041.48,9042.49,9040.48,10
turbo,AUS200:N,1787852700,9041.99,9041.99,9042.47,9040.48,8
turbo,AUS200:N,1787852760,9041.99,9042.48,9042.48,9041.97,5
turbo,AUS200:N,1787852820,9042.48,9040.98,9042.49,9040.98,4
turbo,AUS200:N,1787852880,9040.98,9040.47,9041.49,9040.47,38
turbo,AUS200:N,1787852940,9040.47,9041.48,9041.49,9040.47,5
turbo,AUS200:N,1787853000,9041.48,9042.48,9042.48,9041.48,3
turbo,AUS200:N,1787853060,9042.48,9040.97,9042.48,9040.47,6
turbo,AUS200:N,1787853120,9040.97,9042.47,9042.49,9040.97,7
turbo,AUS200:N,1787853180,9042.47,9042.48,9042.48,9042.47,1
turbo,AUS200:N,1787853240,9042.48,9041.49,9042.97,9041.47,18
turbo,AUS200:N,1787853300,9042.48,9043.47,9043.48,9042.48,5
turbo,AUS200:N,1787853360,9043.47,9042.98,9043.47,9042.98,1
turbo,AUS200:N,1787853420,9042.98,9040.49,9042.98,9039.97,10
turbo,AUS200:N,1787853480,9040.49,9038.47,9040.49,9037.97,8
turbo,AUS200:N,1787853540,9038.47,9036.49,9038.47,9036.49,8
turbo,AUS200:N,1787853600,9036.49,9035.98,9036.49,9035.97,8
turbo,AUS200:N,1787853660,9035.98,9033.97,9035.98,9033.47,19
turbo,AUS200:N,1787853720,9033.97,9033.48,9033.97,9031.99,36
turbo,AUS200:N,1787853780,9033.98,9033.99,9034.49,9033.48,17
turbo,AUS200:N,1787853840,9033.99,9032.99,9033.99,9031.97,22
turbo,AUS200:N,1787853900,9032.99,9034.47,9034.49,9032.97,6
turbo,AUS200:N,1787853960,9034.47,9036.47,9036.47,9034.47,6
turbo,AUS200:N,1787854020,9036.47,9034.98,9036.49,9034.47,10
turbo,AUS200:N,1787854080,9034.98,9035.99,9035.99,9034.98,8
turbo,AUS200:N,1787854140,9035.99,9035.48,9035.99,9035.47,13
turbo,AUS200:N,1787854200,9035.48,9034.97,9036.47,9034.48,17
turbo,AUS200:N,1787854260,9034.97,9035.47,9035.47,9034.47,6
turbo,AUS200:N,1787854320,9035.47,9035.48,9035.98,9034.98,5
turbo,AUS200:N,1787854380,9035.48,9034.47,9036.49,9034.47,15
turbo,AUS200:N,1787854440,9034.47,9036.49,9036.49,9033.48,24
turbo,AUS200:N,1787854500,9036.49,9036.49,9036.49,9036.49,0
turbo,AUS200:N,1787854560,9036.49,9036.49,9036.49,9035.98,2
turbo,AUS200:N,1787854620,9036.49,9036.48,9036.49,9035.48,5
turbo,AUS200:N,1787854680,9036.97,9037.49,9037.49,9036.97,2
turbo,AUS200:N,1787854740,9037.49,9037.48,9037.99,9037.47,7
turbo,AUS200:N,1787854800,9037.48,9037.48,9037.49,9036.98,5
