tipo,activo,from,open,close,max,min,volume
turbo,SMH,1787667600,554.5,555.085,555.11,554.415,0
turbo,SMH,1787667660,555.08,554.63,555.105,554.565,0
turbo,SMH,1787667720,554.63,553.58,554.88,553.58,0
turbo,SMH,1787667780,553.57,552.565,553.58,552.505,0
turbo,SMH,1787667840,552.56,553.285,553.31,552.175,0
turbo,SMH,1787667900,553.32,553.965,554.07,553.01,0
turbo,SMH,1787667960,553.98,553.65,553.98,553.395,0
turbo,SMH,1787668020,553.63,553.735,554.01,553.255,0
turbo,SMH,1787668080,553.73,553.67,553.95,553.37,0
turbo,SMH,1787668140,553.67,553.105,553.755,553.095,0
turbo,SMH,1787668200,553.115,552.465,553.115,550.705,0
turbo,SMH,1787668260,552.455,553.555,553.565,552.015,0
turbo,SMH,1787668320,553.545,553.705,554.515,553.545,0
turbo,SMH,1787668380,553.675,553.53,553.825,553.375,0
turbo,SMH,1787668440,553.545,553.135,553.87,553.125,0
turbo,SMH,1787668500,553.13,553.39,553.79,553.085,0
turbo,SMH,1787668560,553.385,554.38,554.38,553.305,0
turbo,SMH,1787668620,554.37,554.45,554.61,554.015,0
turbo,SMH,1787668680,554.495,554.845,555.055,554.33,0
turbo,SMH,1787668740,554.85,554.92,555.495,554.85,0
turbo,SMH,1787668800,554.925,553.89,554.935,553.89,0
turbo,SMH,1787668860,553.905,553.86,554.18,553.725,0
turbo,SMH,1787668920,553.865,553.045,553.925,552.845,0
turbo,SMH,1787668980,553.035,553.545,553.585,552.785,0
turbo,SMH,1787669040,553.55,553.81,553.83,553.535,0
turbo,SMH,1787669100,553.805,553.53,553.845,553.405,0
turbo,SMH,1787669160,553.535,553.215,553.795,553.2,0
turbo,SMH,1787669220,553.195,553.825,553.87,553.09,0
turbo,SMH,1787669280,553.79,553.895,554.17,553.745,0
turbo,SMH,1787669340,553.885,553.745,554.08,553.56,0
turbo,SMH,1787669400,553.715,553.975,554.025,553.565,0
turbo,SMH,1787669460,553.985,554.415,554.42,553.655,0
turbo,SMH,1787669520,554.45,554.525,554.83,554.405,0
turbo,SMH,1787669580,554.52,554.815,555.075,554.52,0
turbo,SMH,1787669640,554.825,554.375,554.88,554.355,0
turbo,SMH,1787669700,554.385,554.36,554.48,554.055,0
turbo,SMH,1787669760,554.365,553.86,554.495,553.78,0
turbo,SMH,1787669820,553.88,554.15,554.175,553.54,0
turbo,SMH,1787669880,554.185,553.985,554.215,553.76,0
turbo,SMH,1787669940,553.99,553.905,554.15,553.855,0
turbo,SMH,1787670000,553.915,553.535,553.955,553.29,0
turbo,SMH,1787670060,553.55,553.21,553.755,553.21,0
turbo,SMH,1787670120,553.23,553.285,553.585,553.005,0
turbo,SMH,1787670180,553.29,553.09,553.37,552.875,0
turbo,SMH,1787670240,553.085,552.9,553.2,552.68,0
turbo,SMH,1787670300,552.895,553.47,553.47,552.855,0
turbo,SMH,1787670360,553.465,553.04,553.51,552.8,0
turbo,SMH,1787670420,553.035,553.26,553.8,553.025,0
turbo,SMH,1787670480,553.255,552.995,553.255,552.865,0
turbo,SMH,1787670540,552.99,553,553.155,552.87,0
turbo,SMH,1787670600,552.985,553.335,553.36,552.94,0
turbo,SMH,1787670660,553.335,553.255,553.415,553.105,0
turbo,SMH,1787670720,553.255,553.055,553.335,552.905,0
turbo,SMH,1787670780,553.06,552.92,553.27,552.875,0
turbo,SMH,1787670840,552.915,553.04,553.225,552.82,0
turbo,SMH,1787670900,553.095,553.615,553.64,552.855,0
turbo,SMH,1787670960,553.63,553.545,553.74,553.505,0
turbo,SMH,1787671020,553.55,553.515,553.62,553.39,0
turbo,SMH,1787671080,553.515,553.37,553.72,553.18,0
turbo,SMH,1787671140,553.28,553.565,553.61,553.21,0
turbo,SMH,1787671200,553.565,554.34,554.385,553.565,0
turbo,SMH,1787671260,554.34,554.495,554.515,554.045,0
turbo,SMH,1787671320,554.49,554.415,554.595,554.32,0
turbo,SMH,1787671380,554.42,553.85,554.5,553.505,0
turbo,SMH,1787671440,553.865,553.84,554.23,553.78,0
turbo,SMH,1787671500,553.835,553.86,553.98,553.61,0
turbo,SMH,1787671560,553.88,554.215,554.245,553.8,0
turbo,SMH,1787671620,554.225,554.695,554.72,554.17,0
turbo,SMH,1787671680,554.69,554.91,554.935,554.645,0
turbo,SMH,1787671740,554.92,555.075,555.175,554.92,0
turbo,SMH,1787671800,555.07,554.865,555.21,554.845,0
turbo,SMH,1787671860,554.865,555,555.17,554.865,0
turbo,SMH,1787671920,555,555.15,555.255,554.945,0
turbo,SMH,1787671980,555.145,555.48,555.575,554.935,0
turbo,SMH,1787672040,555.475,554.835,555.525,554.77,0
turbo,SMH,1787672100,554.83,555.16,555.73,554.72,0
turbo,SMH,1787672160,555.15,555.445,555.545,555.095,0
turbo,SMH,1787672220,555.45,555.275,555.49,555.08,0
turbo,SMH,1787672280,555.29,555.17,555.31,555.15,0
turbo,SMH,1787672340,555.16,554.805,555.16,554.76,0
turbo,SMH,1787672400,554.805,554.675,555.015,554.595,0
turbo,SMH,1787672460,554.685,554.56,554.715,554.435,0
turbo,SMH,1787672520,554.555,554.685,554.985,554.535,0
turbo,SMH,1787672580,554.69,554.765,554.815,554.625,0
turbo,SMH,1787672640,554.76,554.555,554.785,554.49,0
turbo,SMH,1787672700,554.525,553.985,554.525,553.95,0
turbo,SMH,1787672760,553.97,553.955,554.08,553.85,0
turbo,SMH,1787672820,553.95,553.92,554.11,553.845,0
turbo,SMH,1787672880,553.895,553.765,554.05,553.755,0
turbo,SMH,1787672940,553.765,553.86,553.905,553.725,0
turbo,SMH,1787673000,553.855,553.925,553.945,553.515,0
turbo,SMH,1787673060,553.925,553.95,554.01,553.8,0
turbo,SMH,1787673120,553.93,553.92,554.09,553.815,0
turbo,SMH,1787673180,553.97,553.995,554.145,553.935,0
turbo,SMH,1787673240,553.995,553.88,553.995,553.81,0
turbo,SMH,1787673300,553.87,554.065,554.07,553.825,0
turbo,SMH,1787673360,554.11,554.19,554.28,554.03,0
turbo,SMH,1787673420,554.19,554.215,554.305,554.135,0
turbo,SMH,1787673480,554.24,554.56,554.56,554.075,0
turbo,SMH,1787673540,554.555,554.175,554.595,554.17,0
turbo,SMH,1787673600,554.165,554.345,554.385,554.095,0
turbo,SMH,1787673660,554.355,554.38,554.415,554.225,0
turbo,SMH,1787673720,554.37,555,555.045,554.37,0
turbo,SMH,1787673780,555.005,555.32,555.355,555.005,0
turbo,SMH,1787673840,555.33,554.8,555.36,554.78,0
turbo,SMH,1787673900,554.8,555.155,555.195,554.8,0
turbo,SMH,1787673960,555.16,555.1,555.565,555.095,0
turbo,SMH,1787674020,555.11,554.955,555.375,554.95,0
turbo,SMH,1787674080,554.96,555.13,555.205,554.95,0
turbo,SMH,1787674140,555.1,554.915,555.105,554.895,0
turbo,SMH,1787674200,554.925,555.15,555.275,554.835,0
turbo,SMH,1787674260,555.215,554.99,555.29,554.975,0
turbo,SMH,1787674320,554.98,555.175,555.185,554.9,0
turbo,SMH,1787674380,555.175,555.25,555.255,555,0
turbo,SMH,1787674440,555.245,555.29,555.315,555.15,0
turbo,SMH,1787674500,555.295,555.555,555.555,555.295,0
turbo,SMH,1787674560,555.56,555.57,555.74,555.535,0
turbo,SMH,1787674620,555.575,555.46,555.58,555.36,0
turbo,SMH,1787674680,555.47,555.705,555.86,555.46,0
turbo,SMH,1787674740,555.71,555.66,555.785,555.54,0
turbo,SMH,1787674800,555.665,555.855,555.86,555.385,0
turbo,SMH,1787674860,555.85,555.7,555.915,555.675,0
turbo,SMH,1787674920,555.71,555.77,556.02,555.695,0
turbo,SMH,1787674980,555.765,555.795,555.85,555.64,0
turbo,SMH,1787675040,555.79,555.565,555.985,555.565,0
turbo,SMH,1787675100,555.56,555.81,555.875,555.555,0
turbo,SMH,1787675160,555.815,555.8,555.905,555.775,0
turbo,SMH,1787675220,555.81,555.91,555.935,555.78,0
turbo,SMH,1787675280,555.905,555.65,555.96,555.62,0
turbo,SMH,1787675340,555.645,555.835,555.88,555.595,0
turbo,SMH,1787675400,555.83,555.76,555.84,555.625,0
turbo,SMH,1787675460,555.77,555.675,555.84,555.595,0
turbo,SMH,1787675520,555.68,555.67,555.87,555.615,0
turbo,SMH,1787675580,555.665,555.645,555.725,555.615,0
turbo,SMH,1787675640,555.64,555.51,555.695,555.465,0
turbo,SMH,1787675700,555.505,555.22,555.53,555.085,0
turbo,SMH,1787675760,555.24,554.88,555.245,554.8,0
turbo,SMH,1787675820,554.88,554.98,555.04,554.85,0
turbo,SMH,1787675880,555.005,555.355,555.4,554.99,0
turbo,SMH,1787675940,555.36,555.475,555.49,555.265,0
turbo,SMH,1787676000,555.465,555.215,555.465,555.155,0
turbo,SMH,1787676060,555.21,555.05,555.245,555.015,0
turbo,SMH,1787676120,555.06,555.075,555.17,555.05,0
turbo,SMH,1787676180,555.085,554.675,555.09,554.67,0
turbo,SMH,1787676240,554.625,554.685,554.745,554.47,0
turbo,SMH,1787676300,554.695,554.89,554.935,554.665,0
turbo,SMH,1787676360,554.89,555.115,555.115,554.89,0
turbo,SMH,1787676420,555.115,554.69,555.115,554.575,0
turbo,SMH,1787676480,554.675,554.845,554.905,554.66,0
turbo,SMH,1787676540,554.845,554.83,554.86,554.695,0
