tipo,activo,from,open,close,max,min,volume
turbo,NZDUSD-OTC,1787856600,0.581855,0.582135,0.582455,0.581695,0
turbo,NZDUSD-OTC,1787856660,0.582125,0.582765,0.582845,0.582045,0
turbo,NZDUSD-OTC,1787856720,0.582725,0.583285,0.583865,0.582565,0
turbo,NZDUSD-OTC,1787856780,0.583265,0.583255,0.583655,0.582685,0
turbo,NZDUSD-OTC,1787856840,0.583085,0.582195,0.583085,0.581995,0
turbo,NZDUSD-OTC,1787856900,0.582185,0.582485,0.582645,0.582005,0
turbo,NZDUSD-OTC,1787856960,0.582595,0.581775,0.582595,0.581645,0
turbo,NZDUSD-OTC,1787857020,0.581845,0.582905,0.583505,0.581535,0
turbo,NZDUSD-OTC,1787857080,0.582835,0.582515,0.583155,0.582325,0
turbo,NZDUSD-OTC,1787857140,0.582445,0.581895,0.582675,0.581825,0
turbo,NZDUSD-OTC,1787857200,0.581865,0.582525,0.582875,0.581785,0
turbo,NZDUSD-OTC,1787857260,0.582465,0.582195,0.582755,0.581895,0
turbo,NZDUSD-OTC,1787857320,0.582215,0.581185,0.582795,0.581175,0
turbo,NZDUSD-OTC,1787857380,0.581155,0.580955,0.581735,0.580785,0
turbo,NZDUSD-OTC,1787857440,0.580925,0.581055,0.581175,0.580565,0
turbo,NZDUSD-OTC,1787857500,0.581225,0.580995,0.581325,0.580295,0
turbo,NZDUSD-OTC,1787857560,0.581035,0.581045,0.581275,0.580405,0
turbo,NZDUSD-OTC,1787857620,0.580985,0.578675,0.580985,0.578675,0
turbo,NZDUSD-OTC,1787857680,0.578655,0.578255,0.578695,0.577445,0
turbo,NZDUSD-OTC,1787857740,0.578205,0.577865,0.578345,0.577445,0
turbo,NZDUSD-OTC,1787857800,0.577845,0.576345,0.577885,0.576345,0
turbo,NZDUSD-OTC,1787857860,0.576375,0.577295,0.577555,0.576175,0
turbo,NZDUSD-OTC,1787857920,0.577245,0.577795,0.577875,0.577075,0
turbo,NZDUSD-OTC,1787857980,0.577825,0.577765,0.578465,0.577625,0
turbo,NZDUSD-OTC,1787858040,0.577715,0.577655,0.578205,0.577305,0
turbo,NZDUSD-OTC,1787858100,0.577635,0.576905,0.577765,0.576875,0
turbo,NZDUSD-OTC,1787858160,0.576875,0.576105,0.576875,0.575955,0
turbo,NZDUSD-OTC,1787858220,0.576085,0.575835,0.576315,0.575465,0
turbo,NZDUSD-OTC,1787858280,0.575805,0.575825,0.576065,0.575335,0
turbo,NZDUSD-OTC,1787858340,0.575815,0.576375,0.576465,0.575315,0
turbo,NZDUSD-OTC,1787858400,0.576395,0.577075,0.577855,0.576295,0
