tipo,activo,from,open,close,max,min,volume
turbo,US30-OTC,1787856300,53442.774625,53514.515565,53519.212765,53442.774625,0
turbo,US30-OTC,1787856360,53515.075665,53531.100065,53541.698955,53500.688175,0
turbo,US30-OTC,1787856420,53531.138605,53545.576135,53553.272915,53505.304045,0
turbo,US30-OTC,1787856480,53541.560125,53527.048605,53552.633535,53517.782945,0
turbo,US30-OTC,1787856540,53529.882015,53550.043535,53550.043535,53523.783555,0
turbo,US30-OTC,1787856600,53552.150215,53555.640245,53571.420555,53529.895605,0
turbo,US30-OTC,1787856660,53554.827445,53547.611805,53578.756635,53523.143505,0
turbo,US30-OTC,1787856720,53555.297735,53567.768565,53587.870295,53550.735355,0
turbo,US30-OTC,1787856780,53568.125275,53552.894745,53574.012825,53515.572465,0
turbo,US30-OTC,1787856840,53552.629735,53595.729655,53612.094195,53552.334895,0
turbo,US30-OTC,1787856900,53595.365485,53569.878515,53605.813955,53559.454395,0
turbo,US30-OTC,1787856960,53568.874395,53526.769975,53602.158525,53526.769975,0
turbo,US30-OTC,1787857020,53526.913885,53583.030645,53596.167075,53521.315765,0
turbo,US30-OTC,1787857080,53582.942025,53551.822905,53583.246765,53539.791005,0
turbo,US30-OTC,1787857140,53548.458375,53485.459825,53570.920255,53485.459825,0
turbo,US30-OTC,1787857200,53485.485915,53451.661225,53485.832105,53450.079385,0
turbo,US30-OTC,1787857260,53456.736945,53437.687665,53466.631105,53435.448065,0
turbo,US30-OTC,1787857320,53440.285335,53431.569335,53459.008835,53420.403295,0
turbo,US30-OTC,1787857380,53429.558695,53474.915865,53477.961955,53414.814295,0
turbo,US30-OTC,1787857440,53474.470995,53510.188165,53541.205275,53470.711535,0
turbo,US30-OTC,1787857500,53508.305615,53463.687995,53527.622045,53463.687995,0
turbo,US30-OTC,1787857560,53463.480605,53533.844305,53539.360755,53463.480605,0
turbo,US30-OTC,1787857620,53533.652625,53532.612295,53540.822835,53510.835385,0
turbo,US30-OTC,1787857680,53532.555855,53563.496935,53563.690685,53517.686315,0
turbo,US30-OTC,1787857740,53563.885845,53547.265045,53569.862035,53513.322655,0
turbo,US30-OTC,1787857800,53545.316495,53523.093325,53549.793665,53508.000645,0
turbo,US30-OTC,1787857860,53524.651745,53580.806825,53589.065215,53524.651745,0
turbo,US30-OTC,1787857920,53579.388345,53679.822475,53687.824785,53569.089295,0
turbo,US30-OTC,1787857980,53682.503025,53722.176275,53722.176275,53663.921165,0
turbo,US30-OTC,1787858040,53721.053195,53679.988135,53724.201545,53667.448595,0
turbo,US30-OTC,1787858100,53683.223005,53660.664495,53688.576635,53637.088025,0
turbo,US30-OTC,1787858160,53660.890535,53616.009575,53665.616475,53578.823895,0
turbo,US30-OTC,1787858220,53618.251185,53632.209295,53636.910855,53599.986575,0
turbo,US30-OTC,1787858280,53630.251105,53613.466525,53658.608145,53600.876545,0
turbo,US30-OTC,1787858340,53613.964645,53657.294515,53657.294515,53612.373905,0
turbo,US30-OTC,1787858400,53657.305505,53633.029685,53662.759285,53621.060625,0
turbo,US30-OTC,1787858460,53634.609665,53570.548115,53639.620875,53561.645095,0
turbo,US30-OTC,1787858520,53570.842815,53508.876325,53572.247145,53499.523235,0
turbo,US30-OTC,1787858580,53509.392465,53484.070735,53514.226875,53480.180065,0
turbo,US30-OTC,1787858640,53482.977975,53551.719535,53555.928525,53482.977975,0
turbo,US30-OTC,1787858700,53544.861645,53567.289935,53567.289935,53523.159775,0
turbo,US30-OTC,1787858760,53565.984385,53669.140965,53669.140965,53559.871355,0
turbo,US30-OTC,1787858820,53666.622445,53664.001245,53709.072715,53652.479995,0
turbo,US30-OTC,1787858880,53663.110745,53641.993405,53664.538865,53622.106375,0
turbo,US30-OTC,1787858940,53643.057755,53651.907055,53668.843185,53623.861805,0
turbo,US30-OTC,1787859000,53651.029485,53682.748955,53689.733815,53617.011505,0
turbo,US30-OTC,1787859060,53683.103695,53722.636085,53727.205695,53665.117925,0
turbo,US30-OTC,1787859120,53722.542905,53698.733445,53722.542905,53680.439985,0
turbo,US30-OTC,1787859180,53696.793355,53613.762365,53697.226725,53610.033665,0
turbo,US30-OTC,1787859240,53613.941415,53681.094035,53683.586155,53604.616995,0
turbo,US30-OTC,1787859300,53681.003935,53712.576395,53715.326285,53671.873115,0
turbo,US30-OTC,1787859360,53708.235155,53651.254545,53721.737415,53650.436045,0
turbo,US30-OTC,1787859420,53649.053195,53657.494035,53664.030555,53637.562585,0
turbo,US30-OTC,1787859480,53657.322515,53721.238605,53733.185195,53657.322515,0
turbo,US30-OTC,1787859540,53726.450985,53720.706835,53753.177835,53710.867935,0
turbo,US30-OTC,1787859600,53722.104145,53750.315285,53755.098475,53717.720815,0
turbo,US30-OTC,1787859660,53749.653415,53761.014965,53799.486385,53732.237645,0
turbo,US30-OTC,1787859720,53761.546325,53725.604295,53771.747345,53721.925855,0
turbo,US30-OTC,1787859780,53723.816965,53704.395325,53735.965165,53696.567105,0
turbo,US30-OTC,1787859840,53703.176265,53660.224155,53718.023735,53631.201595,0
turbo,US30-OTC,1787859900,53660.314645,53729.396615,53740.795925,53646.180915,0
turbo,US30-OTC,1787859960,53729.231775,53795.576565,53799.044625,53713.459035,0
turbo,US30-OTC,1787860020,53797.610925,53787.768295,53801.408085,53771.924755,0
turbo,US30-OTC,1787860080,53787.821305,53836.327305,53854.782995,53770.647955,0
