tipo,activo,from,open,close,max,min,volume
turbo,USDCAD-OTC,1787856300,1.414155,1.413915,1.415425,1.413795,0
turbo,USDCAD-OTC,1787856360,1.413995,1.414885,1.415855,1.413435,0
turbo,USDCAD-OTC,1787856420,1.414775,1.414195,1.414855,1.413385,0
turbo,USDCAD-OTC,1787856480,1.414305,1.414115,1.415195,1.413795,0
turbo,USDCAD-OTC,1787856540,1.414055,1.413315,1.414545,1.412895,0
turbo,USDCAD-OTC,1787856600,1.413405,1.412305,1.413435,1.412165,0
turbo,USDCAD-OTC,1787856660,1.412285,1.410935,1.412365,1.410915,0
turbo,USDCAD-OTC,1787856720,1.410915,1.410725,1.411005,1.409985,0
turbo,USDCAD-OTC,1787856780,1.410635,1.410575,1.411295,1.409985,0
turbo,USDCAD-OTC,1787856840,1.410465,1.411185,1.411805,1.410155,0
turbo,USDCAD-OTC,1787856900,1.411165,1.408725,1.411215,1.408725,0
turbo,USDCAD-OTC,1787856960,1.408775,1.406985,1.408935,1.406865,0
turbo,USDCAD-OTC,1787857020,1.407015,1.405335,1.407195,1.405105,0
turbo,USDCAD-OTC,1787857080,1.405125,1.403535,1.405125,1.403495,0
turbo,USDCAD-OTC,1787857140,1.403435,1.403855,1.405005,1.403095,0
turbo,USDCAD-OTC,1787857200,1.403785,1.403635,1.404165,1.402745,0
turbo,USDCAD-OTC,1787857260,1.403715,1.403545,1.403935,1.402265,0
turbo,USDCAD-OTC,1787857320,1.403505,1.402595,1.403585,1.402335,0
turbo,USDCAD-OTC,1787857380,1.402715,1.402295,1.403385,1.402105,0
turbo,USDCAD-OTC,1787857440,1.402415,1.402545,1.403395,1.401445,0
turbo,USDCAD-OTC,1787857500,1.402665,1.403065,1.404225,1.401775,0
turbo,USDCAD-OTC,1787857560,1.403095,1.402985,1.403605,1.402435,0
turbo,USDCAD-OTC,1787857620,1.402925,1.402935,1.403085,1.401845,0
turbo,USDCAD-OTC,1787857680,1.402875,1.403635,1.403915,1.401985,0
turbo,USDCAD-OTC,1787857740,1.403585,1.404615,1.404765,1.403055,0
turbo,USDCAD-OTC,1787857800,1.404515,1.405265,1.406235,1.404415,0
turbo,USDCAD-OTC,1787857860,1.405215,1.406935,1.407005,1.404725,0
turbo,USDCAD-OTC,1787857920,1.407075,1.407295,1.408535,1.406575,0
turbo,USDCAD-OTC,1787857980,1.407245,1.406045,1.407415,1.405755,0
turbo,USDCAD-OTC,1787858040,1.406115,1.406735,1.407705,1.406035,0
turbo,USDCAD-OTC,1787858100,1.406655,1.405725,1.406775,1.405225,0
turbo,USDCAD-OTC,1787858160,1.405625,1.406335,1.407155,1.405065,0
turbo,USDCAD-OTC,1787858220,1.406385,1.405755,1.406925,1.405655,0
turbo,USDCAD-OTC,1787858280,1.405835,1.405005,1.406175,1.404845,0
turbo,USDCAD-OTC,1787858340,1.404895,1.405625,1.406255,1.404475,0
turbo,USDCAD-OTC,1787858400,1.405545,1.406765,1.407025,1.404025,0
