tipo,activo,from,open,close,max,min,volume
turbo,CASINOS-OTC,1786725960,2576.1005,2576.1535,2579.7475,2575.4815,0
turbo,CASINOS-OTC,1786726020,2575.8065,2569.3975,2577.4145,2568.9835,0
turbo,CASINOS-OTC,1786726080,2569.3995,2569.0775,2569.5305,2566.2885,0
turbo,CASINOS-OTC,1786726140,2569.0785,2571.6335,2572.6625,2568.1425,0
turbo,CASINOS-OTC,1786726200,2571.5665,2571.9335,2574.9005,2570.8785,0
turbo,CASINOS-OTC,1786726260,2572.0555,2575.9775,2575.9775,2570.7765,0
turbo,CASINOS-OTC,1786726320,2575.5995,2572.9675,2576.8515,2572.3645,0
turbo,CASINOS-OTC,1786726380,2572.9485,2571.6895,2574.7775,2571.6895,0
turbo,CASINOS-OTC,1786726440,2571.7015,2567.5425,2571.7015,2565.2085,0
turbo,CASINOS-OTC,1786726500,2567.5395,2570.6035,2571.4905,2565.1045,0
turbo,CASINOS-OTC,1786726560,2570.7255,2574.6795,2576.3285,2570.1695,0
turbo,CASINOS-OTC,1786726620,2574.3595,2578.4175,2578.9285,2573.5275,0
turbo,CASINOS-OTC,1786726680,2578.8505,2590.0135,2590.1225,2578.4465,0
turbo,CASINOS-OTC,1786726740,2590.2715,2590.1615,2591.5525,2588.1875,0
turbo,CASINOS-OTC,1786726800,2590.1625,2595.3255,2596.9205,2590.1015,0
turbo,CASINOS-OTC,1786726860,2595.4505,2595.7235,2597.5565,2594.9325,0
turbo,CASINOS-OTC,1786726920,2595.7365,2596.2205,2596.7785,2592.3305,0
turbo,CASINOS-OTC,1786726980,2596.2855,2600.0085,2601.8055,2595.9755,0
turbo,CASINOS-OTC,1786727040,2599.9545,2597.2445,2600.5025,2595.7045,0
turbo,CASINOS-OTC,1786727100,2597.2485,2599.4375,2600.0855,2596.7265,0
turbo,CASINOS-OTC,1786727160,2599.3205,2593.6295,2600.4505,2593.6295,0
turbo,CASINOS-OTC,1786727220,2593.3005,2593.4215,2594.5665,2591.4225,0
turbo,CASINOS-OTC,1786727280,2593.4665,2588.7965,2594.1135,2588.2065,0
turbo,CASINOS-OTC,1786727340,2588.7985,2589.4825,2589.5705,2585.1895,0
turbo,CASINOS-OTC,1786727400,2589.1885,2592.4075,2593.2325,2587.4645,0
turbo,CASINOS-OTC,1786727460,2592.6595,2592.6745,2595.1905,2591.6165,0
turbo,CASINOS-OTC,1786727520,2592.6765,2591.7265,2594.4265,2590.1195,0
turbo,CASINOS-OTC,1786727580,2591.6755,2592.2535,2593.7875,2590.5135,0
turbo,CASINOS-OTC,1786727640,2592.0955,2590.0715,2592.5945,2588.8065,0
turbo,CASINOS-OTC,1786727700,2590.0735,2595.5565,2595.5565,2590.0325,0
turbo,CASINOS-OTC,1786727760,2595.6805,2599.9775,2600.6285,2595.6805,0
turbo,CASINOS-OTC,1786727820,2599.9805,2589.8765,2600.0405,2589.8765,0
turbo,CASINOS-OTC,1786727880,2590.0055,2591.1055,2591.6955,2587.9395,0
turbo,CASINOS-OTC,1786727940,2591.3705,2592.0115,2593.7005,2591.1265,0
turbo,CASINOS-OTC,1786728000,2592.2555,2596.5115,2596.5115,2591.8045,0
turbo,CASINOS-OTC,1786728060,2596.8005,2597.3275,2599.6525,2596.3095,0
turbo,CASINOS-OTC,1786728120,2597.3705,2595.7295,2597.5355,2593.7775,0
turbo,CASINOS-OTC,1786728180,2595.5545,2600.1635,2602.3305,2595.0565,0
turbo,CASINOS-OTC,1786728240,2600.3395,2597.8545,2601.6175,2597.7035,0
turbo,CASINOS-OTC,1786728300,2597.5425,2597.5595,2599.4915,2596.4405,0
turbo,CASINOS-OTC,1786728360,2598.0175,2596.8425,2600.1375,2596.3115,0
turbo,CASINOS-OTC,1786728420,2596.8405,2593.8715,2597.3025,2591.2745,0
turbo,CASINOS-OTC,1786728480,2593.8725,2593.4385,2597.3565,2591.4095,0
turbo,CASINOS-OTC,1786728540,2593.4205,2597.2805,2597.5305,2592.3655,0
turbo,CASINOS-OTC,1786728600,2597.3475,2596.2635,2597.3475,2594.1795,0
turbo,CASINOS-OTC,1786728660,2596.2155,2603.7415,2603.7415,2595.7515,0
turbo,CASINOS-OTC,1786728720,2603.7385,2602.4015,2604.8055,2602.0375,0
turbo,CASINOS-OTC,1786728780,2602.2135,2608.3255,2608.9015,2600.6665,0
turbo,CASINOS-OTC,1786728840,2608.3285,2606.2625,2608.3565,2602.9285,0
turbo,CASINOS-OTC,1786728900,2606.3215,2609.5025,2609.8505,2605.6865,0
turbo,CASINOS-OTC,1786728960,2609.5675,2608.9415,2609.6945,2605.8685,0
turbo,CASINOS-OTC,1786729020,2608.8905,2605.9125,2612.0485,2605.9125,0
turbo,CASINOS-OTC,1786729080,2605.9085,2606.2095,2611.1475,2605.1915,0
turbo,CASINOS-OTC,1786729140,2606.1025,2608.3455,2609.4105,2604.8025,0
turbo,CASINOS-OTC,1786729200,2608.3465,2609.6055,2613.0185,2608.3465,0
turbo,CASINOS-OTC,1786729260,2609.4265,2604.4455,2611.5985,2603.6205,0
turbo,CASINOS-OTC,1786729320,2604.3965,2601.2545,2606.8285,2599.7325,0
turbo,CASINOS-OTC,1786729380,2601.2555,2605.8925,2606.1805,2600.6065,0
turbo,CASINOS-OTC,1786729440,2605.9375,2597.9315,2605.9375,2597.6845,0
turbo,CASINOS-OTC,1786729500,2597.7825,2601.1915,2603.0355,2596.7975,0
turbo,CASINOS-OTC,1786729560,2601.0625,2594.2145,2601.0625,2594.2145,0
turbo,CASINOS-OTC,1786729620,2593.8375,2592.8955,2595.2235,2592.1455,0
turbo,CASINOS-OTC,1786729680,2592.8925,2590.4095,2592.8925,2588.1705,0
turbo,CASINOS-OTC,1786729740,2590.4115,2592.0385,2593.0575,2589.5055,0
turbo,CASINOS-OTC,1786729800,2592.2425,2589.6885,2592.2425,2586.7695,0
turbo,CASINOS-OTC,1786729860,2589.6845,2587.9285,2590.4265,2587.5515,0
turbo,CASINOS-OTC,1786729920,2587.8635,2587.4645,2590.8085,2586.6465,0
turbo,CASINOS-OTC,1786729980,2587.3455,2585.4855,2588.4225,2585.0665,0
turbo,CASINOS-OTC,1786730040,2585.4175,2590.6615,2590.6615,2582.7695,0
turbo,CASINOS-OTC,1786730100,2590.3395,2592.9025,2593.2035,2589.2755,0
turbo,CASINOS-OTC,1786730160,2592.8385,2594.6855,2597.5975,2591.9345,0
turbo,CASINOS-OTC,1786730220,2594.6915,2593.7495,2595.8245,2592.4685,0
turbo,CASINOS-OTC,1786730280,2593.8075,2599.8805,2600.4355,2593.2745,0
turbo,CASINOS-OTC,1786730340,2600.0635,2601.8185,2603.4155,2598.3635,0
turbo,CASINOS-OTC,1786730400,2601.8195,2595.8095,2602.2885,2595.8095,0
turbo,CASINOS-OTC,1786730460,2595.7065,2602.7015,2602.7015,2594.2425,0
turbo,CASINOS-OTC,1786730520,2602.7585,2603.6725,2605.5705,2601.2435,0
turbo,CASINOS-OTC,1786730580,2603.7955,2603.2605,2606.3865,2599.5185,0
turbo,CASINOS-OTC,1786730640,2603.2635,2605.3095,2606.3105,2602.7125,0
turbo,CASINOS-OTC,1786730700,2605.1885,2610.4455,2611.0965,2605.0645,0
turbo,CASINOS-OTC,1786730760,2611.0225,2614.8565,2616.7105,2610.3455,0
turbo,CASINOS-OTC,1786730820,2614.9235,2618.2125,2618.2275,2611.8085,0
turbo,CASINOS-OTC,1786730880,2618.2675,2625.5595,2626.9965,2618.2675,0
turbo,CASINOS-OTC,1786730940,2625.1775,2622.1205,2627.6415,2621.4035,0
turbo,CASINOS-OTC,1786731000,2622.0565,2622.5245,2624.9345,2620.7105,0
turbo,CASINOS-OTC,1786731060,2622.5265,2625.7925,2625.7925,2620.9445,0
