tipo,activo,from,open,close,max,min,volume
turbo,CHFJPY-OTC,1786725960,195.7375,195.7585,195.8095,195.7045,0
turbo,CHFJPY-OTC,1786726020,195.7575,195.6935,195.7625,195.6935,0
turbo,CHFJPY-OTC,1786726080,195.7015,195.7405,195.7775,195.6795,0
turbo,CHFJPY-OTC,1786726140,195.7365,195.7135,195.7405,195.6665,0
turbo,CHFJPY-OTC,1786726200,195.7165,195.6935,195.7225,195.6805,0
turbo,CHFJPY-OTC,1786726260,195.6955,195.7125,195.7135,195.6465,0
turbo,CHFJPY-OTC,1786726320,195.7095,195.7405,195.7945,195.7015,0
turbo,CHFJPY-OTC,1786726380,195.7455,195.7995,195.8125,195.7195,0
turbo,CHFJPY-OTC,1786726440,195.8055,195.8635,195.8815,195.8015,0
turbo,CHFJPY-OTC,1786726500,195.8685,195.8075,195.8895,195.7455,0
turbo,CHFJPY-OTC,1786726560,195.8065,195.6575,195.8245,195.6545,0
turbo,CHFJPY-OTC,1786726620,195.6595,195.6205,195.6995,195.6195,0
turbo,CHFJPY-OTC,1786726680,195.6175,195.6715,195.6855,195.5895,0
turbo,CHFJPY-OTC,1786726740,195.6705,195.6615,195.7095,195.6445,0
turbo,CHFJPY-OTC,1786726800,195.6675,195.5685,195.6775,195.5565,0
turbo,CHFJPY-OTC,1786726860,195.5715,195.5655,195.6065,195.5415,0
turbo,CHFJPY-OTC,1786726920,195.5595,195.6315,195.6765,195.5525,0
turbo,CHFJPY-OTC,1786726980,195.6275,195.6125,195.6805,195.5915,0
turbo,CHFJPY-OTC,1786727040,195.6075,195.4655,195.6225,195.4505,0
turbo,CHFJPY-OTC,1786727100,195.4605,195.4515,195.4965,195.4085,0
turbo,CHFJPY-OTC,1786727160,195.4505,195.4125,195.4995,195.4035,0
turbo,CHFJPY-OTC,1786727220,195.4015,195.3965,195.4105,195.3445,0
turbo,CHFJPY-OTC,1786727280,195.3945,195.3435,195.4445,195.3415,0
turbo,CHFJPY-OTC,1786727340,195.3395,195.3145,195.3555,195.2755,0
turbo,CHFJPY-OTC,1786727400,195.3115,195.3295,195.3705,195.2675,0
turbo,CHFJPY-OTC,1786727460,195.3275,195.2625,195.3315,195.2335,0
turbo,CHFJPY-OTC,1786727520,195.2655,195.2865,195.3255,195.2365,0
turbo,CHFJPY-OTC,1786727580,195.2855,195.1755,195.2855,195.1745,0
turbo,CHFJPY-OTC,1786727640,195.1775,195.2055,195.2525,195.1775,0
turbo,CHFJPY-OTC,1786727700,195.2065,195.1545,195.2065,195.1475,0
turbo,CHFJPY-OTC,1786727760,195.1725,195.2515,195.2555,195.1555,0
turbo,CHFJPY-OTC,1786727820,195.2555,195.2475,195.2695,195.2135,0
turbo,CHFJPY-OTC,1786727880,195.2455,195.1405,195.2695,195.1345,0
turbo,CHFJPY-OTC,1786727940,195.1435,195.1305,195.1725,195.0765,0
turbo,CHFJPY-OTC,1786728000,195.1325,195.1685,195.1795,195.0965,0
turbo,CHFJPY-OTC,1786728060,195.1695,195.2815,195.2875,195.1695,0
turbo,CHFJPY-OTC,1786728120,195.2795,195.2605,195.3395,195.2605,0
turbo,CHFJPY-OTC,1786728180,195.2595,195.2455,195.2775,195.2075,0
turbo,CHFJPY-OTC,1786728240,195.2525,195.2535,195.2755,195.2175,0
turbo,CHFJPY-OTC,1786728300,195.2555,195.3045,195.3395,195.2265,0
turbo,CHFJPY-OTC,1786728360,195.3065,195.3005,195.3445,195.2525,0
turbo,CHFJPY-OTC,1786728420,195.2965,195.3295,195.3655,195.2605,0
turbo,CHFJPY-OTC,1786728480,195.3285,195.3045,195.3845,195.3005,0
turbo,CHFJPY-OTC,1786728540,195.3065,195.2765,195.4045,195.2765,0
turbo,CHFJPY-OTC,1786728600,195.2775,195.2295,195.2785,195.1985,0
turbo,CHFJPY-OTC,1786728660,195.2325,195.2275,195.2515,195.1835,0
turbo,CHFJPY-OTC,1786728720,195.2345,195.1615,195.2415,195.1475,0
turbo,CHFJPY-OTC,1786728780,195.1645,195.1395,195.1815,195.1055,0
turbo,CHFJPY-OTC,1786728840,195.1445,195.1565,195.2255,195.1275,0
turbo,CHFJPY-OTC,1786728900,195.1645,195.0845,195.1645,195.0835,0
turbo,CHFJPY-OTC,1786728960,195.0725,195.1445,195.1445,195.0445,0
turbo,CHFJPY-OTC,1786729020,195.1465,195.1975,195.2075,195.1355,0
turbo,CHFJPY-OTC,1786729080,195.1965,195.1855,195.2465,195.1795,0
turbo,CHFJPY-OTC,1786729140,195.1835,195.1395,195.1955,195.1225,0
turbo,CHFJPY-OTC,1786729200,195.1235,195.0065,195.1265,194.9795,0
turbo,CHFJPY-OTC,1786729260,195.0035,194.9815,195.0155,194.9595,0
turbo,CHFJPY-OTC,1786729320,194.9785,195.0585,195.0635,194.9565,0
turbo,CHFJPY-OTC,1786729380,195.0565,195.0625,195.0795,195.0015,0
turbo,CHFJPY-OTC,1786729440,195.0635,195.0645,195.0875,195.0295,0
turbo,CHFJPY-OTC,1786729500,195.0725,195.1455,195.1625,195.0675,0
turbo,CHFJPY-OTC,1786729560,195.1435,195.0975,195.1735,195.0965,0
turbo,CHFJPY-OTC,1786729620,195.0985,195.0375,195.1035,195.0225,0
turbo,CHFJPY-OTC,1786729680,195.0355,195.0275,195.0665,195.0045,0
turbo,CHFJPY-OTC,1786729740,195.0315,194.9545,195.0505,194.9545,0
turbo,CHFJPY-OTC,1786729800,194.9455,194.9105,194.9615,194.9015,0
turbo,CHFJPY-OTC,1786729860,194.9175,194.7925,194.9235,194.7895,0
turbo,CHFJPY-OTC,1786729920,194.7905,194.9205,194.9295,194.7905,0
turbo,CHFJPY-OTC,1786729980,194.9195,194.8895,194.9275,194.8485,0
turbo,CHFJPY-OTC,1786730040,194.8945,194.9205,194.9425,194.8815,0
turbo,CHFJPY-OTC,1786730100,194.9155,194.9455,195.0065,194.9065,0
turbo,CHFJPY-OTC,1786730160,194.9465,194.8245,194.9465,194.8055,0
turbo,CHFJPY-OTC,1786730220,194.8265,194.8975,194.9195,194.8125,0
turbo,CHFJPY-OTC,1786730280,194.8865,194.7295,194.8915,194.7175,0
turbo,CHFJPY-OTC,1786730340,194.7305,194.6345,194.7305,194.6345,0
turbo,CHFJPY-OTC,1786730400,194.6335,194.6645,194.6785,194.6005,0
turbo,CHFJPY-OTC,1786730460,194.6655,194.7095,194.7445,194.6485,0
turbo,CHFJPY-OTC,1786730520,194.7085,194.6025,194.7095,194.5965,0
turbo,CHFJPY-OTC,1786730580,194.5985,194.6365,194.6735,194.5985,0
turbo,CHFJPY-OTC,1786730640,194.6375,194.6755,194.7025,194.6205,0
turbo,CHFJPY-OTC,1786730700,194.6765,194.7525,194.7555,194.6405,0
turbo,CHFJPY-OTC,1786730760,194.7585,194.7685,194.8135,194.7505,0
turbo,CHFJPY-OTC,1786730820,194.7705,194.8175,194.8295,194.7315,0
turbo,CHFJPY-OTC,1786730880,194.8225,194.7535,194.8735,194.7495,0
turbo,CHFJPY-OTC,1786730940,194.7525,194.6975,194.7705,194.6935,0
turbo,CHFJPY-OTC,1786731000,194.6945,194.7615,194.7725,194.6635,0
turbo,CHFJPY-OTC,1786731060,194.7705,194.7325,194.8615,194.7325,0
turbo,CHFJPY-OTC,1786731120,194.7345,194.6995,194.7845,194.6945,0
turbo,CHFJPY-OTC,1786731180,194.7005,194.7475,194.7915,194.6805,0
turbo,CHFJPY-OTC,1786731240,194.7455,194.6975,194.7685,194.6845,0
turbo,CHFJPY-OTC,1786731300,194.6915,194.7065,194.7165,194.6435,0
turbo,CHFJPY-OTC,1786731360,194.7045,194.6935,194.7205,194.6345,0
turbo,CHFJPY-OTC,1786731420,194.6925,194.6855,194.7765,194.6475,0
turbo,CHFJPY-OTC,1786731480,194.6805,194.6875,194.7155,194.6555,0
turbo,CHFJPY-OTC,1786731540,194.6825,194.6585,194.7405,194.6505,0
turbo,CHFJPY-OTC,1786731600,194.6645,194.6575,194.7035,194.6255,0
turbo,CHFJPY-OTC,1786731660,194.6565,194.7145,194.7585,194.6395,0
turbo,CHFJPY-OTC,1786731720,194.7065,194.6365,194.7225,194.6195,0
