tipo,activo,from,open,close,max,min,volume
turbo,JPM-OTC,1786725960,344.2165,344.8905,344.9065,344.0745,0
turbo,JPM-OTC,1786726020,344.8925,345.2855,345.2855,344.5835,0
turbo,JPM-OTC,1786726080,345.2785,345.2065,345.3625,345.0445,0
turbo,JPM-OTC,1786726140,345.2015,344.2215,345.3055,344.0095,0
turbo,JPM-OTC,1786726200,344.1965,344.1835,344.4325,344.0595,0
turbo,JPM-OTC,1786726260,344.1885,344.9345,345.0425,344.1045,0
turbo,JPM-OTC,1786726320,344.9205,344.8055,345.2265,344.7265,0
turbo,JPM-OTC,1786726380,344.8035,343.8995,344.8065,343.8395,0
turbo,JPM-OTC,1786726440,343.9065,344.1475,344.3655,343.8345,0
turbo,JPM-OTC,1786726500,344.1535,343.9705,344.3445,343.9155,0
turbo,JPM-OTC,1786726560,343.9775,343.3345,343.9965,343.2925,0
turbo,JPM-OTC,1786726620,343.3395,343.1155,343.7285,343.0875,0
turbo,JPM-OTC,1786726680,343.1225,343.8515,343.8515,343.1225,0
turbo,JPM-OTC,1786726740,343.8575,343.7085,344.0955,343.6725,0
turbo,JPM-OTC,1786726800,343.7145,343.5625,343.8275,343.3465,0
turbo,JPM-OTC,1786726860,343.5595,343.9415,344.0235,343.1735,0
turbo,JPM-OTC,1786726920,343.8885,344.0045,344.0155,343.5455,0
turbo,JPM-OTC,1786726980,343.9685,344.6125,344.6285,343.8055,0
turbo,JPM-OTC,1786727040,344.6045,344.5765,344.7565,344.3805,0
turbo,JPM-OTC,1786727100,344.5705,344.7205,344.8525,344.5105,0
turbo,JPM-OTC,1786727160,344.7255,345.2795,345.2795,344.6695,0
turbo,JPM-OTC,1786727220,345.2865,345.3705,345.5095,344.9585,0
turbo,JPM-OTC,1786727280,345.3775,345.5175,345.7215,345.0555,0
turbo,JPM-OTC,1786727340,345.5125,345.6485,345.7015,345.2485,0
turbo,JPM-OTC,1786727400,345.6635,346.0765,346.2705,345.5775,0
turbo,JPM-OTC,1786727460,346.0775,346.2635,346.2885,345.9385,0
turbo,JPM-OTC,1786727520,346.2655,345.6365,346.5105,345.4865,0
turbo,JPM-OTC,1786727580,345.6345,345.7435,345.7935,345.3995,0
turbo,JPM-OTC,1786727640,345.7405,346.0315,346.6815,345.7405,0
turbo,JPM-OTC,1786727700,346.0295,346.4265,346.5855,345.8915,0
turbo,JPM-OTC,1786727760,346.4315,346.1395,346.4845,345.8535,0
turbo,JPM-OTC,1786727820,346.0715,345.9405,346.1175,345.6645,0
turbo,JPM-OTC,1786727880,345.9375,345.6235,345.9675,345.4195,0
turbo,JPM-OTC,1786727940,345.6305,346.2745,346.3165,345.4465,0
turbo,JPM-OTC,1786728000,346.2485,345.8155,346.2485,345.7595,0
turbo,JPM-OTC,1786728060,345.8165,345.8455,346.3555,345.8085,0
turbo,JPM-OTC,1786728120,345.8295,345.0465,346.1855,344.8215,0
turbo,JPM-OTC,1786728180,345.0405,345.0525,345.4245,344.9855,0
turbo,JPM-OTC,1786728240,345.0595,345.2895,345.2895,344.9805,0
turbo,JPM-OTC,1786728300,345.2715,344.5655,345.3895,344.2615,0
turbo,JPM-OTC,1786728360,344.5675,344.0615,344.5695,343.9935,0
turbo,JPM-OTC,1786728420,344.0625,343.2285,344.0685,343.1845,0
turbo,JPM-OTC,1786728480,343.2485,343.2025,343.4965,342.9295,0
turbo,JPM-OTC,1786728540,343.1995,342.7355,343.2955,342.5135,0
turbo,JPM-OTC,1786728600,342.7395,343.0325,343.0525,342.5615,0
turbo,JPM-OTC,1786728660,343.0485,343.1285,343.2965,342.6165,0
turbo,JPM-OTC,1786728720,343.1325,343.2135,343.4495,343.0315,0
turbo,JPM-OTC,1786728780,343.1775,343.2805,343.4255,342.8915,0
turbo,JPM-OTC,1786728840,343.2775,343.1405,343.3555,342.8475,0
turbo,JPM-OTC,1786728900,343.1355,342.7815,343.1825,342.6865,0
turbo,JPM-OTC,1786728960,342.7855,343.7595,343.7645,342.6915,0
turbo,JPM-OTC,1786729020,343.7775,344.2595,344.2595,343.6535,0
turbo,JPM-OTC,1786729080,344.2055,344.3245,344.4625,344.0775,0
turbo,JPM-OTC,1786729140,344.3085,344.0035,344.3455,343.9165,0
turbo,JPM-OTC,1786729200,344.0075,344.0235,344.0475,343.7315,0
turbo,JPM-OTC,1786729260,344.0215,344.0235,344.1915,343.8095,0
turbo,JPM-OTC,1786729320,344.0605,343.0015,344.0635,342.9815,0
turbo,JPM-OTC,1786729380,343.0095,342.9595,343.1115,342.6375,0
turbo,JPM-OTC,1786729440,342.9675,343.4065,343.4065,342.7375,0
turbo,JPM-OTC,1786729500,343.4055,343.4475,343.8305,343.3365,0
turbo,JPM-OTC,1786729560,343.4485,343.5395,343.7795,343.3245,0
turbo,JPM-OTC,1786729620,343.5455,343.9145,344.0595,343.5455,0
turbo,JPM-OTC,1786729680,343.9295,343.9715,344.0855,343.5805,0
turbo,JPM-OTC,1786729740,343.9825,343.6355,344.0745,343.5665,0
turbo,JPM-OTC,1786729800,343.6325,343.2385,343.6385,343.1195,0
turbo,JPM-OTC,1786729860,343.2305,343.7565,343.7585,343.1895,0
turbo,JPM-OTC,1786729920,343.7575,343.9965,344.2145,343.4665,0
turbo,JPM-OTC,1786729980,343.9945,344.4325,344.6075,343.8635,0
turbo,JPM-OTC,1786730040,344.4255,344.2615,344.4555,343.9305,0
turbo,JPM-OTC,1786730100,344.2565,343.5925,344.2785,343.3685,0
turbo,JPM-OTC,1786730160,343.5935,344.1025,344.2305,343.5295,0
turbo,JPM-OTC,1786730220,344.0515,344.5965,344.6255,343.7015,0
turbo,JPM-OTC,1786730280,344.6315,344.5115,344.8655,344.4935,0
turbo,JPM-OTC,1786730340,344.5175,345.0065,345.0165,344.4575,0
turbo,JPM-OTC,1786730400,345.0115,345.1035,345.1395,344.7505,0
