tipo,activo,from,open,close,max,min,volume
turbo,JUPUSD-OTC,1786725960,0.210535,0.212095,0.212725,0.210425,0
turbo,JUPUSD-OTC,1786726020,0.212005,0.207315,0.212005,0.207045,0
turbo,JUPUSD-OTC,1786726080,0.207415,0.207135,0.208375,0.206375,0
turbo,JUPUSD-OTC,1786726140,0.207405,0.208535,0.209405,0.206235,0
turbo,JUPUSD-OTC,1786726200,0.208435,0.210205,0.210675,0.208145,0
turbo,JUPUSD-OTC,1786726260,0.210235,0.205745,0.210285,0.205745,0
turbo,JUPUSD-OTC,1786726320,0.205725,0.208675,0.209405,0.205615,0
turbo,JUPUSD-OTC,1786726380,0.208635,0.209045,0.209275,0.207745,0
turbo,JUPUSD-OTC,1786726440,0.208935,0.210935,0.210935,0.207945,0
turbo,JUPUSD-OTC,1786726500,0.211065,0.210675,0.211245,0.209595,0
turbo,JUPUSD-OTC,1786726560,0.210745,0.210095,0.211465,0.208215,0
turbo,JUPUSD-OTC,1786726620,0.210065,0.210155,0.210985,0.209295,0
turbo,JUPUSD-OTC,1786726680,0.210185,0.209955,0.212605,0.209955,0
turbo,JUPUSD-OTC,1786726740,0.210055,0.209595,0.210885,0.208775,0
turbo,JUPUSD-OTC,1786726800,0.209585,0.208215,0.210605,0.207725,0
turbo,JUPUSD-OTC,1786726860,0.208075,0.209225,0.210225,0.207255,0
turbo,JUPUSD-OTC,1786726920,0.209175,0.209475,0.210115,0.207195,0
turbo,JUPUSD-OTC,1786726980,0.209875,0.205675,0.209925,0.205575,0
turbo,JUPUSD-OTC,1786727040,0.205715,0.206225,0.206695,0.204945,0
turbo,JUPUSD-OTC,1786727100,0.206295,0.207605,0.207925,0.205295,0
turbo,JUPUSD-OTC,1786727160,0.207655,0.207435,0.208385,0.206335,0
turbo,JUPUSD-OTC,1786727220,0.207525,0.208345,0.208565,0.206185,0
turbo,JUPUSD-OTC,1786727280,0.208475,0.206825,0.208575,0.205705,0
turbo,JUPUSD-OTC,1786727340,0.206805,0.208705,0.208705,0.206065,0
turbo,JUPUSD-OTC,1786727400,0.208795,0.209015,0.210435,0.208705,0
turbo,JUPUSD-OTC,1786727460,0.208945,0.209595,0.212455,0.208045,0
turbo,JUPUSD-OTC,1786727520,0.209565,0.210815,0.212005,0.208305,0
turbo,JUPUSD-OTC,1786727580,0.210755,0.209035,0.211355,0.208975,0
turbo,JUPUSD-OTC,1786727640,0.209085,0.207065,0.210245,0.206685,0
turbo,JUPUSD-OTC,1786727700,0.207135,0.206785,0.208015,0.205105,0
turbo,JUPUSD-OTC,1786727760,0.206845,0.206685,0.208235,0.205885,0
turbo,JUPUSD-OTC,1786727820,0.206605,0.206155,0.207905,0.205535,0
turbo,JUPUSD-OTC,1786727880,0.206075,0.204825,0.206125,0.203435,0
turbo,JUPUSD-OTC,1786727940,0.204455,0.205075,0.205775,0.203605,0
turbo,JUPUSD-OTC,1786728000,0.205015,0.204335,0.205085,0.203045,0
turbo,JUPUSD-OTC,1786728060,0.204455,0.204655,0.204945,0.203205,0
turbo,JUPUSD-OTC,1786728120,0.204665,0.204995,0.205685,0.202905,0
turbo,JUPUSD-OTC,1786728180,0.204945,0.205485,0.205895,0.204015,0
turbo,JUPUSD-OTC,1786728240,0.205365,0.205375,0.207385,0.204965,0
turbo,JUPUSD-OTC,1786728300,0.205365,0.206255,0.206275,0.203045,0
turbo,JUPUSD-OTC,1786728360,0.206105,0.206405,0.206685,0.205275,0
turbo,JUPUSD-OTC,1786728420,0.206335,0.203825,0.206765,0.203575,0
turbo,JUPUSD-OTC,1786728480,0.203935,0.203065,0.203935,0.201225,0
turbo,JUPUSD-OTC,1786728540,0.203165,0.202535,0.204005,0.201945,0
turbo,JUPUSD-OTC,1786728600,0.202335,0.202525,0.203795,0.201595,0
turbo,JUPUSD-OTC,1786728660,0.202615,0.204905,0.205295,0.202585,0
turbo,JUPUSD-OTC,1786728720,0.204915,0.205395,0.205835,0.203815,0
turbo,JUPUSD-OTC,1786728780,0.205405,0.204635,0.206515,0.204605,0
turbo,JUPUSD-OTC,1786728840,0.204515,0.200125,0.205315,0.200125,0
turbo,JUPUSD-OTC,1786728900,0.199965,0.198585,0.200065,0.197795,0
turbo,JUPUSD-OTC,1786728960,0.198575,0.194915,0.198915,0.194885,0
turbo,JUPUSD-OTC,1786729020,0.194755,0.192745,0.194755,0.192445,0
turbo,JUPUSD-OTC,1786729080,0.192655,0.191455,0.193585,0.191235,0
turbo,JUPUSD-OTC,1786729140,0.191405,0.193645,0.193715,0.189905,0
turbo,JUPUSD-OTC,1786729200,0.193705,0.194385,0.194495,0.193065,0
turbo,JUPUSD-OTC,1786729260,0.194305,0.193065,0.194305,0.192655,0
turbo,JUPUSD-OTC,1786729320,0.192945,0.193885,0.194215,0.191335,0
turbo,JUPUSD-OTC,1786729380,0.193975,0.195245,0.195435,0.192025,0
turbo,JUPUSD-OTC,1786729440,0.195155,0.195075,0.195425,0.193365,0
turbo,JUPUSD-OTC,1786729500,0.195155,0.195185,0.196415,0.194525,0
turbo,JUPUSD-OTC,1786729560,0.195255,0.194825,0.195435,0.193545,0
turbo,JUPUSD-OTC,1786729620,0.195125,0.196675,0.196675,0.194235,0
turbo,JUPUSD-OTC,1786729680,0.196605,0.196195,0.197305,0.194985,0
turbo,JUPUSD-OTC,1786729740,0.196105,0.193815,0.196185,0.193725,0
turbo,JUPUSD-OTC,1786729800,0.193855,0.190105,0.193925,0.189915,0
turbo,JUPUSD-OTC,1786729860,0.190135,0.188745,0.191125,0.187715,0
turbo,JUPUSD-OTC,1786729920,0.188785,0.189975,0.191425,0.188515,0
turbo,JUPUSD-OTC,1786729980,0.189825,0.189485,0.191045,0.187895,0
turbo,JUPUSD-OTC,1786730040,0.189475,0.189095,0.190605,0.188155,0
turbo,JUPUSD-OTC,1786730100,0.189245,0.190795,0.191015,0.188225,0
turbo,JUPUSD-OTC,1786730160,0.190705,0.190565,0.191125,0.189225,0
turbo,JUPUSD-OTC,1786730220,0.190545,0.190065,0.192155,0.189315,0
turbo,JUPUSD-OTC,1786730280,0.190025,0.188405,0.190875,0.188075,0
turbo,JUPUSD-OTC,1786730340,0.188325,0.188585,0.189775,0.188115,0
turbo,JUPUSD-OTC,1786730400,0.188665,0.190175,0.191095,0.188185,0
turbo,JUPUSD-OTC,1786730460,0.190265,0.189245,0.190525,0.187875,0
turbo,JUPUSD-OTC,1786730520,0.189135,0.189215,0.189755,0.187735,0
turbo,JUPUSD-OTC,1786730580,0.189105,0.190825,0.191435,0.188825,0
turbo,JUPUSD-OTC,1786730640,0.190945,0.189175,0.190945,0.188565,0
turbo,JUPUSD-OTC,1786730700,0.189195,0.188715,0.190885,0.188575,0
turbo,JUPUSD-OTC,1786730760,0.188655,0.188955,0.189585,0.188075,0
turbo,JUPUSD-OTC,1786730820,0.188935,0.187875,0.190005,0.187865,0
turbo,JUPUSD-OTC,1786730880,0.188025,0.189395,0.189395,0.187295,0
turbo,JUPUSD-OTC,1786730940,0.189485,0.190025,0.191665,0.188765,0
turbo,JUPUSD-OTC,1786731000,0.190015,0.188755,0.190545,0.188005,0
turbo,JUPUSD-OTC,1786731060,0.188705,0.187255,0.188765,0.186635,0
turbo,JUPUSD-OTC,1786731120,0.187305,0.188165,0.188165,0.186085,0
turbo,JUPUSD-OTC,1786731180,0.188105,0.189305,0.190275,0.187815,0
turbo,JUPUSD-OTC,1786731240,0.189435,0.192965,0.193215,0.189195,0
turbo,JUPUSD-OTC,1786731300,0.192785,0.192755,0.193945,0.192075,0
turbo,JUPUSD-OTC,1786731360,0.192715,0.193125,0.195345,0.192535,0
turbo,JUPUSD-OTC,1786731420,0.193015,0.190155,0.193065,0.189665,0
turbo,JUPUSD-OTC,1786731480,0.190255,0.190475,0.191345,0.188655,0
turbo,JUPUSD-OTC,1786731540,0.190515,0.192215,0.192465,0.190515,0
turbo,JUPUSD-OTC,1786731600,0.192505,0.196535,0.196845,0.192365,0
turbo,JUPUSD-OTC,1786731660,0.196715,0.196925,0.197325,0.195835,0
turbo,JUPUSD-OTC,1786731720,0.197045,0.199125,0.199305,0.196955,0
turbo,JUPUSD-OTC,1786731780,0.199095,0.200345,0.200585,0.198675,0
turbo,JUPUSD-OTC,1786731840,0.200105,0.199475,0.200235,0.198265,0
turbo,JUPUSD-OTC,1786731900,0.199375,0.196955,0.199435,0.196645,0
turbo,JUPUSD-OTC,1786731960,0.197055,0.196545,0.198635,0.196545,0
turbo,JUPUSD-OTC,1786732020,0.196485,0.194435,0.197945,0.194435,0
turbo,JUPUSD-OTC,1786732080,0.194415,0.192715,0.194745,0.192615,0
turbo,JUPUSD-OTC,1786732140,0.192655,0.192655,0.193675,0.191275,0
turbo,JUPUSD-OTC,1786732200,0.192575,0.193625,0.194545,0.192265,0
turbo,JUPUSD-OTC,1786732260,0.193525,0.193595,0.194345,0.192995,0
turbo,JUPUSD-OTC,1786732320,0.193665,0.195785,0.197295,0.193665,0
turbo,JUPUSD-OTC,1786732380,0.195495,0.194625,0.196555,0.194455,0
turbo,JUPUSD-OTC,1786732440,0.194525,0.191585,0.194995,0.191095,0
turbo,JUPUSD-OTC,1786732500,0.191625,0.188935,0.191695,0.188935,0
turbo,JUPUSD-OTC,1786732560,0.188605,0.189375,0.189995,0.187055,0
turbo,JUPUSD-OTC,1786732620,0.189595,0.189725,0.191485,0.189215,0
