tipo,activo,from,open,close,max,min,volume
turbo,NZDCAD-OTC,1786725960,0.812505,0.812935,0.812935,0.812475,0
turbo,NZDCAD-OTC,1786726020,0.812915,0.813245,0.813245,0.812835,0
turbo,NZDCAD-OTC,1786726080,0.813255,0.813685,0.813685,0.813145,0
turbo,NZDCAD-OTC,1786726140,0.813675,0.813465,0.813825,0.813435,0
turbo,NZDCAD-OTC,1786726200,0.813455,0.813135,0.813505,0.813105,0
turbo,NZDCAD-OTC,1786726260,0.813145,0.813535,0.813605,0.813105,0
turbo,NZDCAD-OTC,1786726320,0.813555,0.813445,0.813635,0.813325,0
turbo,NZDCAD-OTC,1786726380,0.813455,0.813105,0.813475,0.813045,0
turbo,NZDCAD-OTC,1786726440,0.813125,0.812775,0.813125,0.812695,0
turbo,NZDCAD-OTC,1786726500,0.812755,0.812885,0.812925,0.812495,0
turbo,NZDCAD-OTC,1786726560,0.812865,0.812535,0.812915,0.812475,0
turbo,NZDCAD-OTC,1786726620,0.812545,0.812485,0.812655,0.812365,0
turbo,NZDCAD-OTC,1786726680,0.812495,0.812545,0.812675,0.812315,0
turbo,NZDCAD-OTC,1786726740,0.812535,0.812325,0.812665,0.812315,0
turbo,NZDCAD-OTC,1786726800,0.812335,0.812155,0.812345,0.811815,0
turbo,NZDCAD-OTC,1786726860,0.812165,0.812385,0.812395,0.811945,0
turbo,NZDCAD-OTC,1786726920,0.812345,0.812675,0.812695,0.812295,0
turbo,NZDCAD-OTC,1786726980,0.812665,0.812815,0.812905,0.812385,0
turbo,NZDCAD-OTC,1786727040,0.812795,0.813115,0.813115,0.812655,0
turbo,NZDCAD-OTC,1786727100,0.813125,0.813105,0.813455,0.813015,0
turbo,NZDCAD-OTC,1786727160,0.813115,0.812885,0.813385,0.812795,0
turbo,NZDCAD-OTC,1786727220,0.812855,0.812595,0.812975,0.812535,0
turbo,NZDCAD-OTC,1786727280,0.812605,0.812265,0.812705,0.812005,0
turbo,NZDCAD-OTC,1786727340,0.812275,0.812165,0.812515,0.812165,0
turbo,NZDCAD-OTC,1786727400,0.812135,0.812195,0.812435,0.812135,0
turbo,NZDCAD-OTC,1786727460,0.812205,0.812375,0.812375,0.812105,0
turbo,NZDCAD-OTC,1786727520,0.812355,0.812285,0.812435,0.812115,0
turbo,NZDCAD-OTC,1786727580,0.812275,0.812515,0.812635,0.812135,0
