tipo,activo,from,open,close,max,min,volume
turbo,SATSUSD-OTC,1786725960,0.014525,0.013715,0.014575,0.013575,0
turbo,SATSUSD-OTC,1786726020,0.013725,0.013315,0.013725,0.013185,0
turbo,SATSUSD-OTC,1786726080,0.013305,0.013435,0.013775,0.013285,0
turbo,SATSUSD-OTC,1786726140,0.013445,0.012955,0.013535,0.012935,0
turbo,SATSUSD-OTC,1786726200,0.012965,0.013395,0.013475,0.012965,0
turbo,SATSUSD-OTC,1786726260,0.013385,0.013465,0.013705,0.013215,0
turbo,SATSUSD-OTC,1786726320,0.013545,0.012995,0.013685,0.012895,0
turbo,SATSUSD-OTC,1786726380,0.013035,0.012125,0.013055,0.012005,0
turbo,SATSUSD-OTC,1786726440,0.012095,0.011935,0.012145,0.011825,0
turbo,SATSUSD-OTC,1786726500,0.011895,0.011895,0.012405,0.011785,0
turbo,SATSUSD-OTC,1786726560,0.011885,0.011535,0.011915,0.011505,0
turbo,SATSUSD-OTC,1786726620,0.011505,0.011265,0.011515,0.011065,0
turbo,SATSUSD-OTC,1786726680,0.011215,0.011575,0.011575,0.011085,0
turbo,SATSUSD-OTC,1786726740,0.011585,0.011825,0.011875,0.011375,0
turbo,SATSUSD-OTC,1786726800,0.011855,0.012385,0.012415,0.011815,0
turbo,SATSUSD-OTC,1786726860,0.012365,0.012255,0.012495,0.012165,0
turbo,SATSUSD-OTC,1786726920,0.012265,0.012175,0.012425,0.012055,0
turbo,SATSUSD-OTC,1786726980,0.012205,0.012355,0.012795,0.012175,0
turbo,SATSUSD-OTC,1786727040,0.012345,0.012305,0.012475,0.012065,0
turbo,SATSUSD-OTC,1786727100,0.012295,0.012315,0.012315,0.011975,0
turbo,SATSUSD-OTC,1786727160,0.012365,0.012835,0.012845,0.012325,0
turbo,SATSUSD-OTC,1786727220,0.012845,0.013395,0.013395,0.012815,0
turbo,SATSUSD-OTC,1786727280,0.013415,0.013235,0.013595,0.013185,0
turbo,SATSUSD-OTC,1786727340,0.013275,0.013135,0.013275,0.012665,0
turbo,SATSUSD-OTC,1786727400,0.013145,0.012975,0.013495,0.012975,0
turbo,SATSUSD-OTC,1786727460,0.012985,0.012745,0.013045,0.012605,0
turbo,SATSUSD-OTC,1786727520,0.012765,0.012655,0.012795,0.012545,0
turbo,SATSUSD-OTC,1786727580,0.012685,0.012475,0.012705,0.012445,0
turbo,SATSUSD-OTC,1786727640,0.012395,0.012495,0.012725,0.012305,0
turbo,SATSUSD-OTC,1786727700,0.012485,0.012565,0.012605,0.012275,0
turbo,SATSUSD-OTC,1786727760,0.012465,0.012025,0.012465,0.012005,0
turbo,SATSUSD-OTC,1786727820,0.012055,0.012695,0.012735,0.012015,0
turbo,SATSUSD-OTC,1786727880,0.012705,0.012875,0.012875,0.012445,0
turbo,SATSUSD-OTC,1786727940,0.012885,0.012485,0.012885,0.012245,0
turbo,SATSUSD-OTC,1786728000,0.012515,0.012515,0.012775,0.012195,0
turbo,SATSUSD-OTC,1786728060,0.012505,0.012665,0.012985,0.012435,0
turbo,SATSUSD-OTC,1786728120,0.012655,0.012885,0.013165,0.012625,0
turbo,SATSUSD-OTC,1786728180,0.012925,0.013085,0.013285,0.012925,0
turbo,SATSUSD-OTC,1786728240,0.013055,0.012635,0.013055,0.012505,0
turbo,SATSUSD-OTC,1786728300,0.012645,0.012785,0.012995,0.012565,0
turbo,SATSUSD-OTC,1786728360,0.012795,0.012475,0.012855,0.012375,0
turbo,SATSUSD-OTC,1786728420,0.012465,0.012385,0.012585,0.012205,0
turbo,SATSUSD-OTC,1786728480,0.012405,0.012425,0.012605,0.012175,0
turbo,SATSUSD-OTC,1786728540,0.012435,0.012755,0.012785,0.012255,0
turbo,SATSUSD-OTC,1786728600,0.012735,0.012215,0.012735,0.012055,0
turbo,SATSUSD-OTC,1786728660,0.012245,0.012755,0.012795,0.012205,0
turbo,SATSUSD-OTC,1786728720,0.012735,0.012515,0.012735,0.012225,0
turbo,SATSUSD-OTC,1786728780,0.012475,0.013145,0.013155,0.012475,0
turbo,SATSUSD-OTC,1786728840,0.013165,0.013035,0.013385,0.012945,0
turbo,SATSUSD-OTC,1786728900,0.013085,0.012895,0.013285,0.012805,0
turbo,SATSUSD-OTC,1786728960,0.012855,0.012555,0.012855,0.012385,0
turbo,SATSUSD-OTC,1786729020,0.012565,0.013085,0.013245,0.012415,0
turbo,SATSUSD-OTC,1786729080,0.013095,0.013855,0.013875,0.013095,0
turbo,SATSUSD-OTC,1786729140,0.013825,0.014335,0.014595,0.013805,0
turbo,SATSUSD-OTC,1786729200,0.014405,0.014715,0.014715,0.014345,0
turbo,SATSUSD-OTC,1786729260,0.014685,0.014265,0.014695,0.014265,0
turbo,SATSUSD-OTC,1786729320,0.014295,0.014135,0.014635,0.014115,0
turbo,SATSUSD-OTC,1786729380,0.014155,0.014925,0.015115,0.013985,0
turbo,SATSUSD-OTC,1786729440,0.014955,0.014585,0.015025,0.014585,0
turbo,SATSUSD-OTC,1786729500,0.014595,0.014325,0.014705,0.014195,0
turbo,SATSUSD-OTC,1786729560,0.014355,0.013745,0.014385,0.013715,0
turbo,SATSUSD-OTC,1786729620,0.013645,0.013485,0.013705,0.013295,0
turbo,SATSUSD-OTC,1786729680,0.013505,0.013545,0.013805,0.013375,0
turbo,SATSUSD-OTC,1786729740,0.013555,0.013035,0.013805,0.013005,0
turbo,SATSUSD-OTC,1786729800,0.013035,0.013325,0.013485,0.012905,0
turbo,SATSUSD-OTC,1786729860,0.013275,0.013105,0.013575,0.013105,0
turbo,SATSUSD-OTC,1786729920,0.013115,0.012585,0.013195,0.012575,0
turbo,SATSUSD-OTC,1786729980,0.012615,0.012145,0.012645,0.012145,0
turbo,SATSUSD-OTC,1786730040,0.012175,0.012485,0.012495,0.011955,0
turbo,SATSUSD-OTC,1786730100,0.012475,0.013155,0.013225,0.012445,0
turbo,SATSUSD-OTC,1786730160,0.013165,0.012835,0.013245,0.012715,0
turbo,SATSUSD-OTC,1786730220,0.012825,0.012685,0.013065,0.012595,0
turbo,SATSUSD-OTC,1786730280,0.012545,0.012635,0.012795,0.012455,0
turbo,SATSUSD-OTC,1786730340,0.012675,0.012455,0.012745,0.012205,0
turbo,SATSUSD-OTC,1786730400,0.012415,0.012105,0.012455,0.011885,0
turbo,SATSUSD-OTC,1786730460,0.012095,0.012435,0.012485,0.011995,0
turbo,SATSUSD-OTC,1786730520,0.012375,0.012745,0.012755,0.012125,0
turbo,SATSUSD-OTC,1786730580,0.012755,0.012705,0.012855,0.012405,0
turbo,SATSUSD-OTC,1786730640,0.012685,0.012015,0.012685,0.012005,0
turbo,SATSUSD-OTC,1786730700,0.012025,0.011825,0.012185,0.011795,0
turbo,SATSUSD-OTC,1786730760,0.011855,0.011775,0.011975,0.011675,0
turbo,SATSUSD-OTC,1786730820,0.011795,0.012315,0.012345,0.011685,0
turbo,SATSUSD-OTC,1786730880,0.012335,0.012465,0.012645,0.012255,0
turbo,SATSUSD-OTC,1786730940,0.012475,0.012465,0.012775,0.012045,0
turbo,SATSUSD-OTC,1786731000,0.012475,0.012395,0.012555,0.012015,0
turbo,SATSUSD-OTC,1786731060,0.012415,0.012825,0.012875,0.012345,0
turbo,SATSUSD-OTC,1786731120,0.012795,0.013165,0.013205,0.012735,0
turbo,SATSUSD-OTC,1786731180,0.013125,0.012945,0.013125,0.012715,0
turbo,SATSUSD-OTC,1786731240,0.012845,0.012965,0.012975,0.012565,0
turbo,SATSUSD-OTC,1786731300,0.013005,0.012995,0.013195,0.012815,0
turbo,SATSUSD-OTC,1786731360,0.012955,0.013725,0.013735,0.012915,0
turbo,SATSUSD-OTC,1786731420,0.013745,0.012775,0.013745,0.012705,0
turbo,SATSUSD-OTC,1786731480,0.012785,0.012905,0.012995,0.012635,0
turbo,SATSUSD-OTC,1786731540,0.012895,0.012615,0.013275,0.012485,0
turbo,SATSUSD-OTC,1786731600,0.012755,0.012755,0.012795,0.012345,0
turbo,SATSUSD-OTC,1786731660,0.012745,0.012765,0.013225,0.012625,0
turbo,SATSUSD-OTC,1786731720,0.012795,0.013275,0.013295,0.012725,0
turbo,SATSUSD-OTC,1786731780,0.013255,0.013185,0.013695,0.013085,0
turbo,SATSUSD-OTC,1786731840,0.013195,0.013055,0.013375,0.013015,0
turbo,SATSUSD-OTC,1786731900,0.013045,0.013285,0.013405,0.012745,0
turbo,SATSUSD-OTC,1786731960,0.013295,0.013655,0.013775,0.013215,0
turbo,SATSUSD-OTC,1786732020,0.013645,0.012795,0.013735,0.012765,0
turbo,SATSUSD-OTC,1786732080,0.012775,0.012235,0.012795,0.012235,0
turbo,SATSUSD-OTC,1786732140,0.012285,0.012325,0.012665,0.012185,0
turbo,SATSUSD-OTC,1786732200,0.012345,0.012245,0.012715,0.012155,0
turbo,SATSUSD-OTC,1786732260,0.012235,0.012175,0.012365,0.012075,0
turbo,SATSUSD-OTC,1786732320,0.012215,0.012365,0.012705,0.012155,0
turbo,SATSUSD-OTC,1786732380,0.012385,0.012435,0.012565,0.012165,0
turbo,SATSUSD-OTC,1786732440,0.012425,0.012225,0.012485,0.012005,0
turbo,SATSUSD-OTC,1786732500,0.012215,0.012005,0.012405,0.012005,0
turbo,SATSUSD-OTC,1786732560,0.012015,0.012075,0.012355,0.011915,0
turbo,SATSUSD-OTC,1786732620,0.012115,0.011755,0.012205,0.011755,0
turbo,SATSUSD-OTC,1786732680,0.011765,0.011575,0.011765,0.011455,0
turbo,SATSUSD-OTC,1786732740,0.011565,0.011205,0.011745,0.011085,0
turbo,SATSUSD-OTC,1786732800,0.011215,0.010845,0.011325,0.010845,0
turbo,SATSUSD-OTC,1786732860,0.010815,0.010975,0.011045,0.010535,0
turbo,SATSUSD-OTC,1786732920,0.010985,0.011235,0.011295,0.010875,0
turbo,SATSUSD-OTC,1786732980,0.011225,0.011605,0.011605,0.011105,0
turbo,SATSUSD-OTC,1786733040,0.011595,0.011995,0.012065,0.011515,0
turbo,SATSUSD-OTC,1786733100,0.011965,0.011735,0.012105,0.011735,0
turbo,SATSUSD-OTC,1786733160,0.011725,0.011695,0.011795,0.011535,0
turbo,SATSUSD-OTC,1786733220,0.011705,0.011425,0.011815,0.011425,0
turbo,SATSUSD-OTC,1786733280,0.011405,0.011155,0.011515,0.011125,0
turbo,SATSUSD-OTC,1786733340,0.011165,0.011425,0.011595,0.011155,0
turbo,SATSUSD-OTC,1786733400,0.011415,0.011265,0.011585,0.011185,0
turbo,SATSUSD-OTC,1786733460,0.011275,0.011085,0.011365,0.011045,0
turbo,SATSUSD-OTC,1786733520,0.011085,0.011155,0.011265,0.011025,0
turbo,SATSUSD-OTC,1786733580,0.011215,0.011165,0.011355,0.011015,0
turbo,SATSUSD-OTC,1786733640,0.011135,0.011315,0.011405,0.011015,0
turbo,SATSUSD-OTC,1786733700,0.011305,0.011595,0.011705,0.010995,0
turbo,SATSUSD-OTC,1786733760,0.011615,0.011405,0.011615,0.011375,0
turbo,SATSUSD-OTC,1786733820,0.011365,0.011525,0.011685,0.011335,0
turbo,SATSUSD-OTC,1786733880,0.011555,0.011905,0.011965,0.011345,0
turbo,SATSUSD-OTC,1786733940,0.011925,0.012305,0.012315,0.011855,0
turbo,SATSUSD-OTC,1786734000,0.012355,0.011555,0.012485,0.011555,0
turbo,SATSUSD-OTC,1786734060,0.011575,0.011455,0.011745,0.011415,0
turbo,SATSUSD-OTC,1786734120,0.011435,0.011285,0.011515,0.011185,0
turbo,SATSUSD-OTC,1786734180,0.011305,0.011235,0.011525,0.011205,0
turbo,SATSUSD-OTC,1786734240,0.011255,0.011445,0.011615,0.011255,0
turbo,SATSUSD-OTC,1786734300,0.011435,0.011085,0.011625,0.011035,0
turbo,SATSUSD-OTC,1786734360,0.011075,0.010585,0.011125,0.010585,0
turbo,SATSUSD-OTC,1786734420,0.010575,0.010555,0.010725,0.010395,0
turbo,SATSUSD-OTC,1786734480,0.010545,0.010495,0.010785,0.010445,0
turbo,SATSUSD-OTC,1786734540,0.010525,0.010995,0.011045,0.010495,0
turbo,SATSUSD-OTC,1786734600,0.011015,0.010425,0.011085,0.010405,0
