tipo,activo,from,open,close,max,min,volume
turbo,USDDOP-OTC,1786725960,58.21945,58.24755,58.25115,58.21755,0
turbo,USDDOP-OTC,1786726020,58.24905,58.23055,58.26475,58.22685,0
turbo,USDDOP-OTC,1786726080,58.22785,58.23485,58.24665,58.21405,0
turbo,USDDOP-OTC,1786726140,58.23455,58.18495,58.24295,58.18215,0
turbo,USDDOP-OTC,1786726200,58.18275,58.17205,58.19525,58.15405,0
turbo,USDDOP-OTC,1786726260,58.17225,58.14375,58.18045,58.14285,0
turbo,USDDOP-OTC,1786726320,58.14535,58.13475,58.15745,58.13405,0
turbo,USDDOP-OTC,1786726380,58.13275,58.18465,58.18605,58.13165,0
turbo,USDDOP-OTC,1786726440,58.18335,58.18205,58.19065,58.17465,0
turbo,USDDOP-OTC,1786726500,58.18365,58.18365,58.19495,58.17125,0
turbo,USDDOP-OTC,1786726560,58.18495,58.19685,58.19895,58.16785,0
turbo,USDDOP-OTC,1786726620,58.19875,58.22235,58.22395,58.19695,0
turbo,USDDOP-OTC,1786726680,58.22385,58.20435,58.23885,58.19915,0
turbo,USDDOP-OTC,1786726740,58.20465,58.21985,58.22985,58.19195,0
turbo,USDDOP-OTC,1786726800,58.22135,58.24275,58.25645,58.21755,0
turbo,USDDOP-OTC,1786726860,58.24375,58.21615,58.24945,58.21525,0
turbo,USDDOP-OTC,1786726920,58.21795,58.21045,58.23215,58.20465,0
turbo,USDDOP-OTC,1786726980,58.21165,58.23145,58.24655,58.21165,0
turbo,USDDOP-OTC,1786727040,58.23165,58.23535,58.23975,58.21245,0
turbo,USDDOP-OTC,1786727100,58.23645,58.22575,58.25015,58.21065,0
turbo,USDDOP-OTC,1786727160,58.22665,58.21945,58.22665,58.19265,0
turbo,USDDOP-OTC,1786727220,58.22125,58.21905,58.24865,58.21885,0
turbo,USDDOP-OTC,1786727280,58.21875,58.24225,58.25065,58.20795,0
turbo,USDDOP-OTC,1786727340,58.24055,58.24615,58.25335,58.21945,0
turbo,USDDOP-OTC,1786727400,58.24895,58.28535,58.28585,58.24315,0
turbo,USDDOP-OTC,1786727460,58.28485,58.29715,58.30365,58.28385,0
turbo,USDDOP-OTC,1786727520,58.29905,58.30005,58.30725,58.27735,0
turbo,USDDOP-OTC,1786727580,58.29985,58.31735,58.32455,58.29885,0
turbo,USDDOP-OTC,1786727640,58.31815,58.38065,58.38965,58.31785,0
turbo,USDDOP-OTC,1786727700,58.37895,58.37395,58.39515,58.35965,0
turbo,USDDOP-OTC,1786727760,58.37185,58.37145,58.38745,58.35975,0
turbo,USDDOP-OTC,1786727820,58.37155,58.35495,58.37215,58.34055,0
turbo,USDDOP-OTC,1786727880,58.35715,58.35595,58.36315,58.33665,0
turbo,USDDOP-OTC,1786727940,58.35385,58.37695,58.37725,58.34275,0
turbo,USDDOP-OTC,1786728000,58.37495,58.37395,58.40275,58.37355,0
turbo,USDDOP-OTC,1786728060,58.37525,58.35755,58.39975,58.35275,0
turbo,USDDOP-OTC,1786728120,58.35675,58.31275,58.35755,58.31085,0
turbo,USDDOP-OTC,1786728180,58.31435,58.27145,58.32165,58.27145,0
turbo,USDDOP-OTC,1786728240,58.27005,58.24815,58.27155,58.22695,0
turbo,USDDOP-OTC,1786728300,58.24775,58.25875,58.26675,58.23355,0
turbo,USDDOP-OTC,1786728360,58.26135,58.30275,58.31015,58.25905,0
turbo,USDDOP-OTC,1786728420,58.30015,58.29465,58.32095,58.29035,0
turbo,USDDOP-OTC,1786728480,58.29485,58.27895,58.29935,58.24735,0
turbo,USDDOP-OTC,1786728540,58.27745,58.30535,58.32395,58.27455,0
turbo,USDDOP-OTC,1786728600,58.30765,58.29225,58.31315,58.28065,0
turbo,USDDOP-OTC,1786728660,58.29295,58.30825,58.31895,58.28885,0
turbo,USDDOP-OTC,1786728720,58.30605,58.34635,58.36105,58.30605,0
turbo,USDDOP-OTC,1786728780,58.34665,58.29185,58.35315,58.29185,0
turbo,USDDOP-OTC,1786728840,58.29015,58.30775,58.31505,58.29015,0
turbo,USDDOP-OTC,1786728900,58.30575,58.27355,58.31385,58.27355,0
turbo,USDDOP-OTC,1786728960,58.27375,58.31025,58.31505,58.26085,0
turbo,USDDOP-OTC,1786729020,58.30955,58.35465,58.35585,58.29885,0
turbo,USDDOP-OTC,1786729080,58.35675,58.33825,58.35675,58.32725,0
turbo,USDDOP-OTC,1786729140,58.33895,58.35515,58.35815,58.32745,0
turbo,USDDOP-OTC,1786729200,58.35685,58.35315,58.36315,58.33085,0
turbo,USDDOP-OTC,1786729260,58.35305,58.37915,58.37915,58.34365,0
turbo,USDDOP-OTC,1786729320,58.37945,58.39455,58.39455,58.36565,0
turbo,USDDOP-OTC,1786729380,58.39225,58.41755,58.42935,58.39225,0
turbo,USDDOP-OTC,1786729440,58.41405,58.39595,58.41895,58.38865,0
turbo,USDDOP-OTC,1786729500,58.39495,58.39935,58.40575,58.38615,0
turbo,USDDOP-OTC,1786729560,58.40055,58.41505,58.42265,58.37785,0
