tipo,activo,from,open,close,max,min,volume
turbo,USDMXN-OTC,1786725960,16.938585,16.934965,16.939085,16.933825,0
turbo,USDMXN-OTC,1786726020,16.934965,16.933815,16.939645,16.933785,0
turbo,USDMXN-OTC,1786726080,16.933365,16.933255,16.937965,16.932365,0
turbo,USDMXN-OTC,1786726140,16.933165,16.933785,16.934675,16.930115,0
turbo,USDMXN-OTC,1786726200,16.933825,16.929195,16.935125,16.929195,0
turbo,USDMXN-OTC,1786726260,16.929195,16.921055,16.929525,16.920805,0
turbo,USDMXN-OTC,1786726320,16.921055,16.917425,16.921755,16.917245,0
turbo,USDMXN-OTC,1786726380,16.917335,16.921465,16.922175,16.917335,0
turbo,USDMXN-OTC,1786726440,16.921495,16.921855,16.924705,16.920445,0
turbo,USDMXN-OTC,1786726500,16.921815,16.918225,16.921945,16.917515,0
turbo,USDMXN-OTC,1786726560,16.918365,16.914945,16.922025,16.914235,0
turbo,USDMXN-OTC,1786726620,16.914785,16.912935,16.916575,16.912655,0
turbo,USDMXN-OTC,1786726680,16.912985,16.914585,16.916365,16.912675,0
turbo,USDMXN-OTC,1786726740,16.913515,16.913215,16.914155,16.911015,0
turbo,USDMXN-OTC,1786726800,16.913165,16.910755,16.916245,16.908195,0
turbo,USDMXN-OTC,1786726860,16.910805,16.910875,16.912225,16.909995,0
turbo,USDMXN-OTC,1786726920,16.910875,16.912845,16.914385,16.910805,0
turbo,USDMXN-OTC,1786726980,16.912985,16.911505,16.915975,16.910745,0
turbo,USDMXN-OTC,1786727040,16.911455,16.917495,16.917505,16.911455,0
turbo,USDMXN-OTC,1786727100,16.916435,16.919875,16.919985,16.915125,0
turbo,USDMXN-OTC,1786727160,16.919875,16.920925,16.923045,16.917935,0
turbo,USDMXN-OTC,1786727220,16.920965,16.919825,16.920975,16.917795,0
turbo,USDMXN-OTC,1786727280,16.919685,16.924335,16.924555,16.919355,0
turbo,USDMXN-OTC,1786727340,16.924245,16.923305,16.925385,16.922745,0
turbo,USDMXN-OTC,1786727400,16.922985,16.923715,16.924495,16.920625,0
turbo,USDMXN-OTC,1786727460,16.923755,16.923875,16.925105,16.918635,0
turbo,USDMXN-OTC,1786727520,16.923865,16.919705,16.923865,16.917915,0
turbo,USDMXN-OTC,1786727580,16.919385,16.916115,16.921245,16.915995,0
turbo,USDMXN-OTC,1786727640,16.916025,16.923755,16.924435,16.916025,0
turbo,USDMXN-OTC,1786727700,16.923615,16.918545,16.923625,16.918085,0
turbo,USDMXN-OTC,1786727760,16.918705,16.914975,16.919235,16.914415,0
turbo,USDMXN-OTC,1786727820,16.914965,16.914155,16.915995,16.913705,0
turbo,USDMXN-OTC,1786727880,16.914145,16.916975,16.916975,16.913955,0
turbo,USDMXN-OTC,1786727940,16.917025,16.909985,16.918535,16.909935,0
turbo,USDMXN-OTC,1786728000,16.909305,16.904075,16.909645,16.903385,0
turbo,USDMXN-OTC,1786728060,16.904095,16.903885,16.904255,16.902265,0
turbo,USDMXN-OTC,1786728120,16.903665,16.899595,16.906845,16.899585,0
turbo,USDMXN-OTC,1786728180,16.898945,16.901195,16.904895,16.898855,0
turbo,USDMXN-OTC,1786728240,16.901335,16.901185,16.902525,16.900845,0
turbo,USDMXN-OTC,1786728300,16.901195,16.901165,16.902375,16.900145,0
turbo,USDMXN-OTC,1786728360,16.901175,16.905445,16.905465,16.899565,0
