tipo,activo,from,open,close,max,min,volume
turbo,USDNOK-OTC,1786725960,9.449435,9.459365,9.461165,9.448505,0
turbo,USDNOK-OTC,1786726020,9.459355,9.463165,9.464525,9.459355,0
turbo,USDNOK-OTC,1786726080,9.463445,9.466395,9.466845,9.462265,0
turbo,USDNOK-OTC,1786726140,9.466325,9.472965,9.474375,9.463955,0
turbo,USDNOK-OTC,1786726200,9.474345,9.474425,9.476785,9.470675,0
turbo,USDNOK-OTC,1786726260,9.474565,9.469405,9.474595,9.467495,0
turbo,USDNOK-OTC,1786726320,9.469365,9.467815,9.470535,9.463225,0
turbo,USDNOK-OTC,1786726380,9.467825,9.468665,9.474255,9.467815,0
turbo,USDNOK-OTC,1786726440,9.468565,9.463255,9.470085,9.463015,0
turbo,USDNOK-OTC,1786726500,9.463245,9.460865,9.463925,9.458385,0
turbo,USDNOK-OTC,1786726560,9.461175,9.464845,9.464845,9.458805,0
turbo,USDNOK-OTC,1786726620,9.464805,9.470165,9.471715,9.460955,0
turbo,USDNOK-OTC,1786726680,9.469945,9.471275,9.475395,9.468335,0
turbo,USDNOK-OTC,1786726740,9.470915,9.475415,9.475415,9.470575,0
turbo,USDNOK-OTC,1786726800,9.475535,9.473025,9.476015,9.470985,0
turbo,USDNOK-OTC,1786726860,9.473055,9.476045,9.478085,9.470805,0
turbo,USDNOK-OTC,1786726920,9.475755,9.483315,9.483315,9.472265,0
turbo,USDNOK-OTC,1786726980,9.483335,9.484405,9.486005,9.481925,0
turbo,USDNOK-OTC,1786727040,9.484685,9.489755,9.491335,9.483335,0
turbo,USDNOK-OTC,1786727100,9.489765,9.489915,9.492105,9.487565,0
turbo,USDNOK-OTC,1786727160,9.489985,9.492255,9.492395,9.488065,0
turbo,USDNOK-OTC,1786727220,9.492365,9.491045,9.493925,9.487725,0
turbo,USDNOK-OTC,1786727280,9.491145,9.487435,9.491715,9.484475,0
turbo,USDNOK-OTC,1786727340,9.487445,9.482715,9.491205,9.482715,0
turbo,USDNOK-OTC,1786727400,9.482755,9.482905,9.483085,9.476355,0
turbo,USDNOK-OTC,1786727460,9.483045,9.474755,9.484735,9.473375,0
turbo,USDNOK-OTC,1786727520,9.474835,9.478045,9.482725,9.473445,0
turbo,USDNOK-OTC,1786727580,9.478085,9.479235,9.479265,9.473485,0
turbo,USDNOK-OTC,1786727640,9.480045,9.476555,9.480945,9.476265,0
turbo,USDNOK-OTC,1786727700,9.476595,9.483945,9.484905,9.476595,0
turbo,USDNOK-OTC,1786727760,9.483665,9.484185,9.489535,9.483335,0
turbo,USDNOK-OTC,1786727820,9.483945,9.493185,9.494465,9.483945,0
turbo,USDNOK-OTC,1786727880,9.493575,9.491955,9.494655,9.488985,0
turbo,USDNOK-OTC,1786727940,9.491745,9.490555,9.492405,9.487215,0
turbo,USDNOK-OTC,1786728000,9.490735,9.494725,9.497035,9.490715,0
turbo,USDNOK-OTC,1786728060,9.494535,9.487665,9.495105,9.486895,0
turbo,USDNOK-OTC,1786728120,9.487725,9.485885,9.491985,9.484655,0
turbo,USDNOK-OTC,1786728180,9.485595,9.481855,9.487115,9.480175,0
turbo,USDNOK-OTC,1786728240,9.481865,9.482455,9.483465,9.476945,0
turbo,USDNOK-OTC,1786728300,9.482255,9.483295,9.483855,9.479355,0
turbo,USDNOK-OTC,1786728360,9.483145,9.480855,9.485045,9.478205,0
