tipo,activo,from,open,close,max,min,volume
turbo,USDPLN-OTC,1786725960,3.683235,3.681865,3.683895,3.681795,0
turbo,USDPLN-OTC,1786726020,3.682005,3.681705,3.682145,3.681125,0
turbo,USDPLN-OTC,1786726080,3.681695,3.682105,3.682525,3.681145,0
turbo,USDPLN-OTC,1786726140,3.682195,3.681095,3.683215,3.680835,0
turbo,USDPLN-OTC,1786726200,3.681035,3.680695,3.681815,3.680285,0
turbo,USDPLN-OTC,1786726260,3.680735,3.681135,3.682295,3.680665,0
turbo,USDPLN-OTC,1786726320,3.681095,3.681975,3.682225,3.681085,0
turbo,USDPLN-OTC,1786726380,3.681985,3.682005,3.682785,3.680965,0
turbo,USDPLN-OTC,1786726440,3.681945,3.684575,3.684865,3.681725,0
turbo,USDPLN-OTC,1786726500,3.684565,3.685085,3.685255,3.683985,0
turbo,USDPLN-OTC,1786726560,3.685055,3.686055,3.686445,3.684175,0
turbo,USDPLN-OTC,1786726620,3.686045,3.685685,3.686255,3.685175,0
turbo,USDPLN-OTC,1786726680,3.685715,3.686085,3.686505,3.685355,0
turbo,USDPLN-OTC,1786726740,3.685915,3.685235,3.686055,3.685005,0
turbo,USDPLN-OTC,1786726800,3.685215,3.685905,3.686115,3.685035,0
turbo,USDPLN-OTC,1786726860,3.685915,3.686345,3.687175,3.685525,0
turbo,USDPLN-OTC,1786726920,3.686395,3.685665,3.686395,3.685095,0
turbo,USDPLN-OTC,1786726980,3.685675,3.687725,3.687845,3.685635,0
turbo,USDPLN-OTC,1786727040,3.687815,3.689995,3.690055,3.687695,0
turbo,USDPLN-OTC,1786727100,3.690065,3.688785,3.691125,3.688755,0
turbo,USDPLN-OTC,1786727160,3.688745,3.688205,3.689005,3.687765,0
turbo,USDPLN-OTC,1786727220,3.688215,3.688765,3.689815,3.688005,0
turbo,USDPLN-OTC,1786727280,3.688745,3.687295,3.689065,3.687285,0
turbo,USDPLN-OTC,1786727340,3.687335,3.689315,3.689375,3.687115,0
turbo,USDPLN-OTC,1786727400,3.689325,3.691305,3.691435,3.689245,0
turbo,USDPLN-OTC,1786727460,3.691295,3.692415,3.693125,3.691165,0
turbo,USDPLN-OTC,1786727520,3.692435,3.693115,3.694115,3.692265,0
turbo,USDPLN-OTC,1786727580,3.693245,3.693445,3.693465,3.691695,0
turbo,USDPLN-OTC,1786727640,3.693475,3.692335,3.693735,3.691845,0
turbo,USDPLN-OTC,1786727700,3.692415,3.690865,3.692515,3.690755,0
turbo,USDPLN-OTC,1786727760,3.690875,3.689125,3.691755,3.688685,0
turbo,USDPLN-OTC,1786727820,3.689245,3.687935,3.689375,3.687865,0
turbo,USDPLN-OTC,1786727880,3.687925,3.688105,3.688695,3.687155,0
turbo,USDPLN-OTC,1786727940,3.688095,3.686985,3.688635,3.686925,0
turbo,USDPLN-OTC,1786728000,3.687005,3.684975,3.687295,3.684505,0
turbo,USDPLN-OTC,1786728060,3.684945,3.685345,3.685895,3.684455,0
turbo,USDPLN-OTC,1786728120,3.685335,3.684265,3.685335,3.683995,0
turbo,USDPLN-OTC,1786728180,3.684365,3.682075,3.684675,3.682075,0
turbo,USDPLN-OTC,1786728240,3.681995,3.682605,3.682605,3.681215,0
turbo,USDPLN-OTC,1786728300,3.682535,3.682615,3.683055,3.681445,0
turbo,USDPLN-OTC,1786728360,3.682655,3.681235,3.683095,3.680695,0
turbo,USDPLN-OTC,1786728420,3.681175,3.681435,3.682725,3.681175,0
turbo,USDPLN-OTC,1786728480,3.681465,3.682235,3.682915,3.681355,0
turbo,USDPLN-OTC,1786728540,3.682145,3.681855,3.682145,3.680545,0
turbo,USDPLN-OTC,1786728600,3.681885,3.682075,3.682385,3.680935,0
turbo,USDPLN-OTC,1786728660,3.682015,3.682355,3.682815,3.681715,0
turbo,USDPLN-OTC,1786728720,3.682295,3.682995,3.684375,3.682265,0
turbo,USDPLN-OTC,1786728780,3.682945,3.683105,3.683295,3.681965,0
turbo,USDPLN-OTC,1786728840,3.683135,3.683355,3.684445,3.682635,0
turbo,USDPLN-OTC,1786728900,3.683325,3.681675,3.683435,3.681575,0
turbo,USDPLN-OTC,1786728960,3.681625,3.681185,3.682375,3.681015,0
turbo,USDPLN-OTC,1786729020,3.681105,3.680015,3.681625,3.679735,0
turbo,USDPLN-OTC,1786729080,3.679925,3.680045,3.680435,3.679105,0
turbo,USDPLN-OTC,1786729140,3.680105,3.679915,3.680675,3.678585,0
turbo,USDPLN-OTC,1786729200,3.679995,3.680305,3.680345,3.678455,0
turbo,USDPLN-OTC,1786729260,3.680285,3.681775,3.682325,3.680185,0
turbo,USDPLN-OTC,1786729320,3.681805,3.681205,3.682215,3.680635,0
turbo,USDPLN-OTC,1786729380,3.681305,3.679495,3.681595,3.679085,0
turbo,USDPLN-OTC,1786729440,3.679465,3.680805,3.681075,3.678615,0
turbo,USDPLN-OTC,1786729500,3.680945,3.680695,3.681765,3.680385,0
turbo,USDPLN-OTC,1786729560,3.680805,3.681845,3.682245,3.680755,0
turbo,USDPLN-OTC,1786729620,3.681855,3.681985,3.682685,3.681475,0
turbo,USDPLN-OTC,1786729680,3.681945,3.680815,3.682885,3.680305,0
turbo,USDPLN-OTC,1786729740,3.680805,3.681305,3.681435,3.680115,0
turbo,USDPLN-OTC,1786729800,3.681235,3.683295,3.683405,3.680705,0
turbo,USDPLN-OTC,1786729860,3.683255,3.682965,3.684475,3.682385,0
turbo,USDPLN-OTC,1786729920,3.683035,3.685465,3.685625,3.682975,0
turbo,USDPLN-OTC,1786729980,3.685565,3.684045,3.685955,3.683865,0
turbo,USDPLN-OTC,1786730040,3.684105,3.685325,3.686095,3.683955,0
turbo,USDPLN-OTC,1786730100,3.685245,3.681615,3.685245,3.681345,0
turbo,USDPLN-OTC,1786730160,3.681605,3.680775,3.681935,3.680545,0
turbo,USDPLN-OTC,1786730220,3.681085,3.680235,3.681595,3.679935,0
turbo,USDPLN-OTC,1786730280,3.680305,3.680605,3.682165,3.680005,0
turbo,USDPLN-OTC,1786730340,3.680595,3.679405,3.681085,3.679335,0
turbo,USDPLN-OTC,1786730400,3.679635,3.679735,3.680175,3.678925,0
turbo,USDPLN-OTC,1786730460,3.679765,3.679935,3.680115,3.678735,0
turbo,USDPLN-OTC,1786730520,3.679975,3.682495,3.683035,3.679705,0
turbo,USDPLN-OTC,1786730580,3.682645,3.682935,3.683045,3.681055,0
turbo,USDPLN-OTC,1786730640,3.682955,3.683205,3.683785,3.682575,0
turbo,USDPLN-OTC,1786730700,3.683085,3.683295,3.684585,3.683085,0
turbo,USDPLN-OTC,1786730760,3.683275,3.685335,3.685735,3.683215,0
turbo,USDPLN-OTC,1786730820,3.685295,3.683595,3.685775,3.683595,0
turbo,USDPLN-OTC,1786730880,3.683685,3.684305,3.684745,3.683505,0
turbo,USDPLN-OTC,1786730940,3.684175,3.683145,3.684195,3.682455,0
turbo,USDPLN-OTC,1786731000,3.683155,3.683365,3.684635,3.682955,0
turbo,USDPLN-OTC,1786731060,3.683425,3.682225,3.683815,3.681875,0
turbo,USDPLN-OTC,1786731120,3.682165,3.680565,3.682735,3.680175,0
turbo,USDPLN-OTC,1786731180,3.680585,3.679955,3.681125,3.679385,0
turbo,USDPLN-OTC,1786731240,3.679975,3.681415,3.681525,3.679165,0
turbo,USDPLN-OTC,1786731300,3.681395,3.682845,3.683375,3.681385,0
turbo,USDPLN-OTC,1786731360,3.682835,3.681975,3.684295,3.681715,0
turbo,USDPLN-OTC,1786731420,3.681905,3.682855,3.683165,3.681455,0
turbo,USDPLN-OTC,1786731480,3.682895,3.681435,3.682985,3.681435,0
turbo,USDPLN-OTC,1786731540,3.681415,3.683485,3.683495,3.680575,0
turbo,USDPLN-OTC,1786731600,3.683395,3.682905,3.683685,3.682505,0
turbo,USDPLN-OTC,1786731660,3.682975,3.680275,3.682975,3.680095,0
turbo,USDPLN-OTC,1786731720,3.680285,3.679155,3.680655,3.678895,0
turbo,USDPLN-OTC,1786731780,3.679205,3.680245,3.680615,3.678955,0
turbo,USDPLN-OTC,1786731840,3.680225,3.680005,3.680995,3.679715,0
turbo,USDPLN-OTC,1786731900,3.680045,3.677845,3.680105,3.677845,0
turbo,USDPLN-OTC,1786731960,3.677775,3.676425,3.677775,3.675975,0
turbo,USDPLN-OTC,1786732020,3.676435,3.674665,3.677125,3.674475,0
turbo,USDPLN-OTC,1786732080,3.674715,3.674985,3.675205,3.673755,0
turbo,USDPLN-OTC,1786732140,3.674965,3.676585,3.676845,3.674755,0
turbo,USDPLN-OTC,1786732200,3.676505,3.675225,3.676855,3.674945,0
turbo,USDPLN-OTC,1786732260,3.675275,3.674955,3.675935,3.674535,0
turbo,USDPLN-OTC,1786732320,3.674805,3.672995,3.674805,3.672555,0
turbo,USDPLN-OTC,1786732380,3.672945,3.673125,3.673435,3.672065,0
turbo,USDPLN-OTC,1786732440,3.672725,3.674955,3.675505,3.671845,0
turbo,USDPLN-OTC,1786732500,3.674875,3.670325,3.674875,3.670325,0
turbo,USDPLN-OTC,1786732560,3.670285,3.671545,3.671605,3.670005,0
turbo,USDPLN-OTC,1786732620,3.671445,3.671625,3.672245,3.671435,0
turbo,USDPLN-OTC,1786732680,3.671605,3.672255,3.672715,3.671535,0
turbo,USDPLN-OTC,1786732740,3.672165,3.672165,3.673605,3.671445,0
turbo,USDPLN-OTC,1786732800,3.672295,3.671085,3.672445,3.670625,0
turbo,USDPLN-OTC,1786732860,3.670985,3.670355,3.672075,3.670265,0
turbo,USDPLN-OTC,1786732920,3.670345,3.668675,3.671705,3.668495,0
turbo,USDPLN-OTC,1786732980,3.668715,3.671955,3.672385,3.668385,0
turbo,USDPLN-OTC,1786733040,3.671965,3.672265,3.672505,3.670955,0
turbo,USDPLN-OTC,1786733100,3.672255,3.672015,3.672445,3.671215,0
turbo,USDPLN-OTC,1786733160,3.671975,3.671525,3.672185,3.670455,0
turbo,USDPLN-OTC,1786733220,3.671665,3.670315,3.672175,3.670275,0
turbo,USDPLN-OTC,1786733280,3.670285,3.670645,3.671535,3.669995,0
turbo,USDPLN-OTC,1786733340,3.670775,3.669445,3.670995,3.669305,0
turbo,USDPLN-OTC,1786733400,3.669525,3.670305,3.670775,3.669025,0
turbo,USDPLN-OTC,1786733460,3.670365,3.669545,3.670875,3.669155,0
turbo,USDPLN-OTC,1786733520,3.669565,3.670015,3.670155,3.669135,0
turbo,USDPLN-OTC,1786733580,3.670035,3.671135,3.671205,3.669755,0
turbo,USDPLN-OTC,1786733640,3.671205,3.672035,3.672435,3.670955,0
turbo,USDPLN-OTC,1786733700,3.672075,3.669045,3.672455,3.669035,0
turbo,USDPLN-OTC,1786733760,3.668955,3.669165,3.670205,3.668775,0
turbo,USDPLN-OTC,1786733820,3.669265,3.667535,3.669435,3.666845,0
turbo,USDPLN-OTC,1786733880,3.667465,3.669615,3.669955,3.667465,0
turbo,USDPLN-OTC,1786733940,3.669645,3.669705,3.670855,3.669475,0
turbo,USDPLN-OTC,1786734000,3.669845,3.669295,3.670175,3.668895,0
turbo,USDPLN-OTC,1786734060,3.669205,3.670575,3.670655,3.668645,0
turbo,USDPLN-OTC,1786734120,3.670635,3.669995,3.671165,3.669945,0
turbo,USDPLN-OTC,1786734180,3.670065,3.671515,3.671725,3.669705,0
turbo,USDPLN-OTC,1786734240,3.671495,3.671585,3.672315,3.670745,0
turbo,USDPLN-OTC,1786734300,3.671765,3.674335,3.674405,3.671765,0
turbo,USDPLN-OTC,1786734360,3.674395,3.675335,3.675535,3.674195,0
turbo,USDPLN-OTC,1786734420,3.675245,3.676595,3.676825,3.675205,0
turbo,USDPLN-OTC,1786734480,3.676495,3.675635,3.676815,3.675545,0
turbo,USDPLN-OTC,1786734540,3.675625,3.674535,3.675715,3.673905,0
turbo,USDPLN-OTC,1786734600,3.674475,3.673745,3.674495,3.673165,0
turbo,USDPLN-OTC,1786734660,3.673755,3.675985,3.676225,3.673235,0
turbo,USDPLN-OTC,1786734720,3.675715,3.676395,3.677205,3.675575,0
turbo,USDPLN-OTC,1786734780,3.676575,3.676955,3.677455,3.676455,0
turbo,USDPLN-OTC,1786734840,3.676815,3.674205,3.676815,3.674045,0
turbo,USDPLN-OTC,1786734900,3.674185,3.674415,3.676035,3.674155,0
turbo,USDPLN-OTC,1786734960,3.674375,3.673955,3.675185,3.673665,0
turbo,USDPLN-OTC,1786735020,3.673895,3.674785,3.675185,3.673745,0
turbo,USDPLN-OTC,1786735080,3.674875,3.675015,3.675805,3.674375,0
turbo,USDPLN-OTC,1786735140,3.674955,3.674335,3.674955,3.673705,0
turbo,USDPLN-OTC,1786735200,3.674325,3.674645,3.674895,3.673685,0
turbo,USDPLN-OTC,1786735260,3.674595,3.675575,3.675575,3.673845,0
turbo,USDPLN-OTC,1786735320,3.675555,3.675035,3.676355,3.674755,0
turbo,USDPLN-OTC,1786735380,3.675025,3.676075,3.676325,3.674785,0
turbo,USDPLN-OTC,1786735440,3.675985,3.675035,3.677565,3.674575,0
turbo,USDPLN-OTC,1786735500,3.675085,3.675525,3.675855,3.674445,0
turbo,USDPLN-OTC,1786735560,3.675545,3.674465,3.675865,3.674225,0
turbo,USDPLN-OTC,1786735620,3.674425,3.672925,3.674425,3.672775,0
turbo,USDPLN-OTC,1786735680,3.672885,3.672715,3.673605,3.672655,0
turbo,USDPLN-OTC,1786735740,3.672685,3.672185,3.673575,3.671655,0
turbo,USDPLN-OTC,1786735800,3.672215,3.672445,3.672715,3.671475,0
turbo,USDPLN-OTC,1786735860,3.672365,3.673985,3.674665,3.672115,0
turbo,USDPLN-OTC,1786735920,3.673955,3.673625,3.674615,3.673185,0
turbo,USDPLN-OTC,1786735980,3.673605,3.672365,3.673625,3.672255,0
turbo,USDPLN-OTC,1786736040,3.672455,3.672515,3.673185,3.671945,0
turbo,USDPLN-OTC,1786736100,3.672495,3.669855,3.672495,3.669795,0
turbo,USDPLN-OTC,1786736160,3.669845,3.672135,3.672655,3.669695,0
turbo,USDPLN-OTC,1786736220,3.672125,3.671525,3.672135,3.670515,0
turbo,USDPLN-OTC,1786736280,3.671535,3.669465,3.671775,3.669335,0
turbo,USDPLN-OTC,1786736340,3.669425,3.666915,3.669755,3.666595,0
turbo,USDPLN-OTC,1786736400,3.666945,3.664355,3.667525,3.663805,0
turbo,USDPLN-OTC,1786736460,3.664305,3.663355,3.664775,3.663215,0
turbo,USDPLN-OTC,1786736520,3.663315,3.663255,3.664005,3.662475,0
turbo,USDPLN-OTC,1786736580,3.663305,3.663835,3.664165,3.662495,0
turbo,USDPLN-OTC,1786736640,3.663795,3.663255,3.664775,3.662255,0
turbo,USDPLN-OTC,1786736700,3.663175,3.661585,3.663265,3.661555,0
turbo,USDPLN-OTC,1786736760,3.661565,3.662525,3.662785,3.661085,0
turbo,USDPLN-OTC,1786736820,3.662475,3.659525,3.662585,3.659425,0
turbo,USDPLN-OTC,1786736880,3.659515,3.657975,3.660525,3.657975,0
turbo,USDPLN-OTC,1786736940,3.657935,3.656245,3.657985,3.655255,0
turbo,USDPLN-OTC,1786737000,3.656205,3.653685,3.656285,3.653685,0
turbo,USDPLN-OTC,1786737060,3.653665,3.653745,3.654575,3.653425,0
turbo,USDPLN-OTC,1786737120,3.653705,3.653695,3.654215,3.653165,0
turbo,USDPLN-OTC,1786737180,3.653765,3.654275,3.654305,3.652935,0
turbo,USDPLN-OTC,1786737240,3.654225,3.653775,3.654525,3.653515,0
turbo,USDPLN-OTC,1786737300,3.653685,3.653885,3.653925,3.652925,0
turbo,USDPLN-OTC,1786737360,3.653855,3.652065,3.653965,3.652065,0
turbo,USDPLN-OTC,1786737420,3.652025,3.649185,3.652025,3.649065,0
turbo,USDPLN-OTC,1786737480,3.649215,3.648755,3.649695,3.647705,0
turbo,USDPLN-OTC,1786737540,3.648735,3.645555,3.648885,3.645375,0
turbo,USDPLN-OTC,1786737600,3.645475,3.645145,3.646805,3.645055,0
turbo,USDPLN-OTC,1786737660,3.645195,3.645855,3.646665,3.644935,0
turbo,USDPLN-OTC,1786737720,3.645845,3.647325,3.647325,3.645735,0
turbo,USDPLN-OTC,1786737780,3.647435,3.646785,3.647825,3.646715,0
turbo,USDPLN-OTC,1786737840,3.646775,3.647115,3.647995,3.646525,0
turbo,USDPLN-OTC,1786737900,3.647135,3.646045,3.647185,3.645535,0
turbo,USDPLN-OTC,1786737960,3.646025,3.646125,3.647745,3.646025,0
turbo,USDPLN-OTC,1786738020,3.646175,3.646925,3.647245,3.646175,0
turbo,USDPLN-OTC,1786738080,3.646835,3.647825,3.648095,3.646265,0
turbo,USDPLN-OTC,1786738140,3.647795,3.647705,3.648085,3.646695,0
turbo,USDPLN-OTC,1786738200,3.647725,3.647585,3.647975,3.646475,0
turbo,USDPLN-OTC,1786738260,3.647555,3.649185,3.649215,3.647555,0
turbo,USDPLN-OTC,1786738320,3.649175,3.647695,3.649415,3.647565,0
turbo,USDPLN-OTC,1786738380,3.647565,3.645165,3.647605,3.644925,0
turbo,USDPLN-OTC,1786738440,3.645195,3.644425,3.645315,3.644345,0
turbo,USDPLN-OTC,1786738500,3.644355,3.645295,3.645755,3.644055,0
turbo,USDPLN-OTC,1786738560,3.645185,3.645285,3.645695,3.644565,0
turbo,USDPLN-OTC,1786738620,3.645265,3.646955,3.646955,3.645045,0
turbo,USDPLN-OTC,1786738680,3.646935,3.647375,3.647765,3.646425,0
turbo,USDPLN-OTC,1786738740,3.647395,3.646665,3.648065,3.646415,0
turbo,USDPLN-OTC,1786738800,3.646735,3.644495,3.647125,3.644195,0
turbo,USDPLN-OTC,1786738860,3.644535,3.643705,3.645065,3.643515,0
turbo,USDPLN-OTC,1786738920,3.643675,3.645045,3.645245,3.643345,0
turbo,USDPLN-OTC,1786738980,3.644915,3.644595,3.644995,3.643905,0
turbo,USDPLN-OTC,1786739040,3.644665,3.644845,3.645245,3.644405,0
turbo,USDPLN-OTC,1786739100,3.644755,3.645915,3.646335,3.644545,0
turbo,USDPLN-OTC,1786739160,3.645855,3.644515,3.645855,3.644315,0
turbo,USDPLN-OTC,1786739220,3.644485,3.643015,3.645045,3.642795,0
turbo,USDPLN-OTC,1786739280,3.643055,3.641415,3.643865,3.641395,0
turbo,USDPLN-OTC,1786739340,3.641385,3.642025,3.642605,3.641275,0
