tipo,activo,from,open,close,max,min,volume
turbo,DIA,1788355800,529.545,529.36,529.73,529.345,0
turbo,DIA,1788355860,529.365,529.575,529.59,529.235,0
turbo,DIA,1788355920,529.58,529.97,530.04,529.55,0
turbo,DIA,1788355980,529.98,529.805,530.14,529.62,0
turbo,DIA,1788356040,529.815,530.005,530.075,529.75,0
turbo,DIA,1788356100,530,529.785,530,529.56,0
turbo,DIA,1788356160,529.805,529.755,529.985,529.745,0
turbo,DIA,1788356220,529.76,530.06,530.06,529.715,0
turbo,DIA,1788356280,530.055,530.36,530.455,530.015,0
turbo,DIA,1788356340,530.355,530.275,530.4,530.095,0
turbo,DIA,1788356400,530.285,530.02,530.29,529.925,0
turbo,DIA,1788356460,530.015,529.74,530.12,529.7,0
turbo,DIA,1788356520,529.735,529.44,529.77,529.42,0
turbo,DIA,1788356580,529.445,529.84,529.9,529.405,0
turbo,DIA,1788356640,529.835,530.125,530.14,529.745,0
turbo,DIA,1788356700,530.135,529.565,530.165,529.52,0
turbo,DIA,1788356760,529.58,529.525,529.735,529.455,0
turbo,DIA,1788356820,529.54,529.385,529.555,529.275,0
turbo,DIA,1788356880,529.4,529.535,529.6,529.4,0
turbo,DIA,1788356940,529.54,529.415,529.625,529.335,0
turbo,DIA,1788357000,529.415,529.455,529.515,529.39,0
