tipo,activo,from,open,close,max,min,volume
turbo,HONGKONG33:N,1788311700,25212.22,25215.26,25218.3,25185.72,1181
turbo,HONGKONG33:N,1788311760,25215.35,25265.6,25268,25213.6,1193
turbo,HONGKONG33:N,1788311820,25265.45,25285.25,25287.65,25257.74,1068
turbo,HONGKONG33:N,1788311880,25285.1,25281.65,25285.85,25271.35,798
turbo,HONGKONG33:N,1788311940,25281.7,25265.74,25281.94,25256.04,890
turbo,HONGKONG33:N,1788312000,25266.52,25261.35,25277.6,25252.77,832
turbo,HONGKONG33:N,1788312060,25261.52,25255.1,25261.65,25251.65,543
turbo,HONGKONG33:N,1788312120,25255.05,25251.18,25257.75,25247.77,498
turbo,HONGKONG33:N,1788312180,25251.65,25272.85,25274.96,25250.35,646
turbo,HONGKONG33:N,1788312240,25273.05,25281.45,25283.45,25268.77,616
turbo,HONGKONG33:N,1788312300,25281.52,25284.02,25296.85,25281.45,738
turbo,HONGKONG33:N,1788312360,25283.85,25292.6,25293.43,25278.78,646
turbo,HONGKONG33:N,1788312420,25292.45,25287.02,25293.43,25287.02,466
turbo,HONGKONG33:N,1788312480,25287.05,25296.52,25296.52,25279.19,513
turbo,HONGKONG33:N,1788312540,25296.57,25295.52,25298.14,25290.4,535
turbo,HONGKONG33:N,1788312600,25295.53,25237.19,25313.08,25235.77,2455
turbo,HONGKONG33:N,1788312660,25237.36,25224.35,25249.35,25202.98,2386
turbo,HONGKONG33:N,1788312720,25224.25,25192.31,25252.19,25189.14,2096
turbo,HONGKONG33:N,1788312780,25192.27,25175.57,25201.6,25167.81,1929
turbo,HONGKONG33:N,1788312840,25175.69,25122.29,25176.02,25120.76,2056
turbo,HONGKONG33:N,1788312900,25122.35,25106.94,25134.45,25105.75,1974
turbo,HONGKONG33:N,1788312960,25106.85,25096.49,25118.8,25093.93,1852
turbo,HONGKONG33:N,1788313020,25096.41,25124.3,25125.07,25092.08,1885
turbo,HONGKONG33:N,1788313080,25124.23,25141.02,25150.35,25119.85,1754
turbo,HONGKONG33:N,1788313140,25140.99,25149.28,25173.79,25134.98,1800
