tipo,activo,from,open,close,max,min,volume
turbo,PENUSD-OTC,1788311100,0.547405,0.535545,0.548205,0.534945,0
turbo,PENUSD-OTC,1788311160,0.535195,0.542825,0.543495,0.529155,0
turbo,PENUSD-OTC,1788311220,0.542325,0.545545,0.550175,0.542325,0
turbo,PENUSD-OTC,1788311280,0.545245,0.533325,0.546465,0.533155,0
turbo,PENUSD-OTC,1788311340,0.533745,0.549585,0.553435,0.533525,0
turbo,PENUSD-OTC,1788311400,0.550055,0.550485,0.550485,0.544565,0
turbo,PENUSD-OTC,1788311460,0.550655,0.552845,0.555265,0.544915,0
turbo,PENUSD-OTC,1788311520,0.552395,0.558775,0.560495,0.552375,0
turbo,PENUSD-OTC,1788311580,0.559385,0.561315,0.564025,0.556475,0
turbo,PENUSD-OTC,1788311640,0.560525,0.569165,0.573475,0.560525,0
turbo,PENUSD-OTC,1788311700,0.568715,0.565795,0.569305,0.559765,0
turbo,PENUSD-OTC,1788311760,0.565835,0.574265,0.577235,0.565075,0
turbo,PENUSD-OTC,1788311820,0.575015,0.578805,0.579405,0.567885,0
turbo,PENUSD-OTC,1788311880,0.579085,0.576015,0.582255,0.575075,0
turbo,PENUSD-OTC,1788311940,0.576395,0.566435,0.576615,0.563175,0
turbo,PENUSD-OTC,1788312000,0.566785,0.560705,0.567905,0.556995,0
turbo,PENUSD-OTC,1788312060,0.560785,0.552845,0.560785,0.550895,0
turbo,PENUSD-OTC,1788312120,0.552225,0.561205,0.562495,0.551615,0
turbo,PENUSD-OTC,1788312180,0.560895,0.571405,0.571755,0.559715,0
turbo,PENUSD-OTC,1788312240,0.570605,0.576905,0.578065,0.568955,0
turbo,PENUSD-OTC,1788312300,0.577725,0.570095,0.579455,0.568325,0
turbo,PENUSD-OTC,1788312360,0.570255,0.567565,0.570945,0.565135,0
turbo,PENUSD-OTC,1788312420,0.567975,0.590095,0.590095,0.567705,0
turbo,PENUSD-OTC,1788312480,0.590545,0.589125,0.597695,0.583695,0
turbo,PENUSD-OTC,1788312540,0.589485,0.592215,0.593675,0.584785,0
turbo,PENUSD-OTC,1788312600,0.592635,0.578625,0.593945,0.573575,0
turbo,PENUSD-OTC,1788312660,0.578655,0.579675,0.582345,0.575645,0
turbo,PENUSD-OTC,1788312720,0.580425,0.577495,0.581055,0.575005,0
turbo,PENUSD-OTC,1788312780,0.578165,0.582175,0.582175,0.574415,0
turbo,PENUSD-OTC,1788312840,0.582915,0.590305,0.591005,0.581355,0
turbo,PENUSD-OTC,1788312900,0.590115,0.576215,0.592185,0.574015,0
turbo,PENUSD-OTC,1788312960,0.576465,0.562675,0.577895,0.561985,0
turbo,PENUSD-OTC,1788313020,0.562385,0.553695,0.562895,0.547235,0
turbo,PENUSD-OTC,1788313080,0.552975,0.557325,0.557845,0.548635,0
turbo,PENUSD-OTC,1788313140,0.556555,0.553085,0.558235,0.549065,0
turbo,PENUSD-OTC,1788313200,0.553785,0.562095,0.562095,0.549165,0
