tipo,activo,from,open,close,max,min,volume
turbo,RENDERUSD-OTC,1788311100,1.430795,1.429335,1.433075,1.428815,0
turbo,RENDERUSD-OTC,1788311160,1.429225,1.429915,1.430765,1.428595,0
turbo,RENDERUSD-OTC,1788311220,1.430065,1.431695,1.432325,1.429915,0
turbo,RENDERUSD-OTC,1788311280,1.431555,1.433885,1.434155,1.431095,0
turbo,RENDERUSD-OTC,1788311340,1.434005,1.433715,1.434475,1.432265,0
turbo,RENDERUSD-OTC,1788311400,1.433635,1.435545,1.435545,1.432235,0
turbo,RENDERUSD-OTC,1788311460,1.435445,1.434325,1.435575,1.433255,0
turbo,RENDERUSD-OTC,1788311520,1.434295,1.437695,1.438345,1.432475,0
turbo,RENDERUSD-OTC,1788311580,1.437755,1.439555,1.440525,1.437205,0
turbo,RENDERUSD-OTC,1788311640,1.440635,1.439285,1.442155,1.437955,0
turbo,RENDERUSD-OTC,1788311700,1.439185,1.435105,1.439475,1.435025,0
turbo,RENDERUSD-OTC,1788311760,1.435115,1.434925,1.435635,1.433645,0
turbo,RENDERUSD-OTC,1788311820,1.435575,1.435975,1.436535,1.434515,0
turbo,RENDERUSD-OTC,1788311880,1.436025,1.437575,1.437625,1.434735,0
turbo,RENDERUSD-OTC,1788311940,1.437595,1.435045,1.437845,1.434515,0
turbo,RENDERUSD-OTC,1788312000,1.434915,1.436515,1.438325,1.434915,0
turbo,RENDERUSD-OTC,1788312060,1.436465,1.437275,1.438515,1.435645,0
turbo,RENDERUSD-OTC,1788312120,1.437285,1.437865,1.438325,1.435515,0
turbo,RENDERUSD-OTC,1788312180,1.437995,1.433985,1.438275,1.431655,0
turbo,RENDERUSD-OTC,1788312240,1.433905,1.433625,1.436115,1.433405,0
turbo,RENDERUSD-OTC,1788312300,1.433475,1.432375,1.433935,1.430785,0
turbo,RENDERUSD-OTC,1788312360,1.432445,1.435015,1.435765,1.432265,0
turbo,RENDERUSD-OTC,1788312420,1.434825,1.432535,1.434825,1.431415,0
turbo,RENDERUSD-OTC,1788312480,1.432435,1.433985,1.434125,1.431495,0
turbo,RENDERUSD-OTC,1788312540,1.434125,1.435525,1.436585,1.433325,0
turbo,RENDERUSD-OTC,1788312600,1.435395,1.438275,1.438405,1.435185,0
turbo,RENDERUSD-OTC,1788312660,1.438205,1.437825,1.441085,1.437805,0
turbo,RENDERUSD-OTC,1788312720,1.437815,1.439525,1.440415,1.436945,0
turbo,RENDERUSD-OTC,1788312780,1.439645,1.442595,1.442595,1.438085,0
turbo,RENDERUSD-OTC,1788312840,1.442625,1.442915,1.443805,1.441625,0
turbo,RENDERUSD-OTC,1788312900,1.443065,1.443235,1.445995,1.443065,0
turbo,RENDERUSD-OTC,1788312960,1.443135,1.442735,1.443755,1.440525,0
turbo,RENDERUSD-OTC,1788313020,1.442595,1.444645,1.446115,1.442545,0
turbo,RENDERUSD-OTC,1788313080,1.444525,1.445145,1.445865,1.443275,0
turbo,RENDERUSD-OTC,1788313140,1.445285,1.447055,1.447685,1.444795,0
turbo,RENDERUSD-OTC,1788313200,1.447105,1.451695,1.452135,1.446975,0
