tipo,activo,from,open,close,max,min,volume
turbo,USDPHP-OTC,1788311400,63.73535,62.55925,63.73535,62.55105,0
turbo,USDPHP-OTC,1788311460,62.55965,62.55175,62.56095,62.54235,0
turbo,USDPHP-OTC,1788311520,62.55165,62.55465,62.55925,62.54465,0
turbo,USDPHP-OTC,1788311580,62.55605,62.53625,62.56705,62.53595,0
turbo,USDPHP-OTC,1788311640,62.53675,62.52095,62.53925,62.51295,0
turbo,USDPHP-OTC,1788311700,62.52215,62.52035,62.53355,62.51815,0
turbo,USDPHP-OTC,1788311760,62.51995,62.54275,62.54275,62.51615,0
turbo,USDPHP-OTC,1788311820,62.54405,62.54835,62.55805,62.53905,0
turbo,USDPHP-OTC,1788311880,62.54865,62.57235,62.57595,62.54545,0
turbo,USDPHP-OTC,1788311940,62.57085,62.60135,62.60135,62.57085,0
turbo,USDPHP-OTC,1788312000,62.60165,62.61265,62.61265,62.59565,0
turbo,USDPHP-OTC,1788312060,62.61125,62.59175,62.61225,62.58945,0
turbo,USDPHP-OTC,1788312120,62.59335,62.60095,62.60655,62.59245,0
turbo,USDPHP-OTC,1788312180,62.60225,62.60295,62.61055,62.59535,0
turbo,USDPHP-OTC,1788312240,62.60135,62.58445,62.60455,62.58035,0
turbo,USDPHP-OTC,1788312300,62.58405,62.60675,62.60675,62.57805,0
turbo,USDPHP-OTC,1788312360,62.60635,62.63095,62.63265,62.60425,0
turbo,USDPHP-OTC,1788312420,62.63205,62.62645,62.63335,62.62145,0
turbo,USDPHP-OTC,1788312480,62.62845,62.63565,62.63675,62.62155,0
turbo,USDPHP-OTC,1788312540,62.63605,62.63055,62.64025,62.62465,0
turbo,USDPHP-OTC,1788312600,62.63015,62.62495,62.63185,62.61225,0
turbo,USDPHP-OTC,1788312660,62.62475,62.63995,62.64115,62.61955,0
turbo,USDPHP-OTC,1788312720,62.63965,62.67195,62.67615,62.63365,0
turbo,USDPHP-OTC,1788312780,62.67275,62.67655,62.67885,62.66275,0
