tipo,activo,from,open,close,max,min,volume
turbo,DIA,1787327460,531.705,531.785,531.825,531.665,0
turbo,DIA,1787327520,531.79,531.865,531.865,531.775,0
turbo,DIA,1787327580,531.865,531.885,531.92,531.845,0
turbo,DIA,1787327640,531.875,531.855,531.925,531.845,0
turbo,DIA,1787327700,531.855,531.76,531.875,531.73,0
turbo,DIA,1787327760,531.755,531.575,531.755,531.57,0
turbo,DIA,1787327820,531.57,531.565,531.615,531.525,0
turbo,DIA,1787327880,531.575,531.515,531.6,531.51,0
turbo,DIA,1787327940,531.505,531.475,531.545,531.415,0
turbo,DIA,1787328000,531.47,531.37,531.555,531.345,0
turbo,DIA,1787328060,531.375,531.325,531.43,531.31,0
turbo,DIA,1787328120,531.335,531.25,531.34,531.22,0
turbo,DIA,1787328180,531.245,531.22,531.34,531.215,0
turbo,DIA,1787328240,531.22,531.205,531.295,531.14,0
turbo,DIA,1787328300,531.21,531.095,531.21,531.03,0
turbo,DIA,1787328360,531.09,531.01,531.105,530.99,0
turbo,DIA,1787328420,531.015,531.105,531.105,531.01,0
turbo,DIA,1787328480,531.1,531.125,531.165,531.1,0
turbo,DIA,1787328540,531.135,531.055,531.16,531.015,0
turbo,DIA,1787328600,531.05,531.12,531.155,531.045,0
turbo,DIA,1787328660,531.125,531.105,531.25,531.1,0
turbo,DIA,1787328720,531.105,531.07,531.12,531.025,0
turbo,DIA,1787328780,531.075,531.045,531.105,531.035,0
turbo,DIA,1787328840,531.04,530.925,531.055,530.925,0
turbo,DIA,1787328900,530.915,530.98,530.98,530.865,0
turbo,DIA,1787328960,530.995,530.995,531.075,530.96,0
turbo,DIA,1787329020,531,530.915,531.03,530.875,0
turbo,DIA,1787329080,530.92,530.745,530.93,530.735,0
turbo,DIA,1787329140,530.765,530.67,530.765,530.635,0
turbo,DIA,1787329200,530.665,530.62,530.685,530.575,0
turbo,DIA,1787329260,530.615,530.92,531.245,530.605,0
turbo,DIA,1787329320,530.925,530.87,530.965,530.805,0
turbo,DIA,1787329380,530.87,530.82,530.88,530.745,0
turbo,DIA,1787329440,530.815,530.84,530.865,530.785,0
turbo,DIA,1787329500,530.845,530.835,530.975,530.815,0
turbo,DIA,1787329560,530.83,530.885,530.9,530.755,0
turbo,DIA,1787329620,530.875,531.105,531.115,530.875,0
turbo,DIA,1787329680,531.11,531.195,531.225,531.11,0
turbo,DIA,1787329740,531.195,531.22,531.22,531.12,0
turbo,DIA,1787329800,531.215,531.22,531.225,531.09,0
turbo,DIA,1787329860,531.215,531.11,531.255,531.11,0
turbo,DIA,1787329920,531.105,531.175,531.205,531.08,0
turbo,DIA,1787329980,531.17,531.15,531.2,531.145,0
turbo,DIA,1787330040,531.135,530.925,531.135,530.905,0
turbo,DIA,1787330100,530.92,530.925,530.955,530.905,0
turbo,DIA,1787330160,530.935,531.11,531.14,530.93,0
turbo,DIA,1787330220,531.115,531.2,531.245,531.075,0
turbo,DIA,1787330280,531.205,531.21,531.235,531.05,0
turbo,DIA,1787330340,531.215,531.35,531.355,531.205,0
turbo,DIA,1787330400,531.34,531.275,531.355,531.225,0
turbo,DIA,1787330460,531.265,531.2,531.345,531.185,0
turbo,DIA,1787330520,531.205,531.165,531.265,531.165,0
turbo,DIA,1787330580,531.17,531.095,531.175,531.05,0
turbo,DIA,1787330640,531.105,531.075,531.105,531.035,0
turbo,DIA,1787330700,531.07,530.985,531.075,530.92,0
turbo,DIA,1787330760,530.98,530.95,531.065,530.935,0
turbo,DIA,1787330820,530.955,531.015,531.02,530.9,0
turbo,DIA,1787330880,531.02,531.045,531.065,531,0
turbo,DIA,1787330940,531.055,531.055,531.11,531.055,0
turbo,DIA,1787331000,531.05,530.955,531.07,530.885,0
turbo,DIA,1787331060,530.95,530.935,530.975,530.9,0
turbo,DIA,1787331120,530.94,530.94,531.005,530.935,0
turbo,DIA,1787331180,530.935,530.98,530.98,530.93,0
turbo,DIA,1787331240,530.975,531.03,531.055,530.975,0
turbo,DIA,1787331300,531.015,531.07,531.095,530.985,0
turbo,DIA,1787331360,531.05,531.115,531.14,531.04,0
turbo,DIA,1787331420,531.105,531.215,531.22,531.095,0
turbo,DIA,1787331480,531.22,531.255,531.305,531.195,0
turbo,DIA,1787331540,531.255,531.295,531.31,531.22,0
turbo,DIA,1787331600,531.305,531.21,531.36,531.2,0
turbo,DIA,1787331660,531.205,531.17,531.245,531.17,0
turbo,DIA,1787331720,531.165,531.095,531.19,531.06,0
turbo,DIA,1787331780,531.09,531.16,531.175,531.05,0
turbo,DIA,1787331840,531.155,531.055,531.185,531.055,0
turbo,DIA,1787331900,531.065,531.115,531.115,531.035,0
turbo,DIA,1787331960,531.105,531.085,531.115,531.005,0
turbo,DIA,1787332020,531.075,531.09,531.165,531.075,0
turbo,DIA,1787332080,531.085,531.21,531.225,531.08,0
turbo,DIA,1787332140,531.21,531.185,531.255,531.16,0
turbo,DIA,1787332200,531.18,531.095,531.205,531.085,0
turbo,DIA,1787332260,531.09,531.025,531.1,531.015,0
turbo,DIA,1787332320,531.035,531.025,531.05,530.995,0
turbo,DIA,1787332380,531.03,530.955,531.055,530.955,0
turbo,DIA,1787332440,530.955,531.065,531.065,530.945,0
turbo,DIA,1787332500,531.06,531.135,531.14,531.035,0
turbo,DIA,1787332560,531.125,531.105,531.13,531.04,0
turbo,DIA,1787332620,531.11,531.13,531.155,531.09,0
turbo,DIA,1787332680,531.135,531.105,531.15,531.095,0
turbo,DIA,1787332740,531.1,531.125,531.145,531.1,0
turbo,DIA,1787332800,531.13,531.075,531.145,531.005,0
turbo,DIA,1787332860,531.065,531.14,531.145,531.055,0
turbo,DIA,1787332920,531.125,531.07,531.15,531.015,0
turbo,DIA,1787332980,531.075,531.08,531.1,531.025,0
turbo,DIA,1787333040,531.075,531.095,531.125,531.05,0
turbo,DIA,1787333100,531.09,531.035,531.095,531.025,0
turbo,DIA,1787333160,531.04,531.02,531.14,531.015,0
turbo,DIA,1787333220,531.015,531.075,531.085,531.01,0
turbo,DIA,1787333280,531.065,531.11,531.135,531.05,0
turbo,DIA,1787333340,531.115,531.025,531.155,531.015,0
