tipo,activo,from,open,close,max,min,volume
turbo,GERMANY30:N,1788144660,26450.86,26453.67,26454.35,26449.15,54
turbo,GERMANY30:N,1788144720,26453.66,26451.64,26453.76,26450.66,34
turbo,GERMANY30:N,1788144780,26451.64,26453.06,26453.26,26449.26,80
turbo,GERMANY30:N,1788144840,26453.06,26458.35,26458.93,26450.93,43
turbo,GERMANY30:N,1788144900,26457.76,26458.89,26460.05,26456.18,90
turbo,GERMANY30:N,1788144960,26458.89,26457.76,26459.37,26457.26,30
turbo,GERMANY30:N,1788145020,26457.76,26462.27,26462.93,26457.76,43
turbo,GERMANY30:N,1788145080,26462.27,26463.76,26466.01,26461.59,48
turbo,GERMANY30:N,1788145140,26463.36,26469.76,26470.56,26463.36,30
turbo,GERMANY30:N,1788145200,26470.35,26471.93,26475.26,26470.34,102
turbo,GERMANY30:N,1788145260,26471.51,26473.18,26475.26,26467.01,103
turbo,GERMANY30:N,1788145320,26473.26,26475.51,26476.01,26472.26,42
turbo,GERMANY30:N,1788145380,26475.76,26476.26,26476.6,26472.18,56
turbo,GERMANY30:N,1788145440,26476.26,26472.93,26477.1,26472.35,62
turbo,GERMANY30:N,1788145500,26472.93,26473.6,26474.76,26472.51,41
turbo,GERMANY30:N,1788145560,26473.6,26473.11,26473.6,26472.26,38
turbo,GERMANY30:N,1788145620,26473.11,26473.01,26473.35,26471.34,50
turbo,GERMANY30:N,1788145680,26473.01,26474.01,26474.26,26472.42,62
turbo,GERMANY30:N,1788145740,26474.01,26474.26,26474.27,26472.76,24
turbo,GERMANY30:N,1788145800,26473.26,26475.02,26475.14,26472.64,56
turbo,GERMANY30:N,1788145860,26475.02,26477.6,26478.51,26475.01,66
turbo,GERMANY30:N,1788145920,26478.18,26479.26,26480.6,26477.76,60
turbo,GERMANY30:N,1788145980,26479.6,26478.93,26480.76,26477.93,44
turbo,GERMANY30:N,1788146040,26478.93,26477.76,26480.6,26477.76,46
turbo,GERMANY30:N,1788146100,26477.76,26474.76,26478.76,26474.76,54
turbo,GERMANY30:N,1788146160,26475.18,26475.36,26477.76,26474.76,172
turbo,GERMANY30:N,1788146220,26475.36,26475.26,26477.76,26475.26,100
turbo,GERMANY30:N,1788146280,26475.26,26475.18,26476.35,26475.18,27
turbo,GERMANY30:N,1788146340,26475.18,26471.18,26475.77,26470.6,16
turbo,GERMANY30:N,1788146400,26471.39,26471.27,26472.26,26470.76,37
turbo,GERMANY30:N,1788146460,26471.27,26471.18,26472.77,26471.18,53
turbo,GERMANY30:N,1788146520,26471.39,26471.26,26472.76,26470.76,36
turbo,GERMANY30:N,1788146580,26471.26,26471.77,26472.76,26471.26,19
turbo,GERMANY30:N,1788146640,26471.77,26472.76,26473.76,26471.41,27
turbo,GERMANY30:N,1788146700,26473.26,26475.34,26475.35,26473.18,44
turbo,GERMANY30:N,1788146760,26475.35,26474.35,26477.89,26474.35,45
turbo,GERMANY30:N,1788146820,26474.26,26471.52,26474.35,26470.77,42
turbo,GERMANY30:N,1788146880,26471.52,26472.59,26473.27,26469.77,45
turbo,GERMANY30:N,1788146940,26472.59,26471.76,26473.35,26470.76,28
turbo,GERMANY30:N,1788147000,26472.26,26473.97,26474.76,26471.18,74
turbo,GERMANY30:N,1788147060,26473.52,26476.18,26476.26,26473.26,35
turbo,GERMANY30:N,1788147120,26476.18,26475.41,26476.76,26474.18,87
turbo,GERMANY30:N,1788147180,26475.41,26475.41,26475.42,26474.26,59
turbo,GERMANY30:N,1788147240,26474.89,26472.89,26475.42,26472.89,34
