tipo,activo,from,open,close,max,min,volume
turbo,HONGKONG33:N,1787917860,25609.62,25610.38,25610.47,25607.71,149
turbo,HONGKONG33:N,1787917920,25610.22,25608.41,25612.22,25607.55,153
turbo,HONGKONG33:N,1787917980,25608.41,25604.46,25608.41,25603.36,106
turbo,HONGKONG33:N,1787918040,25604.47,25606.15,25606.15,25604.44,121
turbo,HONGKONG33:N,1787918100,25606.13,25603.71,25607.42,25602.38,171
turbo,HONGKONG33:N,1787918160,25603.55,25604.06,25605.21,25603.3,121
turbo,HONGKONG33:N,1787918220,25604.07,25607.21,25607.21,25602.93,231
turbo,HONGKONG33:N,1787918280,25607.41,25607.07,25609.66,25605.05,156
turbo,HONGKONG33:N,1787918340,25607.06,25609.61,25609.61,25605.22,108
turbo,HONGKONG33:N,1787918400,25609.46,25611.93,25612.42,25609.46,154
turbo,HONGKONG33:N,1787918460,25612.05,25611.61,25612.09,25609.88,127
turbo,HONGKONG33:N,1787918520,25611.71,25610.42,25612.01,25608.01,226
turbo,HONGKONG33:N,1787918580,25610.38,25614.97,25617.07,25608.21,266
turbo,HONGKONG33:N,1787918640,25615.11,25615,25621.69,25614.93,198
turbo,HONGKONG33:N,1787918700,25614.93,25614.41,25615.79,25613.72,157
turbo,HONGKONG33:N,1787918760,25614.36,25613.37,25615.42,25612.5,168
turbo,HONGKONG33:N,1787918820,25613.42,25612.3,25614.32,25608.74,217
turbo,HONGKONG33:N,1787918880,25612.05,25608.6,25612.88,25608.55,229
turbo,HONGKONG33:N,1787918940,25608.6,25608.31,25609.12,25608.13,132
turbo,HONGKONG33:N,1787919000,25608.39,25607.55,25612.07,25607.41,197
turbo,HONGKONG33:N,1787919060,25607.42,25604.65,25607.55,25604.65,158
turbo,HONGKONG33:N,1787919120,25604.55,25610.47,25611.64,25602.71,163
turbo,HONGKONG33:N,1787919180,25610.59,25615.37,25615.47,25608.61,194
turbo,HONGKONG33:N,1787919240,25615.07,25614.01,25616.3,25613.82,96
turbo,HONGKONG33:N,1787919300,25614.34,25613.34,25614.72,25612.61,139
turbo,HONGKONG33:N,1787919360,25613.42,25614.36,25615.15,25613.34,124
turbo,HONGKONG33:N,1787919420,25614.36,25610.42,25614.46,25610.42,121
turbo,HONGKONG33:N,1787919480,25610.38,25611.56,25612.27,25610.36,131
turbo,HONGKONG33:N,1787919540,25611.47,25611.41,25613.34,25610.81,109
turbo,HONGKONG33:N,1787919600,25611.55,25611.29,25611.71,25610.38,117
turbo,HONGKONG33:N,1787919660,25611.29,25611.64,25613.34,25610.47,143
turbo,HONGKONG33:N,1787919720,25611.71,25615.66,25616.61,25611.71,137
turbo,HONGKONG33:N,1787919780,25615.59,25616.59,25617.55,25614.53,140
turbo,HONGKONG33:N,1787919840,25616.59,25615.46,25616.59,25615.36,146
turbo,HONGKONG33:N,1787919900,25615.46,25616.22,25616.22,25613.47,124
turbo,HONGKONG33:N,1787919960,25616.22,25614.72,25616.22,25614.05,84
turbo,HONGKONG33:N,1787920020,25614.82,25607.62,25615.52,25607.62,89
turbo,HONGKONG33:N,1787920080,25607.67,25609.97,25611.07,25607.05,106
turbo,HONGKONG33:N,1787920140,25609.82,25606.79,25609.97,25606.72,139
turbo,HONGKONG33:N,1787920200,25606.71,25602.07,25607.13,25601.42,202
turbo,HONGKONG33:N,1787920260,25602.02,25608.82,25608.82,25602.01,212
turbo,HONGKONG33:N,1787920320,25608.97,25607.37,25609.05,25604.3,208
turbo,HONGKONG33:N,1787920380,25607.3,25613.43,25613.84,25607.3,89
turbo,HONGKONG33:N,1787920440,25613.39,25610.89,25617.08,25610.88,196
turbo,HONGKONG33:N,1787920500,25610.84,25612.42,25612.42,25609.38,162
turbo,HONGKONG33:N,1787920560,25612.36,25613.96,25614.52,25609.62,222
turbo,HONGKONG33:N,1787920620,25613.88,25608.58,25614.4,25608.58,146
turbo,HONGKONG33:N,1787920680,25608.63,25606.31,25609.21,25605.37,129
turbo,HONGKONG33:N,1787920740,25605.81,25600.72,25606.71,25599.88,188
turbo,HONGKONG33:N,1787920800,25600.88,25595.3,25601.55,25595.21,205
turbo,HONGKONG33:N,1787920860,25595.3,25598.41,25599.22,25594.61,172
turbo,HONGKONG33:N,1787920920,25598.55,25600.02,25600.22,25598.41,177
turbo,HONGKONG33:N,1787920980,25600.02,25595.71,25600.02,25595.32,156
turbo,HONGKONG33:N,1787921040,25595.72,25597.72,25598.59,25595.59,140
turbo,HONGKONG33:N,1787921100,25597.78,25599.13,25600.3,25597.13,136
turbo,HONGKONG33:N,1787921160,25599.07,25598.42,25599.07,25596.5,118
turbo,HONGKONG33:N,1787921220,25598.55,25596.79,25598.55,25594.47,153
turbo,HONGKONG33:N,1787921280,25596.88,25596.65,25598.38,25595.72,215
turbo,HONGKONG33:N,1787921340,25596.71,25599.71,25599.82,25596.5,94
turbo,HONGKONG33:N,1787921400,25599.71,25603.09,25604.62,25599.55,134
turbo,HONGKONG33:N,1787921460,25603.34,25605.02,25605.46,25603.13,145
turbo,HONGKONG33:N,1787921520,25605.02,25602.82,25605.02,25602.47,156
turbo,HONGKONG33:N,1787921580,25602.72,25602.72,25604.72,25601.46,140
turbo,HONGKONG33:N,1787921640,25602.71,25603.32,25603.59,25600.22,113
turbo,HONGKONG33:N,1787921700,25603.47,25605.55,25608.32,25603.32,157
turbo,HONGKONG33:N,1787921760,25605.41,25605.71,25607.22,25604.88,77
turbo,HONGKONG33:N,1787921820,25605.81,25608.3,25609.4,25605.3,173
turbo,HONGKONG33:N,1787921880,25608.21,25607.01,25611.22,25606.71,127
turbo,HONGKONG33:N,1787921940,25607.21,25606.93,25607.88,25605.88,119
turbo,HONGKONG33:N,1787922000,25606.84,25608.88,25613.52,25603.71,292
turbo,HONGKONG33:N,1787922060,25609.07,25605.22,25612.46,25602.11,344
turbo,HONGKONG33:N,1787922120,25605.32,25612.4,25612.41,25604.22,335
turbo,HONGKONG33:N,1787922180,25612.46,25604.81,25612.59,25603.82,265
turbo,HONGKONG33:N,1787922240,25604.71,25607.88,25609.01,25602.71,236
turbo,HONGKONG33:N,1787922300,25608.11,25607.21,25609.02,25606.47,167
turbo,HONGKONG33:N,1787922360,25607.22,25605.41,25609.01,25605.3,225
turbo,HONGKONG33:N,1787922420,25605.47,25608.31,25608.31,25601.71,180
turbo,HONGKONG33:N,1787922480,25607.71,25608.11,25608.55,25605.46,207
turbo,HONGKONG33:N,1787922540,25608.32,25606.47,25609.03,25605.81,186
turbo,HONGKONG33:N,1787922600,25606.36,25605.11,25607.55,25603.03,210
turbo,HONGKONG33:N,1787922660,25604.96,25604.61,25606.71,25604.01,171
turbo,HONGKONG33:N,1787922720,25604.62,25603.96,25606.02,25603.22,195
turbo,HONGKONG33:N,1787922780,25604.22,25600.32,25604.22,25599.55,157
turbo,HONGKONG33:N,1787922840,25600.47,25598.46,25600.63,25596.88,174
turbo,HONGKONG33:N,1787922900,25598.55,25594.02,25598.66,25593.55,226
turbo,HONGKONG33:N,1787922960,25593.88,25590.71,25594.02,25588.66,196
turbo,HONGKONG33:N,1787923020,25590.88,25588.52,25591.4,25588.06,192
turbo,HONGKONG33:N,1787923080,25588.63,25586.3,25589.21,25582.47,178
turbo,HONGKONG33:N,1787923140,25586.78,25585.5,25587.22,25584.13,168
turbo,HONGKONG33:N,1787923200,25585.38,25590.82,25590.82,25584.41,162
turbo,HONGKONG33:N,1787923260,25590.88,25594.62,25595.47,25587.21,214
turbo,HONGKONG33:N,1787923320,25594.55,25590.53,25594.55,25587.88,249
turbo,HONGKONG33:N,1787923380,25591,25594.42,25594.88,25590.21,182
turbo,HONGKONG33:N,1787923440,25594.34,25589.37,25594.34,25589.21,207
turbo,HONGKONG33:N,1787923500,25589.07,25587.78,25591.55,25587.36,226
turbo,HONGKONG33:N,1787923560,25587.72,25583.64,25587.79,25582.82,168
turbo,HONGKONG33:N,1787923620,25583.55,25592.55,25592.72,25583.41,256
turbo,HONGKONG33:N,1787923680,25592.62,25597.11,25598.97,25592.62,300
turbo,HONGKONG33:N,1787923740,25597.21,25599.22,25599.22,25596.84,160
turbo,HONGKONG33:N,1787923800,25599.17,25607.4,25622.42,25592.61,1136
turbo,HONGKONG33:N,1787923860,25607.3,25608.21,25615.97,25602.89,849
turbo,HONGKONG33:N,1787923920,25607.7,25619.59,25620.11,25600.55,675
turbo,HONGKONG33:N,1787923980,25619.75,25616.96,25631.66,25614.32,713
turbo,HONGKONG33:N,1787924040,25617.01,25613.36,25617.72,25608.22,632
turbo,HONGKONG33:N,1787924100,25613.46,25623.65,25626.71,25610.97,737
turbo,HONGKONG33:N,1787924160,25623.55,25614.76,25625.71,25612.72,540
turbo,HONGKONG33:N,1787924220,25614.96,25628.06,25629.22,25613.71,591
turbo,HONGKONG33:N,1787924280,25627.97,25623.53,25632.53,25623.46,557
turbo,HONGKONG33:N,1787924340,25623.4,25622.37,25625.97,25617.55,610
turbo,HONGKONG33:N,1787924400,25622.47,25618.55,25625.06,25613.21,460
turbo,HONGKONG33:N,1787924460,25618.71,25626.55,25630.07,25614.32,398
turbo,HONGKONG33:N,1787924520,25626.22,25617.46,25626.22,25613.46,470
turbo,HONGKONG33:N,1787924580,25617.41,25611.72,25617.41,25610.61,391
turbo,HONGKONG33:N,1787924640,25611.65,25601.3,25612.82,25601.21,341
turbo,HONGKONG33:N,1787924700,25601.41,25603.13,25608.11,25600.4,469
turbo,HONGKONG33:N,1787924760,25603.06,25601.82,25607.82,25600.11,483
turbo,HONGKONG33:N,1787924820,25601.72,25598.84,25605.55,25597.11,443
turbo,HONGKONG33:N,1787924880,25598.77,25609.42,25610.01,25590.55,461
turbo,HONGKONG33:N,1787924940,25609.46,25604.3,25609.46,25598.21,566
turbo,HONGKONG33:N,1787925000,25604.22,25603.42,25608.07,25602.21,521
turbo,HONGKONG33:N,1787925060,25603.37,25599.32,25606.72,25599.32,516
turbo,HONGKONG33:N,1787925120,25599.47,25607.71,25608.47,25596.22,489
turbo,HONGKONG33:N,1787925180,25607.81,25621.88,25624.59,25607.38,458
turbo,HONGKONG33:N,1787925240,25621.78,25621.47,25626.67,25619.51,502
turbo,HONGKONG33:N,1787925300,25621.62,25632.43,25632.43,25617.11,372
turbo,HONGKONG33:N,1787925360,25632.42,25635.47,25636.17,25632.21,363
