tipo,activo,from,open,close,max,min,volume
turbo,LABUBUUSD-OTC,1788176400,0.511305,0.511245,0.511495,0.510845,0
turbo,LABUBUUSD-OTC,1788176460,0.511205,0.511895,0.512075,0.511055,0
turbo,LABUBUUSD-OTC,1788176520,0.511885,0.512035,0.512505,0.511875,0
turbo,LABUBUUSD-OTC,1788176580,0.512055,0.512305,0.512535,0.511975,0
turbo,LABUBUUSD-OTC,1788176640,0.512325,0.512895,0.512895,0.512055,0
turbo,LABUBUUSD-OTC,1788176700,0.512895,0.512635,0.512945,0.512375,0
turbo,LABUBUUSD-OTC,1788176760,0.512615,0.512445,0.512865,0.512165,0
turbo,LABUBUUSD-OTC,1788176820,0.512485,0.512575,0.512865,0.512365,0
turbo,LABUBUUSD-OTC,1788176880,0.512605,0.512925,0.513045,0.512495,0
turbo,LABUBUUSD-OTC,1788176940,0.512945,0.512845,0.513255,0.512845,0
turbo,LABUBUUSD-OTC,1788177000,0.512825,0.513195,0.513225,0.512605,0
turbo,LABUBUUSD-OTC,1788177060,0.513175,0.512175,0.513175,0.512055,0
turbo,LABUBUUSD-OTC,1788177120,0.512215,0.511875,0.512515,0.511875,0
turbo,LABUBUUSD-OTC,1788177180,0.511905,0.511315,0.511965,0.511315,0
turbo,LABUBUUSD-OTC,1788177240,0.511285,0.511505,0.511775,0.511125,0
turbo,LABUBUUSD-OTC,1788177300,0.511455,0.510695,0.511665,0.510615,0
turbo,LABUBUUSD-OTC,1788177360,0.510705,0.510565,0.511155,0.510465,0
turbo,LABUBUUSD-OTC,1788177420,0.510525,0.510065,0.510525,0.509975,0
turbo,LABUBUUSD-OTC,1788177480,0.510035,0.510075,0.510235,0.509665,0
turbo,LABUBUUSD-OTC,1788177540,0.510115,0.510685,0.510685,0.510085,0
turbo,LABUBUUSD-OTC,1788177600,0.510675,0.509985,0.510755,0.509775,0
turbo,LABUBUUSD-OTC,1788177660,0.509995,0.509465,0.510245,0.509335,0
turbo,LABUBUUSD-OTC,1788177720,0.509455,0.509325,0.509895,0.509205,0
turbo,LABUBUUSD-OTC,1788177780,0.509345,0.509565,0.509585,0.509115,0
turbo,LABUBUUSD-OTC,1788177840,0.509545,0.509165,0.509955,0.509125,0
turbo,LABUBUUSD-OTC,1788177900,0.509145,0.509295,0.509625,0.509035,0
turbo,LABUBUUSD-OTC,1788177960,0.509305,0.509525,0.509695,0.508925,0
turbo,LABUBUUSD-OTC,1788178020,0.509545,0.509715,0.509985,0.509425,0
turbo,LABUBUUSD-OTC,1788178080,0.509755,0.508825,0.509965,0.508755,0
turbo,LABUBUUSD-OTC,1788178140,0.508795,0.508235,0.508795,0.508215,0
turbo,LABUBUUSD-OTC,1788178200,0.508255,0.508465,0.508635,0.507915,0
turbo,LABUBUUSD-OTC,1788178260,0.508435,0.508375,0.508485,0.508025,0
turbo,LABUBUUSD-OTC,1788178320,0.508365,0.508485,0.508995,0.508305,0
turbo,LABUBUUSD-OTC,1788178380,0.508465,0.509105,0.509225,0.508315,0
turbo,LABUBUUSD-OTC,1788178440,0.509145,0.509705,0.509715,0.508975,0
turbo,LABUBUUSD-OTC,1788178500,0.509715,0.510585,0.510585,0.509615,0
turbo,LABUBUUSD-OTC,1788178560,0.510565,0.510865,0.510955,0.510445,0
turbo,LABUBUUSD-OTC,1788178620,0.510825,0.510345,0.511235,0.510305,0
turbo,LABUBUUSD-OTC,1788178680,0.510315,0.510195,0.510415,0.509905,0
turbo,LABUBUUSD-OTC,1788178740,0.510265,0.509885,0.510475,0.509765,0
turbo,LABUBUUSD-OTC,1788178800,0.509875,0.509425,0.510315,0.509425,0
turbo,LABUBUUSD-OTC,1788178860,0.509435,0.509535,0.510095,0.509305,0
turbo,LABUBUUSD-OTC,1788178920,0.509575,0.509905,0.510115,0.509485,0
turbo,LABUBUUSD-OTC,1788178980,0.509875,0.510605,0.510825,0.509855,0
turbo,LABUBUUSD-OTC,1788179040,0.510615,0.511175,0.511265,0.510375,0
turbo,LABUBUUSD-OTC,1788179100,0.511205,0.510855,0.511395,0.510545,0
turbo,LABUBUUSD-OTC,1788179160,0.510825,0.510815,0.510865,0.510355,0
turbo,LABUBUUSD-OTC,1788179220,0.510825,0.511095,0.511545,0.510725,0
turbo,LABUBUUSD-OTC,1788179280,0.511095,0.511645,0.511765,0.510985,0
turbo,LABUBUUSD-OTC,1788179340,0.511635,0.511215,0.511955,0.511145,0
turbo,LABUBUUSD-OTC,1788179400,0.511155,0.509995,0.511155,0.509995,0
turbo,LABUBUUSD-OTC,1788179460,0.510005,0.510635,0.510705,0.510005,0
turbo,LABUBUUSD-OTC,1788179520,0.510605,0.510775,0.510875,0.510465,0
turbo,LABUBUUSD-OTC,1788179580,0.510765,0.510845,0.510865,0.510565,0
turbo,LABUBUUSD-OTC,1788179640,0.510815,0.511365,0.511365,0.510695,0
turbo,LABUBUUSD-OTC,1788179700,0.511375,0.510875,0.511415,0.510835,0
turbo,LABUBUUSD-OTC,1788179760,0.510835,0.511235,0.511235,0.510695,0
turbo,LABUBUUSD-OTC,1788179820,0.511215,0.510775,0.511325,0.510605,0
turbo,LABUBUUSD-OTC,1788179880,0.510795,0.510085,0.510795,0.509705,0
turbo,LABUBUUSD-OTC,1788179940,0.510105,0.509725,0.510135,0.509715,0
turbo,LABUBUUSD-OTC,1788180000,0.509735,0.510045,0.510125,0.509625,0
turbo,LABUBUUSD-OTC,1788180060,0.510065,0.510855,0.510865,0.509845,0
turbo,LABUBUUSD-OTC,1788180120,0.510895,0.511795,0.511795,0.510715,0
turbo,LABUBUUSD-OTC,1788180180,0.511755,0.512395,0.512615,0.511685,0
turbo,LABUBUUSD-OTC,1788180240,0.512415,0.512545,0.512785,0.512005,0
turbo,LABUBUUSD-OTC,1788180300,0.512585,0.512585,0.512805,0.512155,0
turbo,LABUBUUSD-OTC,1788180360,0.512665,0.513465,0.513465,0.512575,0
turbo,LABUBUUSD-OTC,1788180420,0.513475,0.512775,0.513675,0.512605,0
turbo,LABUBUUSD-OTC,1788180480,0.512795,0.512425,0.512845,0.512285,0
turbo,LABUBUUSD-OTC,1788180540,0.512395,0.512085,0.512485,0.512075,0
turbo,LABUBUUSD-OTC,1788180600,0.512035,0.511855,0.512085,0.511685,0
turbo,LABUBUUSD-OTC,1788180660,0.511875,0.512795,0.512945,0.511785,0
turbo,LABUBUUSD-OTC,1788180720,0.512805,0.512695,0.512995,0.512585,0
turbo,LABUBUUSD-OTC,1788180780,0.512655,0.513415,0.513485,0.512555,0
turbo,LABUBUUSD-OTC,1788180840,0.513385,0.513195,0.513945,0.513195,0
turbo,LABUBUUSD-OTC,1788180900,0.513125,0.513275,0.513285,0.512605,0
turbo,LABUBUUSD-OTC,1788180960,0.513285,0.513515,0.513525,0.513035,0
turbo,LABUBUUSD-OTC,1788181020,0.513525,0.512985,0.513575,0.512865,0
turbo,LABUBUUSD-OTC,1788181080,0.512995,0.513255,0.513555,0.512995,0
turbo,LABUBUUSD-OTC,1788181140,0.513305,0.514235,0.514315,0.513205,0
turbo,LABUBUUSD-OTC,1788181200,0.514205,0.513225,0.514295,0.513175,0
turbo,LABUBUUSD-OTC,1788181260,0.513205,0.513615,0.513635,0.512845,0
turbo,LABUBUUSD-OTC,1788181320,0.513585,0.513365,0.513695,0.513115,0
turbo,LABUBUUSD-OTC,1788181380,0.513405,0.513255,0.513405,0.512725,0
turbo,LABUBUUSD-OTC,1788181440,0.513275,0.512785,0.513525,0.512675,0
turbo,LABUBUUSD-OTC,1788181500,0.512765,0.513145,0.513145,0.512635,0
turbo,LABUBUUSD-OTC,1788181560,0.513065,0.513165,0.513245,0.512565,0
turbo,LABUBUUSD-OTC,1788181620,0.513065,0.513025,0.513215,0.512765,0
turbo,LABUBUUSD-OTC,1788181680,0.513005,0.513095,0.513295,0.512815,0
turbo,LABUBUUSD-OTC,1788181740,0.513115,0.512775,0.513275,0.512715,0
turbo,LABUBUUSD-OTC,1788181800,0.512805,0.513035,0.513325,0.512745,0
turbo,LABUBUUSD-OTC,1788181860,0.513055,0.514105,0.514185,0.512975,0
