tipo,activo,from,open,close,max,min,volume
turbo,RENDERUSD-OTC,1788176400,1.471705,1.468585,1.472075,1.468335,0
turbo,RENDERUSD-OTC,1788176460,1.468495,1.469255,1.469665,1.466965,0
turbo,RENDERUSD-OTC,1788176520,1.468895,1.470135,1.470495,1.468375,0
turbo,RENDERUSD-OTC,1788176580,1.470105,1.474645,1.474975,1.469975,0
turbo,RENDERUSD-OTC,1788176640,1.474765,1.471225,1.475615,1.471225,0
turbo,RENDERUSD-OTC,1788176700,1.471155,1.471515,1.473675,1.470745,0
turbo,RENDERUSD-OTC,1788176760,1.471345,1.472015,1.472345,1.469885,0
turbo,RENDERUSD-OTC,1788176820,1.471905,1.473325,1.473865,1.469685,0
turbo,RENDERUSD-OTC,1788176880,1.473355,1.469805,1.474205,1.469395,0
turbo,RENDERUSD-OTC,1788176940,1.469665,1.463885,1.469915,1.463605,0
turbo,RENDERUSD-OTC,1788177000,1.464225,1.464625,1.465175,1.463665,0
turbo,RENDERUSD-OTC,1788177060,1.464635,1.463635,1.466065,1.462585,0
turbo,RENDERUSD-OTC,1788177120,1.463595,1.466675,1.467665,1.463595,0
turbo,RENDERUSD-OTC,1788177180,1.466585,1.465975,1.467745,1.464915,0
turbo,RENDERUSD-OTC,1788177240,1.465875,1.464185,1.466495,1.462845,0
turbo,RENDERUSD-OTC,1788177300,1.464135,1.465165,1.466045,1.463305,0
turbo,RENDERUSD-OTC,1788177360,1.465185,1.468055,1.469865,1.465055,0
turbo,RENDERUSD-OTC,1788177420,1.468165,1.460955,1.468435,1.460905,0
turbo,RENDERUSD-OTC,1788177480,1.460975,1.462395,1.462545,1.458695,0
turbo,RENDERUSD-OTC,1788177540,1.462455,1.459795,1.462455,1.459245,0
turbo,RENDERUSD-OTC,1788177600,1.459635,1.459945,1.461725,1.459635,0
turbo,RENDERUSD-OTC,1788177660,1.459785,1.462875,1.463625,1.459785,0
turbo,RENDERUSD-OTC,1788177720,1.463265,1.461695,1.463405,1.459355,0
turbo,RENDERUSD-OTC,1788177780,1.461665,1.458655,1.462225,1.458145,0
turbo,RENDERUSD-OTC,1788177840,1.458315,1.459395,1.459395,1.457075,0
turbo,RENDERUSD-OTC,1788177900,1.459385,1.458845,1.460475,1.457635,0
turbo,RENDERUSD-OTC,1788177960,1.458895,1.457255,1.459945,1.455995,0
turbo,RENDERUSD-OTC,1788178020,1.457275,1.458845,1.459215,1.455675,0
turbo,RENDERUSD-OTC,1788178080,1.458675,1.458945,1.461085,1.457975,0
turbo,RENDERUSD-OTC,1788178140,1.458795,1.456875,1.460165,1.455295,0
turbo,RENDERUSD-OTC,1788178200,1.457015,1.463395,1.463395,1.456825,0
turbo,RENDERUSD-OTC,1788178260,1.463295,1.462395,1.463565,1.461575,0
turbo,RENDERUSD-OTC,1788178320,1.462325,1.460905,1.463215,1.460905,0
turbo,RENDERUSD-OTC,1788178380,1.460785,1.459815,1.462725,1.459235,0
turbo,RENDERUSD-OTC,1788178440,1.459705,1.460855,1.462555,1.459165,0
turbo,RENDERUSD-OTC,1788178500,1.460705,1.458445,1.461275,1.458385,0
turbo,RENDERUSD-OTC,1788178560,1.458285,1.456345,1.458655,1.455965,0
turbo,RENDERUSD-OTC,1788178620,1.456485,1.455465,1.456785,1.454695,0
turbo,RENDERUSD-OTC,1788178680,1.455915,1.455695,1.457705,1.454995,0
turbo,RENDERUSD-OTC,1788178740,1.455645,1.456095,1.457345,1.454365,0
turbo,RENDERUSD-OTC,1788178800,1.456555,1.454325,1.456555,1.453385,0
turbo,RENDERUSD-OTC,1788178860,1.454415,1.454185,1.454635,1.452285,0
turbo,RENDERUSD-OTC,1788178920,1.454165,1.450915,1.454165,1.450445,0
turbo,RENDERUSD-OTC,1788178980,1.451075,1.450315,1.451955,1.449635,0
turbo,RENDERUSD-OTC,1788179040,1.450395,1.452725,1.454445,1.450375,0
turbo,RENDERUSD-OTC,1788179100,1.452785,1.454785,1.455135,1.452125,0
turbo,RENDERUSD-OTC,1788179160,1.454885,1.455175,1.458405,1.454545,0
turbo,RENDERUSD-OTC,1788179220,1.455035,1.459345,1.460165,1.454675,0
turbo,RENDERUSD-OTC,1788179280,1.459245,1.460145,1.462295,1.459135,0
turbo,RENDERUSD-OTC,1788179340,1.460305,1.465315,1.465315,1.459565,0
turbo,RENDERUSD-OTC,1788179400,1.465345,1.467535,1.467855,1.464875,0
turbo,RENDERUSD-OTC,1788179460,1.467475,1.468525,1.469545,1.466045,0
turbo,RENDERUSD-OTC,1788179520,1.468625,1.471175,1.471385,1.468475,0
turbo,RENDERUSD-OTC,1788179580,1.471345,1.471375,1.472205,1.469535,0
turbo,RENDERUSD-OTC,1788179640,1.471295,1.467135,1.473905,1.466985,0
turbo,RENDERUSD-OTC,1788179700,1.467015,1.470295,1.470295,1.466445,0
turbo,RENDERUSD-OTC,1788179760,1.470425,1.470765,1.472045,1.468845,0
turbo,RENDERUSD-OTC,1788179820,1.470685,1.467475,1.471625,1.467475,0
turbo,RENDERUSD-OTC,1788179880,1.467605,1.467115,1.468125,1.466105,0
turbo,RENDERUSD-OTC,1788179940,1.467155,1.469445,1.470015,1.466595,0
turbo,RENDERUSD-OTC,1788180000,1.469465,1.467815,1.469465,1.467095,0
turbo,RENDERUSD-OTC,1788180060,1.467925,1.466395,1.468075,1.464805,0
turbo,RENDERUSD-OTC,1788180120,1.466415,1.464815,1.467205,1.463335,0
turbo,RENDERUSD-OTC,1788180180,1.464835,1.464065,1.465485,1.462865,0
turbo,RENDERUSD-OTC,1788180240,1.464175,1.460645,1.464545,1.459525,0
turbo,RENDERUSD-OTC,1788180300,1.460605,1.461065,1.462875,1.458825,0
turbo,RENDERUSD-OTC,1788180360,1.461155,1.462855,1.463145,1.460305,0
turbo,RENDERUSD-OTC,1788180420,1.462905,1.460845,1.463835,1.460565,0
turbo,RENDERUSD-OTC,1788180480,1.461015,1.461485,1.462015,1.459395,0
turbo,RENDERUSD-OTC,1788180540,1.461685,1.462905,1.464635,1.461595,0
turbo,RENDERUSD-OTC,1788180600,1.462995,1.463545,1.464445,1.461535,0
turbo,RENDERUSD-OTC,1788180660,1.463455,1.460675,1.463975,1.459505,0
turbo,RENDERUSD-OTC,1788180720,1.460685,1.461255,1.461465,1.459105,0
turbo,RENDERUSD-OTC,1788180780,1.460445,1.462175,1.462885,1.459775,0
turbo,RENDERUSD-OTC,1788180840,1.461975,1.463485,1.465875,1.461195,0
turbo,RENDERUSD-OTC,1788180900,1.463185,1.462475,1.463865,1.461395,0
turbo,RENDERUSD-OTC,1788180960,1.462325,1.459615,1.464175,1.459535,0
turbo,RENDERUSD-OTC,1788181020,1.459635,1.461155,1.461155,1.458325,0
turbo,RENDERUSD-OTC,1788181080,1.461095,1.462285,1.462895,1.460745,0
turbo,RENDERUSD-OTC,1788181140,1.462385,1.456745,1.462675,1.456595,0
turbo,RENDERUSD-OTC,1788181200,1.456595,1.455475,1.457385,1.453905,0
turbo,RENDERUSD-OTC,1788181260,1.455505,1.456435,1.457335,1.454585,0
turbo,RENDERUSD-OTC,1788181320,1.456305,1.453905,1.456775,1.453595,0
turbo,RENDERUSD-OTC,1788181380,1.453825,1.454325,1.455185,1.451645,0
turbo,RENDERUSD-OTC,1788181440,1.454265,1.454615,1.454785,1.451415,0
turbo,RENDERUSD-OTC,1788181500,1.454795,1.459455,1.459485,1.454795,0
turbo,RENDERUSD-OTC,1788181560,1.459485,1.460305,1.460735,1.457755,0
turbo,RENDERUSD-OTC,1788181620,1.460395,1.458095,1.460645,1.457635,0
turbo,RENDERUSD-OTC,1788181680,1.457935,1.457165,1.458355,1.455795,0
turbo,RENDERUSD-OTC,1788181740,1.457135,1.456775,1.457895,1.455515,0
turbo,RENDERUSD-OTC,1788181800,1.456735,1.457785,1.459685,1.456655,0
turbo,RENDERUSD-OTC,1788181860,1.457635,1.452285,1.458525,1.451875,0
turbo,RENDERUSD-OTC,1788181920,1.452255,1.451525,1.454745,1.450735,0
turbo,RENDERUSD-OTC,1788181980,1.451405,1.454385,1.455105,1.450615,0
turbo,RENDERUSD-OTC,1788182040,1.454245,1.454405,1.455115,1.452595,0
turbo,RENDERUSD-OTC,1788182100,1.454545,1.457295,1.457625,1.453335,0
turbo,RENDERUSD-OTC,1788182160,1.457325,1.456195,1.457695,1.455645,0
turbo,RENDERUSD-OTC,1788182220,1.455735,1.453875,1.457165,1.453765,0
turbo,RENDERUSD-OTC,1788182280,1.454195,1.452045,1.455875,1.452015,0
turbo,RENDERUSD-OTC,1788182340,1.452055,1.450805,1.452835,1.449205,0
turbo,RENDERUSD-OTC,1788182400,1.450455,1.447415,1.450695,1.446695,0
turbo,RENDERUSD-OTC,1788182460,1.447275,1.446085,1.447655,1.445505,0
turbo,RENDERUSD-OTC,1788182520,1.445995,1.447435,1.447775,1.445945,0
turbo,RENDERUSD-OTC,1788182580,1.447555,1.445255,1.447715,1.443805,0
turbo,RENDERUSD-OTC,1788182640,1.445175,1.446245,1.447105,1.445035,0
turbo,RENDERUSD-OTC,1788182700,1.446285,1.445865,1.449285,1.445005,0
turbo,RENDERUSD-OTC,1788182760,1.445935,1.445695,1.446815,1.444255,0
turbo,RENDERUSD-OTC,1788182820,1.446145,1.440605,1.446145,1.440405,0
turbo,RENDERUSD-OTC,1788182880,1.440285,1.443815,1.443935,1.439655,0
turbo,RENDERUSD-OTC,1788182940,1.443955,1.445065,1.446445,1.443215,0
turbo,RENDERUSD-OTC,1788183000,1.445075,1.444635,1.447895,1.444365,0
turbo,RENDERUSD-OTC,1788183060,1.444485,1.443205,1.444935,1.441905,0
turbo,RENDERUSD-OTC,1788183120,1.443095,1.439275,1.444255,1.439275,0
turbo,RENDERUSD-OTC,1788183180,1.439305,1.441825,1.442955,1.439055,0
turbo,RENDERUSD-OTC,1788183240,1.441805,1.439055,1.442105,1.437045,0
turbo,RENDERUSD-OTC,1788183300,1.439165,1.444215,1.444545,1.438915,0
turbo,RENDERUSD-OTC,1788183360,1.444275,1.442305,1.444605,1.442035,0
turbo,RENDERUSD-OTC,1788183420,1.442415,1.440295,1.442735,1.440215,0
