tipo,activo,from,open,close,max,min,volume
turbo,TRON-OTC,1788176400,0.199625,0.201295,0.202795,0.199585,0
turbo,TRON-OTC,1788176460,0.201425,0.197705,0.201865,0.197025,0
turbo,TRON-OTC,1788176520,0.197645,0.198735,0.200145,0.196925,0
turbo,TRON-OTC,1788176580,0.198885,0.193805,0.198885,0.193295,0
turbo,TRON-OTC,1788176640,0.193725,0.199245,0.200505,0.192865,0
turbo,TRON-OTC,1788176700,0.199295,0.201225,0.202885,0.198935,0
turbo,TRON-OTC,1788176760,0.201055,0.200605,0.201835,0.198675,0
turbo,TRON-OTC,1788176820,0.199715,0.201575,0.203375,0.198425,0
turbo,TRON-OTC,1788176880,0.201745,0.207275,0.207455,0.200315,0
turbo,TRON-OTC,1788176940,0.207355,0.208905,0.210435,0.206675,0
turbo,TRON-OTC,1788177000,0.209025,0.207385,0.209205,0.205755,0
turbo,TRON-OTC,1788177060,0.207305,0.204165,0.207995,0.202435,0
turbo,TRON-OTC,1788177120,0.204345,0.207735,0.208165,0.204115,0
turbo,TRON-OTC,1788177180,0.207815,0.210485,0.210715,0.205575,0
turbo,TRON-OTC,1788177240,0.210315,0.208395,0.211175,0.207725,0
turbo,TRON-OTC,1788177300,0.208335,0.207165,0.209345,0.202955,0
turbo,TRON-OTC,1788177360,0.207295,0.205375,0.209535,0.203635,0
turbo,TRON-OTC,1788177420,0.205235,0.203435,0.206995,0.203135,0
turbo,TRON-OTC,1788177480,0.203355,0.209585,0.209695,0.202225,0
turbo,TRON-OTC,1788177540,0.209475,0.204675,0.211595,0.204675,0
turbo,TRON-OTC,1788177600,0.204825,0.203255,0.207175,0.203255,0
turbo,TRON-OTC,1788177660,0.203325,0.206775,0.207055,0.200965,0
turbo,TRON-OTC,1788177720,0.206875,0.205175,0.207715,0.205055,0
turbo,TRON-OTC,1788177780,0.205335,0.205365,0.206975,0.204565,0
turbo,TRON-OTC,1788177840,0.205215,0.202465,0.207435,0.202465,0
turbo,TRON-OTC,1788177900,0.202615,0.206745,0.206745,0.201215,0
turbo,TRON-OTC,1788177960,0.206685,0.204825,0.207535,0.203885,0
turbo,TRON-OTC,1788178020,0.204755,0.212225,0.212965,0.203795,0
turbo,TRON-OTC,1788178080,0.212005,0.211445,0.212645,0.210085,0
turbo,TRON-OTC,1788178140,0.211585,0.211205,0.212665,0.205995,0
turbo,TRON-OTC,1788178200,0.211075,0.209315,0.211355,0.209015,0
turbo,TRON-OTC,1788178260,0.209465,0.207965,0.212365,0.207955,0
turbo,TRON-OTC,1788178320,0.207835,0.217145,0.217245,0.207835,0
turbo,TRON-OTC,1788178380,0.217195,0.212215,0.217945,0.211455,0
turbo,TRON-OTC,1788178440,0.212415,0.212235,0.213695,0.208735,0
turbo,TRON-OTC,1788178500,0.212295,0.210115,0.212655,0.208345,0
turbo,TRON-OTC,1788178560,0.210225,0.205885,0.210425,0.204135,0
turbo,TRON-OTC,1788178620,0.205785,0.203055,0.205935,0.201875,0
turbo,TRON-OTC,1788178680,0.203185,0.205185,0.206295,0.202915,0
turbo,TRON-OTC,1788178740,0.205335,0.202945,0.206015,0.201925,0
turbo,TRON-OTC,1788178800,0.202795,0.205485,0.206415,0.202095,0
turbo,TRON-OTC,1788178860,0.205665,0.198895,0.205885,0.198895,0
turbo,TRON-OTC,1788178920,0.198715,0.198465,0.201795,0.197665,0
turbo,TRON-OTC,1788178980,0.198625,0.199815,0.201535,0.197885,0
turbo,TRON-OTC,1788179040,0.199755,0.201305,0.201985,0.197815,0
turbo,TRON-OTC,1788179100,0.201155,0.204015,0.204805,0.200765,0
turbo,TRON-OTC,1788179160,0.203875,0.206025,0.206825,0.202425,0
turbo,TRON-OTC,1788179220,0.205925,0.213185,0.213725,0.204565,0
turbo,TRON-OTC,1788179280,0.213335,0.213095,0.213415,0.209115,0
turbo,TRON-OTC,1788179340,0.213155,0.211515,0.214125,0.209635,0
turbo,TRON-OTC,1788179400,0.211395,0.212575,0.214215,0.211165,0
turbo,TRON-OTC,1788179460,0.212515,0.209745,0.213825,0.209595,0
turbo,TRON-OTC,1788179520,0.209845,0.202095,0.209945,0.200955,0
turbo,TRON-OTC,1788179580,0.201915,0.197115,0.202555,0.196485,0
turbo,TRON-OTC,1788179640,0.197035,0.197115,0.198655,0.195885,0
turbo,TRON-OTC,1788179700,0.196955,0.198825,0.199625,0.196545,0
turbo,TRON-OTC,1788179760,0.198925,0.197105,0.199065,0.196545,0
turbo,TRON-OTC,1788179820,0.197205,0.194115,0.197205,0.193575,0
turbo,TRON-OTC,1788179880,0.193945,0.193715,0.196985,0.193125,0
turbo,TRON-OTC,1788179940,0.193905,0.198135,0.198415,0.193585,0
turbo,TRON-OTC,1788180000,0.198225,0.193545,0.198395,0.191605,0
turbo,TRON-OTC,1788180060,0.193715,0.194235,0.195365,0.191675,0
turbo,TRON-OTC,1788180120,0.194325,0.191995,0.194425,0.191785,0
turbo,TRON-OTC,1788180180,0.192065,0.189585,0.193105,0.188855,0
turbo,TRON-OTC,1788180240,0.189665,0.188165,0.192145,0.188165,0
turbo,TRON-OTC,1788180300,0.188885,0.193105,0.194735,0.188865,0
turbo,TRON-OTC,1788180360,0.194025,0.186265,0.194315,0.186225,0
turbo,TRON-OTC,1788180420,0.186355,0.188515,0.188885,0.186285,0
turbo,TRON-OTC,1788180480,0.188625,0.186435,0.189235,0.185725,0
turbo,TRON-OTC,1788180540,0.186255,0.188415,0.188965,0.185695,0
turbo,TRON-OTC,1788180600,0.188285,0.189505,0.190765,0.187745,0
turbo,TRON-OTC,1788180660,0.189455,0.192045,0.192275,0.187905,0
turbo,TRON-OTC,1788180720,0.192115,0.197265,0.197645,0.190945,0
turbo,TRON-OTC,1788180780,0.197445,0.193495,0.198695,0.193335,0
