tipo,activo,from,open,close,max,min,volume
turbo,USDCLP-OTC,1788176400,979.69255,981.42755,982.03565,979.16625,0
turbo,USDCLP-OTC,1788176460,981.41005,980.85995,981.82135,980.81335,0
turbo,USDCLP-OTC,1788176520,980.85615,982.08645,982.20075,980.35635,0
turbo,USDCLP-OTC,1788176580,982.02665,981.01855,982.18645,980.70645,0
turbo,USDCLP-OTC,1788176640,981.02565,982.79005,983.29575,981.01555,0
turbo,USDCLP-OTC,1788176700,982.80325,982.15595,983.39695,981.22715,0
turbo,USDCLP-OTC,1788176760,982.13655,983.52965,983.78505,981.57505,0
turbo,USDCLP-OTC,1788176820,983.53325,983.28885,984.39225,982.21395,0
turbo,USDCLP-OTC,1788176880,983.28535,984.36175,984.72185,982.69615,0
turbo,USDCLP-OTC,1788176940,984.40625,982.46585,984.46145,982.06705,0
turbo,USDCLP-OTC,1788177000,982.46165,982.42805,983.12355,981.97595,0
turbo,USDCLP-OTC,1788177060,982.40535,982.97805,983.36545,982.20285,0
turbo,USDCLP-OTC,1788177120,982.86765,984.47585,984.83985,982.67495,0
turbo,USDCLP-OTC,1788177180,984.48935,985.34245,986.07395,984.37205,0
turbo,USDCLP-OTC,1788177240,985.32315,985.34915,985.99055,985.14155,0
turbo,USDCLP-OTC,1788177300,985.36365,983.42495,985.40635,983.32455,0
turbo,USDCLP-OTC,1788177360,983.44185,983.21885,984.63885,983.18195,0
turbo,USDCLP-OTC,1788177420,983.21975,981.70185,983.59605,981.58855,0
turbo,USDCLP-OTC,1788177480,982.02035,981.73745,982.30645,979.98635,0
turbo,USDCLP-OTC,1788177540,981.73545,981.94985,982.18435,980.61155,0
turbo,USDCLP-OTC,1788177600,981.89865,980.36805,981.89865,980.18815,0
turbo,USDCLP-OTC,1788177660,980.27225,980.08975,981.41145,980.03365,0
turbo,USDCLP-OTC,1788177720,980.09545,981.00775,981.22915,979.81555,0
turbo,USDCLP-OTC,1788177780,981.00765,982.79635,983.15465,980.52895,0
turbo,USDCLP-OTC,1788177840,982.77895,982.46895,983.21735,981.91555,0
