tipo,activo,from,open,close,max,min,volume
turbo,USDPHP-OTC,1788176400,62.04635,62.03805,62.04995,62.02425,0
turbo,USDPHP-OTC,1788176460,62.03615,62.04435,62.05585,62.03325,0
turbo,USDPHP-OTC,1788176520,62.04415,62.01705,62.04995,62.01285,0
turbo,USDPHP-OTC,1788176580,62.01605,61.98985,62.01605,61.98985,0
turbo,USDPHP-OTC,1788176640,61.98935,61.95985,61.99695,61.95935,0
turbo,USDPHP-OTC,1788176700,61.96025,61.95805,61.96155,61.94705,0
turbo,USDPHP-OTC,1788176760,61.95785,61.95215,61.96455,61.95215,0
turbo,USDPHP-OTC,1788176820,61.95205,61.93645,61.96055,61.93645,0
turbo,USDPHP-OTC,1788176880,61.93695,61.91425,61.93695,61.91305,0
turbo,USDPHP-OTC,1788176940,61.91285,61.89975,61.92245,61.89745,0
turbo,USDPHP-OTC,1788177000,61.89845,61.90965,61.91065,61.88545,0
turbo,USDPHP-OTC,1788177060,61.91005,61.90215,61.91955,61.90135,0
turbo,USDPHP-OTC,1788177120,61.90095,61.90445,61.91185,61.89465,0
turbo,USDPHP-OTC,1788177180,61.90515,61.90635,61.91595,61.89825,0
turbo,USDPHP-OTC,1788177240,61.90585,61.91715,61.92875,61.90345,0
turbo,USDPHP-OTC,1788177300,61.91625,61.91385,61.92405,61.91005,0
turbo,USDPHP-OTC,1788177360,61.91575,61.90765,61.92495,61.90115,0
turbo,USDPHP-OTC,1788177420,61.90615,61.88255,61.90705,61.88215,0
turbo,USDPHP-OTC,1788177480,61.88285,61.88835,61.88865,61.87495,0
turbo,USDPHP-OTC,1788177540,61.88795,61.89065,61.90325,61.88705,0
turbo,USDPHP-OTC,1788177600,61.88995,61.89145,61.89515,61.88105,0
turbo,USDPHP-OTC,1788177660,61.89175,61.88605,61.89455,61.87645,0
turbo,USDPHP-OTC,1788177720,61.88575,61.87105,61.89905,61.86565,0
turbo,USDPHP-OTC,1788177780,61.87255,61.89215,61.89395,61.86855,0
turbo,USDPHP-OTC,1788177840,61.89365,61.88695,61.89875,61.87865,0
turbo,USDPHP-OTC,1788177900,61.88795,61.90335,61.90625,61.88655,0
turbo,USDPHP-OTC,1788177960,61.90345,61.87875,61.90535,61.87605,0
turbo,USDPHP-OTC,1788178020,61.88055,61.89225,61.89815,61.87335,0
turbo,USDPHP-OTC,1788178080,61.89185,61.87095,61.89595,61.86475,0
