tipo,activo,from,open,close,max,min,volume
turbo,USDTHB-OTC,1788176460,33.128325,33.136425,33.141785,33.128265,0
turbo,USDTHB-OTC,1788176520,33.136515,33.142345,33.142515,33.132005,0
turbo,USDTHB-OTC,1788176580,33.142695,33.142105,33.155505,33.141095,0
turbo,USDTHB-OTC,1788176640,33.142065,33.143925,33.147305,33.137425,0
turbo,USDTHB-OTC,1788176700,33.143915,33.138535,33.148215,33.138305,0
turbo,USDTHB-OTC,1788176760,33.138085,33.139455,33.139625,33.121755,0
turbo,USDTHB-OTC,1788176820,33.139325,33.143195,33.144775,33.129715,0
turbo,USDTHB-OTC,1788176880,33.142585,33.135295,33.144975,33.134135,0
turbo,USDTHB-OTC,1788176940,33.135255,33.139865,33.141435,33.131365,0
turbo,USDTHB-OTC,1788177000,33.139805,33.157655,33.162975,33.139315,0
turbo,USDTHB-OTC,1788177060,33.158165,33.152065,33.162785,33.150285,0
turbo,USDTHB-OTC,1788177120,33.152125,33.153245,33.168915,33.151625,0
turbo,USDTHB-OTC,1788177180,33.151195,33.148435,33.153095,33.137775,0
turbo,USDTHB-OTC,1788177240,33.139035,33.144395,33.144395,33.127915,0
turbo,USDTHB-OTC,1788177300,33.143945,33.135685,33.146355,33.133655,0
turbo,USDTHB-OTC,1788177360,33.135695,33.139045,33.145595,33.131515,0
turbo,USDTHB-OTC,1788177420,33.139155,33.150095,33.150525,33.136025,0
turbo,USDTHB-OTC,1788177480,33.149075,33.117565,33.150435,33.115045,0
turbo,USDTHB-OTC,1788177540,33.116925,33.134425,33.134995,33.116905,0
turbo,USDTHB-OTC,1788177600,33.134965,33.106695,33.134965,33.102725,0
turbo,USDTHB-OTC,1788177660,33.106285,33.115335,33.120285,33.104715,0
turbo,USDTHB-OTC,1788177720,33.114325,33.111075,33.114325,33.099665,0
turbo,USDTHB-OTC,1788177780,33.110555,33.112945,33.117475,33.105335,0
turbo,USDTHB-OTC,1788177840,33.112845,33.117705,33.119605,33.106365,0
turbo,USDTHB-OTC,1788177900,33.117225,33.118205,33.118995,33.108735,0
turbo,USDTHB-OTC,1788177960,33.119205,33.129825,33.133945,33.117285,0
turbo,USDTHB-OTC,1788178020,33.130825,33.141155,33.141395,33.125815,0
turbo,USDTHB-OTC,1788178080,33.141655,33.142675,33.146785,33.140705,0
turbo,USDTHB-OTC,1788178140,33.143235,33.142105,33.156475,33.141575,0
turbo,USDTHB-OTC,1788178200,33.142115,33.151195,33.153795,33.141695,0
turbo,USDTHB-OTC,1788178260,33.151715,33.151895,33.154365,33.142365,0
turbo,USDTHB-OTC,1788178320,33.151905,33.153525,33.156915,33.141435,0
turbo,USDTHB-OTC,1788178380,33.153595,33.133675,33.153605,33.130745,0
turbo,USDTHB-OTC,1788178440,33.134185,33.133755,33.140625,33.128245,0
turbo,USDTHB-OTC,1788178500,33.133125,33.128435,33.135705,33.124075,0
turbo,USDTHB-OTC,1788178560,33.127525,33.139675,33.139675,33.116335,0
turbo,USDTHB-OTC,1788178620,33.139275,33.129075,33.139895,33.125275,0
turbo,USDTHB-OTC,1788178680,33.129025,33.139505,33.140645,33.129025,0
turbo,USDTHB-OTC,1788178740,33.140045,33.159585,33.160735,33.136095,0
turbo,USDTHB-OTC,1788178800,33.160055,33.163515,33.177505,33.159615,0
turbo,USDTHB-OTC,1788178860,33.162515,33.180195,33.184745,33.158985,0
turbo,USDTHB-OTC,1788178920,33.180145,33.175975,33.189755,33.173815,0
turbo,USDTHB-OTC,1788178980,33.176365,33.173895,33.181765,33.171705,0
turbo,USDTHB-OTC,1788179040,33.175015,33.196305,33.199575,33.172485,0
turbo,USDTHB-OTC,1788179100,33.196285,33.198495,33.206855,33.195815,0
turbo,USDTHB-OTC,1788179160,33.197995,33.202405,33.206105,33.188275,0
turbo,USDTHB-OTC,1788179220,33.201905,33.197985,33.201905,33.189655,0
turbo,USDTHB-OTC,1788179280,33.193395,33.183165,33.194155,33.181015,0
turbo,USDTHB-OTC,1788179340,33.183155,33.173215,33.197435,33.172035,0
turbo,USDTHB-OTC,1788179400,33.173155,33.159895,33.176535,33.154445,0
turbo,USDTHB-OTC,1788179460,33.159385,33.166015,33.167415,33.158175,0
turbo,USDTHB-OTC,1788179520,33.167015,33.168945,33.171445,33.155015,0
turbo,USDTHB-OTC,1788179580,33.169305,33.149565,33.169925,33.149295,0
turbo,USDTHB-OTC,1788179640,33.149555,33.168955,33.169955,33.149555,0
turbo,USDTHB-OTC,1788179700,33.168575,33.159715,33.173505,33.154575,0
turbo,USDTHB-OTC,1788179760,33.160175,33.157665,33.170665,33.157155,0
turbo,USDTHB-OTC,1788179820,33.158135,33.167825,33.168165,33.151545,0
turbo,USDTHB-OTC,1788179880,33.167255,33.175065,33.176115,33.162855,0
turbo,USDTHB-OTC,1788179940,33.175075,33.179345,33.183835,33.168695,0
turbo,USDTHB-OTC,1788180000,33.179805,33.193965,33.195205,33.179805,0
turbo,USDTHB-OTC,1788180060,33.192905,33.211035,33.212515,33.190825,0
turbo,USDTHB-OTC,1788180120,33.211385,33.206785,33.211385,33.196825,0
turbo,USDTHB-OTC,1788180180,33.206775,33.207905,33.225595,33.206775,0
turbo,USDTHB-OTC,1788180240,33.208395,33.227435,33.227435,33.205745,0
turbo,USDTHB-OTC,1788180300,33.226835,33.233235,33.233235,33.220775,0
turbo,USDTHB-OTC,1788180360,33.233225,33.240275,33.246225,33.233105,0
turbo,USDTHB-OTC,1788180420,33.240765,33.244635,33.246595,33.236925,0
turbo,USDTHB-OTC,1788180480,33.244085,33.251045,33.251255,33.240055,0
turbo,USDTHB-OTC,1788180540,33.250545,33.234785,33.251925,33.234695,0
turbo,USDTHB-OTC,1788180600,33.235205,33.232835,33.239165,33.229275,0
turbo,USDTHB-OTC,1788180660,33.233345,33.249545,33.252415,33.233345,0
turbo,USDTHB-OTC,1788180720,33.247985,33.254695,33.264465,33.243685,0
turbo,USDTHB-OTC,1788180780,33.254765,33.249955,33.256195,33.245335,0
turbo,USDTHB-OTC,1788180840,33.249485,33.250115,33.256265,33.247935,0
turbo,USDTHB-OTC,1788180900,33.249585,33.257915,33.258815,33.245875,0
turbo,USDTHB-OTC,1788180960,33.257325,33.255995,33.261565,33.252105,0
turbo,USDTHB-OTC,1788181020,33.255545,33.244285,33.259495,33.242085,0
turbo,USDTHB-OTC,1788181080,33.243855,33.250655,33.253635,33.240065,0
turbo,USDTHB-OTC,1788181140,33.250635,33.254115,33.255535,33.246495,0
turbo,USDTHB-OTC,1788181200,33.254095,33.258495,33.264395,33.245175,0
turbo,USDTHB-OTC,1788181260,33.258485,33.261435,33.273785,33.258325,0
turbo,USDTHB-OTC,1788181320,33.261575,33.266325,33.271925,33.257275,0
turbo,USDTHB-OTC,1788181380,33.266315,33.246525,33.266315,33.239715,0
turbo,USDTHB-OTC,1788181440,33.246025,33.241965,33.246895,33.236145,0
turbo,USDTHB-OTC,1788181500,33.242465,33.252715,33.252715,33.231955,0
turbo,USDTHB-OTC,1788181560,33.252215,33.246325,33.252815,33.241695,0
turbo,USDTHB-OTC,1788181620,33.245885,33.239695,33.246365,33.223855,0
turbo,USDTHB-OTC,1788181680,33.240205,33.235045,33.248135,33.234995,0
turbo,USDTHB-OTC,1788181740,33.235925,33.248165,33.250265,33.235255,0
turbo,USDTHB-OTC,1788181800,33.249165,33.235955,33.252565,33.234655,0
turbo,USDTHB-OTC,1788181860,33.236915,33.241985,33.245405,33.230885,0
turbo,USDTHB-OTC,1788181920,33.242485,33.254395,33.254405,33.237845,0
turbo,USDTHB-OTC,1788181980,33.254465,33.243985,33.254465,33.236795,0
turbo,USDTHB-OTC,1788182040,33.243995,33.244255,33.254305,33.242855,0
turbo,USDTHB-OTC,1788182100,33.244745,33.256005,33.258385,33.238965,0
turbo,USDTHB-OTC,1788182160,33.256545,33.253045,33.261705,33.249185,0
turbo,USDTHB-OTC,1788182220,33.253445,33.256255,33.263645,33.250885,0
turbo,USDTHB-OTC,1788182280,33.256765,33.242075,33.260125,33.237325,0
turbo,USDTHB-OTC,1788182340,33.242045,33.233675,33.252165,33.232705,0
turbo,USDTHB-OTC,1788182400,33.234255,33.234365,33.252505,33.232985,0
turbo,USDTHB-OTC,1788182460,33.233425,33.228225,33.237625,33.227275,0
turbo,USDTHB-OTC,1788182520,33.228295,33.237265,33.243145,33.228295,0
turbo,USDTHB-OTC,1788182580,33.237645,33.245135,33.246445,33.231975,0
turbo,USDTHB-OTC,1788182640,33.246135,33.233355,33.246995,33.229905,0
turbo,USDTHB-OTC,1788182700,33.233855,33.239325,33.244735,33.225835,0
turbo,USDTHB-OTC,1788182760,33.239285,33.231355,33.243675,33.228085,0
turbo,USDTHB-OTC,1788182820,33.231725,33.219815,33.233335,33.219815,0
turbo,USDTHB-OTC,1788182880,33.220815,33.230915,33.230915,33.215925,0
turbo,USDTHB-OTC,1788182940,33.229905,33.239425,33.243015,33.224845,0
turbo,USDTHB-OTC,1788183000,33.238845,33.246805,33.248865,33.226765,0
turbo,USDTHB-OTC,1788183060,33.246855,33.244585,33.248325,33.240565,0
turbo,USDTHB-OTC,1788183120,33.244015,33.248985,33.248985,33.233585,0
turbo,USDTHB-OTC,1788183180,33.249035,33.255815,33.262085,33.248745,0
turbo,USDTHB-OTC,1788183240,33.256275,33.255635,33.264095,33.253345,0
turbo,USDTHB-OTC,1788183300,33.255505,33.275045,33.275045,33.254145,0
turbo,USDTHB-OTC,1788183360,33.275515,33.271665,33.281485,33.267725,0
turbo,USDTHB-OTC,1788183420,33.271535,33.266505,33.275865,33.253965,0
turbo,USDTHB-OTC,1788183480,33.268005,33.246475,33.269125,33.245855,0
turbo,USDTHB-OTC,1788183540,33.246445,33.260275,33.263955,33.245505,0
turbo,USDTHB-OTC,1788183600,33.261785,33.264165,33.274035,33.261785,0
turbo,USDTHB-OTC,1788183660,33.264145,33.264745,33.271905,33.254495,0
turbo,USDTHB-OTC,1788183720,33.264205,33.264135,33.270515,33.259665,0
turbo,USDTHB-OTC,1788183780,33.264725,33.271845,33.273875,33.262025,0
turbo,USDTHB-OTC,1788183840,33.270805,33.301445,33.301955,33.269385,0
turbo,USDTHB-OTC,1788183900,33.301435,33.323555,33.323555,33.298075,0
turbo,USDTHB-OTC,1788183960,33.323595,33.308155,33.327675,33.307185,0
turbo,USDTHB-OTC,1788184020,33.308305,33.313065,33.322035,33.307525,0
turbo,USDTHB-OTC,1788184080,33.312885,33.317775,33.324885,33.307955,0
turbo,USDTHB-OTC,1788184140,33.317845,33.335905,33.337965,33.317415,0
turbo,USDTHB-OTC,1788184200,33.335885,33.337925,33.341925,33.328095,0
turbo,USDTHB-OTC,1788184260,33.337945,33.337065,33.338005,33.328115,0
turbo,USDTHB-OTC,1788184320,33.336995,33.326415,33.340265,33.319485,0
turbo,USDTHB-OTC,1788184380,33.326405,33.314245,33.334365,33.311675,0
turbo,USDTHB-OTC,1788184440,33.314125,33.316525,33.322415,33.303675,0
turbo,USDTHB-OTC,1788184500,33.317035,33.306565,33.320915,33.305535,0
turbo,USDTHB-OTC,1788184560,33.306545,33.293125,33.310005,33.291365,0
turbo,USDTHB-OTC,1788184620,33.293735,33.287685,33.295075,33.285985,0
turbo,USDTHB-OTC,1788184680,33.288695,33.300445,33.300505,33.280135,0
turbo,USDTHB-OTC,1788184740,33.301415,33.289025,33.311975,33.285755,0
turbo,USDTHB-OTC,1788184800,33.288945,33.303125,33.303245,33.287105,0
turbo,USDTHB-OTC,1788184860,33.303245,33.309965,33.311375,33.297815,0
turbo,USDTHB-OTC,1788184920,33.309925,33.294875,33.310525,33.292065,0
turbo,USDTHB-OTC,1788184980,33.294965,33.275095,33.298705,33.275095,0
turbo,USDTHB-OTC,1788185040,33.275055,33.260035,33.280275,33.254685,0
turbo,USDTHB-OTC,1788185100,33.261595,33.269185,33.274905,33.256835,0
turbo,USDTHB-OTC,1788185160,33.269285,33.267565,33.277125,33.267565,0
turbo,USDTHB-OTC,1788185220,33.267215,33.263675,33.274965,33.260585,0
turbo,USDTHB-OTC,1788185280,33.263645,33.262725,33.265525,33.254845,0
turbo,USDTHB-OTC,1788185340,33.262215,33.258535,33.268895,33.253105,0
turbo,USDTHB-OTC,1788185400,33.258445,33.241655,33.258705,33.241075,0
turbo,USDTHB-OTC,1788185460,33.241645,33.256095,33.259515,33.239535,0
turbo,USDTHB-OTC,1788185520,33.257725,33.258705,33.271705,33.256545,0
turbo,USDTHB-OTC,1788185580,33.258675,33.266295,33.270555,33.257015,0
turbo,USDTHB-OTC,1788185640,33.265795,33.280565,33.282185,33.260575,0
turbo,USDTHB-OTC,1788185700,33.280055,33.262015,33.289745,33.261295,0
turbo,USDTHB-OTC,1788185760,33.262525,33.300355,33.307575,33.262525,0
turbo,USDTHB-OTC,1788185820,33.299855,33.307055,33.310245,33.294635,0
turbo,USDTHB-OTC,1788185880,33.306535,33.278525,33.310195,33.275045,0
turbo,USDTHB-OTC,1788185940,33.278485,33.263495,33.283705,33.263495,0
turbo,USDTHB-OTC,1788186000,33.263485,33.288465,33.288935,33.261535,0
turbo,USDTHB-OTC,1788186060,33.286965,33.271425,33.289405,33.260535,0
turbo,USDTHB-OTC,1788186120,33.271475,33.284085,33.284145,33.270195,0
turbo,USDTHB-OTC,1788186180,33.284075,33.283595,33.288795,33.281505,0
turbo,USDTHB-OTC,1788186240,33.283605,33.280235,33.288105,33.271405,0
turbo,USDTHB-OTC,1788186300,33.279765,33.278945,33.282885,33.269265,0
turbo,USDTHB-OTC,1788186360,33.278935,33.278335,33.285945,33.275875,0
turbo,USDTHB-OTC,1788186420,33.279875,33.279245,33.288765,33.279235,0
turbo,USDTHB-OTC,1788186480,33.280255,33.276395,33.280305,33.269965,0
turbo,USDTHB-OTC,1788186540,33.276385,33.274755,33.276865,33.257625,0
turbo,USDTHB-OTC,1788186600,33.274745,33.265265,33.278725,33.258835,0
turbo,USDTHB-OTC,1788186660,33.265725,33.264675,33.277625,33.258405,0
turbo,USDTHB-OTC,1788186720,33.264665,33.271575,33.278695,33.264655,0
turbo,USDTHB-OTC,1788186780,33.271535,33.266845,33.280375,33.264125,0
turbo,USDTHB-OTC,1788186840,33.266835,33.264115,33.276485,33.260175,0
turbo,USDTHB-OTC,1788186900,33.264535,33.261115,33.266475,33.248175,0
turbo,USDTHB-OTC,1788186960,33.262055,33.272555,33.278725,33.260265,0
turbo,USDTHB-OTC,1788187020,33.272075,33.254695,33.274405,33.249685,0
turbo,USDTHB-OTC,1788187080,33.254375,33.252895,33.257335,33.249615,0
turbo,USDTHB-OTC,1788187140,33.253815,33.255775,33.262455,33.251095,0
turbo,USDTHB-OTC,1788187200,33.255845,33.262225,33.268975,33.254035,0
turbo,USDTHB-OTC,1788187260,33.262415,33.279295,33.282195,33.261485,0
turbo,USDTHB-OTC,1788187320,33.279145,33.278115,33.281765,33.271755,0
turbo,USDTHB-OTC,1788187380,33.278305,33.271385,33.285115,33.261575,0
turbo,USDTHB-OTC,1788187440,33.271465,33.266655,33.273195,33.255505,0
turbo,USDTHB-OTC,1788187500,33.266145,33.255085,33.270845,33.254565,0
turbo,USDTHB-OTC,1788187560,33.254575,33.252985,33.257135,33.243425,0
turbo,USDTHB-OTC,1788187620,33.252475,33.278485,33.278965,33.249975,0
turbo,USDTHB-OTC,1788187680,33.279045,33.262105,33.279045,33.256735,0
turbo,USDTHB-OTC,1788187740,33.262115,33.267055,33.275135,33.261585,0
turbo,USDTHB-OTC,1788187800,33.266045,33.278005,33.281375,33.265235,0
turbo,USDTHB-OTC,1788187860,33.277495,33.277165,33.279045,33.264405,0
turbo,USDTHB-OTC,1788187920,33.276555,33.281005,33.288345,33.274725,0
turbo,USDTHB-OTC,1788187980,33.275465,33.277175,33.285915,33.274135,0
turbo,USDTHB-OTC,1788188040,33.278185,33.263165,33.278185,33.259485,0
turbo,USDTHB-OTC,1788188100,33.263435,33.261785,33.265725,33.258155,0
turbo,USDTHB-OTC,1788188160,33.261695,33.259975,33.262765,33.255465,0
turbo,USDTHB-OTC,1788188220,33.260065,33.243455,33.262245,33.240725,0
turbo,USDTHB-OTC,1788188280,33.242955,33.260205,33.262075,33.241055,0
turbo,USDTHB-OTC,1788188340,33.260235,33.271285,33.272395,33.247795,0
turbo,USDTHB-OTC,1788188400,33.270245,33.287185,33.288165,33.270245,0
turbo,USDTHB-OTC,1788188460,33.287695,33.285325,33.300015,33.284755,0
turbo,USDTHB-OTC,1788188520,33.285265,33.298315,33.301245,33.284785,0
turbo,USDTHB-OTC,1788188580,33.297165,33.296915,33.303185,33.293435,0
turbo,USDTHB-OTC,1788188640,33.296945,33.319885,33.321775,33.296945,0
turbo,USDTHB-OTC,1788188700,33.319875,33.304495,33.320975,33.304495,0
turbo,USDTHB-OTC,1788188760,33.305005,33.320085,33.320975,33.305005,0
turbo,USDTHB-OTC,1788188820,33.319585,33.307025,33.327215,33.306465,0
turbo,USDTHB-OTC,1788188880,33.308065,33.317455,33.323315,33.307125,0
turbo,USDTHB-OTC,1788188940,33.316815,33.293425,33.319455,33.293425,0
turbo,USDTHB-OTC,1788189000,33.293065,33.285305,33.297885,33.283615,0
turbo,USDTHB-OTC,1788189060,33.285755,33.299825,33.303185,33.280255,0
turbo,USDTHB-OTC,1788189120,33.299815,33.287445,33.303755,33.283005,0
turbo,USDTHB-OTC,1788189180,33.288025,33.265805,33.288595,33.265805,0
turbo,USDTHB-OTC,1788189240,33.265715,33.243455,33.270625,33.238165,0
turbo,USDTHB-OTC,1788189300,33.242945,33.262465,33.268395,33.242945,0
turbo,USDTHB-OTC,1788189360,33.263025,33.260005,33.266675,33.259895,0
