tipo,activo,from,open,close,max,min,volume
turbo,XRPUSD-OTC,1788176400,1.498525,1.501675,1.501975,1.497805,0
turbo,XRPUSD-OTC,1788176460,1.501805,1.502185,1.503545,1.500495,0
turbo,XRPUSD-OTC,1788176520,1.502635,1.499475,1.503085,1.499035,0
turbo,XRPUSD-OTC,1788176580,1.499415,1.501685,1.502195,1.498655,0
turbo,XRPUSD-OTC,1788176640,1.501815,1.499995,1.503045,1.499275,0
turbo,XRPUSD-OTC,1788176700,1.499895,1.507825,1.508015,1.499185,0
turbo,XRPUSD-OTC,1788176760,1.507805,1.505145,1.507805,1.504905,0
turbo,XRPUSD-OTC,1788176820,1.505165,1.506645,1.507655,1.504565,0
turbo,XRPUSD-OTC,1788176880,1.506675,1.509155,1.509775,1.505615,0
turbo,XRPUSD-OTC,1788176940,1.509185,1.510995,1.511065,1.508475,0
turbo,XRPUSD-OTC,1788177000,1.510835,1.506665,1.510885,1.506225,0
turbo,XRPUSD-OTC,1788177060,1.506615,1.501255,1.506915,1.501255,0
turbo,XRPUSD-OTC,1788177120,1.501355,1.502255,1.502705,1.500395,0
turbo,XRPUSD-OTC,1788177180,1.502145,1.502885,1.502895,1.500455,0
turbo,XRPUSD-OTC,1788177240,1.502695,1.497885,1.504145,1.497445,0
turbo,XRPUSD-OTC,1788177300,1.497895,1.494345,1.498755,1.493195,0
turbo,XRPUSD-OTC,1788177360,1.494285,1.492785,1.494855,1.491255,0
turbo,XRPUSD-OTC,1788177420,1.492795,1.487945,1.492795,1.487835,0
turbo,XRPUSD-OTC,1788177480,1.488095,1.488685,1.491315,1.488095,0
turbo,XRPUSD-OTC,1788177540,1.488535,1.491445,1.492005,1.488165,0
turbo,XRPUSD-OTC,1788177600,1.491795,1.489805,1.492735,1.489605,0
turbo,XRPUSD-OTC,1788177660,1.489675,1.492585,1.492585,1.488765,0
turbo,XRPUSD-OTC,1788177720,1.492505,1.490335,1.492555,1.489625,0
turbo,XRPUSD-OTC,1788177780,1.490295,1.493695,1.493935,1.489955,0
turbo,XRPUSD-OTC,1788177840,1.493805,1.490505,1.493995,1.489795,0
turbo,XRPUSD-OTC,1788177900,1.490425,1.484285,1.491895,1.483895,0
turbo,XRPUSD-OTC,1788177960,1.484225,1.481835,1.484305,1.480905,0
turbo,XRPUSD-OTC,1788178020,1.481915,1.480305,1.483345,1.479885,0
turbo,XRPUSD-OTC,1788178080,1.480215,1.480725,1.480845,1.479235,0
turbo,XRPUSD-OTC,1788178140,1.480705,1.481265,1.482045,1.480365,0
turbo,XRPUSD-OTC,1788178200,1.481215,1.479145,1.481815,1.478905,0
turbo,XRPUSD-OTC,1788178260,1.478845,1.481155,1.481655,1.478235,0
turbo,XRPUSD-OTC,1788178320,1.481315,1.480745,1.482395,1.480365,0
turbo,XRPUSD-OTC,1788178380,1.481125,1.480665,1.482235,1.479375,0
turbo,XRPUSD-OTC,1788178440,1.480605,1.481085,1.481325,1.476905,0
turbo,XRPUSD-OTC,1788178500,1.481005,1.477205,1.481455,1.477185,0
turbo,XRPUSD-OTC,1788178560,1.477215,1.479655,1.480225,1.476895,0
turbo,XRPUSD-OTC,1788178620,1.479415,1.481265,1.481625,1.479005,0
turbo,XRPUSD-OTC,1788178680,1.481315,1.479415,1.481735,1.478565,0
turbo,XRPUSD-OTC,1788178740,1.479235,1.480325,1.481745,1.478585,0
turbo,XRPUSD-OTC,1788178800,1.480445,1.481445,1.483215,1.480445,0
turbo,XRPUSD-OTC,1788178860,1.481515,1.483255,1.484295,1.480315,0
turbo,XRPUSD-OTC,1788178920,1.483335,1.486655,1.486655,1.482905,0
turbo,XRPUSD-OTC,1788178980,1.486635,1.483855,1.486805,1.483625,0
turbo,XRPUSD-OTC,1788179040,1.484055,1.483575,1.485455,1.483345,0
turbo,XRPUSD-OTC,1788179100,1.483775,1.485655,1.486145,1.482605,0
turbo,XRPUSD-OTC,1788179160,1.485305,1.483875,1.485655,1.482665,0
turbo,XRPUSD-OTC,1788179220,1.483785,1.483805,1.485065,1.482815,0
turbo,XRPUSD-OTC,1788179280,1.483665,1.483695,1.485525,1.482165,0
turbo,XRPUSD-OTC,1788179340,1.483675,1.480435,1.483855,1.480145,0
turbo,XRPUSD-OTC,1788179400,1.480365,1.485145,1.485385,1.480315,0
turbo,XRPUSD-OTC,1788179460,1.484995,1.484135,1.485265,1.482555,0
turbo,XRPUSD-OTC,1788179520,1.484025,1.483195,1.485305,1.481955,0
turbo,XRPUSD-OTC,1788179580,1.483255,1.484235,1.484915,1.483045,0
turbo,XRPUSD-OTC,1788179640,1.484225,1.485635,1.485855,1.483785,0
turbo,XRPUSD-OTC,1788179700,1.485205,1.486465,1.486985,1.484915,0
turbo,XRPUSD-OTC,1788179760,1.486515,1.488725,1.488825,1.486225,0
turbo,XRPUSD-OTC,1788179820,1.488875,1.488705,1.489595,1.487865,0
turbo,XRPUSD-OTC,1788179880,1.488615,1.487305,1.488615,1.485005,0
turbo,XRPUSD-OTC,1788179940,1.487105,1.487875,1.488795,1.485595,0
turbo,XRPUSD-OTC,1788180000,1.487765,1.490055,1.490885,1.487375,0
turbo,XRPUSD-OTC,1788180060,1.489995,1.492325,1.493495,1.489605,0
turbo,XRPUSD-OTC,1788180120,1.492395,1.491125,1.493125,1.491095,0
turbo,XRPUSD-OTC,1788180180,1.491435,1.492735,1.493315,1.490575,0
turbo,XRPUSD-OTC,1788180240,1.492805,1.495415,1.496135,1.492245,0
