tipo,activo,from,open,close,max,min,volume
turbo,AIG-OTC,1788311100,77.6265,77.6445,77.6565,77.5985,0
turbo,AIG-OTC,1788311160,77.6415,77.7315,77.7525,77.6415,0
turbo,AIG-OTC,1788311220,77.7285,77.6225,77.7455,77.6225,0
turbo,AIG-OTC,1788311280,77.6195,77.6245,77.6535,77.5735,0
turbo,AIG-OTC,1788311340,77.6255,77.6165,77.7095,77.6105,0
turbo,AIG-OTC,1788311400,77.6185,77.6095,77.6515,77.5995,0
turbo,AIG-OTC,1788311460,77.6055,77.6875,77.7445,77.5665,0
turbo,AIG-OTC,1788311520,77.6735,77.5235,77.6755,77.4995,0
turbo,AIG-OTC,1788311580,77.5195,77.4565,77.5385,77.4515,0
turbo,AIG-OTC,1788311640,77.4535,77.4955,77.5305,77.4375,0
turbo,AIG-OTC,1788311700,77.5045,77.4665,77.5145,77.4545,0
turbo,AIG-OTC,1788311760,77.4655,77.5945,77.5975,77.4625,0
turbo,AIG-OTC,1788311820,77.5925,77.5865,77.6255,77.5395,0
turbo,AIG-OTC,1788311880,77.5845,77.5635,77.5845,77.5085,0
turbo,AIG-OTC,1788311940,77.5265,77.5055,77.5305,77.3815,0
turbo,AIG-OTC,1788312000,77.5065,77.5545,77.5795,77.4955,0
turbo,AIG-OTC,1788312060,77.5555,77.5235,77.5835,77.4675,0
turbo,AIG-OTC,1788312120,77.5245,77.3835,77.5415,77.3685,0
turbo,AIG-OTC,1788312180,77.3805,77.4115,77.4455,77.3385,0
turbo,AIG-OTC,1788312240,77.4095,77.4335,77.4465,77.3715,0
turbo,AIG-OTC,1788312300,77.4305,77.4335,77.4735,77.3945,0
turbo,AIG-OTC,1788312360,77.4345,77.4915,77.5065,77.4295,0
turbo,AIG-OTC,1788312420,77.4925,77.5375,77.5565,77.4655,0
turbo,AIG-OTC,1788312480,77.5415,77.6825,77.7165,77.5415,0
turbo,AIG-OTC,1788312540,77.6865,77.7025,77.7025,77.5985,0
turbo,AIG-OTC,1788312600,77.7055,77.6735,77.7095,77.6295,0
turbo,AIG-OTC,1788312660,77.6685,77.6135,77.7895,77.6085,0
turbo,AIG-OTC,1788312720,77.6035,77.5405,77.7025,77.5295,0
turbo,AIG-OTC,1788312780,77.5445,77.6075,77.6445,77.5315,0
turbo,AIG-OTC,1788312840,77.6125,77.6545,77.6815,77.5815,0
turbo,AIG-OTC,1788312900,77.6555,77.7795,77.7875,77.6555,0
turbo,AIG-OTC,1788312960,77.7825,77.9085,77.9085,77.7715,0
turbo,AIG-OTC,1788313020,77.9115,77.8955,77.9305,77.8915,0
turbo,AIG-OTC,1788313080,77.8925,77.9075,77.9955,77.8525,0
turbo,AIG-OTC,1788313140,77.9085,77.9565,77.9845,77.8975,0
turbo,AIG-OTC,1788313200,77.9535,77.9845,78.0375,77.9365,0
turbo,AIG-OTC,1788313260,77.9815,77.9265,78.0095,77.9125,0
turbo,AIG-OTC,1788313320,77.9215,77.5745,77.9385,77.5745,0
turbo,AIG-OTC,1788313380,77.5715,77.6135,77.6135,77.5105,0
turbo,AIG-OTC,1788313440,77.6165,77.9115,77.9115,77.5745,0
turbo,AIG-OTC,1788313500,77.9065,77.8985,77.9635,77.8765,0
turbo,AIG-OTC,1788313560,77.8625,77.7895,78.0835,77.7775,0
turbo,AIG-OTC,1788313620,77.7925,77.8145,77.8575,77.7925,0
turbo,AIG-OTC,1788313680,77.8105,77.9125,77.9145,77.7955,0
turbo,AIG-OTC,1788313740,77.9145,77.9325,77.9455,77.8785,0
turbo,AIG-OTC,1788313800,77.9305,77.9345,78.0105,77.9095,0
turbo,AIG-OTC,1788313860,77.9225,77.9185,77.9375,77.9005,0
turbo,AIG-OTC,1788313920,77.9235,77.9195,77.9445,77.8735,0
turbo,AIG-OTC,1788313980,77.9185,78.0365,78.0885,77.9165,0
turbo,AIG-OTC,1788314040,78.0335,78.1075,78.1125,78.0215,0
turbo,AIG-OTC,1788314100,78.1085,78.0065,78.1085,77.9905,0
turbo,AIG-OTC,1788314160,78.0035,78.0255,78.0395,77.9725,0
turbo,AIG-OTC,1788314220,78.0235,77.8485,78.0385,77.7485,0
turbo,AIG-OTC,1788314280,77.8545,77.8085,77.8555,77.7565,0
turbo,AIG-OTC,1788314340,77.8105,77.9545,77.9565,77.7725,0
turbo,AIG-OTC,1788314400,77.9755,77.9785,78.0535,77.9655,0
turbo,AIG-OTC,1788314460,77.9835,77.8805,78.0025,77.8755,0
turbo,AIG-OTC,1788314520,77.8785,77.9195,77.9485,77.8585,0
turbo,AIG-OTC,1788314580,77.9085,77.9215,77.9865,77.8865,0
turbo,AIG-OTC,1788314640,77.9185,77.7785,77.9295,77.7675,0
turbo,AIG-OTC,1788314700,77.7765,77.9345,77.9495,77.7745,0
turbo,AIG-OTC,1788314760,77.9325,77.9295,78.0285,77.9275,0
turbo,AIG-OTC,1788314820,77.9285,77.9785,77.9995,77.9005,0
turbo,AIG-OTC,1788314880,77.9915,78.0475,78.1195,77.9625,0
turbo,AIG-OTC,1788314940,78.0465,78.0825,78.1025,78.0325,0
turbo,AIG-OTC,1788315000,78.0835,78.2835,78.3035,78.0795,0
turbo,AIG-OTC,1788315060,78.2845,78.1865,78.2865,78.1795,0
turbo,AIG-OTC,1788315120,78.1885,78.1925,78.2355,78.1625,0
turbo,AIG-OTC,1788315180,78.1915,78.1135,78.2055,78.1085,0
turbo,AIG-OTC,1788315240,78.1175,78.2135,78.2215,78.1175,0
turbo,AIG-OTC,1788315300,78.2145,78.1445,78.2365,78.1045,0
turbo,AIG-OTC,1788315360,78.1435,78.1285,78.1465,78.0525,0
turbo,AIG-OTC,1788315420,78.1235,78.1185,78.1775,78.0835,0
turbo,AIG-OTC,1788315480,78.1195,78.2535,78.2535,78.1095,0
turbo,AIG-OTC,1788315540,78.2515,78.3865,78.4065,78.2265,0
turbo,AIG-OTC,1788315600,78.3905,78.2735,78.4215,78.2175,0
turbo,AIG-OTC,1788315660,78.2745,78.2845,78.3075,78.2295,0
turbo,AIG-OTC,1788315720,78.2895,78.4725,78.4925,78.2715,0
turbo,AIG-OTC,1788315780,78.4765,78.4905,78.5655,78.4455,0
turbo,AIG-OTC,1788315840,78.4945,78.5995,78.6315,78.4945,0
turbo,AIG-OTC,1788315900,78.5915,78.5535,78.6165,78.5385,0
turbo,AIG-OTC,1788315960,78.5505,78.5615,78.5685,78.4835,0
turbo,AIG-OTC,1788316020,78.5585,78.5335,78.5845,78.5055,0
turbo,AIG-OTC,1788316080,78.5375,78.4955,78.5555,78.4615,0
turbo,AIG-OTC,1788316140,78.5045,78.5655,78.5845,78.4545,0
turbo,AIG-OTC,1788316200,78.5635,78.5395,78.5825,78.4705,0
turbo,AIG-OTC,1788316260,78.5445,78.5785,78.5995,78.5325,0
turbo,AIG-OTC,1788316320,78.5825,78.5345,78.6245,78.5315,0
turbo,AIG-OTC,1788316380,78.5295,78.5445,78.5815,78.4995,0
turbo,AIG-OTC,1788316440,78.5455,78.5555,78.6255,78.5385,0
turbo,AIG-OTC,1788316500,78.5545,78.4895,78.5635,78.4295,0
turbo,AIG-OTC,1788316560,78.4705,78.4725,78.5295,78.4505,0
turbo,AIG-OTC,1788316620,78.4745,78.4915,78.5455,78.4225,0
turbo,AIG-OTC,1788316680,78.4955,78.3305,78.4955,78.3205,0
turbo,AIG-OTC,1788316740,78.3275,78.4295,78.4325,78.3035,0
turbo,AIG-OTC,1788316800,78.4335,78.2025,78.4555,78.1645,0
turbo,AIG-OTC,1788316860,78.2045,78.2315,78.3065,78.2045,0
turbo,AIG-OTC,1788316920,78.2335,78.2685,78.2685,78.1425,0
turbo,AIG-OTC,1788316980,78.2695,78.1915,78.2745,78.1815,0
turbo,AIG-OTC,1788317040,78.1905,78.1285,78.1925,78.1275,0
turbo,AIG-OTC,1788317100,78.1245,78.1905,78.1965,78.0745,0
turbo,AIG-OTC,1788317160,78.1945,78.0805,78.2135,78.0795,0
turbo,AIG-OTC,1788317220,78.0815,78.1575,78.1575,78.0785,0
turbo,AIG-OTC,1788317280,78.1555,78.2105,78.2885,78.1535,0
turbo,AIG-OTC,1788317340,78.2165,78.2545,78.2795,78.1945,0
turbo,AIG-OTC,1788317400,78.2525,78.1295,78.2615,78.1205,0
turbo,AIG-OTC,1788317460,78.1285,78.0875,78.1975,78.0715,0
turbo,AIG-OTC,1788317520,78.0845,78.1145,78.1335,78.0455,0
turbo,AIG-OTC,1788317580,78.1105,78.2045,78.2045,78.1015,0
turbo,AIG-OTC,1788317640,78.2015,78.2025,78.2345,78.1645,0
turbo,AIG-OTC,1788317700,78.1995,78.2775,78.2985,78.1745,0
turbo,AIG-OTC,1788317760,78.2675,78.3075,78.3435,78.2615,0
turbo,AIG-OTC,1788317820,78.3045,78.3165,78.3765,78.3005,0
turbo,AIG-OTC,1788317880,78.3195,78.3255,78.3395,78.2675,0
turbo,AIG-OTC,1788317940,78.3335,78.2485,78.3775,78.2365,0
turbo,AIG-OTC,1788318000,78.2395,78.2645,78.2895,78.1855,0
turbo,AIG-OTC,1788318060,78.2655,78.3885,78.3885,78.2565,0
turbo,AIG-OTC,1788318120,78.3895,78.3185,78.3895,78.2735,0
turbo,AIG-OTC,1788318180,78.3205,78.3385,78.3485,78.2885,0
turbo,AIG-OTC,1788318240,78.3375,78.2355,78.3685,78.2085,0
turbo,AIG-OTC,1788318300,78.2345,78.2605,78.2615,78.1665,0
turbo,AIG-OTC,1788318360,78.2595,78.2955,78.3615,78.2545,0
turbo,AIG-OTC,1788318420,78.3005,78.2655,78.3525,78.2595,0
turbo,AIG-OTC,1788318480,78.2625,78.0255,78.2825,78.0125,0
turbo,AIG-OTC,1788318540,78.0285,78.0765,78.1525,78.0285,0
turbo,AIG-OTC,1788318600,78.0785,77.9355,78.0815,77.9355,0
turbo,AIG-OTC,1788318660,77.9335,77.8895,77.9955,77.8895,0
turbo,AIG-OTC,1788318720,77.8905,77.7495,77.8945,77.7345,0
turbo,AIG-OTC,1788318780,77.7535,77.6255,77.7755,77.6135,0
turbo,AIG-OTC,1788318840,77.6295,77.6965,77.7485,77.6155,0
