tipo,activo,from,open,close,max,min,volume
turbo,DYDXUSD-OTC,1788311100,0.094815,0.094075,0.095475,0.093895,0
turbo,DYDXUSD-OTC,1788311160,0.094035,0.094195,0.094545,0.093705,0
turbo,DYDXUSD-OTC,1788311220,0.094205,0.094135,0.094485,0.093115,0
turbo,DYDXUSD-OTC,1788311280,0.094195,0.096195,0.096205,0.094185,0
turbo,DYDXUSD-OTC,1788311340,0.096165,0.095925,0.096535,0.095545,0
turbo,DYDXUSD-OTC,1788311400,0.095845,0.095935,0.096405,0.095285,0
turbo,DYDXUSD-OTC,1788311460,0.095925,0.095575,0.096575,0.095485,0
turbo,DYDXUSD-OTC,1788311520,0.095445,0.094575,0.095535,0.094485,0
turbo,DYDXUSD-OTC,1788311580,0.094545,0.094225,0.095415,0.094145,0
turbo,DYDXUSD-OTC,1788311640,0.094165,0.092925,0.094225,0.092855,0
turbo,DYDXUSD-OTC,1788311700,0.092905,0.092395,0.092925,0.091855,0
turbo,DYDXUSD-OTC,1788311760,0.092385,0.092615,0.092965,0.091815,0
turbo,DYDXUSD-OTC,1788311820,0.092625,0.093275,0.093715,0.092095,0
turbo,DYDXUSD-OTC,1788311880,0.093295,0.093135,0.093675,0.092765,0
turbo,DYDXUSD-OTC,1788311940,0.093155,0.091585,0.093425,0.091515,0
turbo,DYDXUSD-OTC,1788312000,0.091595,0.092475,0.092985,0.091525,0
turbo,DYDXUSD-OTC,1788312060,0.092405,0.093945,0.093985,0.092325,0
turbo,DYDXUSD-OTC,1788312120,0.093925,0.093905,0.093925,0.093025,0
turbo,DYDXUSD-OTC,1788312180,0.093935,0.095335,0.095725,0.093785,0
turbo,DYDXUSD-OTC,1788312240,0.095325,0.093765,0.095955,0.093645,0
turbo,DYDXUSD-OTC,1788312300,0.093785,0.093275,0.093825,0.092885,0
turbo,DYDXUSD-OTC,1788312360,0.093325,0.092045,0.093455,0.091915,0
turbo,DYDXUSD-OTC,1788312420,0.092055,0.091365,0.092645,0.091255,0
turbo,DYDXUSD-OTC,1788312480,0.091355,0.090335,0.091655,0.090215,0
turbo,DYDXUSD-OTC,1788312540,0.090345,0.089415,0.090815,0.089345,0
turbo,DYDXUSD-OTC,1788312600,0.089355,0.087865,0.089715,0.087865,0
turbo,DYDXUSD-OTC,1788312660,0.087915,0.088505,0.088815,0.087645,0
turbo,DYDXUSD-OTC,1788312720,0.088605,0.087575,0.088985,0.087535,0
turbo,DYDXUSD-OTC,1788312780,0.087545,0.088295,0.088835,0.087465,0
turbo,DYDXUSD-OTC,1788312840,0.088245,0.088915,0.088955,0.088065,0
turbo,DYDXUSD-OTC,1788312900,0.088845,0.088915,0.089065,0.088085,0
turbo,DYDXUSD-OTC,1788312960,0.088935,0.088525,0.089305,0.087665,0
turbo,DYDXUSD-OTC,1788313020,0.088575,0.089305,0.089615,0.088295,0
turbo,DYDXUSD-OTC,1788313080,0.089475,0.091655,0.091815,0.089185,0
turbo,DYDXUSD-OTC,1788313140,0.091745,0.090155,0.091905,0.089915,0
turbo,DYDXUSD-OTC,1788313200,0.090125,0.090845,0.090845,0.089215,0
turbo,DYDXUSD-OTC,1788313260,0.090805,0.093715,0.093715,0.090665,0
turbo,DYDXUSD-OTC,1788313320,0.093775,0.092675,0.094005,0.092415,0
turbo,DYDXUSD-OTC,1788313380,0.092645,0.093085,0.093515,0.092215,0
turbo,DYDXUSD-OTC,1788313440,0.093075,0.093245,0.093695,0.092045,0
turbo,DYDXUSD-OTC,1788313500,0.093255,0.092685,0.093325,0.092105,0
turbo,DYDXUSD-OTC,1788313560,0.092625,0.094495,0.094745,0.092565,0
turbo,DYDXUSD-OTC,1788313620,0.094465,0.095235,0.095745,0.094365,0
turbo,DYDXUSD-OTC,1788313680,0.095265,0.095335,0.095975,0.094855,0
turbo,DYDXUSD-OTC,1788313740,0.095345,0.096185,0.096495,0.095315,0
turbo,DYDXUSD-OTC,1788313800,0.096195,0.095255,0.096515,0.094825,0
turbo,DYDXUSD-OTC,1788313860,0.095195,0.095635,0.095635,0.094275,0
turbo,DYDXUSD-OTC,1788313920,0.095585,0.094765,0.095915,0.094385,0
turbo,DYDXUSD-OTC,1788313980,0.094775,0.096575,0.096575,0.094755,0
turbo,DYDXUSD-OTC,1788314040,0.096525,0.096905,0.096975,0.095285,0
turbo,DYDXUSD-OTC,1788314100,0.096855,0.098055,0.098975,0.096805,0
turbo,DYDXUSD-OTC,1788314160,0.098095,0.098065,0.098165,0.097085,0
turbo,DYDXUSD-OTC,1788314220,0.098075,0.099805,0.099865,0.098035,0
turbo,DYDXUSD-OTC,1788314280,0.099755,0.098255,0.100145,0.098235,0
turbo,DYDXUSD-OTC,1788314340,0.098315,0.098505,0.098525,0.097505,0
turbo,DYDXUSD-OTC,1788314400,0.098445,0.098495,0.098735,0.097855,0
turbo,DYDXUSD-OTC,1788314460,0.098515,0.097465,0.098555,0.097085,0
turbo,DYDXUSD-OTC,1788314520,0.097535,0.099525,0.099525,0.097155,0
turbo,DYDXUSD-OTC,1788314580,0.099595,0.098265,0.099635,0.097885,0
turbo,DYDXUSD-OTC,1788314640,0.098215,0.098405,0.098715,0.097455,0
turbo,DYDXUSD-OTC,1788314700,0.098345,0.097595,0.098425,0.097535,0
