tipo,activo,from,open,close,max,min,volume
turbo,ETHUSD-OTC,1788311100,2524.1855,2530.3405,2531.6665,2522.2405,0
turbo,ETHUSD-OTC,1788311160,2530.3425,2528.6655,2531.9145,2526.2905,0
turbo,ETHUSD-OTC,1788311220,2528.5835,2525.7185,2529.8405,2523.5775,0
turbo,ETHUSD-OTC,1788311280,2525.7175,2531.3875,2531.5775,2521.5685,0
turbo,ETHUSD-OTC,1788311340,2531.7405,2533.3205,2533.3205,2528.4285,0
turbo,ETHUSD-OTC,1788311400,2532.8985,2538.0235,2539.7915,2531.0075,0
turbo,ETHUSD-OTC,1788311460,2538.0255,2542.2175,2542.2175,2536.5545,0
turbo,ETHUSD-OTC,1788311520,2542.2885,2543.5665,2546.2275,2542.2865,0
turbo,ETHUSD-OTC,1788311580,2542.9595,2536.0405,2544.1105,2534.7295,0
turbo,ETHUSD-OTC,1788311640,2535.8535,2534.9265,2539.6845,2533.9535,0
turbo,ETHUSD-OTC,1788311700,2534.6065,2532.0735,2537.1595,2531.6505,0
turbo,ETHUSD-OTC,1788311760,2533.8505,2542.5135,2542.5135,2533.0635,0
turbo,ETHUSD-OTC,1788311820,2542.1785,2540.3125,2545.1745,2539.7335,0
turbo,ETHUSD-OTC,1788311880,2540.3145,2537.6605,2541.9865,2536.6595,0
turbo,ETHUSD-OTC,1788311940,2537.6835,2534.6815,2538.7115,2529.6305,0
turbo,ETHUSD-OTC,1788312000,2534.6785,2539.8275,2541.0365,2533.9425,0
turbo,ETHUSD-OTC,1788312060,2540.5115,2545.8105,2546.9525,2539.6355,0
turbo,ETHUSD-OTC,1788312120,2546.2395,2540.7635,2547.9945,2540.5335,0
turbo,ETHUSD-OTC,1788312180,2540.3645,2540.6915,2543.2585,2537.7505,0
turbo,ETHUSD-OTC,1788312240,2541.1695,2541.8475,2545.0235,2540.6865,0
turbo,ETHUSD-OTC,1788312300,2541.8445,2536.9985,2543.4105,2534.5195,0
turbo,ETHUSD-OTC,1788312360,2536.9595,2533.3335,2537.1595,2532.5255,0
turbo,ETHUSD-OTC,1788312420,2532.6795,2529.0795,2535.4655,2528.6945,0
turbo,ETHUSD-OTC,1788312480,2529.0765,2530.2895,2530.5565,2524.4075,0
turbo,ETHUSD-OTC,1788312540,2530.2905,2536.5645,2537.6195,2530.1425,0
turbo,ETHUSD-OTC,1788312600,2536.3415,2536.0265,2538.9635,2534.6945,0
turbo,ETHUSD-OTC,1788312660,2536.0275,2530.2095,2536.4235,2528.3675,0
turbo,ETHUSD-OTC,1788312720,2530.2935,2530.7545,2530.7585,2524.4385,0
turbo,ETHUSD-OTC,1788312780,2530.7555,2532.2165,2534.2745,2530.5515,0
turbo,ETHUSD-OTC,1788312840,2533.4895,2541.3125,2542.5925,2533.1245,0
turbo,ETHUSD-OTC,1788312900,2541.0285,2542.6305,2543.0365,2537.6245,0
turbo,ETHUSD-OTC,1788312960,2542.6385,2541.5635,2550.0665,2541.2025,0
turbo,ETHUSD-OTC,1788313020,2541.3735,2547.8305,2549.7765,2539.0015,0
turbo,ETHUSD-OTC,1788313080,2547.8385,2548.0995,2550.1125,2545.3845,0
turbo,ETHUSD-OTC,1788313140,2548.1015,2547.5195,2548.7965,2544.3885,0
turbo,ETHUSD-OTC,1788313200,2547.7375,2543.8135,2549.1595,2543.7995,0
turbo,ETHUSD-OTC,1788313260,2543.8175,2548.7165,2549.1445,2542.3735,0
turbo,ETHUSD-OTC,1788313320,2548.7385,2546.5165,2550.8185,2546.5165,0
turbo,ETHUSD-OTC,1788313380,2546.5225,2550.5745,2552.6575,2545.0215,0
turbo,ETHUSD-OTC,1788313440,2550.9745,2558.9435,2559.4205,2547.5445,0
turbo,ETHUSD-OTC,1788313500,2558.9405,2549.8275,2558.9435,2549.0655,0
turbo,ETHUSD-OTC,1788313560,2549.6375,2548.8485,2551.4405,2547.4455,0
turbo,ETHUSD-OTC,1788313620,2548.6025,2553.4825,2555.2445,2547.9295,0
turbo,ETHUSD-OTC,1788313680,2553.1545,2552.6015,2556.6865,2551.4355,0
turbo,ETHUSD-OTC,1788313740,2552.6035,2538.9265,2553.6965,2536.8455,0
turbo,ETHUSD-OTC,1788313800,2539.5805,2522.4715,2539.5805,2522.4715,0
turbo,ETHUSD-OTC,1788313860,2522.4685,2521.3255,2524.0735,2519.1975,0
turbo,ETHUSD-OTC,1788313920,2521.3245,2518.8555,2522.6055,2517.8955,0
turbo,ETHUSD-OTC,1788313980,2519.2785,2521.0525,2525.4945,2519.2775,0
turbo,ETHUSD-OTC,1788314040,2521.0545,2515.6295,2521.3095,2514.7505,0
turbo,ETHUSD-OTC,1788314100,2515.9265,2513.8685,2516.1535,2506.7735,0
turbo,ETHUSD-OTC,1788314160,2514.2025,2510.5265,2514.8915,2509.1315,0
turbo,ETHUSD-OTC,1788314220,2510.5245,2510.8285,2515.0125,2510.1425,0
turbo,ETHUSD-OTC,1788314280,2510.8305,2526.1085,2528.6715,2510.6835,0
