tipo,activo,from,open,close,max,min,volume
turbo,GBPJPY-OTC,1788311100,215.643735,215.644155,215.659885,215.585215,0
turbo,GBPJPY-OTC,1788311160,215.644625,215.542605,215.644625,215.542605,0
turbo,GBPJPY-OTC,1788311220,215.538845,215.668295,215.668525,215.532215,0
turbo,GBPJPY-OTC,1788311280,215.677405,215.647225,215.684295,215.622065,0
turbo,GBPJPY-OTC,1788311340,215.647615,215.553485,215.647915,215.539215,0
turbo,GBPJPY-OTC,1788311400,215.557225,215.520555,215.618205,215.514095,0
turbo,GBPJPY-OTC,1788311460,215.523095,215.553735,215.609305,215.520625,0
turbo,GBPJPY-OTC,1788311520,215.555085,215.539945,215.586395,215.537145,0
turbo,GBPJPY-OTC,1788311580,215.538945,215.416905,215.541695,215.413575,0
turbo,GBPJPY-OTC,1788311640,215.419505,215.421805,215.449155,215.393015,0
turbo,GBPJPY-OTC,1788311700,215.419775,215.328535,215.447045,215.324925,0
turbo,GBPJPY-OTC,1788311760,215.328445,215.321475,215.332435,215.261955,0
turbo,GBPJPY-OTC,1788311820,215.341125,215.337545,215.353125,215.307315,0
turbo,GBPJPY-OTC,1788311880,215.335055,215.304615,215.373715,215.295095,0
turbo,GBPJPY-OTC,1788311940,215.304785,215.359315,215.376475,215.304235,0
turbo,GBPJPY-OTC,1788312000,215.358845,215.274065,215.390915,215.265705,0
turbo,GBPJPY-OTC,1788312060,215.273635,215.315295,215.348305,215.259965,0
turbo,GBPJPY-OTC,1788312120,215.316665,215.413855,215.419475,215.301295,0
turbo,GBPJPY-OTC,1788312180,215.413445,215.551655,215.554325,215.412155,0
turbo,GBPJPY-OTC,1788312240,215.551185,215.526085,215.566905,215.500785,0
turbo,GBPJPY-OTC,1788312300,215.527245,215.500935,215.573555,215.500775,0
turbo,GBPJPY-OTC,1788312360,215.501335,215.470175,215.520445,215.466775,0
turbo,GBPJPY-OTC,1788312420,215.471955,215.528485,215.536815,215.435215,0
turbo,GBPJPY-OTC,1788312480,215.529245,215.521385,215.539625,215.457805,0
turbo,GBPJPY-OTC,1788312540,215.521315,215.531245,215.576135,215.499545,0
turbo,GBPJPY-OTC,1788312600,215.526445,215.507555,215.565175,215.484465,0
turbo,GBPJPY-OTC,1788312660,215.516135,215.572015,215.642855,215.505815,0
turbo,GBPJPY-OTC,1788312720,215.575065,215.539945,215.597475,215.534485,0
turbo,GBPJPY-OTC,1788312780,215.541955,215.477415,215.544175,215.477105,0
turbo,GBPJPY-OTC,1788312840,215.476825,215.572905,215.592835,215.452265,0
turbo,GBPJPY-OTC,1788312900,215.572715,215.540165,215.582795,215.519305,0
turbo,GBPJPY-OTC,1788312960,215.536945,215.477365,215.542355,215.466915,0
turbo,GBPJPY-OTC,1788313020,215.474455,215.447135,215.526555,215.438975,0
turbo,GBPJPY-OTC,1788313080,215.454995,215.499705,215.502175,215.439095,0
turbo,GBPJPY-OTC,1788313140,215.501585,215.477075,215.521165,215.472635,0
turbo,GBPJPY-OTC,1788313200,215.486505,215.533575,215.541765,215.474985,0
turbo,GBPJPY-OTC,1788313260,215.533225,215.559965,215.563255,215.492615,0
turbo,GBPJPY-OTC,1788313320,215.568675,215.599805,215.604005,215.556745,0
turbo,GBPJPY-OTC,1788313380,215.598095,215.613585,215.617585,215.567945,0
turbo,GBPJPY-OTC,1788313440,215.611775,215.665635,215.665635,215.587615,0
turbo,GBPJPY-OTC,1788313500,215.669815,215.627455,215.671975,215.582135,0
turbo,GBPJPY-OTC,1788313560,215.626205,215.665385,215.700305,215.607645,0
turbo,GBPJPY-OTC,1788313620,215.663905,215.690835,215.706165,215.650775,0
turbo,GBPJPY-OTC,1788313680,215.688015,215.659055,215.718315,215.634255,0
turbo,GBPJPY-OTC,1788313740,215.659805,215.610955,215.678335,215.594245,0
turbo,GBPJPY-OTC,1788313800,215.610565,215.683145,215.683465,215.555525,0
turbo,GBPJPY-OTC,1788313860,215.679475,215.695565,215.724115,215.654295,0
turbo,GBPJPY-OTC,1788313920,215.696535,215.670855,215.696535,215.612665,0
turbo,GBPJPY-OTC,1788313980,215.668225,215.597665,215.668515,215.586655,0
turbo,GBPJPY-OTC,1788314040,215.597225,215.561195,215.597225,215.544995,0
turbo,GBPJPY-OTC,1788314100,215.561625,215.557195,215.561625,215.503195,0
turbo,GBPJPY-OTC,1788314160,215.557965,215.535985,215.565735,215.509515,0
turbo,GBPJPY-OTC,1788314220,215.535345,215.553235,215.569875,215.514685,0
turbo,GBPJPY-OTC,1788314280,215.553985,215.425275,215.558265,215.398905,0
turbo,GBPJPY-OTC,1788314340,215.423005,215.441555,215.452845,215.407555,0
turbo,GBPJPY-OTC,1788314400,215.440445,215.377795,215.455655,215.370205,0
turbo,GBPJPY-OTC,1788314460,215.365725,215.409285,215.414255,215.348875,0
turbo,GBPJPY-OTC,1788314520,215.421755,215.444365,215.474795,215.420095,0
turbo,GBPJPY-OTC,1788314580,215.448105,215.515995,215.543285,215.437185,0
turbo,GBPJPY-OTC,1788314640,215.516445,215.519405,215.575855,215.492555,0
turbo,GBPJPY-OTC,1788314700,215.519385,215.579215,215.626515,215.512905,0
turbo,GBPJPY-OTC,1788314760,215.579135,215.560165,215.593675,215.532135,0
turbo,GBPJPY-OTC,1788314820,215.560215,215.573865,215.581325,215.522725,0
turbo,GBPJPY-OTC,1788314880,215.574125,215.527225,215.575005,215.488425,0
turbo,GBPJPY-OTC,1788314940,215.516695,215.547225,215.561425,215.511665,0
turbo,GBPJPY-OTC,1788315000,215.546025,215.495725,215.553065,215.494885,0
turbo,GBPJPY-OTC,1788315060,215.497145,215.420135,215.513805,215.399555,0
turbo,GBPJPY-OTC,1788315120,215.422635,215.376795,215.426825,215.330755,0
turbo,GBPJPY-OTC,1788315180,215.374105,215.374545,215.424065,215.370145,0
turbo,GBPJPY-OTC,1788315240,215.372255,215.345295,215.391145,215.332245,0
turbo,GBPJPY-OTC,1788315300,215.346145,215.334865,215.353425,215.309645,0
turbo,GBPJPY-OTC,1788315360,215.334925,215.347105,215.373415,215.289665,0
turbo,GBPJPY-OTC,1788315420,215.344995,215.277165,215.362975,215.275325,0
turbo,GBPJPY-OTC,1788315480,215.280025,215.364085,215.378165,215.278645,0
turbo,GBPJPY-OTC,1788315540,215.364145,215.321945,215.376565,215.300575,0
