tipo,activo,from,open,close,max,min,volume
turbo,UKOUSD-OTC,1788311100,96.6295,96.3585,96.6295,96.3135,0
turbo,UKOUSD-OTC,1788311160,96.3695,96.4185,96.4825,96.2785,0
turbo,UKOUSD-OTC,1788311220,96.4195,96.3335,96.5955,96.2815,0
turbo,UKOUSD-OTC,1788311280,96.3345,96.2315,96.3615,96.2035,0
turbo,UKOUSD-OTC,1788311340,96.2285,96.2735,96.3535,96.1765,0
turbo,UKOUSD-OTC,1788311400,96.2765,96.2705,96.4665,96.2475,0
turbo,UKOUSD-OTC,1788311460,96.2785,96.3715,96.4025,96.2445,0
turbo,UKOUSD-OTC,1788311520,96.3725,96.3605,96.5175,96.3185,0
turbo,UKOUSD-OTC,1788311580,96.3615,96.3705,96.4905,96.3505,0
turbo,UKOUSD-OTC,1788311640,96.3545,96.3345,96.4025,96.1385,0
turbo,UKOUSD-OTC,1788311700,96.3575,96.4495,96.5445,96.3545,0
turbo,UKOUSD-OTC,1788311760,96.4505,96.4135,96.4695,96.3085,0
turbo,UKOUSD-OTC,1788311820,96.4125,96.2795,96.4655,96.2425,0
turbo,UKOUSD-OTC,1788311880,96.2205,96.3205,96.3405,96.2195,0
turbo,UKOUSD-OTC,1788311940,96.3115,96.4765,96.5185,96.3115,0
turbo,UKOUSD-OTC,1788312000,96.4795,96.5785,96.6015,96.4105,0
turbo,UKOUSD-OTC,1788312060,96.5795,96.5645,96.6025,96.4825,0
turbo,UKOUSD-OTC,1788312120,96.5975,96.6545,96.7415,96.5965,0
turbo,UKOUSD-OTC,1788312180,96.6525,96.6215,96.7315,96.4955,0
turbo,UKOUSD-OTC,1788312240,96.6115,96.5825,96.6995,96.5825,0
turbo,UKOUSD-OTC,1788312300,96.5855,96.6655,96.6775,96.5595,0
turbo,UKOUSD-OTC,1788312360,96.6805,96.7695,96.8035,96.6275,0
turbo,UKOUSD-OTC,1788312420,96.7495,96.9975,97.0305,96.6595,0
