tipo,activo,from,open,close,max,min,volume
turbo,US2000:N,1788311100,2918.19,2917.14,2918.19,2917.14,91
turbo,US2000:N,1788311160,2917.14,2917.06,2917.61,2916.89,82
turbo,US2000:N,1788311220,2917.11,2917.51,2917.55,2916.89,65
turbo,US2000:N,1788311280,2917.55,2916.94,2917.55,2916.74,68
turbo,US2000:N,1788311340,2916.94,2916.89,2917.15,2916.81,54
turbo,US2000:N,1788311400,2916.94,2917,2917.01,2916.39,62
turbo,US2000:N,1788311460,2916.96,2916.5,2916.96,2916.16,35
turbo,US2000:N,1788311520,2916.5,2916.4,2916.56,2916.35,23
turbo,US2000:N,1788311580,2916.45,2916.36,2916.5,2915.34,229
turbo,US2000:N,1788311640,2916.3,2916.3,2916.55,2916.04,108
turbo,US2000:N,1788311700,2916.24,2917.4,2917.51,2916.1,133
turbo,US2000:N,1788311760,2917.49,2917.36,2917.85,2917.21,115
turbo,US2000:N,1788311820,2917.3,2917,2917.56,2916.79,156
turbo,US2000:N,1788311880,2916.94,2917.59,2917.6,2916.89,151
turbo,US2000:N,1788311940,2917.59,2917.45,2917.66,2917.1,90
turbo,US2000:N,1788312000,2917.49,2917.56,2917.61,2917.31,97
turbo,US2000:N,1788312060,2917.6,2917.71,2917.75,2917.49,70
turbo,US2000:N,1788312120,2917.75,2916.95,2917.96,2916.95,127
turbo,US2000:N,1788312180,2917.05,2918.06,2918.06,2916.75,171
turbo,US2000:N,1788312240,2918,2918.15,2918.15,2917.39,110
turbo,US2000:N,1788312300,2918.11,2918.2,2918.46,2917.96,115
turbo,US2000:N,1788312360,2918.25,2918.19,2918.75,2918.04,112
turbo,US2000:N,1788312420,2918.14,2917.81,2918.3,2917.81,52
turbo,US2000:N,1788312480,2917.81,2917.65,2917.91,2917.36,61
turbo,US2000:N,1788312540,2917.7,2917.61,2917.96,2917.54,56
turbo,US2000:N,1788312600,2917.66,2917.16,2917.75,2916.56,146
turbo,US2000:N,1788312660,2917.2,2917.85,2917.94,2917.04,107
turbo,US2000:N,1788312720,2917.85,2918.01,2918.16,2917.49,83
turbo,US2000:N,1788312780,2918.04,2917.79,2918.04,2917.65,75
turbo,US2000:N,1788312840,2917.79,2918.26,2918.26,2917.64,49
turbo,US2000:N,1788312900,2918.3,2917.69,2918.44,2917.64,89
turbo,US2000:N,1788312960,2917.75,2917.56,2917.75,2917.26,96
turbo,US2000:N,1788313020,2917.49,2917.15,2917.5,2917.06,81
turbo,US2000:N,1788313080,2917.1,2916.9,2917.15,2916.64,60
turbo,US2000:N,1788313140,2916.95,2917.06,2917.45,2916.89,75
turbo,US2000:N,1788313200,2917.09,2917.21,2917.39,2916.94,95
turbo,US2000:N,1788313260,2917.21,2917.64,2917.64,2917.1,78
