tipo,activo,from,open,close,max,min,volume
turbo,USDPLN-OTC,1788311100,3.724305,3.726435,3.726915,3.723555,0
turbo,USDPLN-OTC,1788311160,3.726475,3.728105,3.728215,3.725315,0
turbo,USDPLN-OTC,1788311220,3.728095,3.728525,3.728555,3.727215,0
turbo,USDPLN-OTC,1788311280,3.728565,3.729095,3.730025,3.727585,0
turbo,USDPLN-OTC,1788311340,3.729015,3.729725,3.729775,3.728555,0
turbo,USDPLN-OTC,1788311400,3.729715,3.729855,3.730405,3.729105,0
turbo,USDPLN-OTC,1788311460,3.729905,3.730365,3.731075,3.729455,0
turbo,USDPLN-OTC,1788311520,3.730405,3.731865,3.732045,3.730305,0
turbo,USDPLN-OTC,1788311580,3.731745,3.730975,3.732335,3.730005,0
turbo,USDPLN-OTC,1788311640,3.731005,3.727395,3.731065,3.727395,0
turbo,USDPLN-OTC,1788311700,3.727155,3.727045,3.728095,3.726175,0
turbo,USDPLN-OTC,1788311760,3.727095,3.727255,3.727675,3.726145,0
turbo,USDPLN-OTC,1788311820,3.727375,3.725055,3.727535,3.725045,0
turbo,USDPLN-OTC,1788311880,3.725095,3.725395,3.727105,3.724965,0
turbo,USDPLN-OTC,1788311940,3.725345,3.724745,3.725785,3.724235,0
turbo,USDPLN-OTC,1788312000,3.724805,3.727095,3.727095,3.724595,0
turbo,USDPLN-OTC,1788312060,3.727085,3.728275,3.728995,3.726715,0
turbo,USDPLN-OTC,1788312120,3.728315,3.726395,3.729005,3.726385,0
turbo,USDPLN-OTC,1788312180,3.726345,3.726485,3.727865,3.726165,0
turbo,USDPLN-OTC,1788312240,3.726545,3.724195,3.726685,3.723855,0
turbo,USDPLN-OTC,1788312300,3.724085,3.723685,3.724635,3.723685,0
turbo,USDPLN-OTC,1788312360,3.723725,3.723735,3.724235,3.723135,0
turbo,USDPLN-OTC,1788312420,3.723715,3.723615,3.724005,3.722905,0
turbo,USDPLN-OTC,1788312480,3.723655,3.722755,3.724825,3.722575,0
turbo,USDPLN-OTC,1788312540,3.722735,3.721935,3.723495,3.721935,0
turbo,USDPLN-OTC,1788312600,3.721775,3.723095,3.723395,3.721515,0
turbo,USDPLN-OTC,1788312660,3.723115,3.723465,3.724445,3.721945,0
turbo,USDPLN-OTC,1788312720,3.723335,3.724205,3.724375,3.722815,0
turbo,USDPLN-OTC,1788312780,3.724275,3.721355,3.724625,3.721195,0
turbo,USDPLN-OTC,1788312840,3.721045,3.720035,3.721405,3.719335,0
turbo,USDPLN-OTC,1788312900,3.720065,3.720675,3.721805,3.720005,0
turbo,USDPLN-OTC,1788312960,3.720695,3.719945,3.720695,3.718655,0
turbo,USDPLN-OTC,1788313020,3.719875,3.720175,3.720955,3.718855,0
turbo,USDPLN-OTC,1788313080,3.720235,3.720725,3.721865,3.719925,0
turbo,USDPLN-OTC,1788313140,3.720825,3.719765,3.720975,3.719515,0
turbo,USDPLN-OTC,1788313200,3.719755,3.719515,3.720065,3.719025,0
turbo,USDPLN-OTC,1788313260,3.719505,3.720395,3.720625,3.719155,0
turbo,USDPLN-OTC,1788313320,3.719965,3.720325,3.720845,3.719715,0
turbo,USDPLN-OTC,1788313380,3.720315,3.720875,3.721695,3.719795,0
turbo,USDPLN-OTC,1788313440,3.720795,3.719665,3.720995,3.719145,0
turbo,USDPLN-OTC,1788313500,3.719675,3.720055,3.720895,3.719195,0
turbo,USDPLN-OTC,1788313560,3.720145,3.718535,3.720235,3.718205,0
turbo,USDPLN-OTC,1788313620,3.718585,3.716565,3.718735,3.715785,0
turbo,USDPLN-OTC,1788313680,3.716525,3.716985,3.717195,3.716125,0
turbo,USDPLN-OTC,1788313740,3.717015,3.717735,3.718705,3.716665,0
turbo,USDPLN-OTC,1788313800,3.717695,3.718585,3.719035,3.717175,0
turbo,USDPLN-OTC,1788313860,3.718555,3.718785,3.719735,3.718075,0
turbo,USDPLN-OTC,1788313920,3.718805,3.717755,3.718875,3.717535,0
turbo,USDPLN-OTC,1788313980,3.717785,3.718405,3.718895,3.717705,0
turbo,USDPLN-OTC,1788314040,3.718385,3.718235,3.718585,3.717085,0
turbo,USDPLN-OTC,1788314100,3.718145,3.717285,3.718625,3.717015,0
turbo,USDPLN-OTC,1788314160,3.717255,3.718895,3.719565,3.717255,0
turbo,USDPLN-OTC,1788314220,3.718915,3.719995,3.720655,3.718205,0
turbo,USDPLN-OTC,1788314280,3.720035,3.719495,3.720705,3.719225,0
turbo,USDPLN-OTC,1788314340,3.719415,3.718265,3.719935,3.717915,0
turbo,USDPLN-OTC,1788314400,3.718375,3.718815,3.718915,3.717315,0
turbo,USDPLN-OTC,1788314460,3.718855,3.717725,3.719465,3.717165,0
turbo,USDPLN-OTC,1788314520,3.717685,3.717245,3.718605,3.717105,0
turbo,USDPLN-OTC,1788314580,3.717305,3.715595,3.717515,3.715495,0
turbo,USDPLN-OTC,1788314640,3.715565,3.715155,3.716575,3.715005,0
turbo,USDPLN-OTC,1788314700,3.715115,3.713815,3.716085,3.713705,0
turbo,USDPLN-OTC,1788314760,3.713865,3.714135,3.715095,3.713525,0
turbo,USDPLN-OTC,1788314820,3.714155,3.716085,3.716325,3.713625,0
turbo,USDPLN-OTC,1788314880,3.716125,3.715915,3.716445,3.715555,0
turbo,USDPLN-OTC,1788314940,3.715975,3.716525,3.716525,3.714785,0
turbo,USDPLN-OTC,1788315000,3.716565,3.718425,3.719605,3.716455,0
turbo,USDPLN-OTC,1788315060,3.718455,3.718245,3.718615,3.717685,0
turbo,USDPLN-OTC,1788315120,3.718295,3.718315,3.718475,3.717305,0
turbo,USDPLN-OTC,1788315180,3.718345,3.717495,3.718515,3.717095,0
turbo,USDPLN-OTC,1788315240,3.717455,3.716185,3.717895,3.715445,0
turbo,USDPLN-OTC,1788315300,3.716255,3.718955,3.718955,3.716255,0
turbo,USDPLN-OTC,1788315360,3.718915,3.720115,3.720115,3.718415,0
turbo,USDPLN-OTC,1788315420,3.720245,3.721565,3.721855,3.720245,0
turbo,USDPLN-OTC,1788315480,3.721485,3.721695,3.722465,3.721005,0
turbo,USDPLN-OTC,1788315540,3.721635,3.723065,3.723255,3.721605,0
turbo,USDPLN-OTC,1788315600,3.723055,3.721985,3.723435,3.721785,0
turbo,USDPLN-OTC,1788315660,3.721945,3.723235,3.723365,3.721895,0
turbo,USDPLN-OTC,1788315720,3.723295,3.722155,3.724575,3.721975,0
turbo,USDPLN-OTC,1788315780,3.722035,3.722455,3.722855,3.721725,0
turbo,USDPLN-OTC,1788315840,3.722415,3.721995,3.722705,3.721995,0
turbo,USDPLN-OTC,1788315900,3.721945,3.722855,3.722885,3.721645,0
turbo,USDPLN-OTC,1788315960,3.722885,3.723285,3.724425,3.722575,0
turbo,USDPLN-OTC,1788316020,3.723265,3.723315,3.723805,3.722565,0
turbo,USDPLN-OTC,1788316080,3.723345,3.727025,3.727175,3.723295,0
