tipo,activo,from,open,close,max,min,volume
turbo,USDSGD-OTC,1788311400,1.301955,1.273755,1.301955,1.272955,0
turbo,USDSGD-OTC,1788311460,1.273585,1.272805,1.273915,1.272195,0
turbo,USDSGD-OTC,1788311520,1.272865,1.271865,1.273055,1.271585,0
turbo,USDSGD-OTC,1788311580,1.271795,1.271295,1.271795,1.270715,0
turbo,USDSGD-OTC,1788311640,1.271385,1.271835,1.272815,1.271015,0
turbo,USDSGD-OTC,1788311700,1.271865,1.270735,1.272465,1.270735,0
turbo,USDSGD-OTC,1788311760,1.270655,1.269955,1.271285,1.269755,0
turbo,USDSGD-OTC,1788311820,1.269885,1.269595,1.270385,1.269465,0
turbo,USDSGD-OTC,1788311880,1.269635,1.271235,1.271745,1.269555,0
turbo,USDSGD-OTC,1788311940,1.271155,1.272385,1.272525,1.270965,0
turbo,USDSGD-OTC,1788312000,1.272505,1.272775,1.273305,1.271905,0
turbo,USDSGD-OTC,1788312060,1.272945,1.272755,1.273845,1.272045,0
turbo,USDSGD-OTC,1788312120,1.272735,1.271805,1.272895,1.271515,0
turbo,USDSGD-OTC,1788312180,1.271775,1.271565,1.272615,1.271445,0
turbo,USDSGD-OTC,1788312240,1.271495,1.272315,1.272895,1.271495,0
turbo,USDSGD-OTC,1788312300,1.272265,1.272935,1.273175,1.271565,0
turbo,USDSGD-OTC,1788312360,1.272815,1.272905,1.274465,1.272755,0
turbo,USDSGD-OTC,1788312420,1.272835,1.273505,1.273975,1.272835,0
turbo,USDSGD-OTC,1788312480,1.273565,1.274575,1.274995,1.272725,0
turbo,USDSGD-OTC,1788312540,1.274495,1.273225,1.275195,1.273035,0
turbo,USDSGD-OTC,1788312600,1.273145,1.273025,1.273795,1.272435,0
turbo,USDSGD-OTC,1788312660,1.272995,1.272285,1.274105,1.272175,0
turbo,USDSGD-OTC,1788312720,1.272385,1.271755,1.273005,1.271445,0
turbo,USDSGD-OTC,1788312780,1.271835,1.271185,1.272665,1.271185,0
turbo,USDSGD-OTC,1788312840,1.271305,1.271925,1.272155,1.270895,0
turbo,USDSGD-OTC,1788312900,1.271995,1.271315,1.272695,1.271275,0
turbo,USDSGD-OTC,1788312960,1.271355,1.270565,1.271815,1.270135,0
turbo,USDSGD-OTC,1788313020,1.270505,1.271435,1.272355,1.270445,0
turbo,USDSGD-OTC,1788313080,1.271365,1.270855,1.272215,1.270855,0
turbo,USDSGD-OTC,1788313140,1.270955,1.269605,1.271015,1.269605,0
turbo,USDSGD-OTC,1788313200,1.269405,1.269225,1.269865,1.268625,0
turbo,USDSGD-OTC,1788313260,1.269265,1.266965,1.269265,1.266465,0
turbo,USDSGD-OTC,1788313320,1.266985,1.267335,1.267785,1.266665,0
turbo,USDSGD-OTC,1788313380,1.267425,1.267245,1.268305,1.266625,0
turbo,USDSGD-OTC,1788313440,1.267275,1.267365,1.268455,1.267165,0
turbo,USDSGD-OTC,1788313500,1.267295,1.266335,1.267805,1.266155,0
turbo,USDSGD-OTC,1788313560,1.266375,1.265265,1.266425,1.265145,0
turbo,USDSGD-OTC,1788313620,1.265165,1.264495,1.265605,1.264015,0
turbo,USDSGD-OTC,1788313680,1.264405,1.264705,1.265505,1.263785,0
turbo,USDSGD-OTC,1788313740,1.264755,1.263455,1.265125,1.263205,0
turbo,USDSGD-OTC,1788313800,1.263385,1.263695,1.264165,1.263385,0
turbo,USDSGD-OTC,1788313860,1.263605,1.263975,1.263975,1.262215,0
turbo,USDSGD-OTC,1788313920,1.263965,1.265835,1.265955,1.263445,0
turbo,USDSGD-OTC,1788313980,1.265935,1.265195,1.266365,1.264345,0
turbo,USDSGD-OTC,1788314040,1.265135,1.265515,1.266325,1.264895,0
turbo,USDSGD-OTC,1788314100,1.265345,1.265535,1.266245,1.264975,0
turbo,USDSGD-OTC,1788314160,1.265505,1.266145,1.266235,1.264815,0
turbo,USDSGD-OTC,1788314220,1.266115,1.265495,1.266115,1.264575,0
turbo,USDSGD-OTC,1788314280,1.265555,1.265465,1.265765,1.264985,0
turbo,USDSGD-OTC,1788314340,1.265395,1.265605,1.266325,1.264885,0
turbo,USDSGD-OTC,1788314400,1.265565,1.263645,1.265935,1.263295,0
turbo,USDSGD-OTC,1788314460,1.263615,1.262215,1.263775,1.262115,0
turbo,USDSGD-OTC,1788314520,1.262325,1.261305,1.262325,1.261025,0
turbo,USDSGD-OTC,1788314580,1.261235,1.261965,1.262295,1.261075,0
turbo,USDSGD-OTC,1788314640,1.262025,1.262425,1.263105,1.262025,0
turbo,USDSGD-OTC,1788314700,1.262395,1.263205,1.263305,1.261865,0
turbo,USDSGD-OTC,1788314760,1.263295,1.264605,1.264925,1.263145,0
turbo,USDSGD-OTC,1788314820,1.264655,1.262445,1.264655,1.262405,0
turbo,USDSGD-OTC,1788314880,1.262455,1.260365,1.262655,1.259695,0
turbo,USDSGD-OTC,1788314940,1.260335,1.258915,1.260775,1.258595,0
turbo,USDSGD-OTC,1788315000,1.259015,1.260225,1.260455,1.258575,0
turbo,USDSGD-OTC,1788315060,1.260255,1.259225,1.261065,1.258665,0
turbo,USDSGD-OTC,1788315120,1.259245,1.260375,1.260415,1.258875,0
turbo,USDSGD-OTC,1788315180,1.260325,1.261025,1.261725,1.259715,0
turbo,USDSGD-OTC,1788315240,1.261075,1.260475,1.261205,1.259775,0
turbo,USDSGD-OTC,1788315300,1.260285,1.261715,1.262055,1.259905,0
turbo,USDSGD-OTC,1788315360,1.261755,1.263095,1.263705,1.261455,0
turbo,USDSGD-OTC,1788315420,1.263015,1.265765,1.266245,1.263015,0
turbo,USDSGD-OTC,1788315480,1.265735,1.266265,1.266595,1.265525,0
turbo,USDSGD-OTC,1788315540,1.266295,1.264025,1.266295,1.263795,0
turbo,USDSGD-OTC,1788315600,1.263955,1.266075,1.266255,1.263815,0
turbo,USDSGD-OTC,1788315660,1.266265,1.268155,1.268695,1.266235,0
turbo,USDSGD-OTC,1788315720,1.268095,1.267765,1.268335,1.267305,0
turbo,USDSGD-OTC,1788315780,1.267835,1.268235,1.268755,1.267445,0
turbo,USDSGD-OTC,1788315840,1.268195,1.268155,1.268945,1.267525,0
turbo,USDSGD-OTC,1788315900,1.268315,1.268835,1.269115,1.267865,0
turbo,USDSGD-OTC,1788315960,1.268795,1.269315,1.270335,1.268585,0
turbo,USDSGD-OTC,1788316020,1.269335,1.267605,1.269955,1.267505,0
turbo,USDSGD-OTC,1788316080,1.267675,1.267925,1.268485,1.267085,0
turbo,USDSGD-OTC,1788316140,1.267895,1.268215,1.268395,1.267005,0
turbo,USDSGD-OTC,1788316200,1.268405,1.267725,1.269065,1.267555,0
turbo,USDSGD-OTC,1788316260,1.267705,1.267495,1.268915,1.267215,0
turbo,USDSGD-OTC,1788316320,1.267535,1.267055,1.267675,1.266145,0
turbo,USDSGD-OTC,1788316380,1.267035,1.265405,1.267195,1.264725,0
turbo,USDSGD-OTC,1788316440,1.265375,1.265885,1.266205,1.264325,0
turbo,USDSGD-OTC,1788316500,1.265945,1.263855,1.266005,1.263715,0
turbo,USDSGD-OTC,1788316560,1.263775,1.264185,1.264965,1.263605,0
turbo,USDSGD-OTC,1788316620,1.264135,1.265415,1.265795,1.264055,0
turbo,USDSGD-OTC,1788316680,1.265385,1.265525,1.265735,1.264525,0
turbo,USDSGD-OTC,1788316740,1.265465,1.264975,1.265625,1.264355,0
