tipo,activo,from,open,close,max,min,volume
turbo,USNDAQ100:N,1788311100,29073.42,29061.56,29073.42,29061.12,1287
turbo,USNDAQ100:N,1788311160,29061.58,29057.58,29063.41,29056.87,1318
turbo,USNDAQ100:N,1788311220,29057.5,29059.62,29060.62,29051.25,1284
turbo,USNDAQ100:N,1788311280,29059.66,29054.12,29059.87,29052.87,1162
turbo,USNDAQ100:N,1788311340,29054.25,29055.08,29059.87,29054,1100
turbo,USNDAQ100:N,1788311400,29055.12,29057.25,29059.41,29052.5,1186
turbo,USNDAQ100:N,1788311460,29057.12,29052.87,29057.87,29051.87,933
turbo,USNDAQ100:N,1788311520,29053,29054.83,29055.94,29052.25,815
turbo,USNDAQ100:N,1788311580,29054.87,29052.25,29057.62,29039.69,1353
turbo,USNDAQ100:N,1788311640,29052.12,29050.33,29054.56,29047.87,973
turbo,USNDAQ100:N,1788311700,29050.37,29060.81,29063.45,29046.62,1321
turbo,USNDAQ100:N,1788311760,29060.87,29061.5,29069.55,29059,1201
turbo,USNDAQ100:N,1788311820,29061.62,29064.17,29067.12,29057.08,1205
turbo,USNDAQ100:N,1788311880,29064.25,29063.68,29070.12,29063.12,1051
turbo,USNDAQ100:N,1788311940,29063.62,29058.91,29065.63,29055.33,879
turbo,USNDAQ100:N,1788312000,29058.87,29059.23,29061.12,29056.58,1010
turbo,USNDAQ100:N,1788312060,29059.25,29062.66,29063.37,29057.56,903
turbo,USNDAQ100:N,1788312120,29063,29053,29068.37,29053,1069
turbo,USNDAQ100:N,1788312180,29052.93,29072.02,29072.62,29051.19,1234
turbo,USNDAQ100:N,1788312240,29072.16,29076.08,29076.91,29064.12,1156
turbo,USNDAQ100:N,1788312300,29076.12,29071.62,29078.37,29069.5,1088
turbo,USNDAQ100:N,1788312360,29071.52,29073.98,29081.46,29070.47,1074
turbo,USNDAQ100:N,1788312420,29073.83,29070,29074.78,29069.87,893
turbo,USNDAQ100:N,1788312480,29069.87,29067.23,29070.52,29060.91,962
turbo,USNDAQ100:N,1788312540,29067.08,29067.37,29071.25,29066.43,835
turbo,USNDAQ100:N,1788312600,29067.5,29061.97,29070.37,29057.12,1564
turbo,USNDAQ100:N,1788312660,29062.16,29064.52,29067.08,29059.02,1313
turbo,USNDAQ100:N,1788312720,29064.5,29065.22,29067.73,29060,1169
turbo,USNDAQ100:N,1788312780,29065.25,29066.66,29068.25,29062.87,1043
turbo,USNDAQ100:N,1788312840,29066.75,29074.16,29075,29066.25,733
turbo,USNDAQ100:N,1788312900,29074.25,29063.62,29074.75,29060.31,1062
turbo,USNDAQ100:N,1788312960,29063.5,29057.12,29063.87,29056.62,1031
turbo,USNDAQ100:N,1788313020,29057.17,29050,29058.17,29049.25,1064
turbo,USNDAQ100:N,1788313080,29049.92,29042.33,29050.02,29040.03,1145
turbo,USNDAQ100:N,1788313140,29042.37,29039.12,29046.5,29038.74,997
turbo,USNDAQ100:N,1788313200,29039.16,29036.33,29040.75,29033.12,1136
turbo,USNDAQ100:N,1788313260,29036.37,29035.43,29036.56,29024.25,1074
turbo,USNDAQ100:N,1788313320,29035.5,29039.31,29041.44,29029.91,927
turbo,USNDAQ100:N,1788313380,29039.37,29027.41,29043.85,29027.12,924
turbo,USNDAQ100:N,1788313440,29027.37,29026.5,29028.62,29022.87,972
turbo,USNDAQ100:N,1788313500,29026.56,29029.33,29030.16,29025.62,815
turbo,USNDAQ100:N,1788313560,29029.18,29021.5,29029.18,29021.33,786
turbo,USNDAQ100:N,1788313620,29021.44,29022.41,29023.37,29018.33,939
turbo,USNDAQ100:N,1788313680,29022.37,29018.75,29022.91,29017.07,790
turbo,USNDAQ100:N,1788313740,29018.56,29014.75,29020.91,29010.57,794
turbo,USNDAQ100:N,1788313800,29014.87,29004.5,29015.19,29000,1034
turbo,USNDAQ100:N,1788313860,29004.41,29004.87,29009.52,29002.22,856
turbo,USNDAQ100:N,1788313920,29004.92,29008,29009.75,28999.62,1025
turbo,USNDAQ100:N,1788313980,29007.87,29006.66,29017.33,29003.92,1027
turbo,USNDAQ100:N,1788314040,29006.62,29011.52,29015.76,29005.5,993
turbo,USNDAQ100:N,1788314100,29011.47,29024.5,29025.09,29006.91,1011
