tipo,activo,from,open,close,max,min,volume
turbo,XPTUSD-OTC,1788311100,1689.2085,1687.2445,1691.9045,1682.5295,0
turbo,XPTUSD-OTC,1788311160,1687.2435,1682.7255,1690.1555,1682.1555,0
turbo,XPTUSD-OTC,1788311220,1682.6955,1685.8885,1686.0475,1680.1755,0
turbo,XPTUSD-OTC,1788311280,1684.5055,1684.1465,1686.1935,1683.6105,0
turbo,XPTUSD-OTC,1788311340,1684.1145,1681.6615,1686.5215,1681.3875,0
turbo,XPTUSD-OTC,1788311400,1681.6635,1676.4225,1682.3195,1676.4195,0
turbo,XPTUSD-OTC,1788311460,1676.4185,1681.6075,1682.2175,1674.2995,0
turbo,XPTUSD-OTC,1788311520,1680.9215,1683.1315,1684.5795,1680.0715,0
turbo,XPTUSD-OTC,1788311580,1683.0925,1680.9515,1683.0925,1678.3375,0
turbo,XPTUSD-OTC,1788311640,1680.9465,1670.5525,1680.9465,1670.4915,0
turbo,XPTUSD-OTC,1788311700,1670.5515,1663.2515,1672.8545,1662.3935,0
turbo,XPTUSD-OTC,1788311760,1663.2505,1664.9155,1665.4935,1662.9385,0
turbo,XPTUSD-OTC,1788311820,1664.8675,1672.3345,1672.5495,1663.8255,0
turbo,XPTUSD-OTC,1788311880,1674.3515,1682.3145,1683.3525,1673.3875,0
turbo,XPTUSD-OTC,1788311940,1682.0245,1686.3295,1686.5245,1681.3705,0
turbo,XPTUSD-OTC,1788312000,1686.2705,1690.7045,1692.6205,1686.1465,0
turbo,XPTUSD-OTC,1788312060,1690.7365,1692.5475,1694.5415,1688.0505,0
turbo,XPTUSD-OTC,1788312120,1692.5505,1700.9405,1702.5795,1691.8695,0
turbo,XPTUSD-OTC,1788312180,1700.9425,1693.1515,1701.2735,1691.2155,0
turbo,XPTUSD-OTC,1788312240,1693.1185,1685.0575,1693.8175,1685.0575,0
turbo,XPTUSD-OTC,1788312300,1685.0825,1679.0915,1686.2065,1677.1965,0
turbo,XPTUSD-OTC,1788312360,1679.0945,1677.0355,1680.9835,1675.4515,0
turbo,XPTUSD-OTC,1788312420,1677.2475,1677.7985,1678.0785,1671.9825,0
turbo,XPTUSD-OTC,1788312480,1675.9145,1673.8085,1675.9165,1670.0305,0
turbo,XPTUSD-OTC,1788312540,1673.8105,1673.1685,1675.5275,1671.1485,0
turbo,XPTUSD-OTC,1788312600,1673.0285,1678.1275,1682.3955,1673.0285,0
turbo,XPTUSD-OTC,1788312660,1678.1265,1682.9555,1687.0415,1678.0585,0
turbo,XPTUSD-OTC,1788312720,1682.9905,1684.7415,1684.9465,1682.2585,0
turbo,XPTUSD-OTC,1788312780,1684.7795,1682.3115,1688.9865,1681.3455,0
turbo,XPTUSD-OTC,1788312840,1682.6915,1676.0925,1684.8755,1675.9635,0
turbo,XPTUSD-OTC,1788312900,1675.6165,1671.9515,1677.4205,1669.3405,0
turbo,XPTUSD-OTC,1788312960,1671.9535,1672.6505,1674.1465,1667.9025,0
turbo,XPTUSD-OTC,1788313020,1672.6455,1665.7425,1673.2395,1664.7095,0
turbo,XPTUSD-OTC,1788313080,1665.7805,1670.0545,1673.2465,1665.7775,0
turbo,XPTUSD-OTC,1788313140,1670.0425,1673.5355,1673.6645,1668.8825,0
turbo,XPTUSD-OTC,1788313200,1675.6375,1678.8525,1680.0625,1675.4355,0
turbo,XPTUSD-OTC,1788313260,1678.7575,1682.3015,1686.4845,1678.5695,0
turbo,XPTUSD-OTC,1788313320,1682.2655,1685.3285,1685.3415,1679.0815,0
turbo,XPTUSD-OTC,1788313380,1685.3265,1685.2595,1686.8115,1681.2895,0
turbo,XPTUSD-OTC,1788313440,1684.9745,1690.8375,1691.0515,1684.4935,0
turbo,XPTUSD-OTC,1788313500,1690.8365,1690.6645,1692.6775,1687.8595,0
turbo,XPTUSD-OTC,1788313560,1690.6985,1685.0085,1694.3565,1684.6495,0
turbo,XPTUSD-OTC,1788313620,1685.0125,1690.9275,1692.0335,1684.3905,0
turbo,XPTUSD-OTC,1788313680,1691.1425,1691.5475,1692.0175,1686.4425,0
turbo,XPTUSD-OTC,1788313740,1691.5425,1697.4715,1698.9225,1691.3225,0
turbo,XPTUSD-OTC,1788313800,1697.4695,1705.6255,1706.3085,1696.5115,0
turbo,XPTUSD-OTC,1788313860,1705.6205,1707.3085,1707.8715,1704.6965,0
turbo,XPTUSD-OTC,1788313920,1707.1975,1710.9865,1712.5415,1707.1945,0
turbo,XPTUSD-OTC,1788313980,1711.9335,1712.0025,1713.5375,1706.3575,0
turbo,XPTUSD-OTC,1788314040,1712.0185,1709.7225,1715.4745,1708.2935,0
turbo,XPTUSD-OTC,1788314100,1709.4275,1706.9855,1712.0425,1704.3245,0
turbo,XPTUSD-OTC,1788314160,1706.9875,1717.2855,1718.9865,1705.8615,0
turbo,XPTUSD-OTC,1788314220,1717.2775,1723.9575,1724.7185,1717.2775,0
turbo,XPTUSD-OTC,1788314280,1722.2715,1722.4385,1723.9355,1718.7535,0
turbo,XPTUSD-OTC,1788314340,1723.0025,1729.8645,1730.1815,1719.5835,0
turbo,XPTUSD-OTC,1788314400,1730.0615,1733.3995,1734.3825,1728.6645,0
turbo,XPTUSD-OTC,1788314460,1733.4595,1728.5825,1734.9955,1728.4685,0
turbo,XPTUSD-OTC,1788314520,1728.5785,1733.6365,1735.9145,1727.1925,0
turbo,XPTUSD-OTC,1788314580,1733.6335,1743.2565,1743.7195,1733.4775,0
turbo,XPTUSD-OTC,1788314640,1743.6255,1745.5445,1749.0795,1742.1785,0
turbo,XPTUSD-OTC,1788314700,1745.7705,1754.4855,1754.6395,1743.9645,0
turbo,XPTUSD-OTC,1788314760,1754.4475,1746.2505,1755.1895,1745.6865,0
turbo,XPTUSD-OTC,1788314820,1746.2525,1742.0725,1748.4335,1742.0725,0
turbo,XPTUSD-OTC,1788314880,1742.1525,1741.7365,1744.1775,1739.9555,0
turbo,XPTUSD-OTC,1788314940,1741.7345,1741.8785,1745.7885,1740.9995,0
turbo,XPTUSD-OTC,1788315000,1742.1615,1734.6455,1742.4755,1731.9065,0
turbo,XPTUSD-OTC,1788315060,1734.9785,1735.1595,1738.1015,1731.4245,0
turbo,XPTUSD-OTC,1788315120,1735.0305,1733.0865,1735.6475,1727.4705,0
turbo,XPTUSD-OTC,1788315180,1733.0805,1720.8865,1733.0805,1719.6455,0
turbo,XPTUSD-OTC,1788315240,1720.8875,1714.3965,1721.1475,1711.7445,0
turbo,XPTUSD-OTC,1788315300,1714.4115,1718.3315,1719.0675,1712.3835,0
turbo,XPTUSD-OTC,1788315360,1718.0465,1710.0895,1718.3755,1710.0895,0
turbo,XPTUSD-OTC,1788315420,1710.0905,1712.7925,1715.4225,1709.4705,0
turbo,XPTUSD-OTC,1788315480,1712.7895,1709.2285,1712.7895,1707.8315,0
turbo,XPTUSD-OTC,1788315540,1709.1295,1707.0845,1709.5335,1703.8885,0
turbo,XPTUSD-OTC,1788315600,1707.1075,1705.1355,1708.8735,1704.5495,0
turbo,XPTUSD-OTC,1788315660,1705.4845,1701.0625,1705.9175,1698.7265,0
turbo,XPTUSD-OTC,1788315720,1700.8345,1698.0915,1703.0245,1697.6445,0
turbo,XPTUSD-OTC,1788315780,1698.0925,1704.8895,1705.3225,1695.7795,0
turbo,XPTUSD-OTC,1788315840,1704.8545,1707.0855,1708.7595,1703.5755,0
turbo,XPTUSD-OTC,1788315900,1706.8395,1705.9635,1707.9445,1699.4855,0
turbo,XPTUSD-OTC,1788315960,1705.9485,1707.6935,1709.1945,1703.7885,0
turbo,XPTUSD-OTC,1788316020,1707.6435,1713.4155,1713.8525,1704.3765,0
turbo,XPTUSD-OTC,1788316080,1713.4215,1719.3315,1719.8215,1713.2465,0
turbo,XPTUSD-OTC,1788316140,1719.8465,1722.5155,1725.2015,1719.8435,0
turbo,XPTUSD-OTC,1788316200,1722.6145,1724.2395,1727.9765,1721.8725,0
turbo,XPTUSD-OTC,1788316260,1724.2385,1732.5115,1732.7715,1723.9535,0
turbo,XPTUSD-OTC,1788316320,1732.5815,1735.0085,1735.0085,1726.1845,0
turbo,XPTUSD-OTC,1788316380,1735.0095,1731.9745,1735.7765,1729.4735,0
turbo,XPTUSD-OTC,1788316440,1731.5985,1729.0505,1732.6735,1726.8285,0
turbo,XPTUSD-OTC,1788316500,1729.0465,1741.9285,1742.1775,1728.8295,0
turbo,XPTUSD-OTC,1788316560,1741.9255,1733.1325,1742.4015,1733.1295,0
turbo,XPTUSD-OTC,1788316620,1733.0905,1738.8285,1739.4585,1733.0905,0
turbo,XPTUSD-OTC,1788316680,1738.8145,1740.0845,1742.4275,1737.2905,0
turbo,XPTUSD-OTC,1788316740,1740.1545,1751.9495,1752.6355,1739.4915,0
turbo,XPTUSD-OTC,1788316800,1751.8665,1750.3345,1755.9635,1749.4605,0
turbo,XPTUSD-OTC,1788316860,1750.0095,1753.1695,1756.2645,1750.0095,0
turbo,XPTUSD-OTC,1788316920,1753.1605,1749.7555,1753.1605,1747.1635,0
turbo,XPTUSD-OTC,1788316980,1749.7195,1747.3385,1750.0595,1743.5965,0
turbo,XPTUSD-OTC,1788317040,1747.4515,1745.8595,1748.4155,1745.3155,0
turbo,XPTUSD-OTC,1788317100,1745.8575,1755.3965,1757.1305,1745.7905,0
turbo,XPTUSD-OTC,1788317160,1755.3995,1747.9995,1755.8395,1745.6495,0
turbo,XPTUSD-OTC,1788317220,1747.4035,1751.2235,1751.6875,1745.6505,0
turbo,XPTUSD-OTC,1788317280,1751.2005,1757.3275,1757.4455,1750.8525,0
turbo,XPTUSD-OTC,1788317340,1757.3405,1759.9365,1761.4525,1756.6885,0
turbo,XPTUSD-OTC,1788317400,1759.3405,1754.3515,1761.2335,1753.1625,0
turbo,XPTUSD-OTC,1788317460,1754.1945,1761.5975,1764.1455,1753.8625,0
turbo,XPTUSD-OTC,1788317520,1761.6565,1767.4695,1769.2585,1761.5475,0
turbo,XPTUSD-OTC,1788317580,1767.4725,1773.4435,1773.5925,1766.5125,0
turbo,XPTUSD-OTC,1788317640,1773.4835,1776.6245,1776.6245,1769.0825,0
turbo,XPTUSD-OTC,1788317700,1776.6565,1769.0765,1776.7665,1768.7605,0
turbo,XPTUSD-OTC,1788317760,1768.0165,1766.0195,1768.5285,1763.5515,0
turbo,XPTUSD-OTC,1788317820,1766.0375,1769.0505,1770.6625,1765.9395,0
turbo,XPTUSD-OTC,1788317880,1769.2405,1765.2175,1772.9265,1763.8875,0
turbo,XPTUSD-OTC,1788317940,1765.1865,1768.9225,1768.9585,1762.6905,0
turbo,XPTUSD-OTC,1788318000,1768.9255,1780.7585,1780.7605,1768.5375,0
turbo,XPTUSD-OTC,1788318060,1780.6665,1771.3605,1780.9465,1771.3605,0
turbo,XPTUSD-OTC,1788318120,1771.3595,1762.4135,1771.8495,1762.4135,0
turbo,XPTUSD-OTC,1788318180,1762.3745,1759.1155,1764.9585,1758.7985,0
turbo,XPTUSD-OTC,1788318240,1760.1935,1757.5955,1764.0265,1756.0915,0
turbo,XPTUSD-OTC,1788318300,1757.5945,1755.8445,1758.4375,1754.4375,0
turbo,XPTUSD-OTC,1788318360,1755.8425,1760.1135,1761.3905,1753.2125,0
turbo,XPTUSD-OTC,1788318420,1760.0765,1757.3745,1761.2485,1757.0125,0
turbo,XPTUSD-OTC,1788318480,1757.3705,1749.8475,1757.3705,1748.7345,0
turbo,XPTUSD-OTC,1788318540,1749.8465,1747.4235,1749.8465,1743.7425,0
turbo,XPTUSD-OTC,1788318600,1748.2985,1743.9525,1749.5175,1742.1075,0
turbo,XPTUSD-OTC,1788318660,1743.9275,1743.7525,1745.2265,1737.1145,0
