tipo,activo,from,open,close,max,min,volume
turbo,AUDNZD-OTC,1788357060,1.241585,1.240455,1.242555,1.239165,0
turbo,AUDNZD-OTC,1788357120,1.240445,1.242245,1.242835,1.240245,0
turbo,AUDNZD-OTC,1788357180,1.242435,1.241175,1.243725,1.241065,0
turbo,AUDNZD-OTC,1788357240,1.241295,1.243615,1.243825,1.241235,0
turbo,AUDNZD-OTC,1788357300,1.243815,1.245885,1.247915,1.243725,0
turbo,AUDNZD-OTC,1788357360,1.245715,1.245215,1.246245,1.243735,0
turbo,AUDNZD-OTC,1788357420,1.245285,1.248335,1.248505,1.244625,0
turbo,AUDNZD-OTC,1788357480,1.248265,1.246775,1.248465,1.245625,0
turbo,AUDNZD-OTC,1788357540,1.246785,1.242885,1.247005,1.242325,0
turbo,AUDNZD-OTC,1788357600,1.242905,1.240235,1.243195,1.240235,0
turbo,AUDNZD-OTC,1788357660,1.240055,1.238095,1.240575,1.237935,0
turbo,AUDNZD-OTC,1788357720,1.237975,1.239155,1.239315,1.237335,0
turbo,AUDNZD-OTC,1788357780,1.239145,1.237215,1.240625,1.237035,0
turbo,AUDNZD-OTC,1788357840,1.237245,1.240275,1.240545,1.236595,0
turbo,AUDNZD-OTC,1788357900,1.240505,1.242465,1.242465,1.239195,0
turbo,AUDNZD-OTC,1788357960,1.242565,1.245735,1.246155,1.242565,0
turbo,AUDNZD-OTC,1788358020,1.245805,1.245845,1.246295,1.244105,0
turbo,AUDNZD-OTC,1788358080,1.245755,1.242945,1.245975,1.242815,0
turbo,AUDNZD-OTC,1788358140,1.243025,1.244095,1.244435,1.242095,0
turbo,AUDNZD-OTC,1788358200,1.244265,1.242795,1.244825,1.241785,0
turbo,AUDNZD-OTC,1788358260,1.242435,1.240125,1.242665,1.239375,0
turbo,AUDNZD-OTC,1788358320,1.240085,1.237765,1.241365,1.237765,0
turbo,AUDNZD-OTC,1788358380,1.237935,1.238825,1.239275,1.236895,0
turbo,AUDNZD-OTC,1788358440,1.238905,1.237665,1.239205,1.236625,0
turbo,AUDNZD-OTC,1788358500,1.237875,1.235125,1.237975,1.235035,0
turbo,AUDNZD-OTC,1788358560,1.235405,1.236575,1.237625,1.234655,0
turbo,AUDNZD-OTC,1788358620,1.236545,1.236145,1.237595,1.235685,0
turbo,AUDNZD-OTC,1788358680,1.236295,1.236895,1.237365,1.234835,0
turbo,AUDNZD-OTC,1788358740,1.236645,1.235275,1.237155,1.234885,0
turbo,AUDNZD-OTC,1788358800,1.235215,1.236685,1.236805,1.234115,0
turbo,AUDNZD-OTC,1788358860,1.236815,1.237815,1.238195,1.235705,0
turbo,AUDNZD-OTC,1788358920,1.238205,1.236905,1.238885,1.236095,0
turbo,AUDNZD-OTC,1788358980,1.236965,1.234355,1.236975,1.234215,0
turbo,AUDNZD-OTC,1788359040,1.234195,1.235225,1.235975,1.234195,0
turbo,AUDNZD-OTC,1788359100,1.235135,1.235045,1.235935,1.233535,0
turbo,AUDNZD-OTC,1788359160,1.235015,1.238515,1.238515,1.234815,0
