tipo,activo,from,open,close,max,min,volume
turbo,AUDUSD-OTC,1788357060,0.704685,0.704805,0.704855,0.704645,0
turbo,AUDUSD-OTC,1788357120,0.704845,0.704725,0.704925,0.704715,0
turbo,AUDUSD-OTC,1788357180,0.704715,0.704715,0.704815,0.704675,0
turbo,AUDUSD-OTC,1788357240,0.704705,0.704665,0.704705,0.704435,0
turbo,AUDUSD-OTC,1788357300,0.704675,0.704905,0.705125,0.704665,0
turbo,AUDUSD-OTC,1788357360,0.704895,0.704795,0.704965,0.704685,0
turbo,AUDUSD-OTC,1788357420,0.704795,0.704455,0.704795,0.704435,0
turbo,AUDUSD-OTC,1788357480,0.704465,0.704395,0.704505,0.704215,0
turbo,AUDUSD-OTC,1788357540,0.704385,0.704635,0.704645,0.704205,0
turbo,AUDUSD-OTC,1788357600,0.704645,0.704705,0.704825,0.704545,0
turbo,AUDUSD-OTC,1788357660,0.704695,0.704645,0.704715,0.704595,0
turbo,AUDUSD-OTC,1788357720,0.704635,0.704615,0.704665,0.704495,0
turbo,AUDUSD-OTC,1788357780,0.704615,0.704495,0.704675,0.704485,0
turbo,AUDUSD-OTC,1788357840,0.704505,0.704815,0.704845,0.704485,0
turbo,AUDUSD-OTC,1788357900,0.704825,0.704735,0.704955,0.704705,0
turbo,AUDUSD-OTC,1788357960,0.704725,0.704555,0.704745,0.704555,0
turbo,AUDUSD-OTC,1788358020,0.704535,0.704405,0.704535,0.704295,0
turbo,AUDUSD-OTC,1788358080,0.704415,0.704365,0.704425,0.704255,0
turbo,AUDUSD-OTC,1788358140,0.704335,0.704315,0.704385,0.704255,0
turbo,AUDUSD-OTC,1788358200,0.704325,0.704395,0.704405,0.704165,0
turbo,AUDUSD-OTC,1788358260,0.704385,0.704345,0.704485,0.704295,0
turbo,AUDUSD-OTC,1788358320,0.704335,0.704525,0.704655,0.704335,0
turbo,AUDUSD-OTC,1788358380,0.704505,0.704405,0.704505,0.704365,0
turbo,AUDUSD-OTC,1788358440,0.704415,0.704175,0.704545,0.704165,0
turbo,AUDUSD-OTC,1788358500,0.704185,0.704165,0.704235,0.704095,0
turbo,AUDUSD-OTC,1788358560,0.704165,0.704165,0.704325,0.703995,0
turbo,AUDUSD-OTC,1788358620,0.704165,0.704225,0.704275,0.704155,0
turbo,AUDUSD-OTC,1788358680,0.704215,0.704475,0.704495,0.704175,0
turbo,AUDUSD-OTC,1788358740,0.704475,0.704775,0.704875,0.704475,0
turbo,AUDUSD-OTC,1788358800,0.704775,0.704795,0.704945,0.704765,0
turbo,AUDUSD-OTC,1788358860,0.704825,0.705035,0.705045,0.704725,0
turbo,AUDUSD-OTC,1788358920,0.705065,0.705025,0.705105,0.704975,0
turbo,AUDUSD-OTC,1788358980,0.705035,0.705105,0.705105,0.704905,0
turbo,AUDUSD-OTC,1788359040,0.705095,0.704955,0.705185,0.704865,0
turbo,AUDUSD-OTC,1788359100,0.704955,0.704765,0.704975,0.704765,0
turbo,AUDUSD-OTC,1788359160,0.704755,0.704765,0.704875,0.704685,0
turbo,AUDUSD-OTC,1788359220,0.704775,0.704885,0.704935,0.704755,0
turbo,AUDUSD-OTC,1788359280,0.704875,0.705035,0.705035,0.704735,0
turbo,AUDUSD-OTC,1788359340,0.705025,0.705035,0.705185,0.704965,0
turbo,AUDUSD-OTC,1788359400,0.705025,0.704635,0.705105,0.704615,0
turbo,AUDUSD-OTC,1788359460,0.704635,0.704485,0.704665,0.704375,0
turbo,AUDUSD-OTC,1788359520,0.704475,0.704615,0.704775,0.704475,0
turbo,AUDUSD-OTC,1788359580,0.704665,0.704915,0.704915,0.704595,0
turbo,AUDUSD-OTC,1788359640,0.704905,0.704885,0.704925,0.704805,0
turbo,AUDUSD-OTC,1788359700,0.704895,0.705125,0.705185,0.704885,0
turbo,AUDUSD-OTC,1788359760,0.705135,0.704935,0.705155,0.704865,0
turbo,AUDUSD-OTC,1788359820,0.704935,0.704895,0.704945,0.704815,0
turbo,AUDUSD-OTC,1788359880,0.704885,0.704945,0.704985,0.704835,0
turbo,AUDUSD-OTC,1788359940,0.704955,0.704875,0.704975,0.704765,0
turbo,AUDUSD-OTC,1788360000,0.704895,0.705025,0.705095,0.704885,0
turbo,AUDUSD-OTC,1788360060,0.705035,0.705235,0.705235,0.704975,0
turbo,AUDUSD-OTC,1788360120,0.705225,0.705145,0.705345,0.705075,0
turbo,AUDUSD-OTC,1788360180,0.705135,0.705335,0.705355,0.705015,0
turbo,AUDUSD-OTC,1788360240,0.705335,0.705465,0.705515,0.705265,0
turbo,AUDUSD-OTC,1788360300,0.705455,0.705515,0.705525,0.705315,0
turbo,AUDUSD-OTC,1788360360,0.705505,0.705445,0.705595,0.705375,0
turbo,AUDUSD-OTC,1788360420,0.705435,0.705185,0.705475,0.705155,0
turbo,AUDUSD-OTC,1788360480,0.705185,0.705045,0.705225,0.704965,0
turbo,AUDUSD-OTC,1788360540,0.705055,0.705315,0.705325,0.705055,0
turbo,AUDUSD-OTC,1788360600,0.705325,0.705255,0.705335,0.705065,0
turbo,AUDUSD-OTC,1788360660,0.705225,0.705015,0.705225,0.705005,0
turbo,AUDUSD-OTC,1788360720,0.704995,0.705125,0.705125,0.704975,0
turbo,AUDUSD-OTC,1788360780,0.705135,0.704725,0.705205,0.704725,0
turbo,AUDUSD-OTC,1788360840,0.704705,0.704585,0.704715,0.704575,0
