tipo,activo,from,open,close,max,min,volume
turbo,JUPUSD-OTC,1788357060,0.235165,0.234815,0.235815,0.233595,0
turbo,JUPUSD-OTC,1788357120,0.234535,0.233175,0.234535,0.232425,0
turbo,JUPUSD-OTC,1788357180,0.233265,0.231375,0.233355,0.230835,0
turbo,JUPUSD-OTC,1788357240,0.231285,0.227275,0.232305,0.226585,0
turbo,JUPUSD-OTC,1788357300,0.227335,0.227145,0.227755,0.225715,0
turbo,JUPUSD-OTC,1788357360,0.227085,0.223335,0.228675,0.222745,0
turbo,JUPUSD-OTC,1788357420,0.223235,0.225125,0.225225,0.223015,0
turbo,JUPUSD-OTC,1788357480,0.225385,0.226925,0.227835,0.225065,0
turbo,JUPUSD-OTC,1788357540,0.227035,0.229895,0.230665,0.227005,0
turbo,JUPUSD-OTC,1788357600,0.229985,0.233255,0.233675,0.229985,0
turbo,JUPUSD-OTC,1788357660,0.233295,0.230785,0.234735,0.230485,0
turbo,JUPUSD-OTC,1788357720,0.230745,0.230555,0.231255,0.229765,0
turbo,JUPUSD-OTC,1788357780,0.230505,0.228645,0.231365,0.227475,0
turbo,JUPUSD-OTC,1788357840,0.228505,0.229295,0.231975,0.227885,0
turbo,JUPUSD-OTC,1788357900,0.229365,0.230555,0.231915,0.228785,0
turbo,JUPUSD-OTC,1788357960,0.230645,0.231975,0.232595,0.229965,0
turbo,JUPUSD-OTC,1788358020,0.231855,0.232875,0.232885,0.228835,0
turbo,JUPUSD-OTC,1788358080,0.233015,0.233315,0.234685,0.232215,0
turbo,JUPUSD-OTC,1788358140,0.232945,0.238195,0.238365,0.232665,0
turbo,JUPUSD-OTC,1788358200,0.238055,0.237815,0.239975,0.237645,0
turbo,JUPUSD-OTC,1788358260,0.237665,0.236045,0.238465,0.236045,0
turbo,JUPUSD-OTC,1788358320,0.236055,0.234415,0.237185,0.234375,0
turbo,JUPUSD-OTC,1788358380,0.234335,0.234605,0.237105,0.234055,0
turbo,JUPUSD-OTC,1788358440,0.234465,0.236835,0.236955,0.234405,0
turbo,JUPUSD-OTC,1788358500,0.237175,0.236695,0.238045,0.236245,0
turbo,JUPUSD-OTC,1788358560,0.236555,0.237535,0.238195,0.235825,0
turbo,JUPUSD-OTC,1788358620,0.237295,0.235265,0.237595,0.235195,0
turbo,JUPUSD-OTC,1788358680,0.235295,0.236305,0.236495,0.233085,0
turbo,JUPUSD-OTC,1788358740,0.236205,0.235605,0.236655,0.234545,0
turbo,JUPUSD-OTC,1788358800,0.235535,0.232065,0.236665,0.231875,0
turbo,JUPUSD-OTC,1788358860,0.232155,0.232365,0.234945,0.231655,0
turbo,JUPUSD-OTC,1788358920,0.232315,0.233555,0.233555,0.232015,0
turbo,JUPUSD-OTC,1788358980,0.233405,0.236775,0.236775,0.232575,0
turbo,JUPUSD-OTC,1788359040,0.237005,0.238705,0.239245,0.236765,0
turbo,JUPUSD-OTC,1788359100,0.239105,0.238295,0.239115,0.236425,0
turbo,JUPUSD-OTC,1788359160,0.238225,0.239545,0.240855,0.238225,0
turbo,JUPUSD-OTC,1788359220,0.239395,0.239575,0.241295,0.238915,0
turbo,JUPUSD-OTC,1788359280,0.239665,0.239835,0.240825,0.239075,0
turbo,JUPUSD-OTC,1788359340,0.239945,0.240145,0.240235,0.236765,0
turbo,JUPUSD-OTC,1788359400,0.239935,0.238755,0.239935,0.238395,0
turbo,JUPUSD-OTC,1788359460,0.238545,0.239605,0.240725,0.237225,0
turbo,JUPUSD-OTC,1788359520,0.239465,0.240105,0.241725,0.238985,0
turbo,JUPUSD-OTC,1788359580,0.240445,0.241515,0.242085,0.238445,0
turbo,JUPUSD-OTC,1788359640,0.241465,0.241375,0.242435,0.240165,0
turbo,JUPUSD-OTC,1788359700,0.241235,0.242245,0.243185,0.240405,0
turbo,JUPUSD-OTC,1788359760,0.242255,0.241055,0.242705,0.240735,0
turbo,JUPUSD-OTC,1788359820,0.241235,0.240885,0.241235,0.238905,0
turbo,JUPUSD-OTC,1788359880,0.240895,0.241255,0.241585,0.239835,0
turbo,JUPUSD-OTC,1788359940,0.241115,0.242405,0.242915,0.240045,0
turbo,JUPUSD-OTC,1788360000,0.242315,0.242625,0.242935,0.240185,0
turbo,JUPUSD-OTC,1788360060,0.243075,0.243865,0.244955,0.242565,0
turbo,JUPUSD-OTC,1788360120,0.243995,0.241025,0.244555,0.240925,0
turbo,JUPUSD-OTC,1788360180,0.240935,0.240525,0.241735,0.239315,0
turbo,JUPUSD-OTC,1788360240,0.240415,0.243365,0.243365,0.239255,0
turbo,JUPUSD-OTC,1788360300,0.243485,0.248575,0.248575,0.243365,0
turbo,JUPUSD-OTC,1788360360,0.248735,0.246685,0.249305,0.244885,0
turbo,JUPUSD-OTC,1788360420,0.246745,0.248095,0.249025,0.246745,0
turbo,JUPUSD-OTC,1788360480,0.248135,0.247485,0.249145,0.246515,0
turbo,JUPUSD-OTC,1788360540,0.247345,0.245575,0.249125,0.245525,0
turbo,JUPUSD-OTC,1788360600,0.245595,0.242945,0.246645,0.242945,0
turbo,JUPUSD-OTC,1788360660,0.243255,0.241095,0.244215,0.240585,0
turbo,JUPUSD-OTC,1788360720,0.241135,0.244325,0.245575,0.241035,0
turbo,JUPUSD-OTC,1788360780,0.244395,0.245245,0.245665,0.243885,0
turbo,JUPUSD-OTC,1788360840,0.245285,0.242885,0.245355,0.241425,0
turbo,JUPUSD-OTC,1788360900,0.242745,0.242315,0.244045,0.241225,0
turbo,JUPUSD-OTC,1788360960,0.242455,0.246365,0.246485,0.242185,0
turbo,JUPUSD-OTC,1788361020,0.245905,0.246555,0.246995,0.245335,0
