tipo,activo,from,open,close,max,min,volume
turbo,SATSUSD-OTC,1788357060,0.062345,0.066055,0.066965,0.062345,0
turbo,SATSUSD-OTC,1788357120,0.066065,0.067245,0.067265,0.065155,0
turbo,SATSUSD-OTC,1788357180,0.067185,0.066345,0.067955,0.065505,0
turbo,SATSUSD-OTC,1788357240,0.066135,0.066515,0.066935,0.065485,0
turbo,SATSUSD-OTC,1788357300,0.066635,0.065955,0.068085,0.065515,0
turbo,SATSUSD-OTC,1788357360,0.066045,0.064465,0.067135,0.064195,0
turbo,SATSUSD-OTC,1788357420,0.064475,0.064535,0.065775,0.064395,0
turbo,SATSUSD-OTC,1788357480,0.064665,0.063975,0.066065,0.062835,0
turbo,SATSUSD-OTC,1788357540,0.063925,0.065105,0.066405,0.063265,0
turbo,SATSUSD-OTC,1788357600,0.065075,0.068245,0.068245,0.064055,0
turbo,SATSUSD-OTC,1788357660,0.068315,0.069375,0.070255,0.067955,0
turbo,SATSUSD-OTC,1788357720,0.069325,0.067925,0.069635,0.067575,0
turbo,SATSUSD-OTC,1788357780,0.067995,0.069015,0.070905,0.067635,0
turbo,SATSUSD-OTC,1788357840,0.068925,0.067595,0.070365,0.067595,0
turbo,SATSUSD-OTC,1788357900,0.067475,0.069465,0.069725,0.067015,0
turbo,SATSUSD-OTC,1788357960,0.069785,0.074135,0.074445,0.069715,0
turbo,SATSUSD-OTC,1788358020,0.074055,0.072795,0.076055,0.072565,0
turbo,SATSUSD-OTC,1788358080,0.072815,0.073395,0.075025,0.072375,0
turbo,SATSUSD-OTC,1788358140,0.073315,0.077525,0.077525,0.073145,0
turbo,SATSUSD-OTC,1788358200,0.077225,0.075285,0.077425,0.074575,0
turbo,SATSUSD-OTC,1788358260,0.075195,0.078115,0.078755,0.074875,0
turbo,SATSUSD-OTC,1788358320,0.078175,0.080175,0.081755,0.077545,0
turbo,SATSUSD-OTC,1788358380,0.080155,0.084055,0.084295,0.080155,0
turbo,SATSUSD-OTC,1788358440,0.083825,0.088225,0.088225,0.083625,0
turbo,SATSUSD-OTC,1788358500,0.088155,0.085615,0.088665,0.084375,0
turbo,SATSUSD-OTC,1788358560,0.085555,0.084065,0.085555,0.082505,0
turbo,SATSUSD-OTC,1788358620,0.084135,0.082845,0.084435,0.081005,0
turbo,SATSUSD-OTC,1788358680,0.082935,0.079855,0.082935,0.078825,0
turbo,SATSUSD-OTC,1788358740,0.079985,0.078385,0.081405,0.077755,0
turbo,SATSUSD-OTC,1788358800,0.078475,0.078525,0.079345,0.076725,0
turbo,SATSUSD-OTC,1788358860,0.078595,0.077265,0.079405,0.076455,0
turbo,SATSUSD-OTC,1788358920,0.077425,0.076665,0.078135,0.075515,0
turbo,SATSUSD-OTC,1788358980,0.076655,0.079535,0.080375,0.076425,0
turbo,SATSUSD-OTC,1788359040,0.079825,0.083405,0.084375,0.079775,0
turbo,SATSUSD-OTC,1788359100,0.083415,0.079535,0.083775,0.078005,0
turbo,SATSUSD-OTC,1788359160,0.079375,0.074565,0.079395,0.074565,0
turbo,SATSUSD-OTC,1788359220,0.074555,0.072435,0.074775,0.071365,0
turbo,SATSUSD-OTC,1788359280,0.072465,0.071975,0.073755,0.071915,0
turbo,SATSUSD-OTC,1788359340,0.072345,0.072365,0.073335,0.070715,0
turbo,SATSUSD-OTC,1788359400,0.072505,0.072075,0.072915,0.071205,0
turbo,SATSUSD-OTC,1788359460,0.071725,0.076105,0.076615,0.071425,0
turbo,SATSUSD-OTC,1788359520,0.076015,0.075195,0.076245,0.073285,0
turbo,SATSUSD-OTC,1788359580,0.075555,0.076775,0.077645,0.075285,0
turbo,SATSUSD-OTC,1788359640,0.076655,0.079405,0.079785,0.076415,0
turbo,SATSUSD-OTC,1788359700,0.079515,0.080245,0.080685,0.077675,0
turbo,SATSUSD-OTC,1788359760,0.080405,0.077855,0.081365,0.077855,0
turbo,SATSUSD-OTC,1788359820,0.077615,0.076745,0.079025,0.076605,0
turbo,SATSUSD-OTC,1788359880,0.076825,0.078765,0.080165,0.076155,0
turbo,SATSUSD-OTC,1788359940,0.078745,0.074795,0.080025,0.073985,0
turbo,SATSUSD-OTC,1788360000,0.074905,0.074325,0.076645,0.074165,0
turbo,SATSUSD-OTC,1788360060,0.074365,0.074955,0.075135,0.073185,0
turbo,SATSUSD-OTC,1788360120,0.075095,0.072885,0.075405,0.072885,0
turbo,SATSUSD-OTC,1788360180,0.072725,0.070995,0.073115,0.070915,0
turbo,SATSUSD-OTC,1788360240,0.070925,0.066115,0.071205,0.065995,0
turbo,SATSUSD-OTC,1788360300,0.066035,0.065395,0.067075,0.064865,0
turbo,SATSUSD-OTC,1788360360,0.065455,0.064725,0.065915,0.062915,0
