tipo,activo,from,open,close,max,min,volume
turbo,SEIUSD-OTC,1788357060,0.027815,0.028345,0.028535,0.027555,0
turbo,SEIUSD-OTC,1788357120,0.028315,0.028535,0.028535,0.027945,0
turbo,SEIUSD-OTC,1788357180,0.028525,0.029285,0.029535,0.028465,0
turbo,SEIUSD-OTC,1788357240,0.029295,0.028625,0.029295,0.028535,0
turbo,SEIUSD-OTC,1788357300,0.028645,0.028675,0.028695,0.028055,0
turbo,SEIUSD-OTC,1788357360,0.028665,0.029125,0.029195,0.028595,0
turbo,SEIUSD-OTC,1788357420,0.029095,0.028195,0.029155,0.028145,0
turbo,SEIUSD-OTC,1788357480,0.028205,0.027935,0.028605,0.027825,0
turbo,SEIUSD-OTC,1788357540,0.027945,0.027795,0.027965,0.027455,0
turbo,SEIUSD-OTC,1788357600,0.027765,0.028065,0.028635,0.027715,0
turbo,SEIUSD-OTC,1788357660,0.028115,0.027315,0.028325,0.027305,0
turbo,SEIUSD-OTC,1788357720,0.027365,0.028085,0.028315,0.027295,0
turbo,SEIUSD-OTC,1788357780,0.028105,0.028985,0.028985,0.028025,0
turbo,SEIUSD-OTC,1788357840,0.029015,0.029185,0.029355,0.028525,0
turbo,SEIUSD-OTC,1788357900,0.029145,0.029115,0.029425,0.028915,0
turbo,SEIUSD-OTC,1788357960,0.029095,0.029385,0.029555,0.028935,0
turbo,SEIUSD-OTC,1788358020,0.029425,0.030445,0.030615,0.029335,0
turbo,SEIUSD-OTC,1788358080,0.030485,0.031435,0.031465,0.030325,0
turbo,SEIUSD-OTC,1788358140,0.031425,0.031105,0.031515,0.030965,0
turbo,SEIUSD-OTC,1788358200,0.031145,0.030335,0.031235,0.030225,0
turbo,SEIUSD-OTC,1788358260,0.030355,0.030185,0.030795,0.030165,0
turbo,SEIUSD-OTC,1788358320,0.030195,0.031935,0.031975,0.030195,0
turbo,SEIUSD-OTC,1788358380,0.031895,0.031985,0.032255,0.031605,0
turbo,SEIUSD-OTC,1788358440,0.031965,0.032625,0.032775,0.031785,0
