tipo,activo,from,open,close,max,min,volume
turbo,ATOMUSD-OTC,1788339960,1.751735,1.751965,1.756005,1.750565,0
turbo,ATOMUSD-OTC,1788340020,1.751865,1.751475,1.754825,1.750805,0
turbo,ATOMUSD-OTC,1788340080,1.751385,1.757995,1.757995,1.746875,0
turbo,ATOMUSD-OTC,1788340140,1.757845,1.751955,1.757845,1.750635,0
turbo,ATOMUSD-OTC,1788340200,1.752095,1.755145,1.757135,1.749605,0
turbo,ATOMUSD-OTC,1788340260,1.755905,1.752475,1.756865,1.751635,0
turbo,ATOMUSD-OTC,1788340320,1.752425,1.754705,1.758705,1.752425,0
turbo,ATOMUSD-OTC,1788340380,1.754725,1.751225,1.756585,1.750435,0
turbo,ATOMUSD-OTC,1788340440,1.751105,1.749625,1.751665,1.748475,0
turbo,ATOMUSD-OTC,1788340500,1.750065,1.756655,1.756655,1.750035,0
turbo,ATOMUSD-OTC,1788340560,1.756835,1.749525,1.757365,1.748685,0
turbo,ATOMUSD-OTC,1788340620,1.749495,1.749595,1.750595,1.746185,0
turbo,ATOMUSD-OTC,1788340680,1.749695,1.743015,1.751695,1.743015,0
turbo,ATOMUSD-OTC,1788340740,1.743065,1.742275,1.744165,1.738285,0
turbo,ATOMUSD-OTC,1788340800,1.742125,1.743435,1.745505,1.740945,0
turbo,ATOMUSD-OTC,1788340860,1.743555,1.750775,1.751715,1.743495,0
turbo,ATOMUSD-OTC,1788340920,1.750705,1.760135,1.762475,1.750445,0
turbo,ATOMUSD-OTC,1788340980,1.759845,1.761475,1.763275,1.754535,0
turbo,ATOMUSD-OTC,1788341040,1.761365,1.756855,1.761855,1.756785,0
turbo,ATOMUSD-OTC,1788341100,1.756835,1.753925,1.760005,1.753265,0
turbo,ATOMUSD-OTC,1788341160,1.753935,1.755585,1.756335,1.749145,0
turbo,ATOMUSD-OTC,1788341220,1.755405,1.755495,1.759625,1.753955,0
turbo,ATOMUSD-OTC,1788341280,1.755315,1.757905,1.758435,1.753305,0
turbo,ATOMUSD-OTC,1788341340,1.757865,1.764405,1.764815,1.755305,0
turbo,ATOMUSD-OTC,1788341400,1.764335,1.755815,1.764705,1.755145,0
turbo,ATOMUSD-OTC,1788341460,1.755435,1.756525,1.758245,1.753185,0
turbo,ATOMUSD-OTC,1788341520,1.757045,1.757965,1.761605,1.754565,0
turbo,ATOMUSD-OTC,1788341580,1.757915,1.766765,1.766765,1.756825,0
turbo,ATOMUSD-OTC,1788341640,1.766895,1.769865,1.769865,1.763705,0
turbo,ATOMUSD-OTC,1788341700,1.769875,1.766835,1.770025,1.764385,0
turbo,ATOMUSD-OTC,1788341760,1.766805,1.766725,1.769065,1.765705,0
turbo,ATOMUSD-OTC,1788341820,1.766875,1.766025,1.769975,1.764785,0
turbo,ATOMUSD-OTC,1788341880,1.765835,1.768455,1.771535,1.765355,0
turbo,ATOMUSD-OTC,1788341940,1.768405,1.761855,1.769315,1.761725,0
turbo,ATOMUSD-OTC,1788342000,1.761815,1.762915,1.769025,1.761255,0
turbo,ATOMUSD-OTC,1788342060,1.763025,1.760335,1.763665,1.757485,0
turbo,ATOMUSD-OTC,1788342120,1.759985,1.755185,1.761155,1.752535,0
turbo,ATOMUSD-OTC,1788342180,1.755035,1.755105,1.757955,1.753145,0
turbo,ATOMUSD-OTC,1788342240,1.755525,1.758525,1.760365,1.755055,0
turbo,ATOMUSD-OTC,1788342300,1.758345,1.760315,1.762945,1.758135,0
turbo,ATOMUSD-OTC,1788342360,1.760875,1.757955,1.761935,1.754085,0
turbo,ATOMUSD-OTC,1788342420,1.757945,1.765135,1.766345,1.752795,0
turbo,ATOMUSD-OTC,1788342480,1.765035,1.769375,1.772255,1.765035,0
turbo,ATOMUSD-OTC,1788342540,1.769215,1.772175,1.776025,1.769215,0
turbo,ATOMUSD-OTC,1788342600,1.772475,1.773785,1.775355,1.769795,0
turbo,ATOMUSD-OTC,1788342660,1.773905,1.771525,1.775395,1.769335,0
turbo,ATOMUSD-OTC,1788342720,1.771025,1.771485,1.776025,1.769485,0
turbo,ATOMUSD-OTC,1788342780,1.770685,1.777745,1.778785,1.769535,0
turbo,ATOMUSD-OTC,1788342840,1.777615,1.782935,1.782935,1.773875,0
turbo,ATOMUSD-OTC,1788342900,1.782985,1.775255,1.783985,1.773705,0
turbo,ATOMUSD-OTC,1788342960,1.774755,1.777245,1.780045,1.773115,0
turbo,ATOMUSD-OTC,1788343020,1.777185,1.789245,1.791545,1.777055,0
turbo,ATOMUSD-OTC,1788343080,1.789205,1.797815,1.798125,1.787715,0
turbo,ATOMUSD-OTC,1788343140,1.798075,1.795565,1.800225,1.791345,0
turbo,ATOMUSD-OTC,1788343200,1.795425,1.794635,1.799455,1.794175,0
turbo,ATOMUSD-OTC,1788343260,1.794425,1.805825,1.806355,1.794425,0
turbo,ATOMUSD-OTC,1788343320,1.805775,1.806125,1.807585,1.801695,0
turbo,ATOMUSD-OTC,1788343380,1.805795,1.807945,1.811575,1.805195,0
turbo,ATOMUSD-OTC,1788343440,1.807835,1.812425,1.812885,1.806445,0
turbo,ATOMUSD-OTC,1788343500,1.812555,1.817355,1.817935,1.809605,0
turbo,ATOMUSD-OTC,1788343560,1.817165,1.814085,1.817375,1.811795,0
turbo,ATOMUSD-OTC,1788343620,1.814005,1.815945,1.817805,1.811745,0
turbo,ATOMUSD-OTC,1788343680,1.815915,1.813075,1.816485,1.810515,0
turbo,ATOMUSD-OTC,1788343740,1.811895,1.815405,1.815565,1.810775,0
turbo,ATOMUSD-OTC,1788343800,1.815595,1.811715,1.818075,1.811715,0
turbo,ATOMUSD-OTC,1788343860,1.811865,1.818265,1.818665,1.810555,0
turbo,ATOMUSD-OTC,1788343920,1.818145,1.818105,1.825085,1.816795,0
turbo,ATOMUSD-OTC,1788343980,1.818275,1.819925,1.820745,1.815105,0
