tipo,activo,from,open,close,max,min,volume
turbo,AUDNZD-OTC,1788340260,1.224175,1.225265,1.225455,1.222235,0
turbo,AUDNZD-OTC,1788340320,1.225605,1.226095,1.226095,1.224055,0
turbo,AUDNZD-OTC,1788340380,1.226215,1.224925,1.226755,1.224395,0
turbo,AUDNZD-OTC,1788340440,1.224805,1.223455,1.225735,1.222065,0
turbo,AUDNZD-OTC,1788340500,1.223405,1.228905,1.228995,1.222895,0
turbo,AUDNZD-OTC,1788340560,1.228765,1.226485,1.229595,1.226475,0
turbo,AUDNZD-OTC,1788340620,1.226045,1.226135,1.226645,1.224855,0
turbo,AUDNZD-OTC,1788340680,1.226145,1.225385,1.226405,1.223925,0
turbo,AUDNZD-OTC,1788340740,1.225315,1.224265,1.226195,1.223895,0
turbo,AUDNZD-OTC,1788340800,1.224175,1.228015,1.228685,1.224175,0
turbo,AUDNZD-OTC,1788340860,1.227895,1.229085,1.229155,1.227305,0
turbo,AUDNZD-OTC,1788340920,1.229115,1.228655,1.230755,1.228585,0
turbo,AUDNZD-OTC,1788340980,1.228505,1.227885,1.228625,1.226445,0
turbo,AUDNZD-OTC,1788341040,1.227895,1.226165,1.227895,1.225495,0
turbo,AUDNZD-OTC,1788341100,1.226225,1.229425,1.229565,1.225735,0
turbo,AUDNZD-OTC,1788341160,1.229325,1.231335,1.232175,1.227625,0
turbo,AUDNZD-OTC,1788341220,1.231225,1.232715,1.232975,1.230485,0
turbo,AUDNZD-OTC,1788341280,1.232805,1.231115,1.232865,1.230535,0
turbo,AUDNZD-OTC,1788341340,1.230875,1.236025,1.236025,1.230355,0
turbo,AUDNZD-OTC,1788341400,1.236275,1.235275,1.237795,1.234595,0
turbo,AUDNZD-OTC,1788341460,1.235215,1.232755,1.235745,1.232605,0
turbo,AUDNZD-OTC,1788341520,1.232725,1.230505,1.233085,1.230385,0
turbo,AUDNZD-OTC,1788341580,1.230335,1.232885,1.232885,1.230045,0
turbo,AUDNZD-OTC,1788341640,1.232735,1.233205,1.235185,1.232315,0
turbo,AUDNZD-OTC,1788341700,1.233305,1.234565,1.234565,1.232275,0
turbo,AUDNZD-OTC,1788341760,1.234495,1.236745,1.237025,1.234495,0
turbo,AUDNZD-OTC,1788341820,1.236705,1.237765,1.239035,1.236705,0
turbo,AUDNZD-OTC,1788341880,1.238165,1.237985,1.239135,1.237525,0
turbo,AUDNZD-OTC,1788341940,1.237735,1.234685,1.238375,1.233925,0
turbo,AUDNZD-OTC,1788342000,1.234745,1.231135,1.234775,1.229495,0
turbo,AUDNZD-OTC,1788342060,1.231105,1.231725,1.232445,1.229555,0
turbo,AUDNZD-OTC,1788342120,1.231975,1.229575,1.233225,1.229285,0
turbo,AUDNZD-OTC,1788342180,1.229565,1.229965,1.231695,1.229305,0
turbo,AUDNZD-OTC,1788342240,1.229945,1.229965,1.230395,1.227625,0
turbo,AUDNZD-OTC,1788342300,1.229795,1.227195,1.230015,1.226795,0
