tipo,activo,from,open,close,max,min,volume
turbo,EURNZD-OTC,1788340260,1.995385,1.993355,1.995615,1.992135,0
turbo,EURNZD-OTC,1788340320,1.993255,1.988925,1.993535,1.988705,0
turbo,EURNZD-OTC,1788340380,1.988815,1.991705,1.992205,1.987905,0
turbo,EURNZD-OTC,1788340440,1.991615,1.993135,1.994145,1.990355,0
turbo,EURNZD-OTC,1788340500,1.993335,1.990655,1.993995,1.990655,0
turbo,EURNZD-OTC,1788340560,1.990735,1.990725,1.992535,1.989845,0
turbo,EURNZD-OTC,1788340620,1.990495,1.987485,1.990655,1.987285,0
turbo,EURNZD-OTC,1788340680,1.987375,1.988305,1.989305,1.986695,0
turbo,EURNZD-OTC,1788340740,1.988215,1.987735,1.988355,1.986035,0
turbo,EURNZD-OTC,1788340800,1.987805,1.988915,1.989795,1.987635,0
turbo,EURNZD-OTC,1788340860,1.989025,1.990575,1.991375,1.988035,0
turbo,EURNZD-OTC,1788340920,1.990405,1.989705,1.991645,1.989345,0
turbo,EURNZD-OTC,1788340980,1.989585,1.988975,1.991365,1.988455,0
turbo,EURNZD-OTC,1788341040,1.988935,1.987975,1.989665,1.986695,0
turbo,EURNZD-OTC,1788341100,1.988065,1.987355,1.989405,1.986625,0
turbo,EURNZD-OTC,1788341160,1.987415,1.990835,1.991025,1.987415,0
turbo,EURNZD-OTC,1788341220,1.990755,1.990425,1.991935,1.989685,0
turbo,EURNZD-OTC,1788341280,1.990525,1.987815,1.990905,1.986375,0
turbo,EURNZD-OTC,1788341340,1.987735,1.985395,1.987985,1.985135,0
turbo,EURNZD-OTC,1788341400,1.985465,1.983475,1.985685,1.983385,0
turbo,EURNZD-OTC,1788341460,1.983325,1.984455,1.985015,1.982805,0
turbo,EURNZD-OTC,1788341520,1.984315,1.984235,1.984575,1.980895,0
turbo,EURNZD-OTC,1788341580,1.984145,1.985415,1.985415,1.983105,0
turbo,EURNZD-OTC,1788341640,1.985285,1.986205,1.988145,1.984115,0
turbo,EURNZD-OTC,1788341700,1.986285,1.990555,1.990555,1.985585,0
turbo,EURNZD-OTC,1788341760,1.990695,1.993685,1.993745,1.989295,0
turbo,EURNZD-OTC,1788341820,1.993825,1.992545,1.993825,1.991965,0
turbo,EURNZD-OTC,1788341880,1.992195,1.990585,1.992395,1.990485,0
turbo,EURNZD-OTC,1788341940,1.990675,1.990775,1.991795,1.990275,0
turbo,EURNZD-OTC,1788342000,1.990675,1.993475,1.993575,1.990295,0
turbo,EURNZD-OTC,1788342060,1.993625,1.993675,1.994585,1.992395,0
turbo,EURNZD-OTC,1788342120,1.993805,1.994045,1.995145,1.993325,0
turbo,EURNZD-OTC,1788342180,1.993955,1.994525,1.996025,1.993335,0
turbo,EURNZD-OTC,1788342240,1.994245,1.996985,1.997425,1.994045,0
turbo,EURNZD-OTC,1788342300,1.997055,1.994735,1.997055,1.994445,0
turbo,EURNZD-OTC,1788342360,1.994835,1.992275,1.995105,1.992155,0
turbo,EURNZD-OTC,1788342420,1.991955,1.993975,1.993975,1.991335,0
turbo,EURNZD-OTC,1788342480,1.993945,1.995845,1.996525,1.993435,0
turbo,EURNZD-OTC,1788342540,1.995715,1.994795,1.996255,1.994635,0
turbo,EURNZD-OTC,1788342600,1.994695,1.994675,1.995425,1.994155,0
turbo,EURNZD-OTC,1788342660,1.994635,1.995915,1.997415,1.994165,0
turbo,EURNZD-OTC,1788342720,1.995955,1.992635,1.996035,1.992635,0
turbo,EURNZD-OTC,1788342780,1.992775,1.993075,1.993555,1.992175,0
turbo,EURNZD-OTC,1788342840,1.993185,1.995805,1.996005,1.993185,0
turbo,EURNZD-OTC,1788342900,1.995765,1.997385,1.997715,1.995685,0
turbo,EURNZD-OTC,1788342960,1.997315,1.998085,1.998625,1.996205,0
turbo,EURNZD-OTC,1788343020,1.998225,1.997055,1.998595,1.996345,0
turbo,EURNZD-OTC,1788343080,1.996955,1.996995,1.998275,1.995845,0
turbo,EURNZD-OTC,1788343140,1.996905,1.995855,1.997585,1.995205,0
turbo,EURNZD-OTC,1788343200,1.996005,1.995325,1.996965,1.994495,0
turbo,EURNZD-OTC,1788343260,1.995355,1.996915,1.997655,1.994835,0
