tipo,activo,from,open,close,max,min,volume
turbo,EURTHB-OTC,1788340260,38.259795,38.254035,38.262185,38.245885,0
turbo,EURTHB-OTC,1788340320,38.254405,38.279175,38.281295,38.250845,0
turbo,EURTHB-OTC,1788340380,38.278715,38.274045,38.285125,38.269275,0
turbo,EURTHB-OTC,1788340440,38.273045,38.275005,38.285595,38.268815,0
turbo,EURTHB-OTC,1788340500,38.275345,38.289975,38.297915,38.271055,0
turbo,EURTHB-OTC,1788340560,38.292045,38.284515,38.294175,38.276105,0
turbo,EURTHB-OTC,1788340620,38.284695,38.264865,38.291755,38.264695,0
turbo,EURTHB-OTC,1788340680,38.264535,38.280585,38.284385,38.264345,0
turbo,EURTHB-OTC,1788340740,38.279975,38.282995,38.287165,38.267245,0
turbo,EURTHB-OTC,1788340800,38.280495,38.268155,38.280515,38.260685,0
turbo,EURTHB-OTC,1788340860,38.268125,38.274605,38.279055,38.262065,0
turbo,EURTHB-OTC,1788340920,38.273595,38.273265,38.280555,38.268085,0
turbo,EURTHB-OTC,1788340980,38.273115,38.258715,38.277195,38.251705,0
turbo,EURTHB-OTC,1788341040,38.258225,38.258965,38.267395,38.254775,0
turbo,EURTHB-OTC,1788341100,38.259095,38.258375,38.260435,38.244955,0
turbo,EURTHB-OTC,1788341160,38.256865,38.248375,38.256865,38.237105,0
turbo,EURTHB-OTC,1788341220,38.248035,38.236195,38.259015,38.231645,0
turbo,EURTHB-OTC,1788341280,38.236205,38.238175,38.241575,38.217385,0
turbo,EURTHB-OTC,1788341340,38.238155,38.224775,38.249475,38.224355,0
turbo,EURTHB-OTC,1788341400,38.225315,38.191835,38.225455,38.191835,0
turbo,EURTHB-OTC,1788341460,38.192015,38.189735,38.195875,38.183115,0
turbo,EURTHB-OTC,1788341520,38.189725,38.193575,38.202185,38.186345,0
turbo,EURTHB-OTC,1788341580,38.192975,38.215265,38.221595,38.191505,0
turbo,EURTHB-OTC,1788341640,38.212885,38.165055,38.220445,38.164895,0
turbo,EURTHB-OTC,1788341700,38.166855,38.140745,38.172105,38.140725,0
turbo,EURTHB-OTC,1788341760,38.142645,38.152395,38.156185,38.139965,0
turbo,EURTHB-OTC,1788341820,38.152575,38.172295,38.177135,38.150235,0
turbo,EURTHB-OTC,1788341880,38.172115,38.165295,38.175435,38.153315,0
turbo,EURTHB-OTC,1788341940,38.165325,38.174705,38.184145,38.162885,0
turbo,EURTHB-OTC,1788342000,38.174695,38.154075,38.174695,38.154075,0
turbo,EURTHB-OTC,1788342060,38.153935,38.127805,38.153935,38.127805,0
turbo,EURTHB-OTC,1788342120,38.128955,38.089775,38.133415,38.089775,0
turbo,EURTHB-OTC,1788342180,38.089645,38.085865,38.091325,38.078325,0
turbo,EURTHB-OTC,1788342240,38.085515,38.075485,38.091845,38.075155,0
turbo,EURTHB-OTC,1788342300,38.075615,38.073085,38.079455,38.064355,0
turbo,EURTHB-OTC,1788342360,38.071755,38.089615,38.090695,38.063165,0
turbo,EURTHB-OTC,1788342420,38.089805,38.094455,38.094715,38.084425,0
turbo,EURTHB-OTC,1788342480,38.098005,38.102625,38.103835,38.086965,0
turbo,EURTHB-OTC,1788342540,38.102785,38.118275,38.128815,38.097945,0
turbo,EURTHB-OTC,1788342600,38.119595,38.124835,38.127385,38.112245,0
turbo,EURTHB-OTC,1788342660,38.125205,38.110955,38.127235,38.101315,0
turbo,EURTHB-OTC,1788342720,38.110025,38.079235,38.110175,38.076215,0
turbo,EURTHB-OTC,1788342780,38.079215,38.090165,38.102085,38.078675,0
turbo,EURTHB-OTC,1788342840,38.090185,38.064705,38.097095,38.063885,0
turbo,EURTHB-OTC,1788342900,38.064555,38.057425,38.066795,38.035585,0
turbo,EURTHB-OTC,1788342960,38.056105,38.025645,38.056665,38.025505,0
turbo,EURTHB-OTC,1788343020,38.023935,37.999115,38.032905,37.999115,0
turbo,EURTHB-OTC,1788343080,37.997985,37.991145,38.001315,37.980625,0
turbo,EURTHB-OTC,1788343140,37.994215,38.035765,38.035765,37.994195,0
turbo,EURTHB-OTC,1788343200,38.034815,38.057045,38.061675,38.034815,0
turbo,EURTHB-OTC,1788343260,38.057075,38.051975,38.061145,38.047835,0
turbo,EURTHB-OTC,1788343320,38.052455,38.066705,38.076315,38.052455,0
turbo,EURTHB-OTC,1788343380,38.066885,38.042225,38.070105,38.037875,0
turbo,EURTHB-OTC,1788343440,38.042505,38.070135,38.070135,38.030875,0
turbo,EURTHB-OTC,1788343500,38.070305,38.068975,38.083315,38.057425,0
turbo,EURTHB-OTC,1788343560,38.069165,38.079545,38.087325,38.067795,0
turbo,EURTHB-OTC,1788343620,38.078525,38.072745,38.093285,38.071485,0
