tipo,activo,from,open,close,max,min,volume
turbo,JAPAN225:N,1788340260,64121.51,64106.5,64159,64096.49,120
turbo,JAPAN225:N,1788340320,64106.5,64081.51,64121.51,64078.99,84
turbo,JAPAN225:N,1788340380,64084.01,64049.01,64086.5,64049,89
turbo,JAPAN225:N,1788340440,64046.49,63958.99,64046.49,63953.99,110
turbo,JAPAN225:N,1788340500,63961.49,63946.5,63969.01,63936.49,148
turbo,JAPAN225:N,1788340560,63946.5,63951.5,63971.51,63941.51,49
turbo,JAPAN225:N,1788340620,63951.5,63956.5,63956.5,63919,47
turbo,JAPAN225:N,1788340680,63954.01,63961.5,63979,63946.51,54
turbo,JAPAN225:N,1788340740,63961.5,64003.99,64009,63961.5,74
turbo,JAPAN225:N,1788340800,64001.51,63961.49,64006.51,63958.99,86
turbo,JAPAN225:N,1788340860,63963.99,63984,63991.5,63963.99,70
turbo,JAPAN225:N,1788340920,63984,63966.51,63986.5,63953.99,71
turbo,JAPAN225:N,1788340980,63961.49,63916.49,63966.5,63911.49,91
turbo,JAPAN225:N,1788341040,63914,63901.51,63914,63893.99,79
turbo,JAPAN225:N,1788341100,63901.51,63898.99,63916.49,63894.01,60
turbo,JAPAN225:N,1788341160,63898.99,63923.99,63939,63891.49,97
turbo,JAPAN225:N,1788341220,63923.99,63951.5,63986.49,63923.99,81
turbo,JAPAN225:N,1788341280,63951.5,63951.5,63959.01,63939,65
turbo,JAPAN225:N,1788341340,63948.99,63946.49,63966.5,63941.49,50
turbo,JAPAN225:N,1788341400,63946.5,63938.99,63958.99,63923.99,107
turbo,JAPAN225:N,1788341460,63941.49,63896.49,63951.5,63881.5,134
turbo,JAPAN225:N,1788341520,63893.99,63883.99,63924,63883.99,103
turbo,JAPAN225:N,1788341580,63883.99,63876.49,63886.51,63861.49,150
turbo,JAPAN225:N,1788341640,63874.01,63871.49,63881.51,63861.49,80
turbo,JAPAN225:N,1788341700,63869,63854,63871.51,63851.49,93
turbo,JAPAN225:N,1788341760,63854.01,63829,63856.51,63823.99,130
turbo,JAPAN225:N,1788341820,63831.5,63854.01,63871.51,63831.5,105
turbo,JAPAN225:N,1788341880,63851.49,63826.51,63881.51,63816.51,99
turbo,JAPAN225:N,1788341940,63821.5,63824,63846.51,63816.5,88
turbo,JAPAN225:N,1788342000,63826.5,63814,63841.5,63813.99,76
turbo,JAPAN225:N,1788342060,63816.51,63809,63818.99,63799,59
turbo,JAPAN225:N,1788342120,63809,63751.51,63809.01,63751.51,74
turbo,JAPAN225:N,1788342180,63756.49,63774,63799,63746.5,58
turbo,JAPAN225:N,1788342240,63774,63756.5,63786.5,63741.49,101
turbo,JAPAN225:N,1788342300,63759,63786.5,63816.51,63759,120
turbo,JAPAN225:N,1788342360,63784,63778.99,63784,63761.49,67
turbo,JAPAN225:N,1788342420,63776.5,63806.5,63833.99,63774,90
turbo,JAPAN225:N,1788342480,63809,63848.99,63853.99,63806.49,80
turbo,JAPAN225:N,1788342540,63849.01,63836.49,63849.01,63831.5,66
turbo,JAPAN225:N,1788342600,63834,63841.49,63859.01,63814,100
turbo,JAPAN225:N,1788342660,63839,63831.51,63846.5,63816.49,87
turbo,JAPAN225:N,1788342720,63829,63831.5,63848.99,63821.49,54
turbo,JAPAN225:N,1788342780,63831.5,63866.5,63876.51,63829.01,64
turbo,JAPAN225:N,1788342840,63869.01,63856.5,63869.01,63849,54
turbo,JAPAN225:N,1788342900,63858.99,63881.5,63884.01,63858.99,85
turbo,JAPAN225:N,1788342960,63881.5,63911.5,63926.51,63881.5,103
turbo,JAPAN225:N,1788343020,63906.49,63901.5,63909,63896.49,64
turbo,JAPAN225:N,1788343080,63901.5,63884,63906.5,63881.49,75
turbo,JAPAN225:N,1788343140,63889.01,63894,63899.01,63886.49,39
turbo,JAPAN225:N,1788343200,63894,63854.01,63913.99,63841.49,141
turbo,JAPAN225:N,1788343260,63851.49,63801.51,63864.01,63796.51,137
turbo,JAPAN225:N,1788343320,63803.99,63776.49,63803.99,63769.01,116
turbo,JAPAN225:N,1788343380,63774.01,63769.01,63779,63744,64
turbo,JAPAN225:N,1788343440,63771.5,63743.99,63781.51,63736.49,123
turbo,JAPAN225:N,1788343500,63746.49,63751.49,63761.51,63731.49,75
turbo,JAPAN225:N,1788343560,63753.99,63731.5,63778.99,63721.49,103
turbo,JAPAN225:N,1788343620,63734,63779,63794,63726.49,87
turbo,JAPAN225:N,1788343680,63776.5,63756.51,63796.49,63756.51,68
turbo,JAPAN225:N,1788343740,63759,63791.5,63801.49,63756.49,86
turbo,JAPAN225:N,1788343800,63794.01,63779,63796.49,63776.49,76
turbo,JAPAN225:N,1788343860,63779,63811.49,63821.51,63746.5,71
turbo,JAPAN225:N,1788343920,63816.51,63834,63834,63796.51,53
turbo,JAPAN225:N,1788343980,63834,63891.5,63891.5,63826.49,82
turbo,JAPAN225:N,1788344040,63891.5,63914.01,63916.49,63884,47
turbo,JAPAN225:N,1788344100,63913.99,63919.01,63924.01,63906.49,50
turbo,JAPAN225:N,1788344160,63919.01,63919.01,63921.5,63899,50
turbo,JAPAN225:N,1788344220,63919.01,63949.01,63949.01,63911.49,50
turbo,JAPAN225:N,1788344280,63951.51,63926.49,63956.49,63923.99,29
turbo,JAPAN225:N,1788344340,63926.49,63936.51,63941.51,63921.51,21
turbo,JAPAN225:N,1788344400,63936.51,63936.51,63948.99,63931.51,28
turbo,JAPAN225:N,1788344460,63936.51,63936.49,63944,63921.5,31
turbo,JAPAN225:N,1788344520,63939.01,63939.01,63949.01,63931.5,41
turbo,JAPAN225:N,1788344580,63936.51,63899.01,63939,63896.49,38
turbo,JAPAN225:N,1788344640,63901.51,63911.49,63911.51,63891.49,45
turbo,JAPAN225:N,1788344700,63909.01,63929,63939.01,63909,70
turbo,JAPAN225:N,1788344760,63926.51,63916.5,63944.01,63898.99,114
turbo,JAPAN225:N,1788344820,63916.5,63916.5,63924.01,63911.49,46
turbo,JAPAN225:N,1788344880,63919.01,63901.51,63921.5,63901.51,38
turbo,JAPAN225:N,1788344940,63896.5,63901.51,63916.51,63884.01,42
turbo,JAPAN225:N,1788345000,63901.51,63896.51,63908.99,63886.49,56
turbo,JAPAN225:N,1788345060,63896.51,63846.51,63898.99,63846.51,60
turbo,JAPAN225:N,1788345120,63844.01,63851.51,63866.51,63838.99,62
turbo,JAPAN225:N,1788345180,63854,63864,63878.99,63844,57
turbo,JAPAN225:N,1788345240,63864,63871.51,63874.01,63864,26
turbo,JAPAN225:N,1788345300,63869,63876.51,63901.5,63869,62
turbo,JAPAN225:N,1788345360,63874,63871.49,63881.5,63863.99,56
turbo,JAPAN225:N,1788345420,63871.49,63861.5,63871.49,63854,61
turbo,JAPAN225:N,1788345480,63858.99,63838.99,63858.99,63829.01,66
turbo,JAPAN225:N,1788345540,63841.5,63846.51,63849.01,63829,51
turbo,JAPAN225:N,1788345600,63846.51,63843.99,63861.5,63833.99,47
turbo,JAPAN225:N,1788345660,63843.99,63826.51,63844.01,63823.99,28
turbo,JAPAN225:N,1788345720,63826.51,63841.49,63859.01,63826.51,55
turbo,JAPAN225:N,1788345780,63841.49,63821.51,63841.5,63821.5,32
turbo,JAPAN225:N,1788345840,63821.51,63831.49,63841.49,63821.51,37
turbo,JAPAN225:N,1788345900,63829,63829,63839.01,63819,40
turbo,JAPAN225:N,1788345960,63826.5,63826.49,63831.51,63808.99,46
turbo,JAPAN225:N,1788346020,63826.49,63841.51,63841.51,63821.49,41
turbo,JAPAN225:N,1788346080,63841.51,63853.99,63859.01,63836.49,47
turbo,JAPAN225:N,1788346140,63851.5,63881.51,63881.51,63851.5,29
turbo,JAPAN225:N,1788346200,63876.5,63859.01,63876.51,63849.01,18
turbo,JAPAN225:N,1788346260,63854.01,63854,63856.51,63841.5,21
turbo,JAPAN225:N,1788346320,63851.5,63828.99,63851.51,63821.51,32
turbo,JAPAN225:N,1788346380,63826.49,63861.51,63863.99,63826.49,35
turbo,JAPAN225:N,1788346440,63861.51,63864,63884,63854,57
turbo,JAPAN225:N,1788346500,63866.51,63861.5,63876.5,63856.49,31
turbo,JAPAN225:N,1788346560,63858.99,63846.5,63876.51,63846.5,63
turbo,JAPAN225:N,1788346620,63846.5,63858.99,63864.01,63846.5,38
turbo,JAPAN225:N,1788346680,63861.49,63876.5,63879.01,63859,29
turbo,JAPAN225:N,1788346740,63878.99,63921.51,63924.01,63869.01,66
turbo,JAPAN225:N,1788346800,63919.01,63831.49,63926.51,63831.49,161
turbo,JAPAN225:N,1788346860,63831.49,63803.99,63831.49,63786.49,108
turbo,JAPAN225:N,1788346920,63801.51,63734,63813.99,63733.99,143
