tipo,activo,from,open,close,max,min,volume
turbo,JUPUSD-OTC,1788340260,0.226795,0.230355,0.231195,0.226795,0
turbo,JUPUSD-OTC,1788340320,0.230205,0.228975,0.230895,0.228865,0
turbo,JUPUSD-OTC,1788340380,0.228915,0.229665,0.231415,0.228915,0
turbo,JUPUSD-OTC,1788340440,0.229615,0.228645,0.230485,0.227515,0
turbo,JUPUSD-OTC,1788340500,0.228575,0.229485,0.230305,0.228345,0
turbo,JUPUSD-OTC,1788340560,0.229545,0.230075,0.232025,0.229245,0
turbo,JUPUSD-OTC,1788340620,0.230155,0.229145,0.230315,0.228835,0
turbo,JUPUSD-OTC,1788340680,0.229115,0.229595,0.230665,0.228785,0
turbo,JUPUSD-OTC,1788340740,0.229575,0.232895,0.233105,0.229575,0
turbo,JUPUSD-OTC,1788340800,0.232905,0.230085,0.232945,0.229075,0
turbo,JUPUSD-OTC,1788340860,0.230225,0.228535,0.230845,0.227935,0
turbo,JUPUSD-OTC,1788340920,0.228605,0.227995,0.229875,0.227995,0
turbo,JUPUSD-OTC,1788340980,0.228005,0.231605,0.231635,0.227655,0
turbo,JUPUSD-OTC,1788341040,0.231525,0.233035,0.233035,0.230055,0
turbo,JUPUSD-OTC,1788341100,0.232985,0.230975,0.233205,0.230265,0
turbo,JUPUSD-OTC,1788341160,0.230655,0.234575,0.234795,0.230465,0
turbo,JUPUSD-OTC,1788341220,0.234545,0.232845,0.234945,0.232665,0
turbo,JUPUSD-OTC,1788341280,0.232965,0.231525,0.233045,0.230655,0
turbo,JUPUSD-OTC,1788341340,0.231475,0.229385,0.231955,0.228985,0
turbo,JUPUSD-OTC,1788341400,0.229335,0.229795,0.230175,0.228485,0
turbo,JUPUSD-OTC,1788341460,0.229705,0.231685,0.232485,0.229705,0
turbo,JUPUSD-OTC,1788341520,0.231645,0.230215,0.231765,0.229105,0
turbo,JUPUSD-OTC,1788341580,0.230315,0.230025,0.231825,0.228815,0
turbo,JUPUSD-OTC,1788341640,0.230085,0.233015,0.235125,0.229905,0
turbo,JUPUSD-OTC,1788341700,0.232925,0.230915,0.233115,0.230915,0
turbo,JUPUSD-OTC,1788341760,0.230785,0.230935,0.231695,0.229865,0
turbo,JUPUSD-OTC,1788341820,0.230985,0.228745,0.232135,0.228555,0
turbo,JUPUSD-OTC,1788341880,0.228615,0.229625,0.230205,0.228105,0
turbo,JUPUSD-OTC,1788341940,0.229765,0.231255,0.231935,0.229765,0
turbo,JUPUSD-OTC,1788342000,0.231355,0.234795,0.234795,0.230895,0
turbo,JUPUSD-OTC,1788342060,0.234825,0.231615,0.234975,0.231335,0
turbo,JUPUSD-OTC,1788342120,0.231505,0.228285,0.231725,0.228165,0
turbo,JUPUSD-OTC,1788342180,0.228155,0.227505,0.229135,0.226645,0
turbo,JUPUSD-OTC,1788342240,0.227575,0.227455,0.228195,0.226385,0
turbo,JUPUSD-OTC,1788342300,0.227715,0.226775,0.228075,0.225355,0
turbo,JUPUSD-OTC,1788342360,0.226805,0.227045,0.228025,0.226115,0
turbo,JUPUSD-OTC,1788342420,0.227055,0.223445,0.227425,0.223365,0
turbo,JUPUSD-OTC,1788342480,0.223365,0.221235,0.223515,0.221115,0
turbo,JUPUSD-OTC,1788342540,0.221135,0.218995,0.222765,0.218995,0
turbo,JUPUSD-OTC,1788342600,0.219065,0.218425,0.220215,0.218195,0
turbo,JUPUSD-OTC,1788342660,0.218445,0.215715,0.218875,0.215715,0
turbo,JUPUSD-OTC,1788342720,0.215315,0.216455,0.218365,0.215115,0
turbo,JUPUSD-OTC,1788342780,0.216765,0.216895,0.217645,0.215885,0
turbo,JUPUSD-OTC,1788342840,0.217255,0.216165,0.217445,0.215775,0
turbo,JUPUSD-OTC,1788342900,0.216235,0.222295,0.222625,0.215885,0
turbo,JUPUSD-OTC,1788342960,0.222305,0.221335,0.223365,0.221135,0
turbo,JUPUSD-OTC,1788343020,0.221405,0.225085,0.225455,0.221365,0
turbo,JUPUSD-OTC,1788343080,0.225225,0.225835,0.226445,0.224895,0
turbo,JUPUSD-OTC,1788343140,0.225935,0.227635,0.228495,0.225745,0
turbo,JUPUSD-OTC,1788343200,0.227675,0.226305,0.228555,0.226285,0
turbo,JUPUSD-OTC,1788343260,0.226455,0.226455,0.228495,0.225995,0
